time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession)
11:46.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by J. Johnson,,0-0,,
11:29.0,Turnover by J. Johnson (bad pass; steal by B. Beal),,0-0,,
11:10.0,,,0-0,,K. Oubre misses 3-pt shot from 27 ft
11:09.0,,,0-0,,Offensive rebound by M. Gortat
11:07.0,,,0-2,2,M. Gortat makes 2-pt shot from 1 ft
10:49.0,Turnover by H. Whiteside (lost ball; steal by J. Wall),,0-2,,
10:44.0,,,0-4,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
10:21.0,Shooting foul by M. Gortat (drawn by J. Johnson),,0-4,,
10:21.0,J. Johnson makes free throw 1 of 2,1,1-4,,
10:21.0,J. Johnson makes free throw 2 of 2,1,2-4,,
10:11.0,,,2-4,,J. Wall misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by H. Whiteside,,2-4,,
10:01.0,G. Dragic misses 2-pt shot from 19 ft,,2-4,,
10:00.0,,,2-4,,Defensive rebound by K. Oubre
9:56.0,Personal foul by G. Dragic (drawn by J. Wall),,2-4,,
9:50.0,,,2-4,,B. Beal misses 3-pt shot from 27 ft
9:50.0,Defensive rebound by J. Johnson,,2-4,,
9:42.0,H. Whiteside misses 2-pt shot from 10 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by M. Gortat
9:31.0,,,2-4,,J. Wall misses 2-pt shot from 6 ft
9:30.0,Defensive rebound by H. Whiteside,,2-4,,
9:22.0,,,2-4,,Def 3 sec tech foul by M. Gortat
9:22.0,G. Dragic makes technical free throw,1,3-4,,
9:15.0,Turnover by G. Dragic (traveling),,3-4,,
9:07.0,,,3-6,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
8:40.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,5-6,,
8:35.0,,,5-6,,J. Wall misses 2-pt shot from 2 ft (block by J. Richardson)
8:33.0,,,5-6,,Offensive rebound by B. Beal
8:26.0,,,5-6,,Turnover by B. Beal (bad pass; steal by G. Dragic)
8:22.0,J. Richardson misses 3-pt shot from 27 ft,,5-6,,
8:20.0,,,5-6,,Defensive rebound by M. Gortat
8:14.0,,,5-8,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
7:56.0,J. Johnson misses 3-pt shot from 25 ft,,5-8,,
7:55.0,,,5-8,,Defensive rebound by Team
7:55.0,Loose ball foul by H. Whiteside (drawn by M. Gortat),,5-8,,
7:35.0,,,5-8,,K. Oubre misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by G. Dragic,,5-8,,
7:29.0,Turnover by R. McGruder (bad pass),,5-8,,
7:16.0,,,5-8,,Shooting foul by R. McGruder (drawn by B. Beal)
7:16.0,,,5-9,1,B. Beal makes free throw 1 of 2
7:16.0,,,5-10,1,B. Beal makes free throw 2 of 2
7:00.0,Shooting foul by M. Morris (drawn by J. Richardson),,5-10,,
7:00.0,J. Richardson makes free throw 1 of 2,1,6-10,,
7:00.0,J. Richardson makes free throw 2 of 2,1,7-10,,
6:50.0,,,7-13,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall)
6:35.0,G. Dragic misses 2-pt shot from 16 ft,,7-13,,
6:34.0,Offensive rebound by J. Johnson,,7-13,,
6:27.0,H. Whiteside misses 2-pt shot from 2 ft (block by M. Gortat),,7-13,,
6:27.0,,,7-13,,Defensive rebound by Team
6:13.0,,,7-13,,M. Morris misses 2-pt shot from 1 ft
6:13.0,,,7-13,,Offensive rebound by M. Morris
6:11.0,,,7-15,2,M. Morris makes 2-pt shot from 3 ft
6:07.0,Miami full timeout,,7-15,,
6:00.0,H. Whiteside misses 2-pt shot from 13 ft,,7-15,,
5:59.0,,,7-15,,Defensive rebound by J. Wall
5:43.0,,,7-15,,Turnover by J. Wall (bad pass; steal by H. Whiteside)
5:37.0,J. Johnson makes 2-pt shot from 1 ft (assist by R. McGruder),2,9-15,,
5:15.0,,,9-17,2,B. Beal makes 2-pt shot from 2 ft
4:54.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,11-17,,
4:38.0,,,11-17,,Turnover by B. Beal (bad pass)
4:38.0,T. Johnson enters the game for G. Dragic,,11-17,,
4:38.0,,,11-17,,B. Bogdanovic enters the game for M. Morris
4:24.0,T. Johnson makes 2-pt shot from 2 ft (assist by H. Whiteside),2,13-17,,
4:08.0,,,13-17,,Turnover by B. Beal (bad pass; steal by T. Johnson)
4:03.0,T. Johnson misses 2-pt shot at rim (block by J. Wall),,13-17,,
4:02.0,Offensive rebound by Team,,13-17,,
4:00.0,Shooting foul by K. Oubre (drawn by T. Johnson),,13-17,,
4:00.0,T. Johnson makes free throw 1 of 2,1,14-17,,
4:00.0,T. Johnson makes free throw 2 of 2,1,15-17,,
4:00.0,,,14-17,,J. Smith enters the game for K. Oubre
3:54.0,,,15-17,,J. Wall misses 2-pt shot from 3 ft (block by H. Whiteside)
3:53.0,Defensive rebound by H. Whiteside,,15-17,,
3:47.0,J. Johnson misses 2-pt shot from 2 ft (block by J. Smith),,15-17,,
3:46.0,Offensive rebound by J. Johnson,,15-17,,
3:44.0,J. Johnson makes 2-pt shot from 1 ft,2,17-17,,
3:25.0,,,17-19,2,J. Wall makes 2-pt shot from 16 ft
3:01.0,H. Whiteside makes 2-pt shot from 9 ft,2,19-19,,
2:49.0,Personal foul by R. McGruder (drawn by B. Beal),,19-19,,
2:49.0,,,19-19,,Washington full timeout
2:49.0,,,19-19,,B. Jennings enters the game for J. Wall
2:49.0,W. Ellington enters the game for R. McGruder,,19-19,,
2:49.0,O. White enters the game for J. Johnson,,19-19,,
2:37.0,,,19-19,,Turnover by M. Gortat (bad pass; steal by J. Richardson)
2:20.0,H. Whiteside makes 2-pt shot from 2 ft,2,21-19,,
2:05.0,,,21-19,,B. Bogdanovic misses 2-pt shot from 1 ft (block by H. Whiteside)
2:05.0,,,21-19,,Offensive rebound by Team
2:05.0,G. Dragic enters the game for J. Richardson,,21-19,,
2:03.0,,,21-21,2,B. Beal makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
1:47.0,H. Whiteside makes 2-pt shot from 7 ft (assist by G. Dragic),2,23-21,,
1:35.0,,,23-24,3,J. Smith makes 3-pt shot from 27 ft (assist by B. Jennings)
1:16.0,T. Johnson makes 2-pt shot from 19 ft (assist by G. Dragic),2,25-24,,
1:03.0,,,25-24,,M. Gortat misses 2-pt shot from 15 ft
1:02.0,Defensive rebound by H. Whiteside,,25-24,,
0:46.0,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,28-24,,
0:40.0,Technical foul by O. White,,28-24,,
0:40.0,,,28-25,1,B. Beal makes technical free throw
0:40.0,W. Reed enters the game for H. Whiteside,,28-25,,
0:40.0,,,28-25,,I. Mahinmi enters the game for M. Gortat
0:38.0,Personal foul by W. Ellington (drawn by B. Bogdanovic),,28-25,,
0:38.0,,,28-26,1,B. Bogdanovic makes free throw 1 of 2
0:38.0,,,28-27,1,B. Bogdanovic makes free throw 2 of 2
0:33.0,,,28-27,,Personal foul by J. Smith (drawn by O. White)
0:21.0,T. Johnson misses 2-pt shot at rim,,28-27,,
0:20.0,,,28-27,,Defensive rebound by B. Beal
0:01.0,,,28-29,2,B. Beal makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,W. Ellington makes 3-pt shot from 27 ft (assist by W. Reed),3,31-29,,
11:18.0,,,31-29,,Shooting foul by W. Reed (drawn by I. Mahinmi)
11:18.0,,,31-30,1,I. Mahinmi makes free throw 1 of 2
11:18.0,,,31-31,1,I. Mahinmi makes free throw 2 of 2
10:59.0,O. White makes 2-pt shot from 1 ft (assist by T. Johnson),2,33-31,,
10:49.0,,,33-33,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
10:35.0,G. Dragic misses 3-pt shot from 25 ft,,33-33,,
10:34.0,Offensive rebound by W. Reed,,33-33,,
10:26.0,W. Ellington misses 3-pt shot from 27 ft,,33-33,,
10:25.0,,,33-33,,Defensive rebound by I. Mahinmi
10:16.0,,,33-33,,B. Bogdanovic misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by W. Reed,,33-33,,
10:03.0,,,33-33,,Personal foul by B. Bogdanovic (drawn by W. Ellington)
9:50.0,O. White misses 2-pt shot from 10 ft,,33-33,,
9:49.0,Offensive rebound by Team,,33-33,,
9:44.0,,,33-33,,Personal foul by B. Jennings (drawn by G. Dragic)
9:37.0,T. Johnson misses 2-pt shot from 23 ft,,33-33,,
9:36.0,,,33-33,,Defensive rebound by I. Mahinmi
9:26.0,Personal foul by W. Reed (drawn by I. Mahinmi),,33-33,,
9:21.0,,,33-35,2,B. Bogdanovic makes 2-pt shot from 21 ft (assist by B. Jennings)
9:11.0,G. Dragic misses 3-pt shot from 27 ft,,33-35,,
9:10.0,,,33-35,,Defensive rebound by Team
8:56.0,,,33-35,,Turnover by B. Jennings (lost ball; steal by W. Ellington)
8:53.0,Shooting foul by J. Smith (drawn by W. Ellington),,33-35,,
8:53.0,Official timeout,,33-35,,
8:53.0,W. Ellington makes free throw 1 of 2,1,34-35,,
8:53.0,W. Ellington makes free throw 2 of 2,1,35-35,,
8:36.0,,,35-37,2,I. Mahinmi makes 2-pt shot from 5 ft
8:17.0,W. Ellington makes 3-pt shot from 26 ft (assist by G. Dragic),3,38-37,,
8:03.0,,,38-39,2,B. Jennings makes 2-pt shot from 14 ft
7:40.0,W. Ellington misses 3-pt shot from 28 ft,,38-39,,
7:39.0,,,38-39,,Defensive rebound by T. Satoransky
7:31.0,,,38-39,,B. Jennings misses 3-pt shot from 27 ft
7:29.0,Defensive rebound by W. Reed,,38-39,,
