time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Turner (D. Schroder gains possession),,,,Jump ball: D. Howard vs. M. Turner (D. Schroder gains possession)
11:40.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,2-0,,
11:28.0,,,2-0,,P. George misses 2-pt shot from 3 ft
11:28.0,Defensive rebound by T. Sefolosha,,2-0,,
11:15.0,P. Millsap makes 2-pt shot from 10 ft,2,4-0,,
11:04.0,,,4-0,,Turnover by P. George (bad pass)
10:50.0,D. Schroder misses 2-pt shot from 10 ft (block by J. Teague),,4-0,,
10:49.0,,,4-0,,Defensive rebound by M. Turner
10:34.0,,,4-2,2,J. Teague makes 2-pt shot from 17 ft
10:11.0,K. Bazemore misses 2-pt shot from 20 ft,,4-2,,
10:10.0,,,4-2,,Defensive rebound by P. George
9:58.0,,,4-4,2,M. Turner makes 2-pt shot from 14 ft (assist by J. Teague)
9:30.0,P. Millsap misses 2-pt shot from 2 ft,,4-4,,
9:29.0,Offensive rebound by D. Howard,,4-4,,
9:29.0,D. Howard makes 2-pt shot from 1 ft,2,6-4,,
9:15.0,,,6-7,3,P. George makes 3-pt shot from 25 ft
9:01.0,D. Howard makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,8-7,,
8:43.0,,,8-9,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
8:32.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Howard),2,10-9,,
8:18.0,,,10-11,2,T. Young makes 2-pt shot from 10 ft
7:59.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Young),,10-11,,
7:58.0,,,10-11,,Defensive rebound by M. Turner
7:49.0,,,10-11,,J. Teague misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by D. Schroder,,10-11,,
7:46.0,Turnover by D. Schroder (bad pass; steal by J. Teague),,10-11,,
7:35.0,,,10-13,2,T. Young makes 2-pt shot from 14 ft
7:13.0,P. Millsap misses 3-pt shot from 26 ft,,10-13,,
7:12.0,Offensive rebound by D. Howard,,10-13,,
7:11.0,D. Howard makes 2-pt shot from 1 ft,2,12-13,,
6:53.0,,,12-13,,M. Ellis misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by K. Bazemore,,12-13,,
6:46.0,,,12-13,,Personal foul by M. Turner (drawn by D. Howard)
6:46.0,M. Muscala enters the game for P. Millsap,,12-13,,
6:35.0,M. Muscala makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,15-13,,
6:15.0,,,15-13,,P. George misses 2-pt shot from 3 ft
6:14.0,Defensive rebound by D. Howard,,15-13,,
6:06.0,Turnover by D. Schroder (bad pass; steal by M. Turner),,15-13,,
5:39.0,,,15-16,3,T. Young makes 3-pt shot from 25 ft (assist by P. George)
5:21.0,D. Howard makes 2-pt shot from 3 ft,2,17-16,,
5:11.0,,,17-16,,J. Teague misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by K. Bazemore,,17-16,,
5:06.0,Turnover by T. Sefolosha (traveling),,17-16,,
5:06.0,,,17-16,,Indiana full timeout
5:06.0,T. Hardaway enters the game for K. Bazemore,,17-16,,
4:54.0,,,17-16,,M. Turner misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by D. Howard,,17-16,,
4:44.0,M. Muscala makes 3-pt shot from 26 ft (assist by D. Schroder),3,20-16,,
4:22.0,,,20-16,,A. Jefferson enters the game for M. Turner
4:22.0,,,20-16,,R. Stuckey enters the game for M. Ellis
4:22.0,M. Delaney enters the game for D. Schroder,,20-16,,
4:19.0,,,20-18,2,P. George makes 2-pt shot from 14 ft (assist by R. Stuckey)
4:01.0,M. Delaney misses 3-pt shot from 23 ft (block by J. Teague),,20-18,,
4:00.0,Offensive rebound by D. Howard,,20-18,,
3:57.0,T. Sefolosha misses 2-pt shot from 22 ft,,20-18,,
3:57.0,Offensive rebound by D. Howard,,20-18,,
3:57.0,,,20-18,,Loose ball foul by A. Jefferson (drawn by D. Howard)
3:50.0,M. Delaney makes 2-pt shot from 21 ft,2,22-18,,
3:36.0,,,22-18,,A. Jefferson misses 2-pt shot from 7 ft
3:36.0,Defensive rebound by D. Howard,,22-18,,
3:17.0,M. Muscala makes 2-pt shot from 2 ft (assist by T. Hardaway),2,24-18,,
3:02.0,,,24-20,2,T. Young makes 2-pt shot from 9 ft (assist by J. Teague)
2:39.0,D. Howard makes 2-pt shot from 3 ft (assist by M. Delaney),2,26-20,,
2:21.0,,,26-20,,J. Teague misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by T. Sefolosha,,26-20,,
2:13.0,Atlanta full timeout,,26-20,,
2:13.0,,,26-20,,A. Brooks enters the game for P. George
2:13.0,,,26-20,,G. Robinson enters the game for J. Teague
2:13.0,T. Waller-Prince enters the game for T. Sefolosha,,26-20,,
2:13.0,P. Millsap enters the game for D. Howard,,26-20,,
1:59.0,P. Millsap misses 3-pt shot from 26 ft,,26-20,,
1:59.0,Offensive rebound by T. Waller-Prince,,26-20,,
1:50.0,Turnover by P. Millsap (offensive foul),,26-20,,
1:50.0,Offensive charge foul by P. Millsap,,26-20,,
1:35.0,,,26-20,,T. Young misses 2-pt shot from 8 ft
1:34.0,Defensive rebound by P. Millsap,,26-20,,
1:13.0,Shooting foul by G. Robinson (drawn by M. Muscala),,26-20,,
1:13.0,M. Muscala makes free throw 1 of 2,1,27-20,,
1:13.0,M. Muscala makes free throw 2 of 2,1,28-20,,
0:54.0,,,28-22,2,A. Jefferson makes 2-pt shot from 1 ft
0:45.0,Shooting foul by A. Jefferson (drawn by P. Millsap),,28-22,,
0:45.0,P. Millsap makes 2-pt shot from 13 ft,2,30-22,,
0:45.0,P. Millsap makes free throw 1 of 1,1,31-22,,
0:28.0,,,31-24,2,A. Brooks makes 2-pt shot from 4 ft
0:09.0,P. Millsap misses 2-pt shot from 2 ft,,31-24,,
0:08.0,,,31-24,,Defensive rebound by R. Stuckey
0:01.0,,,31-24,,R. Stuckey misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by M. Muscala,,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-24,,Turnover by M. Turner (lost ball)
11:26.0,M. Delaney misses 2-pt shot from 16 ft,,31-24,,
11:25.0,Offensive rebound by P. Millsap,,31-24,,
11:22.0,P. Millsap makes 2-pt shot from 5 ft,2,33-24,,
11:02.0,,,33-26,2,A. Brooks makes 2-pt shot from 3 ft
10:45.0,T. Waller-Prince makes 2-pt shot from 15 ft (assist by M. Muscala),2,35-26,,
10:33.0,Personal foul by M. Delaney (drawn by A. Brooks),,35-26,,
10:23.0,,,35-26,,R. Stuckey misses 2-pt shot from 20 ft
10:22.0,Defensive rebound by Team,,35-26,,
9:57.0,M. Muscala misses 2-pt shot from 12 ft,,35-26,,
9:57.0,Offensive rebound by Team,,35-26,,
9:57.0,Turnover by Team (shot clock),,35-26,,
9:57.0,D. Howard enters the game for M. Muscala,,35-26,,
9:41.0,,,35-26,,A. Brooks misses 2-pt shot from 4 ft (block by P. Millsap)
9:41.0,,,35-26,,Offensive rebound by Team
9:30.0,,,35-26,,G. Robinson misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by T. Waller-Prince,,35-26,,
9:25.0,T. Hardaway misses 2-pt shot from 4 ft (block by M. Turner),,35-26,,
9:25.0,,,35-26,,Defensive rebound by Team
9:16.0,,,35-26,,Offensive charge foul by R. Stuckey
9:16.0,,,35-26,,Turnover by R. Stuckey (offensive foul)
9:16.0,K. Bazemore enters the game for T. Hardaway,,35-26,,
9:03.0,K. Bazemore misses 3-pt shot from 24 ft,,35-26,,
9:01.0,Offensive rebound by Team,,35-26,,
8:59.0,Turnover by K. Bazemore (bad pass; steal by G. Robinson),,35-26,,
8:56.0,,,35-26,,Shooting foul by M. Delaney (drawn by R. Stuckey)
8:56.0,Official timeout,,35-26,,
8:56.0,,,35-26,,R. Stuckey misses free throw 1 of 2
8:56.0,,,35-26,,Offensive rebound by Team
8:56.0,,,35-26,,R. Stuckey misses free throw 2 of 2
8:56.0,Defensive rebound by K. Bazemore,,35-26,,
8:56.0,,,35-26,,P. George enters the game for G. Robinson
8:42.0,D. Howard makes 2-pt shot from 1 ft (assist by P. Millsap),2,37-26,,
8:42.0,Shooting foul by A. Brooks (drawn by D. Howard),,37-26,,
8:42.0,D. Howard makes free throw 1 of 1,1,38-26,,
8:28.0,,,38-26,,Turnover by A. Brooks (bad pass; steal by K. Bazemore)
8:25.0,Shooting foul by R. Stuckey (drawn by T. Waller-Prince),,38-26,,
8:25.0,T. Waller-Prince makes free throw 1 of 2,1,39-26,,
8:25.0,T. Waller-Prince misses free throw 2 of 2,,39-26,,
8:25.0,,,39-26,,Defensive rebound by M. Turner
8:13.0,,,39-26,,Turnover by A. Brooks (bad pass)
7:55.0,K. Bazemore misses 2-pt shot from 2 ft,,39-26,,
7:55.0,Offensive rebound by P. Millsap,,39-26,,
7:49.0,,,39-26,,J. Teague enters the game for A. Brooks
7:49.0,,,39-26,,T. Young enters the game for L. Allen
7:46.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,41-26,,
7:34.0,,,41-26,,Indiana full timeout
7:34.0,,,41-26,,M. Ellis enters the game for R. Stuckey
7:34.0,D. Schroder enters the game for M. Delaney,,41-26,,
7:34.0,T. Sefolosha enters the game for T. Waller-Prince,,41-26,,
7:27.0,,,41-26,,P. George misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by T. Sefolosha,,41-26,,
7:07.0,D. Howard makes 2-pt shot from 3 ft,2,43-26,,
6:56.0,,,43-28,2,T. Young makes 2-pt shot from 6 ft (assist by J. Teague)
6:56.0,,,43-28,,Shooting foul by D. Schroder (drawn by T. Young)
6:56.0,,,43-28,,T. Young misses free throw 1 of 1
6:56.0,Defensive rebound by D. Howard,,43-28,,
6:32.0,K. Bazemore misses 2-pt shot from 19 ft,,43-28,,
6:31.0,,,43-28,,Defensive rebound by J. Teague
6:23.0,,,43-28,,P. George misses 2-pt shot from 1 ft (block by P. Millsap)
6:22.0,Defensive rebound by T. Sefolosha,,43-28,,
6:16.0,D. Schroder misses 3-pt shot from 27 ft,,43-28,,
6:16.0,,,43-28,,Defensive rebound by M. Turner
6:12.0,,,43-28,,Turnover by M. Turner (bad pass; steal by K. Bazemore)
6:08.0,K. Bazemore misses 2-pt shot from 18 ft,,43-28,,
6:07.0,,,43-28,,Defensive rebound by J. Teague
6:04.0,,,43-28,,M. Ellis misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by P. Millsap,,43-28,,
5:47.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by P. Millsap),2,45-28,,
5:36.0,,,45-30,2,M. Ellis makes 2-pt shot from 5 ft (assist by P. George)
5:36.0,,,45-30,,Shooting foul by T. Sefolosha (drawn by M. Ellis)
5:36.0,,,45-31,1,M. Ellis makes free throw 1 of 1
5:36.0,M. Muscala enters the game for P. Millsap,,45-30,,
5:20.0,Shooting foul by J. Teague (drawn by D. Howard),,45-31,,
5:20.0,D. Howard makes free throw 1 of 2,1,46-31,,
5:20.0,D. Howard misses free throw 2 of 2,,46-31,,
5:19.0,Offensive rebound by M. Muscala,,46-31,,
5:14.0,Turnover by D. Howard (3 sec),,46-31,,
4:58.0,,,46-31,,J. Teague misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by D. Howard,,46-31,,
4:48.0,D. Schroder misses 2-pt shot from 6 ft,,46-31,,
4:46.0,Offensive rebound by D. Howard,,46-31,,
4:46.0,D. Howard misses 2-pt shot from 1 ft,,46-31,,
4:44.0,,,46-31,,Defensive rebound by P. George
4:40.0,,,46-33,2,J. Teague makes 2-pt shot from 1 ft
4:28.0,T. Sefolosha misses 3-pt shot from 27 ft,,46-33,,
4:27.0,,,46-33,,Defensive rebound by J. Teague
4:19.0,,,46-36,3,M. Ellis makes 3-pt shot from 24 ft (assist by J. Teague)
4:19.0,Atlanta full timeout,,46-36,,
4:05.0,K. Bazemore misses 2-pt shot from 4 ft,,46-36,,
4:05.0,Offensive rebound by D. Howard,,46-36,,
4:03.0,D. Howard misses 2-pt shot from 2 ft (block by M. Turner),,46-36,,
4:03.0,,,46-36,,Defensive rebound by T. Young
3:51.0,,,46-38,2,T. Young makes 2-pt shot from 3 ft
3:32.0,Turnover by K. Bazemore (lost ball; steal by T. Young),,46-38,,
3:19.0,,,46-38,,Turnover by J. Teague (bad pass; steal by T. Sefolosha)
3:09.0,D. Schroder makes 2-pt shot from 2 ft,2,48-38,,
3:09.0,Shooting foul by M. Turner (drawn by D. Schroder),,48-38,,
3:09.0,D. Schroder makes free throw 1 of 1,1,49-38,,
3:09.0,P. Millsap enters the game for K. Bazemore,,48-38,,
3:09.0,T. Hardaway enters the game for D. Howard,,48-38,,
2:53.0,,,49-38,,M. Ellis misses 3-pt shot from 26 ft
2:50.0,,,49-38,,Offensive rebound by T. Young
2:47.0,Personal foul by M. Muscala (drawn by M. Turner),,49-38,,
2:47.0,,,49-39,1,M. Turner makes free throw 1 of 2
2:47.0,,,49-40,1,M. Turner makes free throw 2 of 2
