time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (M. Williams gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (M. Williams gains possession)
11:42.0,,,0-0,,K. Walker misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by M. Gortat,,0-0,,
11:23.0,M. Gortat misses 2-pt shot from 7 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by N. Batum
11:16.0,,,0-0,,C. Zeller misses 2-pt shot from 18 ft
11:15.0,Defensive rebound by M. Gortat,,0-0,,
11:00.0,J. Wall misses 3-pt shot from 24 ft,,0-0,,
10:58.0,Offensive rebound by O. Porter,,0-0,,
10:50.0,J. Wall misses 2-pt shot from 1 ft,,0-0,,
10:48.0,Offensive rebound by M. Gortat,,0-0,,
10:46.0,Turnover by M. Gortat (lost ball; steal by C. Zeller),,0-0,,
10:41.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Smith)
10:41.0,Defensive rebound by Team,,0-0,,
10:24.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,2-0,,
10:10.0,,,2-3,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
9:57.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,5-3,,
9:42.0,,,5-5,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
9:28.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,7-5,,
9:07.0,,,7-5,,K. Walker misses 3-pt shot from 23 ft
9:06.0,Defensive rebound by M. Gortat,,7-5,,
8:59.0,J. Wall misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,7-5,,
8:57.0,,,7-5,,Defensive rebound by N. Batum
8:55.0,,,7-5,,N. Batum misses 2-pt shot from 2 ft
8:53.0,,,7-5,,Offensive rebound by M. Williams
8:53.0,,,7-7,2,M. Williams makes 2-pt shot from 1 ft
