time,Philadelphia,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Koufos (B. McLemore gains possession),,,,Jump ball: J. Embiid vs. K. Koufos (B. McLemore gains possession)
11:34.0,,,0-2,2,D. Collison makes 2-pt shot from 19 ft
11:20.0,J. Embiid makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,2-2,,
10:57.0,,,2-2,,D. Collison misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by J. Embiid,,2-2,,
10:42.0,Turnover by J. Embiid (lost ball; steal by K. Koufos),,2-2,,
10:39.0,,,2-4,2,R. Gay makes 2-pt shot at rim (assist by B. McLemore)
10:24.0,,,2-4,,Personal foul by B. McLemore (drawn by J. Okafor)
10:08.0,G. Henderson misses 3-pt shot from 25 ft,,2-4,,
10:08.0,,,2-4,,Defensive rebound by D. Cousins
9:55.0,,,2-6,2,K. Koufos makes 2-pt shot at rim (assist by D. Cousins)
9:37.0,J. Okafor misses 2-pt shot from 2 ft,,2-6,,
9:36.0,,,2-6,,Defensive rebound by R. Gay
9:21.0,,,2-6,,D. Collison misses 2-pt shot from 2 ft
9:19.0,,,2-6,,Offensive rebound by D. Cousins
9:19.0,,,2-8,2,D. Cousins makes 2-pt shot from 1 ft
9:01.0,S. Rodriguez misses 3-pt shot from 24 ft,,2-8,,
9:00.0,,,2-8,,Defensive rebound by K. Koufos
8:48.0,,,2-10,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Gay)
8:47.0,Philadelphia full timeout,,2-10,,
8:29.0,G. Henderson misses 2-pt shot from 5 ft,,2-10,,
8:28.0,,,2-10,,Defensive rebound by B. McLemore
8:14.0,Personal foul by S. Rodriguez (drawn by R. Gay),,2-10,,
8:14.0,E. Ilyasova enters the game for J. Okafor,,2-10,,
8:12.0,Personal foul by J. Embiid (drawn by D. Cousins),,2-10,,
7:59.0,,,2-10,,D. Collison misses 2-pt shot from 4 ft
7:58.0,Defensive rebound by J. Embiid,,2-10,,
