time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,J. Butler misses 2-pt shot from 2 ft
12:00.0,Jump ball: A. Horford vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: A. Horford vs. R. Lopez (N. Mirotic gains possession)
11:42.0,Defensive rebound by G. Green,,0-0,,
11:25.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Crowder),3,3-0,,
11:03.0,,,3-0,,D. Wade misses 2-pt shot from 15 ft
11:01.0,,,3-0,,Offensive rebound by R. Lopez
11:01.0,,,3-2,2,R. Lopez makes 2-pt shot from 2 ft
10:41.0,I. Thomas misses 2-pt shot from 10 ft,,3-2,,
10:41.0,Offensive rebound by Team,,3-2,,
10:32.0,Turnover by J. Crowder (bad pass; steal by J. Grant),,3-2,,
10:20.0,,,3-2,,Shooting foul by G. Green (drawn by D. Wade)
10:20.0,,,3-3,1,D. Wade makes free throw 1 of 2
10:20.0,,,3-4,1,D. Wade makes free throw 2 of 2
10:12.0,I. Thomas misses 2-pt shot from 2 ft,,3-4,,
10:11.0,,,3-4,,Defensive rebound by J. Butler
10:02.0,,,3-4,,J. Butler misses 2-pt shot from 21 ft
10:01.0,Defensive rebound by A. Bradley,,3-4,,
9:48.0,G. Green makes 2-pt shot from 3 ft (assist by I. Thomas),2,5-4,,
9:30.0,,,5-4,,N. Mirotic misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by A. Horford,,5-4,,
9:20.0,G. Green misses 3-pt shot from 25 ft,,5-4,,
9:19.0,,,5-4,,Defensive rebound by J. Butler
9:06.0,Personal foul by I. Thomas (drawn by J. Grant),,5-4,,
8:54.0,,,5-4,,J. Butler misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by I. Thomas,,5-4,,
8:47.0,I. Thomas misses 3-pt shot from 25 ft,,5-4,,
8:47.0,,,5-4,,Defensive rebound by J. Butler
8:37.0,,,5-4,,D. Wade misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by J. Crowder,,5-4,,
8:30.0,A. Bradley makes 3-pt shot from 26 ft (assist by J. Crowder),3,8-4,,
8:15.0,,,8-4,,Turnover by J. Grant (bad pass)
8:01.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas),3,11-4,,
7:36.0,,,11-4,,Turnover by J. Grant (bad pass; steal by A. Horford)
7:33.0,,,11-4,,Personal foul by J. Grant (drawn by A. Horford)
7:21.0,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas),3,14-4,,
7:21.0,,,14-4,,Chicago full timeout
7:13.0,,,14-6,2,D. Wade makes 2-pt shot from 9 ft
6:56.0,J. Crowder misses 2-pt shot from 2 ft (block by N. Mirotic),,14-6,,
6:54.0,,,14-6,,Defensive rebound by N. Mirotic
6:38.0,,,14-6,,J. Butler misses 2-pt shot from 7 ft
6:36.0,Defensive rebound by I. Thomas,,14-6,,
6:25.0,I. Thomas misses 2-pt shot from 9 ft,,14-6,,
6:24.0,,,14-6,,Defensive rebound by J. Grant
6:19.0,,,14-8,2,J. Grant makes 2-pt shot from 2 ft
5:52.0,A. Horford misses 2-pt shot from 11 ft,,14-8,,
5:51.0,,,14-8,,Defensive rebound by J. Butler
5:41.0,,,14-10,2,D. Wade makes 2-pt shot from 2 ft
5:25.0,I. Thomas makes 2-pt shot from 1 ft,2,16-10,,
5:05.0,,,16-10,,Turnover by J. Grant (bad pass; steal by A. Horford)
5:02.0,Turnover by A. Horford (bad pass),,16-10,,
5:02.0,T. Rozier enters the game for G. Green,,16-10,,
5:02.0,M. Smart enters the game for I. Thomas,,16-10,,
4:46.0,,,16-10,,D. Wade misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by M. Smart,,16-10,,
4:29.0,A. Horford makes 3-pt shot from 25 ft (assist by A. Bradley),3,19-10,,
4:02.0,,,19-10,,R. Lopez misses 2-pt shot from 21 ft (block by A. Horford)
4:00.0,Defensive rebound by T. Rozier,,19-10,,
3:54.0,Shooting foul by J. Grant (drawn by J. Crowder),,19-10,,
3:54.0,J. Crowder makes free throw 1 of 2,1,20-10,,
3:54.0,J. Crowder makes free throw 2 of 2,1,21-10,,
3:54.0,,,20-10,,B. Portis enters the game for N. Mirotic
3:54.0,,,20-10,,M. Carter-Williams enters the game for J. Grant
3:54.0,,,20-10,,P. Zipser enters the game for D. Wade
3:53.0,Personal foul by T. Rozier (drawn by M. Carter-Williams),,21-10,,
3:35.0,,,21-10,,B. Portis misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by Team,,21-10,,
