time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Harrell (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Harrell (M. Conley gains possession)
11:39.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,3-0,,
11:32.0,,,3-0,,Turnover by T. Ariza (lost ball; steal by C. Parsons)
11:15.0,Turnover by M. Gasol (bad pass; steal by T. Ariza),,3-0,,
11:10.0,,,3-0,,Turnover by J. Harden (bad pass; steal by M. Gasol)
11:06.0,Shooting foul by R. Anderson (drawn by C. Parsons),,3-0,,
11:06.0,C. Parsons makes free throw 1 of 2,1,4-0,,
11:06.0,C. Parsons makes free throw 2 of 2,1,5-0,,
10:54.0,,,5-2,2,R. Anderson makes 2-pt shot from 6 ft
10:37.0,C. Parsons misses 3-pt shot from 27 ft,,5-2,,
10:36.0,,,5-2,,Defensive rebound by M. Harrell
10:26.0,,,5-2,,R. Anderson misses 3-pt shot from 28 ft
10:24.0,Defensive rebound by T. Allen,,5-2,,
10:14.0,Shooting foul by R. Anderson (drawn by T. Allen),,5-2,,
10:14.0,T. Allen makes free throw 1 of 2,1,6-2,,
10:14.0,T. Allen makes free throw 2 of 2,1,7-2,,
10:14.0,,,6-2,,E. Gordon enters the game for R. Anderson
10:04.0,Personal foul by J. Green (drawn by E. Gordon),,7-2,,
9:57.0,,,7-4,2,P. Beverley makes 2-pt shot from 3 ft (assist by J. Harden)
9:45.0,J. Green makes 2-pt shot from 20 ft (assist by T. Allen),2,9-4,,
9:36.0,,,9-7,3,J. Harden makes 3-pt shot from 24 ft
9:17.0,M. Gasol makes 2-pt shot from 7 ft,2,11-7,,
9:06.0,,,11-9,2,E. Gordon makes 2-pt shot from 2 ft
8:56.0,Turnover by M. Conley (bad pass; steal by M. Harrell),,11-9,,
8:44.0,,,11-9,,P. Beverley misses 3-pt shot from 23 ft
8:44.0,,,11-9,,Offensive rebound by Team
8:44.0,Loose ball foul by C. Parsons (drawn by M. Harrell),,11-9,,
8:39.0,,,11-11,2,P. Beverley makes 2-pt shot from 2 ft (assist by M. Harrell)
8:17.0,Offensive charge foul by T. Allen,,11-11,,
8:17.0,Turnover by T. Allen (offensive foul),,11-11,,
8:07.0,,,11-11,,Shooting foul by T. Allen (drawn by J. Harden)
8:07.0,,,11-12,1,J. Harden makes free throw 1 of 3
8:07.0,,,11-12,,J. Harden misses free throw 2 of 3
8:07.0,,,11-12,,Offensive rebound by Team
8:07.0,,,11-13,1,J. Harden makes free throw 3 of 3
8:04.0,Memphis full timeout,,11-13,,
8:04.0,,,11-13,,R. Anderson enters the game for E. Gordon
7:42.0,T. Allen makes 2-pt shot from 15 ft (assist by C. Parsons),2,13-13,,
7:23.0,,,13-15,2,T. Ariza makes 2-pt shot from 17 ft
6:58.0,C. Parsons misses 2-pt shot from 18 ft,,13-15,,
6:57.0,,,13-15,,Defensive rebound by M. Harrell
