time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. Z. Pachulia (J. Dudley gains possession),,,,Jump ball: T. Chandler vs. Z. Pachulia (J. Dudley gains possession)
11:47.0,,,0-0,,Turnover by J. Dudley (bad pass)
11:34.0,Z. Pachulia misses 2-pt shot from 3 ft,,0-0,,
11:32.0,Offensive rebound by Z. Pachulia,,0-0,,
11:29.0,K. Durant misses 2-pt shot from 3 ft (block by T. Warren),,0-0,,
11:29.0,Offensive rebound by Team,,0-0,,
11:26.0,S. Curry makes 2-pt shot from 18 ft (assist by Z. Pachulia),2,2-0,,
10:59.0,,,2-3,3,E. Bledsoe makes 3-pt shot from 26 ft
10:51.0,K. Thompson misses 3-pt shot from 24 ft,,2-3,,
10:51.0,,,2-3,,Defensive rebound by T. Chandler
10:30.0,,,2-3,,Shooting foul by K. Thompson (drawn by T. Chandler)
10:30.0,,,2-3,,T. Chandler misses free throw 1 of 2
10:30.0,,,2-3,,Offensive rebound by Team
10:30.0,,,2-4,1,T. Chandler makes free throw 2 of 2
10:14.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,5-4,,
9:57.0,,,5-4,,T. Warren misses 2-pt shot from 21 ft
9:56.0,Defensive rebound by Z. Pachulia,,5-4,,
9:49.0,,,5-4,,Personal foul by E. Bledsoe (drawn by Z. Pachulia)
9:35.0,K. Durant misses 2-pt shot from 3 ft,,5-4,,
9:32.0,Offensive rebound by Z. Pachulia,,5-4,,
9:32.0,Z. Pachulia misses 2-pt shot from 2 ft,,5-4,,
9:31.0,,,5-4,,Defensive rebound by T. Chandler
9:12.0,,,5-4,,T. Warren misses 2-pt shot from 5 ft
9:11.0,,,5-4,,Offensive rebound by T. Warren
9:09.0,,,5-6,2,T. Warren makes 2-pt shot from 4 ft
8:55.0,S. Curry makes 2-pt shot from 7 ft (assist by Z. Pachulia),2,7-6,,
8:40.0,,,7-6,,D. Booker misses 2-pt shot from 23 ft
8:40.0,,,7-6,,Offensive rebound by J. Dudley
8:34.0,,,7-8,2,T. Warren makes 2-pt shot from 19 ft
8:22.0,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,10-8,,
8:16.0,Personal foul by S. Curry (drawn by E. Bledsoe),,10-8,,
7:56.0,,,10-8,,T. Warren misses 2-pt shot from 12 ft (block by K. Durant)
7:54.0,Defensive rebound by K. Durant,,10-8,,
7:48.0,D. Green misses 3-pt shot from 26 ft,,10-8,,
7:48.0,,,10-8,,Defensive rebound by T. Chandler
7:43.0,,,10-8,,T. Warren misses 2-pt shot from 4 ft (block by D. Green)
7:40.0,,,10-8,,Offensive rebound by T. Warren
7:37.0,,,10-8,,T. Warren misses 2-pt shot from 4 ft
7:36.0,Defensive rebound by K. Durant,,10-8,,
7:28.0,K. Durant makes 2-pt shot from 18 ft,2,12-8,,
7:02.0,,,12-8,,J. Dudley misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by Z. Pachulia,,12-8,,
6:45.0,Shooting foul by T. Chandler (drawn by Z. Pachulia),,12-8,,
6:45.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,14-8,,
6:45.0,Z. Pachulia makes free throw 1 of 1,1,15-8,,
6:42.0,,,15-8,,Phoenix full timeout
6:22.0,,,15-8,,D. Booker misses 2-pt shot from 20 ft
6:20.0,Defensive rebound by D. Green,,15-8,,
6:14.0,K. Thompson misses 3-pt shot from 27 ft,,15-8,,
6:13.0,,,15-8,,Defensive rebound by T. Chandler
6:02.0,,,15-11,3,J. Dudley makes 3-pt shot from 26 ft (assist by E. Bledsoe)
5:59.0,Golden State full timeout,,15-11,,
5:59.0,,,15-11,,B. Knight enters the game for D. Booker
5:41.0,K. Thompson misses 2-pt shot from 20 ft,,15-11,,
5:39.0,,,15-11,,Defensive rebound by T. Chandler
5:31.0,,,15-13,2,T. Chandler makes 2-pt shot at rim (assist by T. Warren)
5:21.0,Turnover by S. Curry (lost ball; steal by J. Dudley),,15-13,,
5:18.0,,,15-13,,Turnover by J. Dudley (bad pass)
5:18.0,A. Iguodala enters the game for K. Durant,,15-13,,
5:02.0,K. Thompson misses 2-pt shot from 20 ft,,15-13,,
5:02.0,,,15-13,,Defensive rebound by T. Chandler
4:50.0,,,15-15,2,B. Knight makes 2-pt shot from 1 ft (assist by T. Chandler)
4:38.0,Turnover by Z. Pachulia (bad pass; steal by J. Dudley),,15-15,,
4:32.0,,,15-17,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
4:16.0,Turnover by D. Green (bad pass; steal by T. Warren),,15-17,,
4:11.0,,,15-19,2,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight)
4:11.0,Golden State full timeout,,15-19,,
4:11.0,,,15-19,,P. Tucker enters the game for J. Dudley
4:11.0,I. Clark enters the game for K. Thompson,,15-19,,
4:02.0,S. Curry misses 2-pt shot from 2 ft,,15-19,,
4:02.0,Offensive rebound by D. Green,,15-19,,
4:02.0,Z. Pachulia misses 2-pt shot from 2 ft,,15-19,,
4:01.0,Offensive rebound by Z. Pachulia,,15-19,,
3:56.0,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe),,15-19,,
3:49.0,,,15-22,3,T. Warren makes 3-pt shot from 28 ft (assist by B. Knight)
3:31.0,I. Clark misses 2-pt shot from 8 ft,,15-22,,
3:30.0,Offensive rebound by Z. Pachulia,,15-22,,
3:26.0,S. Curry misses 3-pt shot from 23 ft,,15-22,,
3:24.0,,,15-22,,Defensive rebound by P. Tucker
3:01.0,,,15-22,,Turnover by Team (shot clock)
3:01.0,,,15-22,,A. Len enters the game for T. Chandler
3:01.0,K. Durant enters the game for Z. Pachulia,,15-22,,
2:48.0,,,15-22,,Personal foul by A. Len (drawn by S. Curry)
2:48.0,,,15-22,,L. Barbosa enters the game for E. Bledsoe
2:39.0,A. Iguodala misses 3-pt shot from 26 ft,,15-22,,
2:38.0,,,15-22,,Defensive rebound by P. Tucker
2:30.0,,,15-24,2,L. Barbosa makes 2-pt shot from 1 ft
2:21.0,I. Clark misses 2-pt shot from 2 ft,,15-24,,
2:19.0,,,15-24,,Defensive rebound by A. Len
2:12.0,,,15-24,,B. Knight misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by D. Green,,15-24,,
1:58.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,17-24,,
1:32.0,K. Thompson enters the game for S. Curry,,17-24,,
1:32.0,D. West enters the game for D. Green,,17-24,,
1:29.0,,,17-24,,T. Warren misses 2-pt shot from 17 ft
