time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,J. Butler misses 3-pt shot from 25 ft
12:00.0,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession)
11:37.0,,,0-0,,Offensive rebound by D. Wade
11:37.0,,,0-0,,D. Wade misses 2-pt shot at rim
11:36.0,Defensive rebound by J. Teague,,0-0,,
11:32.0,J. Teague misses 2-pt shot from 10 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by R. Lopez
11:10.0,,,0-0,,T. Gibson misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by T. Young,,0-0,,
11:06.0,Turnover by J. Teague (lost ball; steal by R. Rondo),,0-0,,
11:01.0,,,0-0,,R. Lopez misses 2-pt shot at rim (block by M. Turner)
10:59.0,,,0-0,,Offensive rebound by R. Lopez
10:56.0,,,0-0,,R. Rondo misses 2-pt shot from 3 ft
10:54.0,,,0-0,,Offensive rebound by J. Butler
10:54.0,,,0-2,2,J. Butler makes 2-pt shot from 3 ft
10:38.0,M. Turner makes 2-pt shot from 22 ft (assist by J. Teague),2,2-2,,
10:10.0,,,2-2,,R. Rondo misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by M. Ellis,,2-2,,
10:01.0,P. George misses 2-pt shot from 20 ft,,2-2,,
10:00.0,,,2-2,,Defensive rebound by R. Rondo
9:51.0,,,2-4,2,R. Lopez makes 2-pt shot at rim (assist by R. Rondo)
9:30.0,P. George makes 2-pt shot from 4 ft (assist by T. Young),2,4-4,,
9:13.0,,,4-4,,R. Rondo misses 3-pt shot from 24 ft
9:11.0,,,4-4,,Offensive rebound by J. Butler
8:57.0,,,4-4,,R. Lopez misses 2-pt shot from 3 ft (block by M. Turner)
8:56.0,Defensive rebound by M. Turner,,4-4,,
8:52.0,Turnover by M. Ellis (bad pass),,4-4,,
8:40.0,,,4-6,2,D. Wade makes 2-pt shot from 16 ft
8:34.0,,,4-6,,Personal foul by D. Wade (drawn by M. Turner)
8:25.0,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis),2,6-6,,
8:25.0,Shooting foul by R. Lopez (drawn by M. Turner),,6-6,,
8:25.0,M. Turner makes free throw 1 of 1,1,7-6,,
8:12.0,,,7-8,2,R. Lopez makes 2-pt shot from 7 ft (assist by R. Rondo)
