time,Portland,pts.away,score,pts.home,Golden State
3:19.0,,,18-22,1,K. Durant makes free throw 2 of 2
2:59.0,D. Lillard makes 3-pt shot from 30 ft,3,21-22,,
2:39.0,,,21-22,,Turnover by K. Durant (bad pass; steal by M. Harkless)
2:34.0,A. Aminu misses 2-pt shot from 4 ft (block by K. Durant),,21-22,,
2:33.0,,,21-22,,Defensive rebound by K. Durant
2:19.0,,,21-22,,Turnover by S. Curry (lost ball; steal by A. Crabbe)
2:16.0,Shooting foul by S. Curry (drawn by A. Crabbe),,21-22,,
2:16.0,A. Crabbe misses free throw 1 of 2,,21-22,,
2:16.0,Offensive rebound by Team,,21-22,,
2:16.0,A. Crabbe misses free throw 2 of 2,,21-22,,
2:16.0,S. Napier enters the game for E. Turner,,21-22,,
2:16.0,,,21-22,,D. Green enters the game for K. Durant
2:16.0,M. Leonard enters the game for M. Harkless,,21-22,,
2:15.0,,,21-22,,Defensive rebound by D. Green
2:01.0,,,21-24,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:40.0,A. Crabbe misses 2-pt shot from 2 ft (block by D. Green),,21-24,,
1:37.0,Offensive rebound by M. Leonard,,21-24,,
1:32.0,Shooting foul by A. Iguodala (drawn by D. Lillard),,21-24,,
1:32.0,D. Lillard makes free throw 1 of 3,1,22-24,,
1:32.0,D. Lillard makes free throw 2 of 3,1,23-24,,
1:32.0,D. Lillard makes free throw 3 of 3,1,24-24,,
1:18.0,,,24-26,2,S. Livingston makes 2-pt shot from 15 ft
1:06.0,D. Lillard misses 2-pt shot from 15 ft,,24-26,,
1:05.0,,,24-26,,Defensive rebound by J. McGee
1:00.0,,,24-28,2,S. Curry makes 2-pt shot from 12 ft
0:50.0,,,24-28,,Personal foul by S. Curry (drawn by S. Napier)
0:50.0,S. Napier makes free throw 1 of 2,1,25-28,,
0:50.0,S. Napier misses free throw 2 of 2,,25-28,,
0:50.0,,,25-28,,I. Clark enters the game for S. Curry
0:49.0,,,25-28,,Defensive rebound by D. Green
0:38.0,,,25-31,3,D. Green makes 3-pt shot from 29 ft (assist by S. Livingston)
0:31.0,Shooting foul by J. McGee (drawn by D. Lillard),,25-31,,
0:31.0,D. Lillard makes free throw 1 of 2,1,26-31,,
0:31.0,D. Lillard makes free throw 2 of 2,1,27-31,,
0:31.0,,,26-31,,K. Durant enters the game for J. McGee
0:31.0,E. Turner enters the game for M. Leonard,,26-31,,
0:13.0,,,27-31,,K. Durant misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by A. Aminu,,27-31,,
0:05.0,D. Lillard misses 3-pt shot from 29 ft,,27-31,,
0:03.0,,,27-31,,Defensive rebound by K. Durant
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,C. McCollum makes 2-pt shot from 4 ft,2,29-31,,
11:22.0,,,29-31,,Turnover by D. West (bad pass; steal by S. Napier)
11:13.0,C. McCollum makes 2-pt shot from 2 ft,2,31-31,,
10:56.0,,,31-34,3,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:29.0,Turnover by M. Leonard (3 sec),,31-34,,
10:17.0,,,31-34,,D. West misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by A. Crabbe,,31-34,,
10:08.0,,,31-34,,Personal foul by I. Clark (drawn by S. Napier)
9:58.0,Turnover by A. Aminu (bad pass; steal by A. Iguodala),,31-34,,
9:56.0,,,31-34,,Turnover by A. Iguodala (bad pass)
9:35.0,C. McCollum misses 2-pt shot from 7 ft,,31-34,,
9:34.0,Offensive rebound by M. Leonard,,31-34,,
9:33.0,A. Crabbe makes 3-pt shot from 23 ft (assist by M. Leonard),3,34-34,,
9:17.0,Personal foul by A. Crabbe (drawn by A. Iguodala),,34-34,,
9:07.0,,,34-34,,K. Thompson misses 2-pt shot from 19 ft
9:05.0,,,34-34,,Offensive rebound by Team
9:05.0,Loose ball foul by M. Leonard (drawn by D. West),,34-34,,
8:59.0,Official timeout,,34-34,,
8:49.0,,,34-36,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. West)
8:35.0,C. McCollum misses 2-pt shot from 2 ft (block by K. Thompson),,34-36,,
8:34.0,Offensive rebound by Team,,34-36,,
8:31.0,C. McCollum makes 3-pt shot from 23 ft (assist by A. Crabbe),3,37-36,,
8:17.0,,,37-39,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. West)
7:59.0,C. McCollum makes 2-pt shot from 15 ft,2,39-39,,
7:41.0,,,39-42,3,I. Clark makes 3-pt shot from 26 ft (assist by D. Green)
7:13.0,Turnover by M. Leonard (bad pass; steal by I. Clark),,39-42,,
7:09.0,,,39-44,2,I. Clark makes 2-pt shot from 6 ft
7:09.0,Portland full timeout,,39-44,,
7:09.0,,,39-44,,K. Durant enters the game for D. Green
7:09.0,,,39-44,,S. Livingston enters the game for A. Iguodala
7:09.0,N. Vonleh enters the game for A. Aminu,,39-44,,
7:09.0,M. Harkless enters the game for S. Napier,,39-44,,
7:09.0,E. Turner enters the game for M. Leonard,,39-44,,
6:48.0,C. McCollum makes 2-pt shot from 17 ft,2,41-44,,
6:26.0,D. Lillard enters the game for A. Crabbe,,41-44,,
6:26.0,,,41-44,,S. Curry enters the game for K. Thompson
6:20.0,,,41-44,,S. Curry misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by N. Vonleh,,41-44,,
6:14.0,C. McCollum makes 2-pt shot from 1 ft,2,43-44,,
6:14.0,Shooting foul by K. Durant,,43-44,,
6:14.0,C. McCollum misses free throw 1 of 1,,43-44,,
6:14.0,,,43-44,,A. Iguodala enters the game for I. Clark
6:13.0,,,43-44,,Defensive rebound by D. West
6:00.0,,,43-44,,S. Curry misses 3-pt shot from 25 ft
6:00.0,,,43-44,,Offensive rebound by K. Durant
5:53.0,,,43-44,,K. Durant misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by M. Harkless,,43-44,,
5:44.0,C. McCollum makes 2-pt shot from 13 ft,2,45-44,,
5:36.0,,,45-46,2,K. Durant makes 2-pt shot from 18 ft
5:21.0,Offensive foul by N. Vonleh,,45-46,,
5:21.0,Turnover by N. Vonleh (offensive foul),,45-46,,
5:21.0,,,45-46,,D. Green enters the game for D. West
5:21.0,A. Aminu enters the game for N. Vonleh,,45-46,,
5:09.0,,,45-46,,K. Durant misses 2-pt shot from 10 ft
5:09.0,Defensive rebound by A. Aminu,,45-46,,
4:51.0,D. Lillard makes 2-pt shot from 2 ft,2,47-46,,
4:30.0,,,47-46,,S. Curry misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by E. Turner,,47-46,,
4:21.0,D. Lillard misses 3-pt shot from 26 ft,,47-46,,
4:21.0,,,47-46,,Defensive rebound by D. Green
4:11.0,,,47-49,3,K. Durant makes 3-pt shot from 26 ft (assist by A. Iguodala)
3:52.0,,,47-49,,Personal foul by S. Livingston (drawn by M. Harkless)
3:52.0,A. Crabbe enters the game for C. McCollum,,47-49,,
3:37.0,E. Turner misses 2-pt shot from 19 ft,,47-49,,
3:36.0,,,47-49,,Defensive rebound by D. Green
3:32.0,Personal foul by A. Aminu (drawn by K. Durant),,47-49,,
3:32.0,,,47-49,,K. Thompson enters the game for S. Livingston
3:26.0,Personal foul by A. Aminu (drawn by A. Iguodala),,47-49,,
3:15.0,,,47-51,2,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green)
2:54.0,D. Lillard makes 2-pt shot from 8 ft,2,49-51,,
2:45.0,,,49-51,,Turnover by K. Durant (lost ball; steal by M. Harkless)
2:38.0,M. Harkless makes 2-pt shot from 1 ft,2,51-51,,
2:38.0,,,51-51,,Golden State full timeout
2:38.0,P. Connaughton enters the game for A. Aminu,,51-51,,
2:27.0,Personal foul by D. Lillard (drawn by S. Curry),,51-51,,
2:27.0,,,51-52,1,S. Curry makes free throw 1 of 2
2:27.0,,,51-53,1,S. Curry makes free throw 2 of 2
2:04.0,D. Lillard makes 2-pt shot from 6 ft,2,53-53,,
1:53.0,,,53-55,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
1:41.0,P. Connaughton misses 3-pt shot from 26 ft,,53-55,,
1:41.0,Offensive rebound by Team,,53-55,,
1:41.0,C. McCollum enters the game for A. Crabbe,,53-55,,
1:38.0,Turnover by C. McCollum (bad pass; steal by S. Curry),,53-55,,
1:32.0,,,53-55,,K. Thompson misses 3-pt shot from 27 ft
1:31.0,Defensive rebound by C. McCollum,,53-55,,
1:17.0,D. Lillard makes 3-pt shot from 30 ft,3,56-55,,
0:58.0,,,56-55,,K. Thompson misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by E. Turner,,56-55,,
0:35.0,P. Connaughton misses 3-pt shot from 23 ft,,56-55,,
0:30.0,,,56-55,,Defensive rebound by D. Green
0:24.0,,,56-55,,Shooting foul by M. Harkless (drawn by D. Green)
0:24.0,,,56-56,1,D. Green makes free throw 1 of 2
0:24.0,,,56-56,,D. Green misses free throw 2 of 2
0:24.0,N. Vonleh enters the game for P. Connaughton,,56-56,,
0:24.0,,,56-56,,S. Livingston enters the game for S. Curry
0:23.0,Defensive rebound by E. Turner,,56-56,,
0:23.0,Portland full timeout,,56-56,,
0:23.0,,,56-56,,P. McCaw enters the game for K. Thompson
0:23.0,A. Crabbe enters the game for M. Harkless,,56-56,,
0:23.0,P. Connaughton enters the game for N. Vonleh,,56-56,,
0:05.0,,,56-56,,Personal take foul by D. Green (drawn by D. Lillard)
0:01.0,Turnover by D. Lillard (lost ball; steal by D. Green),,56-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,C. McCollum misses 2-pt shot from 8 ft,,56-56,,
11:46.0,Offensive rebound by C. McCollum,,56-56,,
11:44.0,C. McCollum makes 2-pt shot from 6 ft,2,58-56,,
11:28.0,,,58-58,2,K. Durant makes 2-pt shot from 15 ft (assist by S. Curry)
11:05.0,D. Lillard misses 3-pt shot from 26 ft,,58-58,,
11:05.0,,,58-58,,Defensive rebound by D. Green
10:50.0,,,58-60,2,S. Curry makes 2-pt shot from 2 ft
10:45.0,,,58-60,,Personal foul by K. Durant
10:37.0,C. McCollum misses 2-pt shot from 2 ft (block by S. Curry),,58-60,,
10:37.0,Offensive rebound by Team,,58-60,,
10:25.0,E. Turner makes 3-pt shot from 26 ft (assist by N. Vonleh),3,61-60,,
10:09.0,,,61-62,2,D. Green makes 2-pt shot from 3 ft (assist by K. Durant)
9:53.0,M. Harkless makes 3-pt shot from 26 ft (assist by N. Vonleh),3,64-62,,
9:35.0,,,64-64,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
9:24.0,C. McCollum misses 2-pt shot from 19 ft,,64-64,,
9:24.0,,,64-64,,Defensive rebound by D. Green
9:17.0,,,64-64,,K. Durant misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by N. Vonleh,,64-64,,
9:03.0,M. Harkless makes 2-pt shot at rim (assist by N. Vonleh),2,66-64,,
8:50.0,,,66-67,3,S. Curry makes 3-pt shot from 25 ft
8:31.0,N. Vonleh makes 2-pt shot from 12 ft (assist by E. Turner),2,68-67,,
8:17.0,,,68-69,2,S. Curry makes 2-pt shot from 1 ft (assist by Z. Pachulia)
8:00.0,M. Harkless misses 3-pt shot from 26 ft,,68-69,,
8:00.0,,,68-69,,Defensive rebound by K. Thompson
7:57.0,Personal foul by M. Harkless (drawn by Z. Pachulia),,68-69,,
7:55.0,,,68-69,,Offensive foul by D. Green
7:55.0,,,68-69,,Turnover by D. Green (offensive foul)
7:42.0,C. McCollum makes 2-pt shot from 16 ft (assist by N. Vonleh),2,70-69,,
7:21.0,,,70-71,2,S. Curry makes 2-pt shot from 5 ft (assist by D. Green)
7:07.0,D. Lillard makes 2-pt shot from 5 ft,2,72-71,,
6:55.0,,,72-71,,Z. Pachulia misses 2-pt shot from 13 ft
6:54.0,,,72-71,,Offensive rebound by K. Thompson
6:36.0,,,72-73,2,K. Thompson makes 2-pt shot from 9 ft
6:22.0,Offensive foul by C. McCollum,,72-73,,
6:22.0,Turnover by C. McCollum (offensive foul),,72-73,,
6:15.0,,,72-73,,Offensive foul by Z. Pachulia
6:15.0,,,72-73,,Turnover by Z. Pachulia (offensive foul)
6:01.0,D. Lillard misses 3-pt shot from 25 ft,,72-73,,
5:58.0,,,72-73,,Defensive rebound by S. Curry
5:52.0,,,72-73,,Turnover by K. Thompson (bad pass; steal by D. Lillard)
5:48.0,N. Vonleh misses 2-pt shot from 2 ft (block by D. Green),,72-73,,
5:47.0,,,72-73,,Defensive rebound by S. Curry
5:40.0,,,72-73,,K. Thompson misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by E. Turner,,72-73,,
5:33.0,M. Harkless makes 2-pt shot at rim (assist by E. Turner),2,74-73,,
5:33.0,,,74-73,,Golden State full timeout
5:33.0,,,74-73,,J. McGee enters the game for D. Green
5:33.0,,,74-73,,A. Iguodala enters the game for Z. Pachulia
5:18.0,,,74-73,,K. Thompson misses 2-pt shot from 18 ft
5:18.0,Defensive rebound by E. Turner,,74-73,,
5:11.0,C. McCollum misses 3-pt shot from 24 ft,,74-73,,
5:11.0,,,74-73,,Defensive rebound by K. Durant
5:05.0,,,74-75,2,J. McGee makes 2-pt shot at rim (assist by A. Iguodala)
4:39.0,E. Turner makes 3-pt shot from 23 ft (assist by C. McCollum),3,77-75,,
4:19.0,,,77-77,2,K. Thompson makes 2-pt shot from 2 ft
4:01.0,C. McCollum misses 2-pt shot from 13 ft,,77-77,,
4:01.0,,,77-77,,Defensive rebound by K. Durant
3:55.0,,,77-77,,K. Durant misses 3-pt shot from 27 ft
3:54.0,Defensive rebound by D. Lillard,,77-77,,
3:43.0,D. Lillard misses 2-pt shot from 3 ft (block by J. McGee),,77-77,,
3:42.0,,,77-77,,Defensive rebound by A. Iguodala
3:35.0,,,77-77,,K. Thompson misses 3-pt shot from 27 ft
3:35.0,,,77-77,,Offensive rebound by J. McGee
3:30.0,,,77-80,3,S. Curry makes 3-pt shot from 24 ft (assist by J. McGee)
3:30.0,Portland full timeout,,77-80,,
3:30.0,,,77-80,,S. Livingston enters the game for K. Thompson
3:30.0,A. Aminu enters the game for N. Vonleh,,77-80,,
3:30.0,A. Crabbe enters the game for C. McCollum,,77-80,,
3:14.0,M. Harkless misses 2-pt shot from 3 ft (block by J. McGee),,77-80,,
3:13.0,,,77-80,,Defensive rebound by A. Iguodala
3:08.0,,,77-82,2,K. Durant makes 2-pt shot from 6 ft (assist by S. Curry)
3:08.0,,,77-82,,Shooting foul by E. Turner (drawn by K. Durant)
3:08.0,,,77-83,1,K. Durant makes free throw 1 of 1
2:54.0,D. Lillard misses 2-pt shot from 16 ft,,77-83,,
2:53.0,,,77-83,,Defensive rebound by S. Livingston
2:33.0,,,77-83,,S. Curry misses 2-pt shot from 1 ft
2:32.0,,,77-83,,Offensive rebound by J. McGee
2:32.0,,,77-83,,J. McGee misses 2-pt shot from 2 ft
2:29.0,,,77-83,,Offensive rebound by S. Curry
2:24.0,,,77-83,,Shooting foul by E. Turner (drawn by S. Curry)
2:24.0,,,77-84,1,S. Curry makes free throw 1 of 2
2:24.0,,,77-85,1,S. Curry makes free throw 2 of 2
2:24.0,C. McCollum enters the game for E. Turner,,77-84,,
2:11.0,,,77-85,,Def 3 sec tech foul by K. Durant
2:11.0,C. McCollum makes technical free throw,1,78-85,,
2:01.0,D. Lillard makes 2-pt shot from 1 ft,2,80-85,,
1:45.0,,,80-87,2,K. Durant makes 2-pt shot from 20 ft
1:23.0,A. Aminu misses 2-pt shot from 7 ft,,80-87,,
1:23.0,Offensive rebound by Team,,80-87,,
1:23.0,N. Vonleh enters the game for M. Harkless,,80-87,,
1:18.0,,,80-87,,Personal foul by S. Livingston (drawn by D. Lillard)
1:11.0,D. Lillard makes 3-pt shot from 27 ft,3,83-87,,
0:53.0,,,83-87,,Shooting foul by N. Vonleh (drawn by K. Durant)
0:53.0,,,83-87,,K. Durant misses free throw 1 of 2
0:53.0,,,83-87,,Offensive rebound by Team
0:53.0,,,83-88,1,K. Durant makes free throw 2 of 2
0:53.0,,,83-87,,D. Green enters the game for J. McGee
0:40.0,D. Lillard misses 3-pt shot from 29 ft,,83-88,,
0:39.0,,,83-88,,Defensive rebound by Team
0:30.0,,,83-88,,S. Curry misses 3-pt shot from 29 ft
0:30.0,Defensive rebound by C. McCollum,,83-88,,
0:11.0,C. McCollum makes 2-pt shot from 19 ft,2,85-88,,
0:04.0,,,85-88,,Offensive charge foul by S. Curry
0:04.0,,,85-88,,Turnover by S. Curry (offensive foul)
0:04.0,P. Connaughton enters the game for N. Vonleh,,85-88,,
0:04.0,,,85-88,,I. Clark enters the game for S. Curry
0:04.0,,,85-88,,J. McAdoo enters the game for K. Durant
0:04.0,S. Napier enters the game for A. Aminu,,85-88,,
0:01.0,P. Connaughton makes 2-pt shot from 13 ft (assist by D. Lillard),2,87-88,,
0:01.0,Shooting foul by I. Clark (drawn by P. Connaughton),,87-88,,
0:01.0,P. Connaughton makes free throw 1 of 1,1,88-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,88-91,3,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson)
11:22.0,Turnover by C. McCollum (lost ball; steal by K. Thompson),,88-91,,
