time,Miami,pts.away,score,pts.home,Oklahoma City
4:21.0,,,71-90,,Shooting foul by J. Johnson (drawn by A. Roberson)
4:21.0,,,71-91,1,A. Roberson makes free throw 1 of 2
4:21.0,,,71-91,,A. Roberson misses free throw 2 of 2
4:20.0,Defensive rebound by H. Whiteside,,71-91,,
4:06.0,J. Johnson makes 2-pt shot from 2 ft,2,73-91,,
3:49.0,,,73-93,2,V. Oladipo makes 2-pt shot from 10 ft
3:32.0,J. Richardson makes 2-pt shot from 1 ft (assist by R. McGruder),2,75-93,,
3:15.0,,,75-93,,V. Oladipo misses 2-pt shot from 7 ft
3:15.0,Defensive rebound by H. Whiteside,,75-93,,
3:11.0,Shooting foul by S. Adams (drawn by J. Johnson),,75-93,,
3:11.0,J. Johnson makes free throw 1 of 2,1,76-93,,
3:11.0,J. Johnson makes free throw 2 of 2,1,77-93,,
3:11.0,,,76-93,,E. Kanter enters the game for S. Adams
3:11.0,D. Williams enters the game for J. Richardson,,76-93,,
3:11.0,W. Reed enters the game for H. Whiteside,,76-93,,
2:57.0,,,77-95,2,E. Kanter makes 2-pt shot from 12 ft (assist by S. Christon)
2:43.0,W. Reed makes 2-pt shot from 2 ft (assist by D. Waiters),2,79-95,,
2:30.0,,,79-95,,A. Roberson misses 2-pt shot from 3 ft
2:30.0,Defensive rebound by D. Williams,,79-95,,
2:21.0,R. McGruder makes 3-pt shot from 23 ft (assist by J. Johnson),3,82-95,,
2:21.0,,,82-95,,Oklahoma City full timeout
2:21.0,,,82-95,,A. Abrines enters the game for A. Roberson
1:59.0,,,82-95,,A. Abrines misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by R. McGruder,,82-95,,
1:57.0,,,82-95,,Personal foul by V. Oladipo (drawn by R. McGruder)
1:57.0,R. McGruder misses free throw 1 of 2,,82-95,,
1:57.0,Offensive rebound by Team,,82-95,,
1:57.0,R. McGruder makes free throw 2 of 2,1,83-95,,
1:45.0,,,83-97,2,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon)
1:31.0,D. Waiters misses 2-pt shot from 20 ft,,83-97,,
1:30.0,,,83-97,,Defensive rebound by E. Kanter
1:06.0,,,83-97,,D. Sabonis misses 2-pt shot from 7 ft
1:06.0,,,83-97,,Offensive rebound by Team
1:06.0,,,83-97,,Turnover by Team (shot clock)
0:47.0,Shooting foul by D. Sabonis (drawn by J. Johnson),,83-97,,
0:47.0,J. Johnson makes free throw 1 of 2,1,84-97,,
0:47.0,J. Johnson makes free throw 2 of 2,1,85-97,,
0:24.0,,,85-97,,A. Abrines misses 3-pt shot from 28 ft
0:23.0,Defensive rebound by W. Reed,,85-97,,
0:14.0,D. Waiters misses 3-pt shot from 25 ft,,85-97,,
0:13.0,,,85-97,,Defensive rebound by D. Sabonis
0:00.0,End of 4th quarter,,,,End of 4th quarter
