time,Miami,pts.away,score,pts.home,Oklahoma City
1:52.0,J. Winslow makes 2-pt shot from 1 ft,2,23-34,,
1:33.0,,,23-36,2,E. Kanter makes 2-pt shot from 2 ft (assist by S. Christon)
1:16.0,J. Winslow makes 2-pt shot from 2 ft,2,25-36,,
1:03.0,,,25-36,,J. Grant misses 3-pt shot from 23 ft
1:03.0,,,25-36,,Offensive rebound by A. Abrines
0:55.0,,,25-36,,S. Christon misses 2-pt shot from 10 ft
0:55.0,,,25-36,,Offensive rebound by Team
0:55.0,Loose ball foul by J. Johnson (drawn by E. Kanter),,25-36,,
0:40.0,,,25-36,,J. Lauvergne misses 3-pt shot from 22 ft
0:40.0,,,25-36,,Offensive rebound by S. Christon
0:35.0,,,25-36,,A. Abrines misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by J. Johnson,,25-36,,
0:30.0,J. Johnson makes 2-pt shot from 5 ft,2,27-36,,
0:30.0,Shooting foul by J. Lauvergne (drawn by J. Johnson),,27-36,,
0:30.0,J. Johnson makes free throw 1 of 1,1,28-36,,
0:07.0,,,28-36,,Shooting foul by J. Johnson (drawn by J. Grant)
0:07.0,,,28-37,1,J. Grant makes free throw 1 of 2
0:07.0,,,28-37,,J. Grant misses free throw 2 of 2
0:07.0,,,28-37,,Offensive rebound by E. Kanter
0:07.0,,,28-39,2,E. Kanter makes 2-pt shot from 2 ft
0:02.0,J. Winslow misses 2-pt shot from 1 ft,,28-39,,
0:00.0,Offensive rebound by J. Richardson,,28-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Johnson makes 3-pt shot from 25 ft (assist by T. Johnson),3,31-39,,
11:24.0,,,31-39,,J. Grant misses 2-pt shot from 3 ft (block by J. Johnson)
11:22.0,Defensive rebound by J. Richardson,,31-39,,
11:17.0,J. Richardson makes 3-pt shot from 25 ft,3,34-39,,
11:02.0,Personal foul by J. Johnson (drawn by E. Kanter),,34-39,,
11:02.0,,,34-39,,S. Adams enters the game for E. Kanter
11:02.0,L. Babbitt enters the game for J. Johnson,,34-39,,
11:02.0,,,34-39,,V. Oladipo enters the game for A. Abrines
10:50.0,,,34-39,,Shooting foul by W. Reed (drawn by V. Oladipo)
10:50.0,,,34-40,1,V. Oladipo makes free throw 1 of 2
10:50.0,,,34-41,1,V. Oladipo makes free throw 2 of 2
10:50.0,H. Whiteside enters the game for W. Reed,,34-40,,
10:30.0,T. Johnson makes 2-pt shot from 7 ft,2,36-41,,
10:11.0,,,36-44,3,J. Grant makes 3-pt shot from 23 ft (assist by V. Oladipo)
9:52.0,Shooting foul by S. Adams (drawn by H. Whiteside),,36-44,,
9:52.0,H. Whiteside makes free throw 1 of 2,1,37-44,,
9:52.0,H. Whiteside misses free throw 2 of 2,,37-44,,
9:52.0,,,37-44,,D. Sabonis enters the game for J. Lauvergne
9:51.0,,,37-44,,Defensive rebound by D. Sabonis
9:31.0,,,37-47,3,V. Oladipo makes 3-pt shot from 24 ft (assist by S. Christon)
9:15.0,H. Whiteside misses 2-pt shot at rim,,37-47,,
9:14.0,Offensive rebound by J. Richardson,,37-47,,
9:06.0,T. Johnson misses 2-pt shot from 14 ft,,37-47,,
9:04.0,,,37-47,,Defensive rebound by S. Christon
8:55.0,,,37-47,,D. Sabonis misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by J. Winslow,,37-47,,
8:46.0,T. Johnson misses 2-pt shot from 3 ft,,37-47,,
8:45.0,Offensive rebound by H. Whiteside,,37-47,,
8:44.0,H. Whiteside misses 2-pt shot from 3 ft,,37-47,,
8:41.0,Offensive rebound by T. Johnson,,37-47,,
8:41.0,T. Johnson makes 2-pt shot from 1 ft,2,39-47,,
8:28.0,,,39-47,,Turnover by V. Oladipo (lost ball)
8:28.0,Official timeout,,39-47,,
8:28.0,,,39-47,,R. Westbrook enters the game for J. Grant
8:28.0,,,39-47,,A. Roberson enters the game for S. Christon
8:04.0,J. Richardson misses 2-pt shot from 16 ft,,39-47,,
8:04.0,,,39-47,,Defensive rebound by A. Roberson
7:45.0,,,39-47,,Shooting foul by J. Richardson (drawn by D. Sabonis)
7:45.0,,,39-48,1,D. Sabonis makes free throw 1 of 2
7:45.0,,,39-48,,D. Sabonis misses free throw 2 of 2
7:45.0,Defensive rebound by T. Johnson,,39-48,,
7:27.0,J. Richardson misses 3-pt shot from 22 ft,,39-48,,
7:27.0,Offensive rebound by L. Babbitt,,39-48,,
7:23.0,,,39-48,,Personal foul by R. Westbrook (drawn by L. Babbitt)
7:23.0,D. Waiters enters the game for J. Winslow,,39-48,,
7:23.0,G. Dragic enters the game for J. Richardson,,39-48,,
7:13.0,Turnover by T. Johnson (bad pass),,39-48,,
7:03.0,Personal foul by T. Johnson (drawn by R. Westbrook),,39-48,,
6:56.0,,,39-50,2,R. Westbrook makes 2-pt shot from 1 ft
6:55.0,Miami full timeout,,39-50,,
6:44.0,H. Whiteside misses 2-pt shot from 16 ft,,39-50,,
6:43.0,,,39-50,,Defensive rebound by R. Westbrook
6:30.0,,,39-52,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
6:14.0,D. Waiters misses 2-pt shot from 2 ft,,39-52,,
6:14.0,,,39-52,,Defensive rebound by D. Sabonis
6:04.0,,,39-52,,R. Westbrook misses 3-pt shot from 24 ft
6:03.0,,,39-52,,Offensive rebound by Team
5:49.0,,,39-52,,D. Sabonis misses 2-pt shot from 21 ft
5:49.0,Defensive rebound by H. Whiteside,,39-52,,
5:42.0,D. Waiters misses 2-pt shot from 1 ft,,39-52,,
5:42.0,,,39-52,,Defensive rebound by S. Adams
5:36.0,,,39-52,,R. Westbrook misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by D. Waiters,,39-52,,
5:21.0,G. Dragic misses 2-pt shot from 21 ft,,39-52,,
5:21.0,,,39-52,,Defensive rebound by A. Roberson
5:18.0,,,39-52,,Turnover by R. Westbrook (bad pass; steal by T. Johnson)
5:12.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Waiters),2,41-52,,
4:58.0,,,41-52,,Turnover by R. Westbrook (bad pass; steal by D. Waiters)
4:45.0,Turnover by D. Waiters (bad pass; steal by S. Adams),,41-52,,
4:43.0,,,41-52,,Oklahoma City full timeout
4:43.0,J. Winslow enters the game for T. Johnson,,41-52,,
4:29.0,,,41-52,,R. Westbrook misses 2-pt shot from 10 ft
4:29.0,Defensive rebound by H. Whiteside,,41-52,,
4:10.0,H. Whiteside misses 2-pt shot from 4 ft,,41-52,,
4:10.0,,,41-52,,Defensive rebound by S. Adams
4:02.0,,,41-55,3,D. Sabonis makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:42.0,G. Dragic misses 2-pt shot from 1 ft,,41-55,,
3:42.0,,,41-55,,Defensive rebound by S. Adams
3:30.0,,,41-55,,Turnover by R. Westbrook (discontinued dribble)
3:30.0,,,41-55,,Violation by Team (jump ball)
3:10.0,J. Winslow misses 2-pt shot from 1 ft,,41-55,,
3:07.0,Offensive rebound by J. Winslow,,41-55,,
3:07.0,J. Richardson enters the game for D. Waiters,,41-55,,
3:07.0,Jump ball: V. Oladipo vs. J. Winslow (J. Richardson gains possession),,,,Jump ball: V. Oladipo vs. J. Winslow (J. Richardson gains possession)
2:43.0,J. Winslow misses 3-pt shot from 23 ft,,41-55,,
2:42.0,,,41-55,,Defensive rebound by V. Oladipo
2:35.0,,,41-55,,V. Oladipo misses 2-pt shot from 1 ft
2:33.0,,,41-55,,Offensive rebound by R. Westbrook
2:30.0,,,41-55,,R. Westbrook misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by H. Whiteside,,41-55,,
2:11.0,Shooting foul by D. Sabonis (drawn by L. Babbitt),,41-55,,
2:11.0,L. Babbitt makes free throw 1 of 2,1,42-55,,
2:11.0,L. Babbitt makes free throw 2 of 2,1,43-55,,
2:01.0,,,43-55,,R. Westbrook misses 2-pt shot from 1 ft (block by H. Whiteside)
2:01.0,,,43-55,,Offensive rebound by Team
1:50.0,,,43-55,,D. Sabonis misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by H. Whiteside,,43-55,,
1:41.0,L. Babbitt makes 2-pt shot from 21 ft (assist by G. Dragic),2,45-55,,
1:19.0,,,45-55,,R. Westbrook misses 2-pt shot from 14 ft
1:19.0,Defensive rebound by H. Whiteside,,45-55,,
1:10.0,G. Dragic makes 2-pt shot from 1 ft,2,47-55,,
0:43.0,,,47-55,,R. Westbrook misses 3-pt shot from 27 ft
0:43.0,,,47-55,,Offensive rebound by Team
0:43.0,,,47-55,,Turnover by Team (shot clock)
0:19.0,G. Dragic misses 2-pt shot from 15 ft,,47-55,,
0:18.0,,,47-55,,Defensive rebound by D. Sabonis
0:02.0,,,47-55,,R. Westbrook misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by H. Whiteside,,47-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters),2,49-55,,
11:29.0,,,49-55,,Turnover by D. Sabonis (traveling)
11:12.0,D. Waiters misses 2-pt shot from 17 ft,,49-55,,
11:11.0,Offensive rebound by Team,,49-55,,
11:11.0,,,49-55,,Loose ball foul by D. Sabonis (drawn by H. Whiteside)
10:52.0,L. Babbitt misses 3-pt shot from 24 ft,,49-55,,
10:52.0,,,49-55,,Defensive rebound by Team
10:52.0,Loose ball foul by H. Whiteside (drawn by S. Adams),,49-55,,
10:43.0,,,49-55,,S. Adams misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by L. Babbitt,,49-55,,
10:30.0,G. Dragic makes 2-pt shot from 1 ft,2,51-55,,
10:19.0,,,51-57,2,R. Westbrook makes 2-pt shot from 13 ft
10:19.0,,,51-57,,Shooting foul by J. Winslow (drawn by R. Westbrook)
10:19.0,,,51-58,1,R. Westbrook makes free throw 1 of 1
10:06.0,H. Whiteside misses 2-pt shot from 6 ft,,51-58,,
10:05.0,,,51-58,,Defensive rebound by R. Westbrook
9:56.0,,,51-58,,S. Adams misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by H. Whiteside,,51-58,,
9:47.0,L. Babbitt misses 3-pt shot from 25 ft,,51-58,,
9:47.0,,,51-58,,Defensive rebound by D. Sabonis
9:40.0,,,51-60,2,R. Westbrook makes 2-pt shot from 13 ft
9:15.0,G. Dragic misses 2-pt shot from 2 ft,,51-60,,
9:14.0,,,51-60,,Defensive rebound by D. Sabonis
8:56.0,,,51-63,3,R. Westbrook makes 3-pt shot from 23 ft (assist by V. Oladipo)
8:56.0,Miami full timeout,,51-63,,
8:33.0,J. Winslow misses 2-pt shot from 5 ft,,51-63,,
8:33.0,,,51-63,,Defensive rebound by D. Sabonis
8:19.0,,,51-66,3,D. Sabonis makes 3-pt shot from 22 ft (assist by R. Westbrook)
8:01.0,Turnover by H. Whiteside (lost ball; steal by S. Adams),,51-66,,
7:59.0,Personal foul by G. Dragic (drawn by R. Westbrook),,51-66,,
7:46.0,,,51-66,,R. Westbrook misses 3-pt shot from 25 ft
7:46.0,,,51-66,,Offensive rebound by A. Roberson
7:43.0,,,51-66,,A. Roberson misses 2-pt shot from 3 ft (block by H. Whiteside)
7:43.0,,,51-66,,Offensive rebound by Team
7:36.0,,,51-68,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
7:12.0,J. Winslow misses 2-pt shot from 23 ft,,51-68,,
7:11.0,Offensive rebound by Team,,51-68,,
7:11.0,T. Johnson enters the game for J. Winslow,,51-68,,
7:02.0,D. Waiters misses 2-pt shot from 9 ft (block by S. Adams),,51-68,,
7:00.0,Offensive rebound by L. Babbitt,,51-68,,
6:50.0,Turnover by L. Babbitt (bad pass),,51-68,,
6:39.0,,,51-71,3,D. Sabonis makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:19.0,,,51-71,,J. Lauvergne enters the game for D. Sabonis
6:19.0,J. Johnson enters the game for L. Babbitt,,51-71,,
6:09.0,J. Johnson misses 3-pt shot from 25 ft,,51-71,,
6:05.0,,,51-71,,Defensive rebound by V. Oladipo
5:55.0,,,51-71,,R. Westbrook misses 2-pt shot from 15 ft
5:55.0,Defensive rebound by G. Dragic,,51-71,,
5:52.0,Turnover by J. Johnson (bad pass),,51-71,,
5:52.0,,,51-71,,E. Kanter enters the game for J. Lauvergne
5:52.0,J. Richardson enters the game for D. Waiters,,51-71,,
5:42.0,,,51-73,2,V. Oladipo makes 2-pt shot from 18 ft (assist by R. Westbrook)
5:31.0,Turnover by J. Johnson (bad pass; steal by A. Roberson),,51-73,,
5:26.0,,,51-73,,E. Kanter misses 2-pt shot from 1 ft (block by T. Johnson)
5:25.0,Defensive rebound by J. Johnson,,51-73,,
5:12.0,G. Dragic misses 3-pt shot from 24 ft,,51-73,,
5:12.0,,,51-73,,Defensive rebound by R. Westbrook
5:07.0,,,51-75,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:07.0,Miami full timeout,,51-75,,
5:07.0,W. Reed enters the game for H. Whiteside,,51-75,,
4:50.0,J. Johnson misses 2-pt shot from 1 ft,,51-75,,
4:49.0,,,51-75,,Defensive rebound by A. Roberson
4:42.0,,,51-75,,R. Westbrook misses 2-pt shot from 3 ft (block by W. Reed)
4:41.0,Defensive rebound by T. Johnson,,51-75,,
4:38.0,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,53-75,,
