time,Detroit,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (M. Conley gains possession)
11:44.0,,,0-2,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
11:21.0,T. Harris misses 3-pt shot from 23 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Green
11:08.0,,,0-4,2,T. Allen makes 2-pt shot from 4 ft
10:47.0,I. Smith misses 2-pt shot from 16 ft,,0-4,,
10:44.0,Offensive rebound by A. Drummond,,0-4,,
10:35.0,J. Leuer misses 2-pt shot from 13 ft,,0-4,,
10:34.0,Offensive rebound by Team,,0-4,,
10:27.0,J. Leuer makes 2-pt shot from 17 ft (assist by I. Smith),2,2-4,,
10:00.0,,,2-6,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
9:45.0,T. Harris makes 2-pt shot from 14 ft,2,4-6,,
9:34.0,,,4-6,,Turnover by J. Green (bad pass; steal by A. Drummond)
9:27.0,I. Smith makes 2-pt shot from 15 ft (assist by A. Drummond),2,6-6,,
9:01.0,,,6-6,,J. Green misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by A. Drummond,,6-6,,
8:53.0,I. Smith makes 2-pt shot from 2 ft,2,8-6,,
8:39.0,,,8-6,,T. Allen misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by R. Bullock,,8-6,,
8:25.0,A. Drummond makes 2-pt shot from 7 ft,2,10-6,,
8:07.0,,,10-6,,M. Gasol misses 2-pt shot from 19 ft
8:04.0,,,10-6,,Offensive rebound by J. Green
8:00.0,,,10-9,3,V. Carter makes 3-pt shot from 28 ft (assist by J. Green)
7:42.0,R. Bullock makes 3-pt shot from 25 ft (assist by T. Harris),3,13-9,,
7:23.0,,,13-11,2,M. Conley makes 2-pt shot from 8 ft (assist by M. Gasol)
7:08.0,J. Leuer makes 3-pt shot from 23 ft (assist by I. Smith),3,16-11,,
