time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,R. Jackson misses 2-pt shot from 19 ft
12:00.0,Jump ball: A. Drummond vs. J. Okafor (T. Harris gains possession),,,,Jump ball: A. Drummond vs. J. Okafor (T. Harris gains possession)
11:41.0,Defensive rebound by J. Okafor,,0-0,,
11:20.0,G. Henderson misses 3-pt shot from 23 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Harris
11:08.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by J. Okafor,,0-0,,
10:58.0,J. Okafor makes 2-pt shot from 6 ft (assist by G. Henderson),2,2-0,,
10:34.0,,,2-2,2,R. Jackson makes 2-pt shot from 1 ft
10:22.0,Turnover by E. Ilyasova (bad pass; steal by A. Drummond),,2-2,,
10:17.0,,,2-2,,Offensive charge foul by T. Harris
10:17.0,,,2-2,,Turnover by T. Harris (offensive foul)
10:06.0,Turnover by J. Okafor (bad pass; steal by A. Drummond),,2-2,,
9:58.0,,,2-2,,T. Harris misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by E. Ilyasova,,2-2,,
9:40.0,J. Okafor makes 2-pt shot at rim (assist by G. Henderson),2,4-2,,
9:30.0,,,4-4,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
9:30.0,,,4-4,,Shooting foul by J. Okafor (drawn by A. Drummond)
9:30.0,,,4-4,,A. Drummond misses free throw 1 of 1
9:29.0,Defensive rebound by J. Okafor,,4-4,,
9:17.0,,,4-4,,Personal foul by A. Drummond (drawn by J. Okafor)
9:07.0,E. Ilyasova misses 3-pt shot from 26 ft,,4-4,,
9:07.0,,,4-4,,Defensive rebound by A. Drummond
8:56.0,,,4-4,,M. Morris misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by T. McConnell,,4-4,,
8:43.0,G. Henderson makes 2-pt shot from 1 ft (assist by T. McConnell),2,6-4,,
8:29.0,,,6-4,,D. Hilliard misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by E. Ilyasova,,6-4,,
8:18.0,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell),3,9-4,,
8:02.0,,,9-4,,Turnover by D. Hilliard (bad pass; steal by T. McConnell)
7:57.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell),2,11-4,,
7:47.0,,,11-4,,Detroit full timeout
7:39.0,,,11-4,,Turnover by D. Hilliard (bad pass)
7:19.0,J. Okafor makes 2-pt shot from 1 ft,2,13-4,,
6:58.0,,,13-4,,M. Morris misses 2-pt shot from 12 ft
6:55.0,Defensive rebound by E. Ilyasova,,13-4,,
6:44.0,G. Henderson makes 2-pt shot from 14 ft,2,15-4,,
6:24.0,,,15-4,,R. Jackson misses 2-pt shot from 8 ft
6:24.0,Defensive rebound by E. Ilyasova,,15-4,,
6:17.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. McConnell),3,18-4,,
5:55.0,,,18-4,,D. Hilliard misses 2-pt shot from 9 ft
5:55.0,Defensive rebound by T. McConnell,,18-4,,
5:35.0,E. Ilyasova misses 3-pt shot from 25 ft,,18-4,,
5:35.0,,,18-4,,Defensive rebound by A. Drummond
5:23.0,,,18-4,,D. Hilliard misses 2-pt shot from 21 ft
5:22.0,,,18-4,,Offensive rebound by M. Morris
5:19.0,,,18-6,2,M. Morris makes 2-pt shot at rim
5:06.0,T. McConnell misses 2-pt shot from 7 ft,,18-6,,
5:03.0,,,18-6,,Defensive rebound by M. Morris
4:58.0,,,18-8,2,M. Morris makes 2-pt shot at rim
4:57.0,Philadelphia full timeout,,18-8,,
4:57.0,,,18-8,,J. Leuer enters the game for M. Morris
4:57.0,,,18-8,,I. Smith enters the game for D. Hilliard
4:57.0,,,18-8,,S. Johnson enters the game for R. Jackson
4:57.0,N. Stauskas enters the game for E. Ilyasova,,18-8,,
4:57.0,D. Saric enters the game for J. Okafor,,18-8,,
4:57.0,N. Noel enters the game for G. Henderson,,18-8,,
4:40.0,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric),3,21-8,,
4:27.0,,,21-8,,T. Harris misses 2-pt shot from 1 ft
4:27.0,,,21-8,,Offensive rebound by Team
4:27.0,Loose ball foul by N. Noel (drawn by A. Drummond),,21-8,,
4:11.0,,,21-8,,Turnover by I. Smith (lost ball; steal by R. Covington)
3:53.0,N. Noel misses 2-pt shot from 6 ft,,21-8,,
3:53.0,,,21-8,,Defensive rebound by A. Drummond
3:30.0,,,21-8,,T. Harris misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by T. McConnell,,21-8,,
3:06.0,D. Saric makes 2-pt shot from 5 ft,2,23-8,,
2:49.0,,,23-10,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer)
2:31.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Stauskas),2,25-10,,
2:15.0,,,25-10,,Turnover by A. Drummond (3 sec)
2:15.0,H. Thompson enters the game for R. Covington,,25-10,,
