time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. M. Gasol (T. Parker gains possession),,,,Jump ball: L. Aldridge vs. M. Gasol (T. Parker gains possession)
11:35.0,L. Aldridge misses 2-pt shot from 12 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Ennis
11:14.0,,,0-2,2,M. Gasol makes 2-pt shot from 5 ft
10:58.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,2-2,,
10:35.0,,,2-2,,M. Conley misses 2-pt shot from 15 ft
10:35.0,,,2-2,,Offensive rebound by Team
10:35.0,Loose ball foul by K. Leonard (drawn by Z. Randolph),,2-2,,
10:29.0,,,2-2,,Turnover by Z. Randolph (lost ball)
10:13.0,T. Parker makes 2-pt shot from 17 ft,2,4-2,,
9:56.0,,,4-2,,V. Carter misses 3-pt shot from 26 ft
9:55.0,,,4-2,,Offensive rebound by Z. Randolph
9:52.0,,,4-2,,Z. Randolph misses 2-pt shot from 4 ft
9:51.0,,,4-2,,Offensive rebound by Team
9:44.0,,,4-2,,M. Gasol misses 2-pt shot from 12 ft
9:44.0,Defensive rebound by L. Aldridge,,4-2,,
9:32.0,L. Aldridge misses 2-pt shot from 20 ft,,4-2,,
9:32.0,Offensive rebound by T. Parker,,4-2,,
9:19.0,Shooting foul by M. Conley (drawn by T. Parker),,4-2,,
9:19.0,T. Parker makes free throw 1 of 2,1,5-2,,
9:19.0,T. Parker makes free throw 2 of 2,1,6-2,,
9:06.0,,,6-2,,Turnover by M. Gasol (lost ball)
8:52.0,T. Parker makes 2-pt shot from 13 ft,2,8-2,,
8:32.0,,,8-2,,Z. Randolph misses 2-pt shot from 11 ft
8:31.0,,,8-2,,Offensive rebound by V. Carter
8:31.0,,,8-4,2,V. Carter makes 2-pt shot at rim
8:19.0,Turnover by D. Lee (bad pass; steal by J. Ennis),,8-4,,
8:11.0,,,8-7,3,V. Carter makes 3-pt shot from 26 ft (assist by J. Ennis)
7:47.0,L. Aldridge misses 2-pt shot from 13 ft,,8-7,,
7:45.0,,,8-7,,Defensive rebound by M. Conley
7:32.0,,,8-9,2,J. Ennis makes 2-pt shot from 5 ft
7:13.0,T. Parker makes 3-pt shot from 24 ft (assist by D. Lee),3,11-9,,
6:51.0,,,11-9,,V. Carter misses 3-pt shot from 25 ft
6:50.0,,,11-9,,Offensive rebound by Z. Randolph
6:47.0,,,11-11,2,Z. Randolph makes 2-pt shot from 1 ft
6:46.0,San Antonio full timeout,,11-11,,
6:30.0,Shooting foul by M. Gasol (drawn by K. Leonard),,11-11,,
6:30.0,K. Leonard makes free throw 1 of 2,1,12-11,,
6:30.0,K. Leonard makes free throw 2 of 2,1,13-11,,
6:16.0,,,13-11,,M. Gasol misses 2-pt shot from 6 ft
6:15.0,Defensive rebound by L. Aldridge,,13-11,,
6:10.0,Turnover by T. Parker (bad pass),,13-11,,
5:52.0,,,13-11,,V. Carter misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by K. Leonard,,13-11,,
5:38.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,16-11,,
