time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. A. Len (T. Lawson gains possession),,,,Jump ball: K. Koufos vs. A. Len (T. Lawson gains possession)
11:36.0,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein),2,2-0,,
11:23.0,,,2-3,3,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis)
11:02.0,,,2-3,,Personal block foul by A. Len (drawn by W. Cauley-Stein)
10:51.0,Turnover by T. Lawson (bad pass; steal by A. Len),,2-3,,
10:39.0,,,2-3,,M. Chriss misses 3-pt shot from 26 ft
10:39.0,,,2-3,,Offensive rebound by A. Len
10:35.0,,,2-3,,T. Ulis misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by W. Cauley-Stein,,2-3,,
10:17.0,K. Koufos misses 2-pt shot from 3 ft,,2-3,,
10:15.0,,,2-3,,Defensive rebound by A. Len
10:03.0,,,2-5,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
9:46.0,B. Hield makes 2-pt shot from 13 ft,2,4-5,,
9:30.0,,,4-5,,M. Chriss misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by B. Hield,,4-5,,
9:23.0,B. Hield misses 2-pt shot from 2 ft (block by M. Chriss),,4-5,,
9:22.0,,,4-5,,Defensive rebound by T. Warren
9:17.0,,,4-5,,Shooting foul by A. Afflalo (drawn by M. Chriss)
9:17.0,,,4-6,1,M. Chriss makes free throw 1 of 2
9:17.0,,,4-7,1,M. Chriss makes free throw 2 of 2
8:57.0,A. Afflalo misses 2-pt shot from 17 ft (block by T. Warren),,4-7,,
8:56.0,,,4-7,,Defensive rebound by M. Chriss
8:50.0,,,4-9,2,D. Booker makes 2-pt shot from 2 ft (assist by T. Ulis)
8:32.0,A. Afflalo makes 2-pt shot from 1 ft (assist by K. Koufos),2,6-9,,
8:21.0,,,6-9,,Shooting foul by K. Koufos (drawn by M. Chriss)
8:21.0,,,6-9,,M. Chriss misses free throw 1 of 2
8:21.0,,,6-9,,Offensive rebound by Team
8:21.0,,,6-9,,M. Chriss misses free throw 2 of 2
8:20.0,Defensive rebound by K. Koufos,,6-9,,
8:01.0,A. Afflalo misses 3-pt shot from 24 ft,,6-9,,
8:01.0,,,6-9,,Defensive rebound by A. Len
7:51.0,,,6-9,,M. Chriss misses 2-pt shot from 22 ft
7:50.0,,,6-9,,Offensive rebound by Team
7:45.0,,,6-11,2,T. Warren makes 2-pt shot from 16 ft (assist by M. Chriss)
7:32.0,T. Lawson misses 2-pt shot from 11 ft,,6-11,,
7:32.0,Offensive rebound by Team,,6-11,,
7:32.0,,,6-11,,Loose ball foul by M. Chriss (drawn by K. Koufos)
7:21.0,B. Hield makes 2-pt shot from 8 ft (assist by K. Koufos),2,8-11,,
7:13.0,,,8-11,,D. Booker misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by Team,,8-11,,
6:58.0,K. Koufos makes 2-pt shot from 9 ft (assist by T. Lawson),2,10-11,,
6:39.0,,,10-13,2,D. Booker makes 2-pt shot from 16 ft
6:23.0,K. Koufos misses 2-pt shot from 12 ft,,10-13,,
6:23.0,,,10-13,,Defensive rebound by A. Len
6:10.0,,,10-15,2,T. Warren makes 2-pt shot from 13 ft
6:01.0,T. Lawson misses 2-pt shot from 3 ft,,10-15,,
6:00.0,,,10-15,,Defensive rebound by A. Len
5:56.0,,,10-18,3,D. Booker makes 3-pt shot from 26 ft
5:47.0,Sacramento full timeout,,10-18,,
5:47.0,S. Labissiere enters the game for K. Koufos,,10-18,,
5:47.0,G. Temple enters the game for B. Hield,,10-18,,
5:36.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,10-18,,
5:34.0,,,10-18,,Defensive rebound by T. Warren
5:19.0,,,10-20,2,A. Len makes 2-pt shot from 20 ft (assist by T. Ulis)
5:00.0,G. Temple makes 3-pt shot from 27 ft (assist by W. Cauley-Stein),3,13-20,,
4:48.0,,,13-20,,Turnover by A. Len (bad pass; steal by W. Cauley-Stein)
4:41.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,15-20,,
4:24.0,,,15-20,,Turnover by T. Warren (bad pass; steal by W. Cauley-Stein)
4:21.0,W. Cauley-Stein makes 2-pt shot at rim,2,17-20,,
4:21.0,,,17-20,,Phoenix full timeout
4:21.0,,,17-20,,A. Williams enters the game for A. Len
4:10.0,,,17-20,,D. Booker misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by S. Labissiere,,17-20,,
3:50.0,Shooting foul by A. Williams (drawn by T. Lawson),,17-20,,
3:50.0,T. Lawson makes free throw 1 of 2,1,18-20,,
3:50.0,T. Lawson makes free throw 2 of 2,1,19-20,,
3:33.0,,,19-22,2,T. Ulis makes 2-pt shot from 9 ft
3:08.0,T. Lawson misses 2-pt shot from 2 ft,,19-22,,
3:07.0,,,19-22,,Defensive rebound by A. Williams
2:58.0,,,19-24,2,A. Williams makes 2-pt shot from 14 ft (assist by T. Ulis)
2:47.0,Violation by W. Cauley-Stein (kicked ball),,19-24,,
2:47.0,Turnover by W. Cauley-Stein (kicked ball),,19-24,,
2:47.0,,,19-24,,J. Dudley enters the game for M. Chriss
2:47.0,,,19-24,,L. Barbosa enters the game for T. Ulis
2:47.0,G. Papagiannis enters the game for A. Afflalo,,19-24,,
2:47.0,T. Evans enters the game for W. Cauley-Stein,,19-24,,
2:32.0,,,19-26,2,J. Dudley makes 2-pt shot from 20 ft (assist by D. Booker)
2:11.0,G. Papagiannis misses 2-pt shot from 11 ft,,19-26,,
2:09.0,,,19-26,,Defensive rebound by A. Williams
2:03.0,Personal foul by S. Labissiere (drawn by D. Booker),,19-26,,
1:55.0,,,19-26,,D. Booker misses 2-pt shot from 2 ft (block by G. Papagiannis)
1:55.0,,,19-26,,Offensive rebound by Team
1:55.0,L. Galloway enters the game for T. Lawson,,19-26,,
1:48.0,,,19-26,,Turnover by T. Warren (traveling)
1:31.0,T. Evans misses 3-pt shot from 25 ft,,19-26,,
1:30.0,,,19-26,,Defensive rebound by A. Williams
1:21.0,,,19-26,,J. Dudley misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by T. Evans,,19-26,,
1:15.0,L. Galloway makes 3-pt shot from 25 ft (assist by G. Temple),3,22-26,,
0:54.0,,,22-26,,D. Booker misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by G. Temple,,22-26,,
0:45.0,G. Temple misses 2-pt shot from 19 ft,,22-26,,
0:43.0,,,22-26,,Defensive rebound by L. Barbosa
0:38.0,,,22-28,2,A. Williams makes 2-pt shot from 1 ft (assist by L. Barbosa)
0:38.0,,,22-28,,Shooting foul by G. Papagiannis (drawn by A. Williams)
0:38.0,,,22-29,1,A. Williams makes free throw 1 of 1
0:31.0,L. Galloway misses 3-pt shot from 25 ft,,22-29,,
0:31.0,Offensive rebound by Team,,22-29,,
0:20.0,T. Evans misses 2-pt shot from 3 ft,,22-29,,
0:18.0,,,22-29,,Defensive rebound by A. Williams
0:01.0,,,22-29,,T. Warren misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by S. Labissiere,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-29,,L. Barbosa misses 2-pt shot from 23 ft
11:45.0,Defensive rebound by T. Evans,,22-29,,
11:31.0,G. Temple misses 2-pt shot from 2 ft,,22-29,,
11:30.0,,,22-29,,Defensive rebound by D. Jones
11:21.0,,,22-31,2,A. Williams makes 2-pt shot from 1 ft (assist by J. Dudley)
11:02.0,G. Temple misses 2-pt shot from 12 ft,,22-31,,
11:02.0,,,22-31,,Defensive rebound by L. Barbosa
10:47.0,,,22-31,,L. Barbosa misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by G. Temple,,22-31,,
10:33.0,S. Labissiere makes 2-pt shot from 3 ft (assist by T. Evans),2,24-31,,
10:14.0,,,24-31,,R. Price misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by L. Galloway,,24-31,,
10:13.0,,,24-31,,Personal foul by R. Price (drawn by L. Galloway)
9:57.0,Turnover by S. Labissiere (traveling),,24-31,,
9:45.0,,,24-31,,L. Barbosa misses 2-pt shot from 2 ft (block by G. Papagiannis)
9:43.0,Defensive rebound by G. Papagiannis,,24-31,,
9:30.0,Turnover by L. Galloway (bad pass),,24-31,,
9:30.0,B. Hield enters the game for G. Temple,,24-31,,
9:14.0,,,24-31,,A. Williams misses 2-pt shot from 11 ft
9:12.0,Defensive rebound by S. Labissiere,,24-31,,
9:03.0,Shooting foul by J. Dudley (drawn by T. Evans),,24-31,,
9:03.0,T. Evans misses free throw 1 of 2,,24-31,,
9:03.0,Offensive rebound by Team,,24-31,,
9:03.0,T. Evans misses free throw 2 of 2,,24-31,,
9:02.0,,,24-31,,Defensive rebound by D. Jones
8:46.0,,,24-31,,J. Dudley misses 2-pt shot from 21 ft
8:46.0,Defensive rebound by L. Galloway,,24-31,,
8:40.0,T. Evans misses 2-pt shot from 5 ft (block by D. Jones),,24-31,,
8:40.0,Offensive rebound by Team,,24-31,,
8:40.0,Official timeout,,24-31,,
8:40.0,,,24-31,,T. Ulis enters the game for D. Jones
8:36.0,G. Papagiannis misses 2-pt shot from 6 ft,,24-31,,
8:35.0,,,24-31,,Defensive rebound by J. Dudley
8:25.0,,,24-33,2,L. Barbosa makes 2-pt shot from 1 ft (assist by T. Ulis)
8:12.0,,,24-33,,Personal foul by L. Barbosa (drawn by B. Hield)
8:04.0,S. Labissiere misses 2-pt shot from 3 ft (block by A. Williams),,24-33,,
8:02.0,Offensive rebound by S. Labissiere,,24-33,,
7:59.0,S. Labissiere makes 2-pt shot from 2 ft,2,26-33,,
7:42.0,,,26-33,,A. Williams misses 2-pt shot from 11 ft
7:42.0,Defensive rebound by G. Papagiannis,,26-33,,
7:31.0,B. Hield makes 3-pt shot from 24 ft (assist by T. Evans),3,29-33,,
7:17.0,,,29-33,,A. Williams misses 2-pt shot from 2 ft
7:15.0,,,29-33,,Offensive rebound by J. Dudley
7:15.0,,,29-35,2,J. Dudley makes 2-pt shot at rim
7:08.0,Turnover by B. Hield (lost ball; steal by A. Williams),,29-35,,
7:02.0,,,29-37,2,L. Barbosa makes 2-pt shot from 6 ft
6:40.0,B. Hield misses 2-pt shot from 17 ft,,29-37,,
6:39.0,,,29-37,,Defensive rebound by R. Price
6:36.0,,,29-37,,L. Barbosa misses 2-pt shot from 2 ft (block by B. Hield)
6:36.0,,,29-37,,Offensive rebound by Team
6:36.0,,,29-37,,D. Booker enters the game for R. Price
6:36.0,T. Lawson enters the game for T. Evans,,29-37,,
6:36.0,K. Koufos enters the game for G. Papagiannis,,29-37,,
6:21.0,,,29-37,,A. Williams misses 2-pt shot from 4 ft
6:19.0,,,29-37,,Offensive rebound by A. Williams
6:18.0,,,29-37,,A. Williams misses 2-pt shot from 3 ft
6:18.0,,,29-37,,Offensive rebound by A. Williams
6:16.0,,,29-39,2,A. Williams makes 2-pt shot from 6 ft
6:00.0,S. Labissiere misses 2-pt shot from 3 ft,,29-39,,
6:00.0,,,29-39,,Defensive rebound by J. Dudley
5:54.0,,,29-39,,D. Booker misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by B. Hield,,29-39,,
5:37.0,S. Labissiere makes 2-pt shot from 3 ft (assist by T. Lawson),2,31-39,,
5:22.0,,,31-39,,Turnover by J. Dudley (lost ball; steal by S. Labissiere)
5:16.0,B. Hield misses 3-pt shot from 25 ft,,31-39,,
5:14.0,Offensive rebound by S. Labissiere,,31-39,,
5:11.0,S. Labissiere misses 2-pt shot from 2 ft (block by A. Williams),,31-39,,
5:11.0,,,31-39,,Defensive rebound by Team
5:11.0,,,31-39,,Phoenix full timeout
5:11.0,,,31-39,,M. Chriss enters the game for A. Williams
5:11.0,,,31-39,,T. Warren enters the game for J. Dudley
5:11.0,,,31-39,,A. Len enters the game for L. Barbosa
5:11.0,W. Cauley-Stein enters the game for S. Labissiere,,31-39,,
4:59.0,,,31-39,,T. Ulis misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by W. Cauley-Stein,,31-39,,
4:51.0,L. Galloway makes 3-pt shot from 26 ft (assist by T. Lawson),3,34-39,,
4:31.0,,,34-39,,M. Chriss misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by K. Koufos,,34-39,,
4:26.0,Turnover by T. Lawson (lost ball; steal by T. Ulis),,34-39,,
4:19.0,,,34-41,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
4:10.0,K. Koufos misses 2-pt shot from 6 ft (block by T. Ulis),,34-41,,
