time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:49.0,E. Moore misses 2-pt shot from 9 ft,,0-0,,
12:00.0,Jump ball: A. Davis vs. P. Gasol (S. Hill gains possession),,,,Jump ball: A. Davis vs. P. Gasol (S. Hill gains possession)
11:48.0,Offensive rebound by O. Asik,,0-0,,
11:43.0,T. Frazier makes 3-pt shot from 27 ft (assist by O. Asik),3,3-0,,
11:25.0,,,3-0,,L. Aldridge misses 2-pt shot from 19 ft
11:22.0,Defensive rebound by O. Asik,,3-0,,
11:13.0,S. Hill misses 2-pt shot from 8 ft,,3-0,,
11:12.0,,,3-0,,Defensive rebound by K. Anderson
10:56.0,,,3-0,,K. Anderson misses 2-pt shot from 8 ft
10:55.0,Defensive rebound by O. Asik,,3-0,,
10:47.0,T. Frazier misses 2-pt shot from 1 ft,,3-0,,
10:44.0,,,3-0,,Defensive rebound by P. Gasol
10:32.0,,,3-3,3,P. Mills makes 3-pt shot from 27 ft (assist by P. Gasol)
10:22.0,Turnover by S. Hill (bad pass),,3-3,,
10:10.0,,,3-5,2,P. Mills makes 2-pt shot from 2 ft (assist by P. Gasol)
9:55.0,S. Hill misses 3-pt shot from 27 ft,,3-5,,
9:53.0,,,3-5,,Defensive rebound by L. Aldridge
9:45.0,,,3-7,2,P. Gasol makes 2-pt shot from 2 ft (assist by P. Mills)
9:31.0,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier),2,5-7,,
9:10.0,,,5-7,,K. Leonard misses 2-pt shot from 12 ft
9:09.0,Defensive rebound by S. Hill,,5-7,,
8:53.0,T. Frazier makes 2-pt shot from 4 ft,2,7-7,,
8:38.0,,,7-7,,L. Aldridge misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by O. Asik,,7-7,,
8:28.0,S. Hill misses 2-pt shot from 17 ft,,7-7,,
8:26.0,,,7-7,,Defensive rebound by P. Gasol
8:17.0,,,7-7,,L. Aldridge misses 2-pt shot from 4 ft
8:14.0,Defensive rebound by T. Frazier,,7-7,,
7:54.0,T. Frazier misses 2-pt shot from 4 ft,,7-7,,
7:52.0,,,7-7,,Defensive rebound by P. Gasol
