time,Boston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Johnson vs. Z. Pachulia (D. Green gains possession)
11:42.0,,,0-0,,K. Thompson misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by A. Johnson,,0-0,,
11:18.0,Turnover by Team (shot clock),,0-0,,
10:54.0,,,0-0,,D. Green misses 3-pt shot from 30 ft
10:54.0,Defensive rebound by J. Crowder,,0-0,,
10:45.0,Turnover by I. Thomas (step out of bounds),,0-0,,
10:33.0,,,0-0,,P. McCaw misses 3-pt shot from 24 ft
10:33.0,,,0-0,,Offensive rebound by Z. Pachulia
10:31.0,Jump ball: A. Johnson vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Johnson vs. Z. Pachulia (D. Green gains possession)
10:21.0,,,0-2,2,K. Thompson makes 2-pt shot from 12 ft (assist by Z. Pachulia)
10:06.0,Turnover by A. Bradley (lost ball; steal by D. Green),,0-2,,
10:00.0,,,0-5,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
9:44.0,,,0-5,,Personal foul by Z. Pachulia (drawn by I. Thomas)
9:38.0,A. Horford misses 2-pt shot from 17 ft,,0-5,,
9:37.0,,,0-5,,Defensive rebound by K. Thompson
9:21.0,,,0-5,,D. Green misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by A. Horford,,0-5,,
9:09.0,J. Crowder misses 3-pt shot from 28 ft,,0-5,,
9:08.0,,,0-5,,Defensive rebound by D. Green
8:59.0,,,0-5,,D. Green misses 2-pt shot at rim
8:59.0,Defensive rebound by A. Horford,,0-5,,
8:55.0,A. Bradley makes 2-pt shot at rim (assist by A. Horford),2,2-5,,
8:38.0,,,2-5,,K. Thompson misses 2-pt shot from 3 ft
8:36.0,Defensive rebound by A. Johnson,,2-5,,
8:30.0,A. Bradley misses 3-pt shot from 26 ft,,2-5,,
8:30.0,,,2-5,,Defensive rebound by Z. Pachulia
8:05.0,,,2-7,2,K. Thompson makes 2-pt shot from 11 ft
7:43.0,A. Bradley misses 2-pt shot from 22 ft,,2-7,,
7:42.0,,,2-7,,Defensive rebound by P. McCaw
7:34.0,,,2-7,,Turnover by D. Green (bad pass; steal by I. Thomas)
7:28.0,A. Bradley misses 2-pt shot from 3 ft (block by D. Green),,2-7,,
7:27.0,,,2-7,,Defensive rebound by P. McCaw
