time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Black (A. Abrines gains possession),,,,Jump ball: S. Adams vs. T. Black (A. Abrines gains possession)
11:44.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by N. Young)
11:29.0,Shooting foul by A. Abrines (drawn by B. Ingram),,0-0,,
11:29.0,B. Ingram makes free throw 1 of 2,1,1-0,,
11:29.0,B. Ingram misses free throw 2 of 2,,1-0,,
11:29.0,,,1-0,,Defensive rebound by R. Westbrook
11:12.0,,,1-0,,S. Adams misses 2-pt shot from 5 ft
11:11.0,,,1-0,,Offensive rebound by Team
11:00.0,,,1-0,,R. Westbrook misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by N. Young,,1-0,,
10:48.0,N. Young misses 3-pt shot from 24 ft,,1-0,,
10:47.0,,,1-0,,Defensive rebound by A. Roberson
10:36.0,,,1-2,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
10:17.0,D. Russell makes 2-pt shot from 17 ft,2,3-2,,
10:05.0,,,3-5,3,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook)
9:50.0,J. Randle misses 3-pt shot from 22 ft,,3-5,,
9:49.0,,,3-5,,Defensive rebound by A. Roberson
9:48.0,,,3-5,,Turnover by A. Roberson (lost ball; steal by N. Young)
9:42.0,N. Young misses 3-pt shot from 25 ft,,3-5,,
9:41.0,Offensive rebound by T. Black,,3-5,,
9:38.0,J. Randle makes 2-pt shot from 3 ft,2,5-5,,
9:23.0,,,5-7,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:11.0,D. Russell misses 3-pt shot from 23 ft,,5-7,,
9:10.0,,,5-7,,Defensive rebound by R. Westbrook
9:01.0,,,5-9,2,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook)
8:50.0,Turnover by B. Ingram (bad pass; steal by R. Westbrook),,5-9,,
8:49.0,Personal foul by T. Black (drawn by R. Westbrook),,5-9,,
8:39.0,,,5-9,,S. Adams misses 2-pt shot at rim
8:38.0,Defensive rebound by D. Russell,,5-9,,
8:31.0,D. Russell misses 3-pt shot from 24 ft,,5-9,,
8:31.0,,,5-9,,Defensive rebound by Team
8:31.0,Loose ball foul by T. Black (drawn by S. Adams),,5-9,,
8:13.0,,,5-9,,D. Sabonis misses 2-pt shot from 9 ft
8:13.0,Defensive rebound by B. Ingram,,5-9,,
8:00.0,J. Randle misses 2-pt shot from 9 ft,,5-9,,
