time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,D. Schroder misses 2-pt shot from 20 ft
12:00.0,Jump ball: D. Howard vs. J. Okafor (D. Schroder gains possession),,,,Jump ball: D. Howard vs. J. Okafor (D. Schroder gains possession)
11:41.0,Defensive rebound by R. Covington,,0-0,,
11:22.0,,,0-0,,Personal foul by P. Millsap (drawn by E. Ilyasova)
11:11.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,3-0,,
10:55.0,,,3-0,,P. Millsap misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by T. McConnell,,3-0,,
10:49.0,N. Stauskas misses 3-pt shot from 25 ft,,3-0,,
10:47.0,,,3-0,,Defensive rebound by D. Howard
10:35.0,,,3-2,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder)
10:17.0,E. Ilyasova misses 2-pt shot from 14 ft,,3-2,,
10:16.0,,,3-2,,Defensive rebound by P. Millsap
10:10.0,,,3-4,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
9:55.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,5-4,,
9:46.0,,,5-4,,D. Howard misses 2-pt shot from 1 ft (block by J. Okafor)
9:44.0,Defensive rebound by R. Covington,,5-4,,
9:34.0,N. Stauskas makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,7-4,,
9:15.0,,,7-4,,K. Bazemore misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by N. Stauskas,,7-4,,
9:07.0,E. Ilyasova misses 2-pt shot from 2 ft,,7-4,,
9:04.0,,,7-4,,Defensive rebound by P. Millsap
8:56.0,,,7-4,,D. Schroder misses 2-pt shot from 2 ft (block by N. Stauskas)
8:55.0,Defensive rebound by J. Okafor,,7-4,,
8:42.0,Turnover by T. McConnell (bad pass; steal by K. Bazemore),,7-4,,
8:38.0,,,7-6,2,K. Bazemore makes 2-pt shot at rim
8:20.0,N. Stauskas makes 2-pt shot at rim (assist by J. Okafor),2,9-6,,
8:01.0,,,9-6,,Turnover by D. Schroder (bad pass; steal by T. McConnell)
7:50.0,E. Ilyasova misses 3-pt shot from 26 ft,,9-6,,
7:48.0,,,9-6,,Defensive rebound by D. Howard
7:37.0,,,9-8,2,D. Schroder makes 2-pt shot from 16 ft
7:19.0,Shooting foul by D. Howard (drawn by J. Okafor),,9-8,,
7:19.0,J. Okafor makes free throw 1 of 2,1,10-8,,
7:19.0,J. Okafor makes free throw 2 of 2,1,11-8,,
7:19.0,G. Henderson enters the game for N. Stauskas,,10-8,,
7:11.0,Personal foul by E. Ilyasova (drawn by P. Millsap),,11-8,,
7:01.0,,,11-8,,D. Howard misses 2-pt shot from 1 ft (block by J. Okafor)
6:59.0,Defensive rebound by J. Okafor,,11-8,,
6:52.0,J. Okafor makes 2-pt shot from 16 ft (assist by T. McConnell),2,13-8,,
6:43.0,,,13-11,3,K. Bazemore makes 3-pt shot from 25 ft
6:34.0,G. Henderson makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,16-11,,
6:12.0,,,16-11,,D. Schroder misses 2-pt shot from 7 ft
6:12.0,,,16-11,,Offensive rebound by D. Howard
6:12.0,,,16-11,,Shooting foul by E. Ilyasova (drawn by D. Howard)
6:12.0,,,16-11,,D. Howard misses free throw 1 of 2
6:12.0,,,16-11,,Offensive rebound by Team
6:12.0,,,16-12,1,D. Howard makes free throw 2 of 2
6:12.0,D. Saric enters the game for E. Ilyasova,,16-11,,
5:55.0,T. McConnell makes 2-pt shot from 2 ft,2,18-12,,
5:49.0,,,18-12,,Atlanta full timeout
5:49.0,,,18-12,,T. Hardaway enters the game for K. Bazemore
5:39.0,,,18-12,,Turnover by P. Millsap (lost ball; steal by T. McConnell)
5:34.0,T. McConnell misses 2-pt shot from 1 ft (block by D. Schroder),,18-12,,
5:32.0,Offensive rebound by R. Covington,,18-12,,
5:31.0,R. Covington misses 2-pt shot from 2 ft,,18-12,,
5:30.0,Offensive rebound by T. McConnell,,18-12,,
5:27.0,G. Henderson misses 3-pt shot from 25 ft,,18-12,,
5:26.0,,,18-12,,Defensive rebound by D. Howard
5:15.0,,,18-14,2,P. Millsap makes 2-pt shot from 12 ft
5:00.0,J. Okafor makes 2-pt shot from 19 ft,2,20-14,,
4:40.0,,,20-14,,D. Schroder misses 2-pt shot from 1 ft
4:38.0,,,20-14,,Offensive rebound by D. Howard
4:38.0,,,20-16,2,D. Howard makes 2-pt shot at rim
4:20.0,J. Okafor makes 2-pt shot from 19 ft (assist by D. Saric),2,22-16,,
4:04.0,,,22-16,,K. Humphries enters the game for D. Howard
4:04.0,,,22-16,,M. Dunleavy enters the game for T. Sefolosha
4:04.0,T. Luwawu-Cabarrot enters the game for R. Covington,,22-16,,
4:01.0,,,22-18,2,D. Schroder makes 2-pt shot from 1 ft (assist by T. Hardaway)
3:56.0,Philadelphia full timeout,,22-18,,
3:55.0,Turnover by J. Okafor (traveling),,22-18,,
3:38.0,,,22-18,,P. Millsap misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by D. Saric,,22-18,,
3:35.0,Turnover by D. Saric (bad pass),,22-18,,
3:35.0,N. Stauskas enters the game for T. McConnell,,22-18,,
3:23.0,,,22-18,,K. Humphries misses 2-pt shot from 13 ft
3:21.0,Defensive rebound by D. Saric,,22-18,,
3:15.0,N. Noel enters the game for J. Okafor,,22-18,,
3:15.0,,,22-18,,M. Delaney enters the game for D. Schroder
3:12.0,G. Henderson makes 3-pt shot from 24 ft (assist by N. Stauskas),3,25-18,,
2:51.0,,,25-21,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney)
2:26.0,D. Saric misses 2-pt shot from 1 ft,,25-21,,
2:25.0,,,25-21,,Defensive rebound by P. Millsap
2:19.0,,,25-21,,Turnover by T. Hardaway (bad pass; steal by D. Saric)
2:15.0,Offensive charge foul by T. Luwawu-Cabarrot,,25-21,,
2:15.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,25-21,,
2:04.0,,,25-21,,Turnover by M. Delaney (bad pass; steal by D. Saric)
