time,Minnesota,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. K. Towns (K. Middleton gains possession),,,,Jump ball: T. Maker vs. K. Towns (K. Middleton gains possession)
11:37.0,,,0-0,,Offensive charge foul by T. Snell
11:37.0,,,0-0,,Turnover by T. Snell (offensive foul)
11:29.0,Turnover by A. Wiggins (bad pass),,0-0,,
11:21.0,Personal foul by R. Rubio (drawn by G. Antetokounmpo),,0-0,,
11:16.0,,,0-0,,M. Dellavedova misses 2-pt shot from 1 ft (block by G. Dieng)
11:13.0,Defensive rebound by G. Dieng,,0-0,,
10:59.0,K. Towns makes 2-pt shot from 2 ft,2,2-0,,
10:40.0,,,2-0,,M. Dellavedova misses 2-pt shot from 1 ft
10:38.0,,,2-0,,Offensive rebound by T. Maker
10:38.0,,,2-0,,T. Maker misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by A. Wiggins,,2-0,,
10:35.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-0,,
10:35.0,Shooting foul by K. Middleton (drawn by G. Dieng),,4-0,,
10:35.0,G. Dieng makes free throw 1 of 1,1,5-0,,
10:11.0,,,5-0,,Turnover by G. Antetokounmpo (bad pass)
10:11.0,Jump ball: T. Maker vs. K. Towns (B. Rush gains possession),,,,Jump ball: T. Maker vs. K. Towns (B. Rush gains possession)
10:02.0,Turnover by K. Towns (bad pass),,5-0,,
9:53.0,,,5-0,,K. Middleton misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by K. Towns,,5-0,,
9:44.0,G. Dieng misses 2-pt shot from 1 ft,,5-0,,
9:43.0,,,5-0,,Defensive rebound by T. Maker
9:37.0,,,5-0,,Shooting foul by A. Wiggins (drawn by G. Antetokounmpo)
9:37.0,,,5-2,2,G. Antetokounmpo makes 2-pt shot from 4 ft
9:37.0,,,5-3,1,G. Antetokounmpo makes free throw 1 of 1
9:34.0,,,5-3,,Personal block foul by M. Dellavedova (drawn by R. Rubio)
9:26.0,Turnover by K. Towns (bad pass),,5-3,,
9:18.0,,,5-3,,M. Dellavedova misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by G. Dieng,,5-3,,
9:06.0,K. Towns makes 2-pt shot at rim (assist by B. Rush),2,7-3,,
8:46.0,,,7-3,,G. Antetokounmpo misses 2-pt shot from 11 ft
8:45.0,Defensive rebound by K. Towns,,7-3,,
8:27.0,A. Wiggins misses 2-pt shot from 2 ft,,7-3,,
8:26.0,Offensive rebound by A. Wiggins,,7-3,,
8:26.0,A. Wiggins misses 2-pt shot from 3 ft,,7-3,,
8:24.0,Offensive rebound by G. Dieng,,7-3,,
8:17.0,B. Rush misses 2-pt shot from 3 ft,,7-3,,
8:16.0,,,7-3,,Defensive rebound by T. Maker
8:04.0,,,7-3,,K. Middleton misses 2-pt shot from 17 ft
8:03.0,,,7-3,,Offensive rebound by T. Snell
7:57.0,,,7-5,2,T. Snell makes 2-pt shot from 20 ft
7:42.0,B. Rush misses 2-pt shot from 1 ft (block by T. Maker),,7-5,,
7:40.0,,,7-5,,Defensive rebound by G. Antetokounmpo
7:37.0,Shooting block foul by G. Dieng (drawn by G. Antetokounmpo),,7-5,,
7:37.0,,,7-5,,G. Antetokounmpo misses free throw 1 of 2
7:37.0,,,7-5,,Offensive rebound by Team
7:37.0,,,7-6,1,G. Antetokounmpo makes free throw 2 of 2
7:37.0,,,7-5,,J. Terry enters the game for K. Middleton
7:25.0,B. Rush misses 2-pt shot from 15 ft,,7-6,,
7:23.0,,,7-6,,Defensive rebound by T. Snell
