time,Orlando,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Vucevic (M. Chriss gains possession),,,,Jump ball: A. Len vs. N. Vucevic (M. Chriss gains possession)
11:37.0,,,0-0,,Turnover by M. Chriss (offensive goaltending)
11:27.0,Shooting foul by M. Chriss (drawn by E. Fournier),,0-0,,
11:27.0,E. Fournier makes free throw 1 of 2,1,1-0,,
11:27.0,E. Fournier misses free throw 2 of 2,,1-0,,
11:26.0,Offensive rebound by Team,,1-0,,
11:10.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,3-0,,
10:47.0,,,3-0,,A. Len misses 2-pt shot from 4 ft (block by A. Gordon)
10:45.0,Defensive rebound by E. Payton,,3-0,,
10:41.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,5-0,,
10:20.0,,,5-0,,Turnover by T. Warren (bad pass; steal by A. Gordon)
10:18.0,Turnover by A. Gordon (bad pass; steal by A. Len),,5-0,,
10:14.0,,,5-0,,Turnover by T. Ulis (lost ball; steal by E. Payton)
10:10.0,E. Payton misses 2-pt shot from 1 ft,,5-0,,
10:09.0,,,5-0,,Defensive rebound by D. Booker
10:05.0,,,5-0,,D. Booker misses 2-pt shot from 13 ft
10:05.0,Defensive rebound by N. Vucevic,,5-0,,
9:49.0,A. Gordon misses 3-pt shot from 26 ft,,5-0,,
9:47.0,,,5-0,,Defensive rebound by A. Len
9:33.0,,,5-0,,A. Len misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by A. Gordon,,5-0,,
9:27.0,E. Fournier misses 2-pt shot from 1 ft (block by A. Len),,5-0,,
9:25.0,,,5-0,,Defensive rebound by A. Len
9:19.0,,,5-2,2,T. Ulis makes 2-pt shot from 19 ft
9:02.0,T. Ross misses 2-pt shot from 11 ft,,5-2,,
9:01.0,,,5-2,,Defensive rebound by M. Chriss
8:51.0,,,5-4,2,T. Warren makes 2-pt shot from 12 ft (assist by T. Ulis)
8:28.0,E. Fournier misses 3-pt shot from 25 ft,,5-4,,
8:28.0,,,5-4,,Defensive rebound by M. Chriss
8:11.0,,,5-7,3,M. Chriss makes 3-pt shot from 23 ft (assist by T. Ulis)
7:51.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,7-7,,
7:35.0,,,7-7,,Turnover by T. Ulis (bad pass; steal by E. Payton)
7:30.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,9-7,,
7:17.0,,,9-7,,Shooting foul by A. Gordon (drawn by A. Len)
7:17.0,,,9-7,,A. Len misses free throw 1 of 2
7:17.0,,,9-7,,Offensive rebound by Team
7:17.0,,,9-8,1,A. Len makes free throw 2 of 2
7:04.0,N. Vucevic misses 2-pt shot from 2 ft,,9-8,,
7:03.0,Offensive rebound by N. Vucevic,,9-8,,
7:01.0,N. Vucevic misses 2-pt shot from 2 ft,,9-8,,
7:00.0,,,9-8,,Defensive rebound by M. Chriss
6:52.0,,,9-8,,Turnover by M. Chriss (bad pass; steal by N. Vucevic)
6:44.0,Turnover by E. Fournier (bad pass; steal by A. Len),,9-8,,
6:36.0,,,9-10,2,A. Len makes 2-pt shot from 1 ft (assist by D. Booker)
6:20.0,E. Payton makes 2-pt shot from 2 ft,2,11-10,,
6:06.0,,,11-10,,A. Len misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by E. Payton,,11-10,,
5:58.0,E. Fournier makes 2-pt shot from 2 ft,2,13-10,,
5:36.0,,,13-12,2,T. Warren makes 2-pt shot at rim (assist by A. Len)
5:24.0,N. Vucevic misses 3-pt shot from 26 ft,,13-12,,
