time,LA Clippers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Speights (J. Nelson gains possession),,,,Jump ball: M. Plumlee vs. M. Speights (J. Nelson gains possession)
11:40.0,,,0-0,,M. Plumlee misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by M. Speights,,0-0,,
11:30.0,A. Rivers misses 2-pt shot from 18 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by M. Plumlee
11:21.0,,,0-2,2,N. Jokic makes 2-pt shot from 2 ft (assist by M. Plumlee)
11:05.0,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by C. Paul),2,2-2,,
10:52.0,,,2-4,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by N. Jokic)
10:33.0,M. Speights misses 3-pt shot from 23 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by N. Jokic
10:23.0,,,2-6,2,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:02.0,L. Mbah a Moute misses 2-pt shot from 16 ft,,2-6,,
10:01.0,,,2-6,,Defensive rebound by J. Hernangomez
9:40.0,,,2-6,,M. Plumlee misses 2-pt shot from 7 ft
9:38.0,Defensive rebound by C. Paul,,2-6,,
9:27.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,4-6,,
9:11.0,,,4-6,,Turnover by G. Harris (bad pass; steal by J. Redick)
9:03.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,4-6,,
9:02.0,,,4-6,,Defensive rebound by J. Nelson
8:53.0,,,4-6,,M. Plumlee misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by C. Paul,,4-6,,
8:44.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,4-6,,
8:43.0,,,4-6,,Defensive rebound by M. Plumlee
8:32.0,,,4-8,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic)
8:24.0,,,4-8,,Personal foul by J. Hernangomez
8:11.0,C. Paul makes 2-pt shot from 19 ft,2,6-8,,
8:04.0,,,6-8,,Shooting foul by M. Speights (drawn by M. Plumlee)
8:04.0,,,6-8,,M. Plumlee misses free throw 1 of 2
8:04.0,,,6-8,,Offensive rebound by Team
8:04.0,,,6-8,,M. Plumlee misses free throw 2 of 2
8:01.0,Defensive rebound by L. Mbah a Moute,,6-8,,
7:52.0,Turnover by C. Paul (bad pass; steal by J. Nelson),,6-8,,
7:46.0,,,6-8,,J. Hernangomez misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by M. Speights,,6-8,,
7:28.0,C. Paul makes 2-pt shot from 19 ft,2,8-8,,
7:03.0,,,8-8,,J. Nelson misses 3-pt shot from 25 ft
7:02.0,,,8-8,,Offensive rebound by M. Plumlee
6:55.0,,,8-8,,M. Plumlee misses 2-pt shot from 6 ft
