time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Davis (P. Beverley gains possession),,,,Jump ball: C. Capela vs. A. Davis (P. Beverley gains possession)
11:51.0,,,0-0,,Turnover by P. Beverley (bad pass; steal by S. Hill)
11:40.0,Turnover by D. Cousins (bad pass),,0-0,,
11:21.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by A. Davis,,0-0,,
11:05.0,A. Davis misses 2-pt shot from 15 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by J. Harden
10:55.0,,,0-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:41.0,T. Frazier misses 3-pt shot from 26 ft,,0-3,,
10:40.0,,,0-3,,Defensive rebound by T. Ariza
10:32.0,,,0-5,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:19.0,J. Holiday misses 3-pt shot from 27 ft,,0-5,,
10:18.0,,,0-5,,Defensive rebound by P. Beverley
10:08.0,,,0-7,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:58.0,Turnover by J. Holiday (bad pass),,0-7,,
9:43.0,,,0-7,,P. Beverley misses 3-pt shot from 26 ft
9:42.0,,,0-7,,Offensive rebound by R. Anderson
9:35.0,,,0-7,,Turnover by C. Capela (offensive goaltending)
9:31.0,New Orleans full timeout,,0-7,,
9:22.0,S. Hill misses 3-pt shot from 23 ft,,0-7,,
9:21.0,,,0-7,,Defensive rebound by C. Capela
9:07.0,,,0-7,,C. Capela misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by D. Cousins,,0-7,,
8:53.0,J. Holiday misses 2-pt shot from 6 ft,,0-7,,
8:52.0,,,0-7,,Defensive rebound by R. Anderson
8:46.0,,,0-9,2,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden)
8:34.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,3-9,,
8:19.0,,,3-9,,Turnover by R. Anderson (offensive foul)
8:19.0,,,3-9,,Offensive charge foul by R. Anderson
8:04.0,D. Cousins misses 2-pt shot from 2 ft,,3-9,,
