time,New York,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. K. Porzingis (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. K. Porzingis (T. Parker gains possession)
11:44.0,,,0-0,,L. Aldridge misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by K. Porzingis,,0-0,,
11:25.0,D. Rose misses 2-pt shot from 13 ft,,0-0,,
11:23.0,Offensive rebound by W. Hernangomez,,0-0,,
11:19.0,C. Lee misses 2-pt shot from 13 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by L. Aldridge
10:59.0,,,0-2,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
10:36.0,M. Kuzminskas makes 3-pt shot from 25 ft (assist by C. Lee),3,3-2,,
10:28.0,,,3-2,,Turnover by J. Simmons (lost ball)
10:20.0,D. Rose misses 2-pt shot from 2 ft (block by K. Leonard),,3-2,,
10:19.0,,,3-2,,Defensive rebound by K. Leonard
10:12.0,,,3-5,3,L. Aldridge makes 3-pt shot from 24 ft (assist by J. Simmons)
9:58.0,C. Lee misses 2-pt shot from 20 ft,,3-5,,
9:57.0,,,3-5,,Defensive rebound by K. Leonard
9:49.0,Personal foul by K. Porzingis (drawn by D. Dedmon),,3-5,,
9:46.0,Violation by K. Porzingis (def goaltending),,3-5,,
9:46.0,,,3-7,2,T. Parker makes 2-pt shot at rim
9:34.0,Turnover by C. Lee (lost ball; steal by J. Simmons),,3-7,,
9:28.0,,,3-9,2,J. Simmons makes 2-pt shot at rim
9:12.0,,,3-9,,Personal foul by D. Dedmon (drawn by W. Hernangomez)
9:05.0,D. Rose misses 2-pt shot at rim,,3-9,,
9:04.0,,,3-9,,Defensive rebound by D. Dedmon
8:50.0,,,3-9,,L. Aldridge misses 2-pt shot from 13 ft
8:49.0,Defensive rebound by C. Lee,,3-9,,
8:37.0,M. Kuzminskas makes 2-pt shot from 1 ft (assist by C. Lee),2,5-9,,
8:20.0,,,5-9,,T. Parker misses 2-pt shot from 10 ft
8:18.0,,,5-9,,Offensive rebound by D. Dedmon
8:15.0,,,5-9,,L. Aldridge misses 2-pt shot from 17 ft
8:14.0,,,5-9,,Offensive rebound by D. Dedmon
8:03.0,,,5-9,,K. Leonard misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by C. Lee,,5-9,,
7:57.0,,,5-9,,Personal foul by D. Dedmon (drawn by W. Hernangomez)
7:57.0,,,5-9,,P. Gasol enters the game for D. Dedmon
7:45.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Lee),2,7-9,,
7:22.0,,,7-11,2,J. Simmons makes 2-pt shot from 7 ft (assist by P. Gasol)
7:16.0,M. Kuzminskas makes 2-pt shot at rim (assist by D. Rose),2,9-11,,
6:56.0,,,9-11,,P. Gasol misses 2-pt shot from 13 ft
6:54.0,Defensive rebound by W. Hernangomez,,9-11,,
6:47.0,D. Rose misses 2-pt shot from 19 ft,,9-11,,
6:44.0,,,9-11,,Defensive rebound by L. Aldridge
6:42.0,Personal block foul by C. Lee (drawn by J. Simmons),,9-11,,
6:42.0,,,9-11,,San Antonio full timeout
6:30.0,,,9-13,2,L. Aldridge makes 2-pt shot from 4 ft (assist by T. Parker)
6:11.0,K. Porzingis misses 2-pt shot from 19 ft,,9-13,,
6:10.0,,,9-13,,Defensive rebound by K. Leonard
6:02.0,Personal block foul by W. Hernangomez (drawn by P. Gasol),,9-13,,
5:50.0,,,9-15,2,L. Aldridge makes 2-pt shot from 13 ft
5:33.0,K. Porzingis misses 2-pt shot from 13 ft,,9-15,,
5:31.0,Offensive rebound by W. Hernangomez,,9-15,,
5:27.0,K. Porzingis misses 3-pt shot from 24 ft,,9-15,,
5:25.0,,,9-15,,Defensive rebound by P. Gasol
5:20.0,,,9-15,,Shooting foul by W. Hernangomez (drawn by K. Leonard)
