time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (J. Dudley gains possession),,,,Jump ball: S. Adams vs. T. Chandler (J. Dudley gains possession)
11:41.0,D. Booker misses 3-pt shot from 23 ft,,0-0,,
11:40.0,Offensive rebound by T. Chandler,,0-0,,
11:40.0,T. Chandler makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-0,,R. Westbrook misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by T. Chandler,,2-0,,
11:01.0,Turnover by E. Bledsoe (bad pass; steal by V. Oladipo),,2-0,,
10:58.0,,,2-0,,Shooting foul by T. Warren (drawn by V. Oladipo)
10:58.0,,,2-1,1,V. Oladipo makes free throw 1 of 2
10:58.0,,,2-2,1,V. Oladipo makes free throw 2 of 2
10:35.0,Turnover by D. Booker (bad pass; steal by S. Adams),,2-2,,
10:29.0,,,2-2,,D. Sabonis misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by T. Warren,,2-2,,
10:14.0,D. Booker makes 2-pt shot from 8 ft,2,4-2,,
9:52.0,,,4-4,2,V. Oladipo makes 2-pt shot from 13 ft
9:29.0,D. Booker makes 3-pt shot from 26 ft (assist by J. Dudley),3,7-4,,
9:14.0,Personal foul by E. Bledsoe (drawn by R. Westbrook),,7-4,,
9:07.0,,,7-4,,V. Oladipo misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by E. Bledsoe,,7-4,,
9:01.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,9-4,,
8:51.0,,,9-4,,R. Westbrook misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by T. Chandler,,9-4,,
8:42.0,J. Dudley makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,12-4,,
8:22.0,,,12-4,,Turnover by A. Roberson (traveling)
8:22.0,,,12-4,,Violation by Team (jump ball)
8:13.0,T. Warren makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,14-4,,
8:12.0,,,14-4,,Oklahoma City full timeout
8:02.0,,,14-7,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:51.0,E. Bledsoe makes 2-pt shot from 1 ft,2,16-7,,
7:35.0,,,16-7,,Turnover by S. Adams (bad pass; steal by J. Dudley)
7:26.0,T. Warren makes 2-pt shot from 18 ft,2,18-7,,
7:10.0,,,18-9,2,D. Sabonis makes 2-pt shot from 20 ft (assist by R. Westbrook)
6:54.0,Shooting foul by V. Oladipo (drawn by D. Booker),,18-9,,
6:54.0,D. Booker misses free throw 1 of 2,,18-9,,
6:54.0,Offensive rebound by Team,,18-9,,
6:54.0,D. Booker makes free throw 2 of 2,1,19-9,,
6:45.0,,,19-9,,R. Westbrook misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by E. Bledsoe,,19-9,,
6:37.0,D. Booker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,22-9,,
6:20.0,,,22-9,,R. Westbrook misses 3-pt shot from 24 ft
6:19.0,,,22-9,,Offensive rebound by Team
6:19.0,,,22-9,,E. Ilyasova enters the game for D. Sabonis
6:10.0,,,22-9,,Turnover by R. Westbrook (traveling)
5:57.0,D. Booker misses 3-pt shot from 24 ft,,22-9,,
5:57.0,,,22-9,,Defensive rebound by A. Roberson
5:49.0,,,22-11,2,R. Westbrook makes 2-pt shot from 13 ft
5:28.0,Shooting foul by A. Roberson (drawn by T. Warren),,22-11,,
5:28.0,T. Warren misses free throw 1 of 2,,22-11,,
5:28.0,Offensive rebound by Team,,22-11,,
5:28.0,T. Warren makes free throw 2 of 2,1,23-11,,
5:28.0,P. Tucker enters the game for J. Dudley,,22-11,,
5:28.0,B. Knight enters the game for E. Bledsoe,,22-11,,
5:10.0,,,23-13,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
4:47.0,B. Knight makes 3-pt shot from 28 ft (assist by D. Booker),3,26-13,,
