time,Orlando,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Vucevic (D. Favors gains possession),,,,Jump ball: R. Gobert vs. N. Vucevic (D. Favors gains possession)
11:44.0,,,0-0,,G. Hill misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by J. Meeks,,0-0,,
11:27.0,N. Vucevic makes 2-pt shot from 19 ft (assist by J. Meeks),2,2-0,,
11:03.0,,,2-0,,R. Hood misses 3-pt shot from 27 ft
11:03.0,Defensive rebound by Team,,2-0,,
10:51.0,N. Vucevic misses 2-pt shot from 13 ft,,2-0,,
10:51.0,Offensive rebound by E. Payton,,2-0,,
10:49.0,Turnover by E. Payton (step out of bounds),,2-0,,
10:31.0,,,2-0,,D. Favors misses 2-pt shot from 15 ft
10:30.0,Defensive rebound by J. Meeks,,2-0,,
10:21.0,A. Gordon misses 3-pt shot from 24 ft,,2-0,,
10:20.0,,,2-0,,Defensive rebound by R. Gobert
10:10.0,,,2-0,,Turnover by G. Hill (bad pass; steal by J. Meeks)
10:06.0,A. Gordon makes 2-pt shot at rim (assist by J. Meeks),2,4-0,,
9:46.0,,,4-2,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
9:30.0,Shooting foul by R. Gobert (drawn by E. Payton),,4-2,,
9:30.0,E. Payton misses free throw 1 of 2,,4-2,,
9:30.0,Offensive rebound by Team,,4-2,,
9:30.0,E. Payton misses free throw 2 of 2,,4-2,,
9:30.0,,,4-2,,Defensive rebound by G. Hayward
9:09.0,,,4-4,2,D. Favors makes 2-pt shot from 14 ft (assist by G. Hill)
8:55.0,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton),3,7-4,,
8:36.0,,,7-6,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Hood)
8:18.0,S. Ibaka makes 3-pt shot from 24 ft (assist by N. Vucevic),3,10-6,,
8:01.0,,,10-8,2,D. Favors makes 2-pt shot from 2 ft (assist by G. Hill)
7:53.0,E. Payton makes 2-pt shot at rim,2,12-8,,
7:30.0,,,12-8,,Shooting foul by S. Ibaka (drawn by G. Hayward)
7:30.0,,,12-9,1,G. Hayward makes free throw 1 of 2
7:30.0,,,12-10,1,G. Hayward makes free throw 2 of 2
7:24.0,Shooting foul by G. Hill (drawn by E. Payton),,12-10,,
7:24.0,E. Payton makes free throw 1 of 2,1,13-10,,
7:24.0,E. Payton makes free throw 2 of 2,1,14-10,,
7:15.0,,,14-12,2,G. Hill makes 2-pt shot from 2 ft
6:58.0,S. Ibaka misses 3-pt shot from 25 ft,,14-12,,
6:58.0,,,14-12,,Defensive rebound by R. Gobert
6:49.0,,,14-14,2,D. Favors makes 2-pt shot at rim (assist by G. Hill)
6:48.0,Orlando full timeout,,14-14,,
6:48.0,Violation by Team (jump ball),,14-14,,
6:33.0,E. Payton makes 2-pt shot from 1 ft,2,16-14,,
6:17.0,,,16-14,,Turnover by R. Hood (bad pass; steal by E. Payton)
6:12.0,A. Gordon makes 2-pt shot at rim (assist by J. Meeks),2,18-14,,
5:52.0,,,18-14,,G. Hill misses 2-pt shot from 22 ft
5:51.0,Defensive rebound by S. Ibaka,,18-14,,
5:37.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,21-14,,
5:27.0,Personal foul by S. Ibaka (drawn by D. Favors),,21-14,,
5:27.0,,,21-14,,D. Exum enters the game for G. Hill
5:27.0,,,21-14,,T. Lyles enters the game for D. Favors
5:27.0,J. Green enters the game for S. Ibaka,,21-14,,
5:21.0,,,21-14,,R. Hood misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by N. Vucevic,,21-14,,
5:11.0,J. Green makes 3-pt shot from 23 ft (assist by E. Payton),3,24-14,,
5:05.0,,,24-14,,Utah full timeout
4:57.0,,,24-14,,D. Exum misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by J. Green,,24-14,,
4:41.0,N. Vucevic makes 2-pt shot from 5 ft,2,26-14,,
4:33.0,Personal foul by E. Payton (drawn by D. Exum),,26-14,,
4:33.0,,,26-14,,J. Ingles enters the game for R. Hood
4:30.0,,,26-14,,Offensive foul by T. Lyles
4:30.0,,,26-14,,Turnover by T. Lyles (offensive foul)
4:10.0,J. Green misses 3-pt shot from 25 ft,,26-14,,
4:10.0,,,26-14,,Defensive rebound by R. Gobert
3:52.0,,,26-16,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
3:39.0,A. Gordon misses 3-pt shot from 25 ft,,26-16,,
3:38.0,,,26-16,,Defensive rebound by R. Gobert
3:27.0,,,26-18,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
3:23.0,Shooting foul by D. Exum (drawn by E. Payton),,26-18,,
3:23.0,E. Payton misses free throw 1 of 2,,26-18,,
3:23.0,Offensive rebound by Team,,26-18,,
3:23.0,E. Payton makes free throw 2 of 2,1,27-18,,
3:23.0,,,26-18,,B. Diaw enters the game for T. Lyles
3:23.0,B. Biyombo enters the game for N. Vucevic,,26-18,,
3:10.0,,,27-20,2,G. Hayward makes 2-pt shot from 4 ft (assist by J. Ingles)
2:57.0,E. Payton makes 2-pt shot at rim,2,29-20,,
2:50.0,,,29-20,,D. Exum misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by J. Meeks,,29-20,,
2:48.0,,,29-20,,Personal foul by G. Hayward (drawn by E. Payton)
2:48.0,,,29-20,,Utah full timeout
2:48.0,D. Augustin enters the game for J. Meeks,,29-20,,
2:31.0,D. Augustin misses 2-pt shot from 11 ft,,29-20,,
2:31.0,Offensive rebound by B. Biyombo,,29-20,,
2:28.0,B. Biyombo misses 2-pt shot from 4 ft (block by R. Gobert),,29-20,,
2:27.0,,,29-20,,Defensive rebound by J. Ingles
2:14.0,,,29-20,,Turnover by J. Ingles (bad pass; steal by D. Augustin)
2:07.0,E. Payton makes 2-pt shot from 2 ft (assist by D. Augustin),2,31-20,,
1:53.0,,,31-22,2,G. Hayward makes 2-pt shot from 1 ft (assist by B. Diaw)
1:53.0,,,31-22,,Shooting foul by A. Gordon (drawn by G. Hayward)
1:53.0,,,31-23,1,G. Hayward makes free throw 1 of 1
1:53.0,,,31-22,,D. Favors enters the game for R. Gobert
1:39.0,,,31-23,,Personal foul by J. Ingles (drawn by B. Biyombo)
1:39.0,B. Biyombo makes free throw 1 of 2,1,32-23,,
1:39.0,B. Biyombo makes free throw 2 of 2,1,33-23,,
1:39.0,,,32-23,,A. Burks enters the game for G. Hayward
1:24.0,,,33-23,,D. Exum misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by E. Payton,,33-23,,
1:15.0,E. Payton makes 2-pt shot from 13 ft,2,35-23,,
0:59.0,,,35-23,,B. Diaw misses 2-pt shot from 3 ft (block by B. Biyombo)
0:58.0,,,35-23,,Offensive rebound by D. Favors
0:49.0,,,35-23,,B. Diaw misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by E. Payton,,35-23,,
0:41.0,Shooting foul by D. Favors (drawn by J. Green),,35-23,,
0:41.0,J. Green makes free throw 1 of 2,1,36-23,,
0:41.0,J. Green makes free throw 2 of 2,1,37-23,,
0:41.0,M. Hezonja enters the game for A. Gordon,,36-23,,
0:41.0,,,36-23,,G. Hill enters the game for D. Exum
0:36.0,,,37-25,2,G. Hill makes 2-pt shot from 4 ft
0:36.0,,,37-25,,Shooting foul by D. Augustin (drawn by G. Hill)
0:36.0,,,37-26,1,G. Hill makes free throw 1 of 1
0:31.0,J. Green makes 2-pt shot from 6 ft,2,39-26,,
0:31.0,Shooting foul by B. Diaw (drawn by J. Green),,39-26,,
0:31.0,J. Green misses free throw 1 of 1,,39-26,,
0:31.0,,,39-26,,Defensive rebound by Team
0:30.0,Loose ball foul by M. Hezonja (drawn by B. Diaw),,39-26,,
0:30.0,,,39-26,,B. Diaw misses free throw 1 of 2
0:30.0,,,39-26,,Offensive rebound by Team
0:30.0,,,39-27,1,B. Diaw makes free throw 2 of 2
0:08.0,M. Hezonja makes 3-pt shot from 24 ft (assist by E. Payton),3,42-27,,
0:01.0,,,42-29,2,A. Burks makes 2-pt shot from 12 ft
0:00.0,J. Green misses 3-pt shot from 66 ft,,42-29,,
0:00.0,Offensive rebound by Team,,42-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by M. Hezonja (bad pass; steal by G. Hill),,42-29,,
11:43.0,Personal foul by D. Augustin (drawn by R. Hood),,42-29,,
11:38.0,,,42-29,,Shooting foul by C. Watson (drawn by R. Hood)
11:38.0,,,42-31,2,R. Hood makes 2-pt shot from 12 ft
11:38.0,,,42-31,,R. Hood misses free throw 1 of 1
11:37.0,,,42-31,,Offensive rebound by B. Diaw
11:33.0,,,42-34,3,A. Burks makes 3-pt shot from 25 ft (assist by B. Diaw)
11:31.0,Orlando full timeout,,42-34,,
11:20.0,J. Green misses 2-pt shot from 7 ft,,42-34,,
11:20.0,,,42-34,,Defensive rebound by D. Favors
11:10.0,,,42-36,2,G. Hill makes 2-pt shot from 11 ft
10:57.0,D. Augustin misses 3-pt shot from 25 ft,,42-36,,
10:56.0,,,42-36,,Defensive rebound by Team
10:38.0,,,42-39,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
10:11.0,B. Biyombo misses 2-pt shot from 21 ft,,42-39,,
10:10.0,,,42-39,,Defensive rebound by Team
10:10.0,Loose ball foul by M. Hezonja (drawn by A. Burks),,42-39,,
10:10.0,S. Ibaka enters the game for D. Augustin,,42-39,,
10:00.0,,,42-39,,G. Hill misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by B. Biyombo,,42-39,,
9:43.0,C. Watson misses 2-pt shot from 17 ft,,42-39,,
9:41.0,,,42-39,,Defensive rebound by A. Burks
9:21.0,,,42-41,2,B. Diaw makes 2-pt shot from 2 ft
9:03.0,J. Green makes 2-pt shot from 8 ft,2,44-41,,
9:03.0,Shooting foul by A. Burks (drawn by J. Green),,44-41,,
9:03.0,J. Green misses free throw 1 of 1,,44-41,,
9:02.0,,,44-41,,Defensive rebound by A. Burks
8:47.0,,,44-41,,R. Hood misses 3-pt shot from 25 ft
8:47.0,,,44-41,,Offensive rebound by A. Burks
8:41.0,,,44-41,,R. Hood misses 2-pt shot from 8 ft
8:40.0,Defensive rebound by S. Ibaka,,44-41,,
8:31.0,S. Ibaka misses 3-pt shot from 25 ft,,44-41,,
8:31.0,,,44-41,,Defensive rebound by A. Burks
8:28.0,,,44-43,2,B. Diaw makes 2-pt shot from 2 ft (assist by A. Burks)
8:28.0,,,44-43,,Shooting foul by C. Watson (drawn by B. Diaw)
8:28.0,,,44-44,1,B. Diaw makes free throw 1 of 1
8:28.0,,,44-43,,G. Hayward enters the game for A. Burks
8:28.0,,,44-43,,D. Exum enters the game for G. Hill
8:28.0,E. Payton enters the game for C. Watson,,44-43,,
8:28.0,J. Meeks enters the game for M. Hezonja,,44-43,,
8:09.0,E. Payton misses 2-pt shot from 19 ft,,44-44,,
8:09.0,,,44-44,,Defensive rebound by R. Hood
8:00.0,,,44-46,2,D. Favors makes 2-pt shot from 3 ft (assist by R. Hood)
7:59.0,Orlando full timeout,,44-46,,
7:59.0,,,44-46,,T. Lyles enters the game for B. Diaw
7:59.0,A. Gordon enters the game for J. Green,,44-46,,
7:59.0,N. Vucevic enters the game for B. Biyombo,,44-46,,
7:47.0,Shooting foul by G. Hayward (drawn by J. Meeks),,44-46,,
7:47.0,J. Meeks makes free throw 1 of 2,1,45-46,,
7:47.0,J. Meeks makes free throw 2 of 2,1,46-46,,
7:28.0,,,46-48,2,R. Hood makes 2-pt shot from 9 ft
7:09.0,,,46-48,,Personal take foul by D. Exum (drawn by E. Payton)
7:09.0,E. Payton makes free throw 1 of 2,1,47-48,,
7:09.0,E. Payton makes free throw 2 of 2,1,48-48,,
7:09.0,,,47-48,,R. Gobert enters the game for D. Favors
6:56.0,,,48-50,2,D. Exum makes 2-pt shot from 2 ft (assist by G. Hayward)
6:40.0,Turnover by S. Ibaka (3 sec),,48-50,,
6:21.0,,,48-50,,R. Gobert misses 2-pt shot from 5 ft
6:20.0,Defensive rebound by E. Payton,,48-50,,
6:12.0,S. Ibaka misses 3-pt shot from 25 ft,,48-50,,
6:11.0,,,48-50,,Defensive rebound by G. Hayward
5:54.0,,,48-53,3,G. Hayward makes 3-pt shot from 25 ft
5:41.0,E. Payton makes 2-pt shot from 2 ft,2,50-53,,
5:41.0,Shooting foul by D. Exum (drawn by E. Payton),,50-53,,
5:41.0,Orlando full timeout,,50-53,,
5:41.0,E. Payton misses free throw 1 of 1,,50-53,,
5:41.0,,,50-53,,G. Hill enters the game for D. Exum
5:40.0,,,50-53,,Defensive rebound by R. Gobert
5:26.0,,,50-53,,R. Hood misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by A. Gordon,,50-53,,
5:02.0,J. Meeks makes 3-pt shot from 24 ft (assist by S. Ibaka),3,53-53,,
4:46.0,,,53-53,,T. Lyles misses 2-pt shot from 12 ft
4:45.0,,,53-53,,Offensive rebound by R. Gobert
4:41.0,,,53-55,2,T. Lyles makes 2-pt shot from 17 ft (assist by R. Gobert)
4:24.0,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic),2,55-55,,
4:24.0,Shooting foul by G. Hill (drawn by A. Gordon),,55-55,,
4:24.0,A. Gordon makes free throw 1 of 1,1,56-55,,
4:09.0,,,56-55,,Shooting foul by N. Vucevic (drawn by G. Hayward)
4:09.0,,,56-55,,G. Hayward misses free throw 1 of 2
4:09.0,,,56-55,,Offensive rebound by Team
4:09.0,,,56-56,1,G. Hayward makes free throw 2 of 2
4:09.0,,,56-55,,A. Burks enters the game for R. Hood
4:09.0,,,56-55,,D. Favors enters the game for T. Lyles
3:44.0,Turnover by Team (shot clock),,56-56,,
3:30.0,,,56-56,,Turnover by G. Hayward (lost ball; steal by E. Payton)
3:25.0,A. Gordon makes 2-pt shot at rim (assist by J. Meeks),2,58-56,,
3:24.0,,,58-56,,Technical foul by Team
3:24.0,S. Ibaka makes technical free throw,1,59-56,,
3:24.0,,,59-56,,Utah full timeout
3:03.0,,,59-56,,D. Favors misses 2-pt shot from 8 ft
3:03.0,Defensive rebound by N. Vucevic,,59-56,,
2:42.0,J. Meeks misses 3-pt shot from 25 ft,,59-56,,
2:42.0,,,59-56,,Defensive rebound by R. Gobert
2:31.0,,,59-56,,G. Hill misses 2-pt shot from 3 ft
2:30.0,,,59-56,,Offensive rebound by R. Gobert
2:28.0,,,59-56,,R. Gobert misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by S. Ibaka,,59-56,,
2:22.0,E. Payton misses 2-pt shot from 2 ft,,59-56,,
2:22.0,,,59-56,,Defensive rebound by D. Favors
2:13.0,,,59-56,,Shooting foul by J. Meeks (drawn by G. Hill)
2:13.0,,,59-57,1,G. Hill makes free throw 1 of 2
2:13.0,,,59-58,1,G. Hill makes free throw 2 of 2
2:13.0,,,59-57,,R. Hood enters the game for A. Burks
1:58.0,N. Vucevic makes 2-pt shot from 2 ft (assist by S. Ibaka),2,61-58,,
1:42.0,,,61-58,,Turnover by D. Favors (bad pass; steal by A. Gordon)
1:36.0,A. Gordon misses 2-pt shot from 5 ft,,61-58,,
1:36.0,,,61-58,,Defensive rebound by G. Hayward
1:31.0,,,61-60,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
1:31.0,,,61-60,,Shooting foul by E. Payton (drawn by R. Gobert)
1:31.0,,,61-61,1,R. Gobert makes free throw 1 of 1
1:15.0,N. Vucevic makes 2-pt shot from 2 ft,2,63-61,,
0:55.0,,,63-61,,Turnover by G. Hill (bad pass; steal by N. Vucevic)
0:50.0,S. Ibaka makes 2-pt shot from 3 ft (assist by J. Meeks),2,65-61,,
0:31.0,,,65-61,,G. Hill misses 2-pt shot from 4 ft
0:31.0,,,65-61,,Offensive rebound by R. Gobert
0:31.0,Loose ball foul by A. Gordon (drawn by R. Gobert),,65-61,,
0:31.0,,,65-61,,R. Gobert misses free throw 1 of 2
0:31.0,,,65-61,,Offensive rebound by Team
0:31.0,,,65-62,1,R. Gobert makes free throw 2 of 2
0:31.0,D. Augustin enters the game for E. Payton,,65-61,,
0:31.0,J. Green enters the game for S. Ibaka,,65-61,,
0:31.0,C. Watson enters the game for A. Gordon,,65-61,,
0:09.0,N. Vucevic misses 2-pt shot from 8 ft,,65-62,,
0:08.0,,,65-62,,Defensive rebound by R. Gobert
0:01.0,,,65-64,2,R. Gobert makes 2-pt shot from 3 ft (assist by G. Hayward)
0:01.0,Turnover by N. Vucevic (bad pass),,65-64,,
0:00.0,,,65-64,,G. Hill misses 3-pt shot from 34 ft
0:00.0,,,65-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,E. Payton makes 2-pt shot from 2 ft,2,67-64,,
11:31.0,,,67-64,,Turnover by R. Hood (bad pass; steal by N. Vucevic)
11:26.0,Turnover by J. Meeks (bad pass; steal by G. Hayward),,67-64,,
11:16.0,,,67-64,,G. Hill misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by E. Payton,,67-64,,
11:06.0,E. Payton makes 2-pt shot from 11 ft,2,69-64,,
10:47.0,,,69-64,,Turnover by D. Favors (bad pass; steal by N. Vucevic)
