time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Capela (T. Ariza gains possession),,,,Jump ball: A. Bogut vs. C. Capela (T. Ariza gains possession)
11:39.0,Turnover by E. Gordon (bad pass; steal by H. Barnes),,0-0,,
11:20.0,,,0-0,,A. Bogut misses 2-pt shot from 7 ft
11:19.0,Defensive rebound by J. Harden,,0-0,,
11:10.0,Turnover by J. Harden (bad pass),,0-0,,
10:54.0,Personal foul by E. Gordon,,0-0,,
10:43.0,,,0-2,2,D. Williams makes 2-pt shot from 1 ft
10:25.0,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon),3,3-2,,
10:12.0,,,3-2,,H. Barnes misses 2-pt shot from 6 ft
10:11.0,,,3-2,,Offensive rebound by J. Barea
10:09.0,,,3-4,2,J. Barea makes 2-pt shot from 17 ft
9:59.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,6-4,,
9:43.0,,,6-6,2,H. Barnes makes 2-pt shot from 18 ft
9:27.0,T. Ariza misses 2-pt shot from 15 ft,,6-6,,
9:26.0,,,6-6,,Defensive rebound by A. Bogut
9:14.0,,,6-6,,W. Matthews misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by T. Ariza,,6-6,,
9:09.0,J. Harden misses 2-pt shot from 1 ft,,6-6,,
9:06.0,Offensive rebound by C. Capela,,6-6,,
9:06.0,C. Capela misses 2-pt shot from 2 ft,,6-6,,
9:05.0,,,6-6,,Defensive rebound by W. Matthews
8:53.0,,,6-8,2,J. Barea makes 2-pt shot from 1 ft
8:28.0,Shooting foul by J. Barea (drawn by T. Ariza),,6-8,,
8:28.0,T. Ariza makes free throw 1 of 3,1,7-8,,
8:28.0,T. Ariza makes free throw 2 of 3,1,8-8,,
8:28.0,T. Ariza makes free throw 3 of 3,1,9-8,,
8:09.0,,,9-8,,H. Barnes misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by R. Anderson,,9-8,,
7:54.0,J. Harden misses 3-pt shot from 23 ft,,9-8,,
7:54.0,,,9-8,,Defensive rebound by J. Barea
7:49.0,,,9-8,,J. Barea misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by R. Anderson,,9-8,,
7:43.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,11-8,,
7:21.0,,,11-10,2,D. Williams makes 2-pt shot from 13 ft
7:01.0,T. Ariza misses 2-pt shot from 10 ft,,11-10,,
7:00.0,,,11-10,,Defensive rebound by A. Bogut
6:49.0,,,11-12,2,W. Matthews makes 2-pt shot from 9 ft
6:30.0,Turnover by R. Anderson (lost ball; steal by A. Bogut),,11-12,,
6:26.0,,,11-12,,Turnover by H. Barnes (bad pass; steal by J. Harden)
6:20.0,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon),3,14-12,,
6:18.0,,,14-12,,Dallas full timeout
6:18.0,,,14-12,,S. Curry enters the game for J. Barea
5:59.0,,,14-12,,D. Williams misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by C. Capela,,14-12,,
5:47.0,T. Ariza makes 2-pt shot at rim (assist by E. Gordon),2,16-12,,
5:34.0,,,16-12,,Offensive foul by A. Bogut
5:34.0,,,16-12,,Turnover by A. Bogut (offensive foul)
5:34.0,K. McDaniels enters the game for E. Gordon,,16-12,,
5:34.0,N. Hilario enters the game for C. Capela,,16-12,,
5:14.0,J. Harden misses 2-pt shot from 5 ft,,16-12,,
5:12.0,,,16-12,,Defensive rebound by A. Bogut
5:01.0,,,16-12,,Turnover by D. Williams (bad pass; steal by T. Ariza)
4:56.0,K. McDaniels makes 2-pt shot from 1 ft (assist by N. Hilario),2,18-12,,
4:32.0,,,18-12,,W. Matthews misses 2-pt shot from 5 ft
4:30.0,Defensive rebound by J. Harden,,18-12,,
4:18.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,21-12,,
3:54.0,,,21-15,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Williams)
3:33.0,R. Anderson misses 2-pt shot from 19 ft,,21-15,,
3:32.0,,,21-15,,Defensive rebound by A. Bogut
3:19.0,,,21-17,2,H. Barnes makes 2-pt shot from 14 ft
3:00.0,J. Harden misses 3-pt shot from 25 ft,,21-17,,
2:59.0,,,21-17,,Defensive rebound by H. Barnes
2:41.0,,,21-19,2,S. Curry makes 2-pt shot from 1 ft (assist by H. Barnes)
2:41.0,Houston full timeout,,21-19,,
2:41.0,S. Dekker enters the game for T. Ariza,,21-19,,
2:41.0,C. Brewer enters the game for R. Anderson,,21-19,,
2:27.0,K. McDaniels misses 3-pt shot from 25 ft,,21-19,,
2:26.0,,,21-19,,Defensive rebound by A. Bogut
2:15.0,,,21-19,,S. Curry misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by N. Hilario,,21-19,,
2:05.0,Offensive charge foul by J. Harden,,21-19,,
2:05.0,Turnover by J. Harden (offensive foul),,21-19,,
2:05.0,,,21-19,,D. Powell enters the game for A. Bogut
2:05.0,,,21-19,,J. Barea enters the game for D. Williams
1:51.0,,,21-21,2,H. Barnes makes 2-pt shot from 6 ft
1:25.0,S. Dekker misses 3-pt shot from 25 ft,,21-21,,
1:24.0,,,21-21,,Defensive rebound by J. Barea
1:16.0,,,21-24,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
0:59.0,C. Brewer makes 3-pt shot from 25 ft (assist by N. Hilario),3,24-24,,
0:47.0,,,24-24,,H. Barnes misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by S. Dekker,,24-24,,
0:39.0,,,24-24,,Personal foul by J. Barea
0:35.0,C. Brewer misses 2-pt shot from 2 ft,,24-24,,
0:34.0,,,24-24,,Defensive rebound by W. Matthews
0:19.0,,,24-24,,W. Matthews misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by S. Dekker,,24-24,,
0:00.0,J. Harden misses 3-pt shot from 24 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-24,,Shooting foul by C. Brewer (drawn by J. Anderson)
11:46.0,,,24-24,,J. Anderson misses free throw 1 of 2
11:46.0,,,24-24,,Offensive rebound by Team
11:46.0,,,24-25,1,J. Anderson makes free throw 2 of 2
11:32.0,C. Capela misses 2-pt shot from 5 ft,,24-25,,
11:31.0,,,24-25,,Defensive rebound by D. Powell
11:20.0,,,24-25,,Q. Acy misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by C. Brewer,,24-25,,
11:02.0,Shooting foul by S. Curry (drawn by E. Gordon),,24-25,,
11:02.0,E. Gordon makes free throw 1 of 2,1,25-25,,
11:02.0,E. Gordon makes free throw 2 of 2,1,26-25,,
10:49.0,,,26-25,,S. Curry misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by S. Dekker,,26-25,,
10:38.0,S. Dekker makes 2-pt shot from 2 ft (assist by T. Ennis),2,28-25,,
10:15.0,,,28-28,3,Q. Acy makes 3-pt shot from 24 ft (assist by J. Barea)
9:56.0,C. Capela makes 2-pt shot at rim (assist by T. Ennis),2,30-28,,
9:41.0,,,30-28,,J. Barea misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by E. Gordon,,30-28,,
9:34.0,E. Gordon misses 2-pt shot from 22 ft,,30-28,,
9:31.0,,,30-28,,Defensive rebound by Q. Acy
9:21.0,,,30-28,,S. Curry misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by C. Capela,,30-28,,
9:14.0,,,30-28,,Personal foul by S. Curry (drawn by E. Gordon)
9:08.0,S. Dekker misses 3-pt shot from 24 ft,,30-28,,
9:08.0,Offensive rebound by Team,,30-28,,
9:02.0,Turnover by C. Capela (bad pass; steal by D. Powell),,30-28,,
8:46.0,,,30-28,,Q. Acy misses 2-pt shot from 4 ft
8:45.0,Defensive rebound by C. Capela,,30-28,,
8:35.0,Offensive charge foul by S. Dekker,,30-28,,
8:35.0,Turnover by S. Dekker (offensive foul),,30-28,,
8:35.0,Official timeout,,30-28,,
8:20.0,,,30-28,,Q. Acy misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by C. Brewer,,30-28,,
8:10.0,,,30-28,,Violation by J. Anderson (def goaltending)
8:10.0,C. Brewer makes 2-pt shot from 2 ft (assist by E. Gordon),2,32-28,,
7:56.0,,,32-28,,J. Barea misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by C. Capela,,32-28,,
7:51.0,Shooting foul by S. Curry (drawn by E. Gordon),,32-28,,
7:51.0,E. Gordon makes free throw 1 of 2,1,33-28,,
7:51.0,E. Gordon makes free throw 2 of 2,1,34-28,,
7:51.0,,,33-28,,H. Barnes enters the game for J. Barea
7:51.0,,,33-28,,W. Matthews enters the game for S. Curry
7:51.0,,,33-28,,D. Williams enters the game for Q. Acy
7:36.0,,,34-31,3,J. Anderson makes 3-pt shot from 24 ft (assist by D. Williams)
7:25.0,Turnover by C. Brewer (lost ball; steal by J. Anderson),,34-31,,
7:24.0,R. Anderson enters the game for C. Brewer,,34-31,,
7:24.0,T. Ariza enters the game for S. Dekker,,34-31,,
7:13.0,,,34-31,,Offensive charge foul by W. Matthews
7:13.0,,,34-31,,Turnover by W. Matthews (offensive foul)
7:00.0,T. Ennis misses 3-pt shot from 25 ft,,34-31,,
7:00.0,,,34-31,,Defensive rebound by J. Anderson
6:46.0,,,34-31,,Turnover by J. Anderson (offensive goaltending)
6:24.0,T. Ariza makes 3-pt shot from 23 ft (assist by T. Ennis),3,37-31,,
6:20.0,,,37-31,,Dallas full timeout
6:20.0,,,37-31,,A. Bogut enters the game for D. Powell
6:19.0,J. Harden enters the game for C. Capela,,37-31,,
6:19.0,M. Harrell enters the game for E. Gordon,,37-31,,
6:14.0,,,37-31,,Shooting foul by T. Ariza (drawn by J. Anderson)
6:14.0,,,37-31,,J. Anderson misses free throw 1 of 2
6:14.0,,,37-31,,Offensive rebound by Team
6:14.0,,,37-32,1,J. Anderson makes free throw 2 of 2
6:04.0,J. Harden misses 3-pt shot from 25 ft,,37-32,,
6:03.0,,,37-32,,Defensive rebound by A. Bogut
5:54.0,Personal foul by M. Harrell (drawn by H. Barnes),,37-32,,
5:44.0,,,37-34,2,A. Bogut makes 2-pt shot from 7 ft
5:19.0,Turnover by Team (shot clock),,37-34,,
4:57.0,,,37-34,,H. Barnes misses 2-pt shot from 4 ft
4:56.0,Defensive rebound by M. Harrell,,37-34,,
4:49.0,T. Ennis misses 2-pt shot from 1 ft,,37-34,,
4:47.0,,,37-34,,Defensive rebound by W. Matthews
4:32.0,,,37-34,,Shooting foul by T. Ennis (drawn by W. Matthews)
4:32.0,,,37-35,1,W. Matthews makes free throw 1 of 2
4:32.0,,,37-36,1,W. Matthews makes free throw 2 of 2
4:22.0,J. Harden makes 3-pt shot from 25 ft,3,40-36,,
4:01.0,Personal foul by J. Harden (drawn by W. Matthews),,40-36,,
4:01.0,,,40-37,1,W. Matthews makes free throw 1 of 2
4:01.0,,,40-38,1,W. Matthews makes free throw 2 of 2
4:01.0,N. Hilario enters the game for M. Harrell,,40-37,,
4:01.0,E. Gordon enters the game for T. Ennis,,40-37,,
3:47.0,J. Harden makes 2-pt shot from 18 ft,2,42-38,,
3:37.0,,,42-38,,Turnover by A. Bogut (bad pass; steal by N. Hilario)
3:35.0,Shooting foul by A. Bogut (drawn by N. Hilario),,42-38,,
3:35.0,N. Hilario misses free throw 1 of 2,,42-38,,
3:35.0,Offensive rebound by Team,,42-38,,
3:35.0,N. Hilario misses free throw 2 of 2,,42-38,,
3:35.0,,,42-38,,J. Barea enters the game for J. Anderson
3:33.0,,,42-38,,Defensive rebound by A. Bogut
3:13.0,,,42-40,2,D. Williams makes 2-pt shot from 15 ft
2:57.0,N. Hilario misses 2-pt shot from 18 ft,,42-40,,
2:56.0,,,42-40,,Defensive rebound by H. Barnes
2:38.0,,,42-40,,Shooting foul by E. Gordon
2:38.0,Houston full timeout,,42-40,,
2:38.0,,,42-40,,J. Barea misses free throw 1 of 2
2:38.0,,,42-40,,Offensive rebound by Team
2:38.0,,,42-41,1,J. Barea makes free throw 2 of 2
2:26.0,Turnover by R. Anderson (lost ball; steal by D. Williams),,42-41,,
2:16.0,,,42-41,,Shooting foul by R. Anderson (drawn by D. Williams)
2:16.0,,,42-42,1,D. Williams makes free throw 1 of 2
2:16.0,,,42-43,1,D. Williams makes free throw 2 of 2
2:05.0,E. Gordon misses 3-pt shot from 23 ft,,42-43,,
2:05.0,,,42-43,,Defensive rebound by H. Barnes
1:50.0,,,42-43,,A. Bogut misses 2-pt shot from 5 ft
1:49.0,Defensive rebound by T. Ariza,,42-43,,
1:49.0,,,42-43,,Loose ball foul by A. Bogut (drawn by N. Hilario)
1:49.0,N. Hilario makes free throw 1 of 2,1,43-43,,
1:49.0,N. Hilario makes free throw 2 of 2,1,44-43,,
1:49.0,,,43-43,,D. Powell enters the game for A. Bogut
1:27.0,,,44-45,2,D. Williams makes 2-pt shot from 17 ft
1:03.0,J. Harden makes 2-pt shot from 17 ft,2,46-45,,
0:51.0,,,46-48,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Barea)
0:38.0,E. Gordon makes 3-pt shot from 27 ft,3,49-48,,
0:30.0,,,49-48,,J. Barea misses 2-pt shot from 12 ft
0:29.0,,,49-48,,Offensive rebound by D. Powell
0:29.0,,,49-50,2,D. Powell makes 2-pt shot from 3 ft
0:05.0,J. Harden misses 2-pt shot from 6 ft (block by D. Powell),,49-50,,
0:05.0,Offensive rebound by J. Harden,,49-50,,
0:05.0,J. Harden makes 2-pt shot from 6 ft,2,51-50,,
0:05.0,Shooting foul by W. Matthews (drawn by J. Harden),,51-50,,
0:05.0,,,51-50,,Technical foul by W. Matthews (drawn by J. Harden)
0:05.0,J. Harden misses technical free throw,,51-50,,
0:05.0,Offensive rebound by Team,,51-50,,
0:05.0,J. Harden makes free throw 1 of 1,1,52-50,,
0:00.0,,,52-50,,D. Williams misses 3-pt shot from 31 ft
0:00.0,,,52-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-50,,W. Matthews misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by R. Anderson,,52-50,,
11:23.0,J. Harden misses 2-pt shot from 11 ft,,52-50,,
11:21.0,Offensive rebound by C. Capela,,52-50,,
11:18.0,C. Capela makes 2-pt shot from 1 ft,2,54-50,,
11:04.0,,,54-52,2,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams)
10:44.0,C. Capela misses 2-pt shot from 6 ft,,54-52,,
10:41.0,,,54-52,,Defensive rebound by J. Barea
10:22.0,Personal foul by J. Harden (drawn by W. Matthews),,54-52,,
10:14.0,,,54-52,,H. Barnes misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by J. Harden,,54-52,,
10:07.0,T. Ariza misses 3-pt shot from 26 ft,,54-52,,
10:06.0,,,54-52,,Defensive rebound by A. Bogut
9:57.0,,,54-54,2,H. Barnes makes 2-pt shot from 9 ft
9:57.0,Shooting block foul by R. Anderson (drawn by H. Barnes),,54-54,,
9:57.0,,,54-55,1,H. Barnes makes free throw 1 of 1
9:42.0,R. Anderson makes 2-pt shot from 17 ft,2,56-55,,
9:23.0,,,56-55,,H. Barnes misses 2-pt shot from 13 ft
9:21.0,Defensive rebound by C. Capela,,56-55,,
9:14.0,Offensive charge foul by C. Capela,,56-55,,
9:14.0,Turnover by C. Capela (offensive foul),,56-55,,
8:55.0,,,56-55,,D. Williams misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by J. Harden,,56-55,,
8:50.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,58-55,,
8:37.0,,,58-55,,J. Barea misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by J. Harden,,58-55,,
8:27.0,E. Gordon misses 3-pt shot from 25 ft,,58-55,,
8:27.0,,,58-55,,Defensive rebound by A. Bogut
8:06.0,,,58-57,2,H. Barnes makes 2-pt shot from 19 ft
7:47.0,R. Anderson misses 2-pt shot from 4 ft,,58-57,,
7:45.0,,,58-57,,Defensive rebound by W. Matthews
7:36.0,,,58-57,,W. Matthews misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by C. Capela,,58-57,,
7:18.0,J. Harden makes 2-pt shot from 6 ft,2,60-57,,
7:03.0,,,60-57,,J. Barea misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by C. Capela,,60-57,,
6:58.0,,,60-57,,Personal foul by J. Barea
6:50.0,J. Harden misses 3-pt shot from 25 ft,,60-57,,
6:49.0,Offensive rebound by R. Anderson,,60-57,,
6:44.0,Shooting foul by H. Barnes (drawn by E. Gordon),,60-57,,
6:44.0,E. Gordon makes free throw 1 of 2,1,61-57,,
6:44.0,,,61-57,,Violation by D. Williams (lane)
6:44.0,E. Gordon misses free throw 2 of 2,,61-57,,
