time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (C. LeVert gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (C. LeVert gains possession)
11:46.0,,,0-0,,Shooting foul by D. Wade (drawn by J. Lin)
11:46.0,,,0-1,1,J. Lin makes free throw 1 of 2
11:46.0,,,0-2,1,J. Lin makes free throw 2 of 2
11:29.0,Turnover by R. Lopez (bad pass; steal by J. Lin),,0-2,,
11:17.0,,,0-4,2,B. Lopez makes 2-pt shot from 12 ft
11:02.0,Turnover by R. Lopez (offensive foul),,0-4,,
11:02.0,Offensive foul by R. Lopez,,0-4,,
10:47.0,,,0-4,,B. Lopez misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by D. Wade,,0-4,,
10:38.0,R. Lopez makes 2-pt shot from 17 ft (assist by J. Butler),2,2-4,,
10:32.0,Personal foul by J. Grant (drawn by J. Lin),,2-4,,
10:17.0,,,2-4,,J. Lin misses 2-pt shot from 10 ft (block by J. Grant)
10:16.0,Defensive rebound by N. Mirotic,,2-4,,
10:01.0,R. Lopez misses 2-pt shot from 22 ft,,2-4,,
10:00.0,,,2-4,,Defensive rebound by J. Lin
9:52.0,,,2-4,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by R. Lopez,,2-4,,
9:45.0,Turnover by J. Grant (bad pass; steal by C. LeVert),,2-4,,
9:35.0,Personal foul by J. Grant (drawn by C. LeVert),,2-4,,
9:35.0,M. Carter-Williams enters the game for J. Grant,,2-4,,
9:32.0,,,2-4,,Shooting foul by M. Carter-Williams (drawn by R. Hollis-Jefferson)
9:32.0,,,2-5,1,R. Hollis-Jefferson makes free throw 1 of 2
9:32.0,,,2-6,1,R. Hollis-Jefferson makes free throw 2 of 2
9:16.0,D. Wade makes 2-pt shot from 1 ft,2,4-6,,
9:03.0,,,4-6,,B. Lopez misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by D. Wade,,4-6,,
8:56.0,N. Mirotic misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,4-6,,
8:54.0,Offensive rebound by R. Lopez,,4-6,,
8:52.0,R. Lopez makes 2-pt shot from 2 ft,2,6-6,,
8:41.0,,,6-8,2,B. Lopez makes 2-pt shot from 4 ft (assist by R. Foye)
8:25.0,Turnover by D. Wade (bad pass; steal by R. Hollis-Jefferson),,6-8,,
8:16.0,,,6-8,,C. LeVert misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by M. Carter-Williams,,6-8,,
8:05.0,N. Mirotic misses 3-pt shot from 24 ft,,6-8,,
8:04.0,,,6-8,,Defensive rebound by J. Lin
7:48.0,,,6-8,,Shooting foul by R. Lopez (drawn by C. LeVert)
7:48.0,,,6-9,1,C. LeVert makes free throw 1 of 2
7:48.0,,,6-9,,C. LeVert misses free throw 2 of 2
7:48.0,J. Lauvergne enters the game for R. Lopez,,6-9,,
7:46.0,Defensive rebound by J. Lauvergne,,6-9,,
7:35.0,J. Butler makes 2-pt shot from 18 ft,2,8-9,,
7:19.0,,,8-9,,C. LeVert misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by M. Carter-Williams,,8-9,,
7:05.0,N. Mirotic misses 2-pt shot from 21 ft,,8-9,,
7:03.0,,,8-9,,Defensive rebound by Team
6:52.0,,,8-12,3,C. LeVert makes 3-pt shot from 24 ft (assist by J. Lin)
6:38.0,J. Lauvergne misses 2-pt shot from 19 ft,,8-12,,
6:37.0,,,8-12,,Defensive rebound by R. Hollis-Jefferson
6:27.0,,,8-14,2,C. LeVert makes 2-pt shot from 2 ft
6:27.0,Chicago full timeout,,8-14,,
6:27.0,P. Zipser enters the game for D. Wade,,8-14,,
6:17.0,J. Butler misses 2-pt shot from 9 ft,,8-14,,
6:16.0,,,8-14,,Defensive rebound by C. LeVert
6:12.0,,,8-14,,Shooting foul by P. Zipser (drawn by C. LeVert)
6:12.0,,,8-14,,C. LeVert misses free throw 1 of 2
6:12.0,,,8-14,,Offensive rebound by Team
6:12.0,,,8-14,,C. LeVert misses free throw 2 of 2
6:11.0,,,8-14,,Offensive rebound by R. Foye
6:05.0,,,8-17,3,J. Lin makes 3-pt shot from 25 ft (assist by R. Foye)
5:53.0,Shooting foul by R. Foye (drawn by J. Butler),,8-17,,
5:53.0,J. Butler makes free throw 1 of 2,1,9-17,,
5:53.0,J. Butler makes free throw 2 of 2,1,10-17,,
5:41.0,,,10-19,2,B. Lopez makes 2-pt shot from 22 ft (assist by J. Lin)
5:18.0,M. Carter-Williams misses 3-pt shot from 25 ft,,10-19,,
5:16.0,,,10-19,,Defensive rebound by C. LeVert
