time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (jump ball)
12:00.0,Violation by Team (jump ball),,0-0,,
12:00.0,Jump ball: N. Jokic vs. J. McGee (W. Barton gains possession),,,,Jump ball: N. Jokic vs. J. McGee (W. Barton gains possession)
11:38.0,,,0-0,,N. Jokic misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by D. Green,,0-0,,
11:24.0,S. Curry makes 2-pt shot from 16 ft (assist by K. Durant),2,2-0,,
11:07.0,,,2-0,,W. Barton misses 3-pt shot from 27 ft
11:06.0,Defensive rebound by P. McCaw,,2-0,,
10:48.0,S. Curry misses 3-pt shot from 25 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by J. Hernangomez
10:37.0,,,2-0,,W. Barton misses 2-pt shot from 10 ft (block by D. Green)
10:36.0,,,2-0,,Offensive rebound by J. Hernangomez
10:35.0,,,2-0,,J. Hernangomez misses 2-pt shot from 2 ft
10:34.0,,,2-0,,Offensive rebound by W. Barton
10:33.0,,,2-0,,Shooting foul by K. Durant (drawn by W. Barton)
10:33.0,,,2-1,1,W. Barton makes free throw 1 of 2
10:33.0,,,2-2,1,W. Barton makes free throw 2 of 2
10:23.0,J. McGee misses 2-pt shot from 1 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by N. Jokic
10:20.0,Violation by D. Green (kicked ball),,2-2,,
10:15.0,,,2-2,,G. Harris misses 2-pt shot from 2 ft
10:14.0,,,2-2,,Offensive rebound by N. Jokic
10:14.0,,,2-2,,N. Jokic misses 2-pt shot from 2 ft
10:12.0,,,2-2,,Offensive rebound by N. Jokic
10:08.0,,,2-4,2,N. Jokic makes 2-pt shot from 1 ft
9:59.0,K. Durant makes 2-pt shot from 12 ft,2,4-4,,
9:59.0,Shooting foul by W. Barton (drawn by K. Durant),,4-4,,
9:59.0,K. Durant makes free throw 1 of 1,1,5-4,,
9:46.0,,,5-4,,J. Nelson misses 2-pt shot from 3 ft
9:44.0,,,5-4,,Offensive rebound by W. Barton
9:44.0,,,5-6,2,W. Barton makes 2-pt shot from 2 ft
9:31.0,D. Green misses 3-pt shot from 24 ft,,5-6,,
9:31.0,,,5-6,,Defensive rebound by W. Barton
9:26.0,,,5-6,,J. Hernangomez misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by K. Durant,,5-6,,
9:16.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,7-6,,
9:05.0,,,7-9,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
8:56.0,S. Curry makes 2-pt shot from 22 ft,2,9-9,,
8:48.0,,,9-11,2,J. Hernangomez makes 2-pt shot from 2 ft (assist by N. Jokic)
8:48.0,,,9-11,,Shooting foul by S. Curry
8:48.0,,,9-12,1,J. Hernangomez makes free throw 1 of 1
8:26.0,Turnover by K. Durant (lost ball; steal by J. Hernangomez),,9-12,,
