time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. K. Towns (G. Dieng gains possession),,,,Jump ball: J. Green vs. K. Towns (G. Dieng gains possession)
11:42.0,,,0-0,,K. Towns misses 2-pt shot from 6 ft
11:41.0,Defensive rebound by Z. Randolph,,0-0,,
11:21.0,M. Conley makes 2-pt shot from 20 ft,2,2-0,,
10:59.0,,,2-0,,A. Wiggins misses 2-pt shot from 19 ft
10:58.0,,,2-0,,Offensive rebound by G. Dieng
10:43.0,,,2-0,,B. Rush misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by A. Harrison,,2-0,,
10:38.0,J. Ennis misses 2-pt shot from 1 ft (block by A. Wiggins),,2-0,,
10:37.0,,,2-0,,Defensive rebound by R. Rubio
10:23.0,,,2-0,,B. Rush misses 3-pt shot from 25 ft
10:22.0,,,2-0,,Offensive rebound by A. Wiggins
10:18.0,,,2-3,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
9:55.0,M. Conley misses 3-pt shot from 25 ft,,2-3,,
9:54.0,,,2-3,,Defensive rebound by K. Towns
9:30.0,,,2-6,3,K. Towns makes 3-pt shot from 25 ft (assist by A. Wiggins)
9:02.0,M. Conley makes 2-pt shot at rim,2,4-6,,
8:46.0,,,4-6,,Turnover by K. Towns (bad pass; steal by Z. Randolph)
8:37.0,Z. Randolph makes 2-pt shot from 5 ft,2,6-6,,
8:18.0,,,6-6,,R. Rubio misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by J. Green,,6-6,,
8:06.0,Z. Randolph misses 3-pt shot from 24 ft,,6-6,,
8:05.0,,,6-6,,Defensive rebound by B. Rush
8:00.0,,,6-8,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
7:48.0,Turnover by M. Conley (bad pass),,6-8,,
7:37.0,,,6-8,,R. Rubio misses 2-pt shot from 13 ft
7:36.0,Defensive rebound by Z. Randolph,,6-8,,
7:22.0,M. Conley misses 2-pt shot from 10 ft,,6-8,,
7:21.0,,,6-8,,Defensive rebound by K. Towns
7:18.0,,,6-8,,Shooting foul by A. Harrison (drawn by B. Rush)
7:18.0,,,6-9,1,B. Rush makes free throw 1 of 2
7:18.0,,,6-10,1,B. Rush makes free throw 2 of 2
6:58.0,A. Harrison misses 2-pt shot from 19 ft,,6-10,,
6:57.0,Offensive rebound by Z. Randolph,,6-10,,
6:55.0,Z. Randolph misses 2-pt shot from 1 ft,,6-10,,
6:54.0,,,6-10,,Defensive rebound by G. Dieng
6:48.0,,,6-12,2,A. Wiggins makes 2-pt shot from 5 ft (assist by R. Rubio)
6:48.0,,,6-12,,Shooting foul by M. Conley (drawn by A. Wiggins)
6:48.0,,,6-13,1,A. Wiggins makes free throw 1 of 1
6:36.0,M. Conley misses 2-pt shot from 6 ft,,6-13,,
6:35.0,,,6-13,,Defensive rebound by G. Dieng
6:28.0,,,6-13,,B. Rush misses 2-pt shot at rim
6:27.0,Defensive rebound by Z. Randolph,,6-13,,
6:19.0,A. Harrison makes 3-pt shot from 24 ft (assist by M. Conley),3,9-13,,
5:54.0,,,9-15,2,R. Rubio makes 2-pt shot from 3 ft (assist by A. Wiggins)
5:38.0,J. Green makes 2-pt shot from 10 ft,2,11-15,,
5:20.0,,,11-15,,A. Wiggins misses 2-pt shot from 16 ft
5:19.0,,,11-15,,Offensive rebound by G. Dieng
5:19.0,,,11-15,,G. Dieng misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by J. Ennis,,11-15,,
5:06.0,J. Green makes 2-pt shot from 15 ft (assist by J. Ennis),2,13-15,,
4:49.0,,,13-18,3,B. Rush makes 3-pt shot from 25 ft (assist by R. Rubio)
4:42.0,Memphis full timeout,,13-18,,
4:42.0,,,13-18,,S. Muhammad enters the game for B. Rush
4:42.0,B. Wright enters the game for J. Green,,13-18,,
4:42.0,V. Carter enters the game for M. Conley,,13-18,,
4:23.0,Z. Randolph misses 2-pt shot from 13 ft,,13-18,,
4:22.0,,,13-18,,Defensive rebound by G. Dieng
4:22.0,Loose ball foul by J. Ennis (drawn by G. Dieng),,13-18,,
4:06.0,,,13-20,2,K. Towns makes 2-pt shot from 8 ft
3:46.0,Turnover by V. Carter (bad pass; steal by A. Wiggins),,13-20,,
3:39.0,,,13-20,,R. Rubio misses 3-pt shot from 24 ft
3:38.0,,,13-20,,Offensive rebound by A. Wiggins
3:34.0,,,13-23,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
3:25.0,Memphis full timeout,,13-23,,
3:25.0,T. Daniels enters the game for J. Ennis,,13-23,,
3:10.0,A. Harrison misses 2-pt shot from 5 ft,,13-23,,
3:09.0,,,13-23,,Defensive rebound by K. Towns
3:04.0,,,13-23,,Shooting foul by B. Wright (drawn by A. Wiggins)
3:04.0,,,13-23,,A. Wiggins misses free throw 1 of 2
3:04.0,,,13-23,,Offensive rebound by Team
3:04.0,,,13-23,,A. Wiggins misses free throw 2 of 2
3:04.0,Defensive rebound by Z. Randolph,,13-23,,
2:46.0,A. Harrison misses 3-pt shot from 26 ft,,13-23,,
2:45.0,,,13-23,,Defensive rebound by G. Dieng
2:33.0,,,13-25,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
2:05.0,V. Carter misses 3-pt shot from 25 ft,,13-25,,
2:04.0,Offensive rebound by Z. Randolph,,13-25,,
2:02.0,Z. Randolph misses 2-pt shot from 1 ft (block by K. Towns),,13-25,,
2:01.0,,,13-25,,Defensive rebound by K. Towns
1:51.0,,,13-25,,S. Muhammad misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by B. Wright,,13-25,,
1:40.0,B. Wright misses 2-pt shot from 1 ft,,13-25,,
1:39.0,,,13-25,,Defensive rebound by K. Towns
1:35.0,,,13-25,,A. Wiggins misses 2-pt shot from 1 ft
1:32.0,,,13-25,,Offensive rebound by G. Dieng
1:27.0,,,13-25,,S. Muhammad misses 2-pt shot from 12 ft
