time,Indiana,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Turner (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. M. Turner (V. Oladipo gains possession)
11:45.0,,,0-0,,Turnover by S. Adams (lost ball)
11:26.0,J. Teague makes 2-pt shot from 1 ft (assist by T. Young),2,2-0,,
11:12.0,,,2-0,,S. Adams misses 2-pt shot from 4 ft
11:09.0,,,2-0,,Offensive rebound by D. Sabonis
11:08.0,,,2-0,,D. Sabonis misses 2-pt shot from 3 ft
11:07.0,Defensive rebound by M. Turner,,2-0,,
10:57.0,J. Teague misses 2-pt shot from 4 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by S. Adams
10:55.0,,,2-0,,Turnover by S. Adams (lost ball; steal by J. Teague)
10:46.0,J. Teague makes 2-pt shot at rim,2,4-0,,
10:34.0,,,4-2,2,R. Westbrook makes 2-pt shot from 1 ft
10:24.0,Turnover by T. Young (lost ball; steal by V. Oladipo),,4-2,,
10:18.0,,,4-2,,V. Oladipo misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by G. Robinson,,4-2,,
10:12.0,G. Robinson misses 2-pt shot from 1 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by V. Oladipo
10:06.0,,,4-2,,Turnover by V. Oladipo (lost ball; steal by T. Young)
10:01.0,G. Robinson makes 2-pt shot from 2 ft (assist by J. Teague),2,6-2,,
9:49.0,,,6-2,,V. Oladipo misses 2-pt shot from 14 ft
9:49.0,,,6-2,,Offensive rebound by S. Adams
9:41.0,,,6-5,3,D. Sabonis makes 3-pt shot from 22 ft (assist by R. Westbrook)
9:26.0,J. Teague makes 3-pt shot from 25 ft (assist by M. Ellis),3,9-5,,
9:06.0,,,9-5,,S. Adams misses 2-pt shot from 1 ft
9:05.0,,,9-5,,Offensive rebound by S. Adams
9:04.0,,,9-7,2,S. Adams makes 2-pt shot at rim
8:46.0,M. Turner misses 2-pt shot from 17 ft,,9-7,,
8:45.0,,,9-7,,Defensive rebound by A. Roberson
8:40.0,,,9-9,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:22.0,T. Young makes 3-pt shot from 24 ft (assist by M. Ellis),3,12-9,,
8:06.0,,,12-11,2,D. Sabonis makes 2-pt shot from 19 ft (assist by R. Westbrook)
7:46.0,Turnover by M. Ellis (bad pass),,12-11,,
7:37.0,,,12-14,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
7:20.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,14-14,,
7:08.0,,,14-14,,Turnover by R. Westbrook (bad pass; steal by J. Teague)
6:59.0,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis),2,16-14,,
6:42.0,,,16-14,,A. Roberson misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by Team,,16-14,,
6:29.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,18-14,,
6:12.0,,,18-14,,R. Westbrook misses 2-pt shot from 2 ft
6:11.0,,,18-14,,Offensive rebound by A. Roberson
6:05.0,,,18-14,,R. Westbrook misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by J. Teague,,18-14,,
5:58.0,G. Robinson misses 3-pt shot from 25 ft,,18-14,,
5:57.0,,,18-14,,Defensive rebound by D. Sabonis
5:35.0,,,18-14,,Turnover by D. Sabonis (lost ball; steal by T. Young)
5:23.0,Shooting foul by V. Oladipo (drawn by M. Turner),,18-14,,
5:23.0,,,18-14,,Oklahoma City full timeout
