time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. D. Nowitzki (J. Randle gains possession),,,,Jump ball: T. Black vs. D. Nowitzki (J. Randle gains possession)
11:45.0,N. Young makes 2-pt shot from 13 ft (assist by D. Russell),2,2-0,,
11:29.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by S. Curry)
11:09.0,J. Randle misses 2-pt shot from 9 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by Team
10:58.0,,,2-5,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Y. Ferrell)
10:33.0,B. Ingram misses 2-pt shot from 12 ft,,2-5,,
10:32.0,Offensive rebound by J. Randle,,2-5,,
10:32.0,J. Randle makes 2-pt shot from 1 ft,2,4-5,,
10:09.0,,,4-5,,W. Matthews misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by T. Black,,4-5,,
9:54.0,D. Russell misses 2-pt shot from 15 ft,,4-5,,
9:53.0,,,4-5,,Defensive rebound by Y. Ferrell
9:45.0,,,4-8,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes)
9:30.0,Shooting foul by D. Nowitzki (drawn by J. Randle),,4-8,,
9:30.0,J. Randle makes free throw 1 of 2,1,5-8,,
9:30.0,J. Randle makes free throw 2 of 2,1,6-8,,
9:08.0,,,6-10,2,H. Barnes makes 2-pt shot from 2 ft
8:55.0,D. Russell misses 2-pt shot from 13 ft,,6-10,,
8:54.0,,,6-10,,Defensive rebound by H. Barnes
8:50.0,Personal foul by T. Black (drawn by D. Nowitzki),,6-10,,
8:45.0,,,6-12,2,Y. Ferrell makes 2-pt shot from 1 ft
8:39.0,Shooting foul by W. Matthews (drawn by N. Young),,6-12,,
8:39.0,N. Young makes free throw 1 of 2,1,7-12,,
8:39.0,N. Young makes free throw 2 of 2,1,8-12,,
8:31.0,,,8-12,,Y. Ferrell misses 2-pt shot from 1 ft (block by T. Black)
8:29.0,Defensive rebound by J. Randle,,8-12,,
8:22.0,D. Russell misses 3-pt shot from 22 ft,,8-12,,
8:21.0,,,8-12,,Defensive rebound by S. Curry
8:15.0,,,8-15,3,S. Curry makes 3-pt shot from 24 ft
7:59.0,N. Young misses 3-pt shot from 22 ft,,8-15,,
7:58.0,,,8-15,,Defensive rebound by H. Barnes
7:57.0,Personal foul by N. Young (drawn by Y. Ferrell),,8-15,,
7:40.0,,,8-17,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by S. Curry)
7:40.0,,,8-17,,Shooting foul by T. Black (drawn by D. Nowitzki)
7:40.0,,,8-18,1,D. Nowitzki makes free throw 1 of 1
7:40.0,J. Clarkson enters the game for T. Black,,8-17,,
7:31.0,,,8-18,,Violation by Y. Ferrell (kicked ball)
7:25.0,B. Ingram makes 2-pt shot from 16 ft,2,10-18,,
7:11.0,,,10-20,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by S. Curry)
7:03.0,J. Clarkson makes 2-pt shot from 19 ft (assist by D. Russell),2,12-20,,
6:52.0,Def 3 sec tech foul by B. Ingram,,12-20,,
6:52.0,,,12-21,1,D. Nowitzki makes technical free throw
6:39.0,,,12-21,,S. Curry misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by N. Young,,12-21,,
6:29.0,B. Ingram makes 2-pt shot from 2 ft,2,14-21,,
6:29.0,Shooting foul by S. Curry (drawn by B. Ingram),,14-21,,
6:29.0,B. Ingram misses free throw 1 of 1,,14-21,,
6:29.0,,,14-21,,N. Noel enters the game for D. Nowitzki
6:29.0,,,14-21,,Q. Cook enters the game for Y. Ferrell
6:28.0,,,14-21,,Defensive rebound by N. Noel
6:07.0,,,14-23,2,H. Barnes makes 2-pt shot from 16 ft
6:06.0,LA Lakers full timeout,,14-23,,
5:49.0,,,14-23,,Personal foul by Q. Cook (drawn by B. Ingram)
5:40.0,N. Young misses 3-pt shot from 23 ft,,14-23,,
5:39.0,,,14-23,,Defensive rebound by N. Noel
5:23.0,,,14-23,,H. Barnes misses 2-pt shot from 6 ft
5:22.0,,,14-23,,Offensive rebound by N. Noel
5:22.0,,,14-25,2,N. Noel makes 2-pt shot from 1 ft
5:09.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,17-25,,
4:51.0,Personal foul by J. Randle (drawn by N. Noel),,17-25,,
