time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Noel (Y. Ferrell gains possession),,,,Jump ball: M. Gasol vs. N. Noel (Y. Ferrell gains possession)
11:49.0,N. Noel makes 2-pt shot from 17 ft (assist by Y. Ferrell),2,2-0,,
11:24.0,,,2-0,,T. Allen misses 2-pt shot from 7 ft
11:22.0,,,2-0,,Offensive rebound by T. Allen
11:22.0,,,2-0,,T. Allen misses 2-pt shot at rim
11:20.0,Defensive rebound by D. Finney-Smith,,2-0,,
11:13.0,N. Noel misses 2-pt shot from 19 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by V. Carter
11:03.0,,,2-0,,M. Gasol misses 2-pt shot from 15 ft
11:02.0,Defensive rebound by N. Noel,,2-0,,
10:37.0,N. Brussino misses 3-pt shot from 32 ft,,2-0,,
10:35.0,,,2-0,,Defensive rebound by J. Green
10:26.0,,,2-0,,M. Gasol misses 2-pt shot from 21 ft
10:26.0,,,2-0,,Offensive rebound by Team
10:24.0,Personal foul by D. Powell (drawn by J. Green),,2-0,,
10:18.0,,,2-3,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
10:01.0,D. Finney-Smith misses 3-pt shot from 25 ft,,2-3,,
10:01.0,,,2-3,,Defensive rebound by Team
9:47.0,,,2-6,3,V. Carter makes 3-pt shot from 25 ft
9:31.0,N. Brussino misses 3-pt shot from 25 ft,,2-6,,
9:31.0,,,2-6,,Defensive rebound by M. Gasol
9:16.0,,,2-6,,V. Carter misses 3-pt shot from 22 ft
9:16.0,Defensive rebound by N. Brussino,,2-6,,
8:56.0,Turnover by Y. Ferrell (bad pass; steal by M. Conley),,2-6,,
8:46.0,,,2-6,,M. Gasol misses 2-pt shot from 7 ft
8:43.0,Defensive rebound by D. Powell,,2-6,,
8:36.0,D. Powell makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,5-6,,
8:17.0,,,5-8,2,T. Allen makes 2-pt shot at rim
7:53.0,Y. Ferrell misses 2-pt shot from 6 ft,,5-8,,
7:51.0,,,5-8,,Defensive rebound by M. Gasol
7:47.0,,,5-8,,Shooting foul by D. Finney-Smith (drawn by M. Gasol)
7:47.0,,,5-9,1,M. Gasol makes free throw 1 of 2
7:47.0,,,5-10,1,M. Gasol makes free throw 2 of 2
7:38.0,Y. Ferrell misses 2-pt shot from 1 ft (block by M. Gasol),,5-10,,
7:36.0,Offensive rebound by N. Brussino,,5-10,,
7:31.0,N. Noel misses 2-pt shot from 1 ft,,5-10,,
7:29.0,,,5-10,,Defensive rebound by M. Gasol
7:20.0,,,5-10,,M. Gasol misses 2-pt shot from 5 ft (block by N. Noel)
7:19.0,,,5-10,,Offensive rebound by T. Allen
7:19.0,,,5-12,2,T. Allen makes 2-pt shot at rim
6:58.0,Y. Ferrell makes 3-pt shot from 24 ft,3,8-12,,
6:46.0,Personal foul by Y. Ferrell (drawn by J. Green),,8-12,,
6:37.0,,,8-14,2,M. Conley makes 2-pt shot from 1 ft
6:14.0,D. Finney-Smith misses 3-pt shot from 24 ft,,8-14,,
6:12.0,,,8-14,,Defensive rebound by J. Green
6:10.0,,,8-14,,Memphis full timeout
6:10.0,D. Harris enters the game for N. Brussino,,8-14,,
6:10.0,D. Liggins enters the game for Y. Ferrell,,8-14,,
6:10.0,,,8-14,,W. Selden enters the game for T. Allen
6:00.0,,,8-16,2,M. Gasol makes 2-pt shot from 4 ft
5:47.0,D. Powell makes 3-pt shot from 26 ft (assist by D. Harris),3,11-16,,
5:22.0,,,11-18,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
5:05.0,D. Powell misses 2-pt shot from 14 ft,,11-18,,
5:05.0,,,11-18,,Defensive rebound by M. Gasol
4:52.0,,,11-18,,M. Conley misses 2-pt shot from 13 ft
4:51.0,Defensive rebound by D. Finney-Smith,,11-18,,
4:42.0,D. Harris misses 3-pt shot from 24 ft,,11-18,,
4:40.0,,,11-18,,Defensive rebound by J. Green
4:19.0,,,11-18,,M. Gasol misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by D. Harris,,11-18,,
4:11.0,D. Finney-Smith misses 2-pt shot from 11 ft,,11-18,,
4:08.0,,,11-18,,Defensive rebound by J. Green
3:58.0,,,11-18,,V. Carter misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by N. Noel,,11-18,,
3:52.0,Dallas full timeout,,11-18,,
3:52.0,S. Mejri enters the game for D. Powell,,11-18,,
3:52.0,N. Brussino enters the game for N. Noel,,11-18,,
3:52.0,J. Uthoff enters the game for D. Finney-Smith,,11-18,,
3:52.0,,,11-18,,T. Daniels enters the game for V. Carter
3:52.0,,,11-18,,Z. Randolph enters the game for M. Gasol
3:52.0,,,11-18,,A. Harrison enters the game for M. Conley
3:35.0,D. Harris makes 2-pt shot from 18 ft,2,13-18,,
3:29.0,,,13-18,,Turnover by T. Daniels (bad pass; steal by D. Liggins)
3:26.0,Shooting foul by T. Daniels (drawn by D. Liggins),,13-18,,
3:26.0,D. Liggins makes 2-pt shot from 1 ft,2,15-18,,
3:26.0,D. Liggins makes free throw 1 of 1,1,16-18,,
3:11.0,,,16-20,2,Z. Randolph makes 2-pt shot from 15 ft (assist by T. Daniels)
2:51.0,N. Brussino misses 3-pt shot from 25 ft,,16-20,,
2:51.0,,,16-20,,Defensive rebound by A. Harrison
2:46.0,Personal foul by N. Brussino (drawn by J. Green),,16-20,,
2:38.0,,,16-22,2,A. Harrison makes 2-pt shot at rim (assist by Z. Randolph)
2:22.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Harris),2,18-22,,
2:03.0,,,18-22,,Z. Randolph misses 2-pt shot from 20 ft
2:02.0,Defensive rebound by D. Liggins,,18-22,,
1:56.0,Turnover by N. Brussino (lost ball),,18-22,,
1:56.0,,,18-22,,B. Wright enters the game for J. Green
1:40.0,,,18-22,,T. Daniels misses 2-pt shot from 18 ft
1:36.0,,,18-22,,Offensive rebound by Z. Randolph
1:36.0,,,18-24,2,Z. Randolph makes 2-pt shot at rim
1:15.0,D. Harris makes 2-pt shot from 1 ft,2,20-24,,
1:00.0,,,20-24,,W. Selden misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by D. Harris,,20-24,,
0:34.0,Shooting foul by W. Selden (drawn by D. Harris),,20-24,,
0:34.0,D. Harris makes free throw 1 of 2,1,21-24,,
0:34.0,D. Harris makes free throw 2 of 2,1,22-24,,
0:31.0,,,22-24,,Memphis full timeout
0:31.0,D. Finney-Smith enters the game for N. Brussino,,22-24,,
0:10.0,,,22-24,,Z. Randolph misses 2-pt shot from 21 ft
0:09.0,,,22-24,,Offensive rebound by B. Wright
