time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession),,,,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession)
11:42.0,Shooting foul by D. Sabonis (drawn by D. Finney-Smith),,0-0,,
11:42.0,D. Finney-Smith makes free throw 1 of 2,1,1-0,,
11:42.0,D. Finney-Smith misses free throw 2 of 2,,1-0,,
11:41.0,,,1-0,,Defensive rebound by R. Westbrook
11:26.0,,,1-0,,S. Adams misses 2-pt shot from 8 ft
11:26.0,Defensive rebound by H. Barnes,,1-0,,
11:16.0,P. Jackson misses 2-pt shot from 21 ft,,1-0,,
11:15.0,,,1-0,,Defensive rebound by R. Westbrook
11:11.0,,,1-0,,Turnover by A. Roberson (step out of bounds)
10:55.0,H. Barnes misses 2-pt shot from 18 ft,,1-0,,
10:55.0,,,1-0,,Defensive rebound by R. Westbrook
10:50.0,,,1-0,,Turnover by D. Sabonis (lost ball; steal by D. Finney-Smith)
10:38.0,S. Curry misses 3-pt shot from 24 ft,,1-0,,
10:37.0,,,1-0,,Defensive rebound by A. Roberson
10:28.0,,,1-0,,Turnover by V. Oladipo (lost ball; steal by S. Curry)
10:04.0,H. Barnes misses 2-pt shot from 14 ft,,1-0,,
10:04.0,,,1-0,,Defensive rebound by D. Sabonis
9:57.0,,,1-0,,V. Oladipo misses 2-pt shot from 21 ft
9:56.0,,,1-0,,Offensive rebound by S. Adams
9:56.0,Personal foul by P. Jackson (drawn by S. Adams),,1-0,,
9:47.0,Violation by A. Bogut (def goaltending),,1-0,,
9:47.0,,,1-2,2,R. Westbrook makes 2-pt shot at rim
9:21.0,P. Jackson makes 3-pt shot from 25 ft (assist by S. Curry),3,4-2,,
9:03.0,,,4-4,2,R. Westbrook makes 2-pt shot from 17 ft (assist by V. Oladipo)
8:48.0,P. Jackson misses 2-pt shot from 20 ft,,4-4,,
8:48.0,,,4-4,,Defensive rebound by D. Sabonis
8:43.0,Personal foul by H. Barnes (drawn by S. Adams),,4-4,,
8:34.0,,,4-4,,R. Westbrook misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by P. Jackson,,4-4,,
8:18.0,P. Jackson makes 2-pt shot from 15 ft,2,6-4,,
8:11.0,Personal foul by A. Bogut (drawn by S. Adams),,6-4,,
8:02.0,,,6-7,3,R. Westbrook makes 3-pt shot from 24 ft
7:43.0,S. Curry makes 3-pt shot from 22 ft (assist by P. Jackson),3,9-7,,
7:22.0,,,9-9,2,R. Westbrook makes 2-pt shot from 13 ft
7:14.0,H. Barnes makes 2-pt shot at rim (assist by P. Jackson),2,11-9,,
7:14.0,Shooting foul by S. Adams (drawn by H. Barnes),,11-9,,
7:14.0,H. Barnes makes free throw 1 of 1,1,12-9,,
7:01.0,,,12-11,2,V. Oladipo makes 2-pt shot from 18 ft
6:41.0,,,12-11,,Personal foul by R. Westbrook (drawn by H. Barnes)
6:30.0,H. Barnes makes 2-pt shot from 19 ft,2,14-11,,
6:10.0,,,14-11,,R. Westbrook misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by A. Bogut,,14-11,,
5:53.0,A. Bogut misses 2-pt shot from 1 ft,,14-11,,
5:53.0,,,14-11,,Defensive rebound by A. Roberson
5:48.0,,,14-13,2,V. Oladipo makes 2-pt shot from 16 ft (assist by A. Roberson)
5:46.0,Dallas full timeout,,14-13,,
5:46.0,D. Harris enters the game for H. Barnes,,14-13,,
5:46.0,J. Anderson enters the game for A. Bogut,,14-13,,
5:46.0,S. Mejri enters the game for P. Jackson,,14-13,,
5:31.0,D. Finney-Smith misses 3-pt shot from 23 ft,,14-13,,
5:30.0,,,14-13,,Defensive rebound by A. Roberson
5:15.0,,,14-15,2,D. Sabonis makes 2-pt shot from 3 ft
5:15.0,,,14-15,,Shooting foul by J. Anderson (drawn by D. Sabonis)
5:15.0,,,14-16,1,D. Sabonis makes free throw 1 of 1
5:01.0,J. Anderson misses 3-pt shot from 22 ft,,14-16,,
5:01.0,,,14-16,,Defensive rebound by R. Westbrook
4:53.0,,,14-16,,A. Roberson misses 3-pt shot from 22 ft
4:53.0,Defensive rebound by J. Anderson,,14-16,,
4:39.0,Turnover by D. Finney-Smith (bad pass; steal by R. Westbrook),,14-16,,
4:39.0,Clear path foul by D. Harris,,14-16,,
4:39.0,,,14-16,,R. Westbrook misses clear path free throw 1 of 2
4:39.0,,,14-16,,Offensive rebound by Team
4:39.0,,,14-17,1,R. Westbrook makes clear path free throw 2 of 2
4:37.0,Personal take foul by D. Harris (drawn by A. Roberson),,14-17,,
4:37.0,,,14-17,,A. Roberson misses free throw 1 of 2
4:37.0,,,14-17,,Offensive rebound by Team
4:37.0,,,14-18,1,A. Roberson makes free throw 2 of 2
4:37.0,,,14-17,,A. Abrines enters the game for V. Oladipo
4:37.0,,,14-17,,E. Kanter enters the game for D. Sabonis
4:22.0,J. Anderson misses 2-pt shot from 4 ft,,14-18,,
4:21.0,,,14-18,,Defensive rebound by R. Westbrook
4:14.0,,,14-18,,A. Roberson misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by J. Anderson,,14-18,,
3:49.0,J. Anderson makes 3-pt shot from 25 ft (assist by S. Curry),3,17-18,,
3:31.0,,,17-21,3,A. Abrines makes 3-pt shot from 24 ft (assist by E. Kanter)
3:15.0,S. Curry misses 2-pt shot from 1 ft,,17-21,,
3:14.0,,,17-21,,Defensive rebound by A. Roberson
3:09.0,,,17-21,,Turnover by R. Westbrook (lost ball; steal by D. Harris)
2:55.0,J. Anderson makes 3-pt shot from 24 ft (assist by D. Harris),3,20-21,,
2:39.0,,,20-21,,Turnover by E. Kanter (lost ball; steal by D. Finney-Smith)
2:27.0,J. Anderson misses 3-pt shot from 25 ft,,20-21,,
2:26.0,,,20-21,,Defensive rebound by E. Kanter
2:22.0,,,20-21,,Shooting foul by J. Anderson (drawn by A. Abrines)
2:22.0,,,20-21,,Oklahoma City full timeout
2:22.0,,,20-22,1,A. Abrines makes free throw 1 of 2
2:22.0,,,20-23,1,A. Abrines makes free throw 2 of 2
2:22.0,,,20-21,,C. Payne enters the game for S. Adams
2:22.0,,,20-21,,J. Lauvergne enters the game for R. Westbrook
2:22.0,P. Jackson enters the game for D. Finney-Smith,,20-21,,
2:22.0,H. Barnes enters the game for S. Curry,,20-21,,
2:11.0,,,20-23,,Personal foul by A. Roberson (drawn by H. Barnes)
2:11.0,,,20-23,,J. Grant enters the game for A. Roberson
1:59.0,H. Barnes makes 2-pt shot from 8 ft,2,22-23,,
1:46.0,,,22-23,,Turnover by E. Kanter (lost ball; steal by D. Harris)
1:40.0,D. Harris misses 3-pt shot from 24 ft,,22-23,,
1:39.0,Offensive rebound by P. Jackson,,22-23,,
1:24.0,H. Barnes misses 2-pt shot from 13 ft,,22-23,,
1:23.0,,,22-23,,Defensive rebound by J. Grant
1:11.0,,,22-23,,J. Lauvergne misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by D. Harris,,22-23,,
0:49.0,P. Jackson misses 2-pt shot from 1 ft (block by E. Kanter),,22-23,,
0:48.0,Offensive rebound by Team,,22-23,,
0:47.0,Shooting foul by E. Kanter (drawn by J. Anderson),,22-23,,
0:47.0,J. Anderson makes free throw 1 of 2,1,23-23,,
0:47.0,J. Anderson makes free throw 2 of 2,1,24-23,,
0:32.0,,,24-23,,E. Kanter misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by S. Mejri,,24-23,,
0:15.0,H. Barnes misses 2-pt shot from 7 ft,,24-23,,
0:15.0,,,24-23,,Defensive rebound by J. Grant
0:12.0,,,24-23,,Turnover by C. Payne (bad pass)
0:00.0,D. Harris makes 2-pt shot from 2 ft,2,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-23,,J. Lauvergne misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by J. Anderson,,26-23,,
11:27.0,H. Barnes makes 2-pt shot from 17 ft (assist by P. Jackson),2,28-23,,
11:11.0,,,28-25,2,J. Lauvergne makes 2-pt shot at rim (assist by E. Kanter)
11:11.0,,,28-25,,Shooting foul by S. Mejri (drawn by J. Lauvergne)
11:11.0,,,28-26,1,J. Lauvergne makes free throw 1 of 1
11:11.0,A. Bogut enters the game for S. Mejri,,28-25,,
10:52.0,H. Barnes misses 2-pt shot from 21 ft,,28-26,,
10:52.0,,,28-26,,Defensive rebound by E. Kanter
10:38.0,,,28-29,3,C. Payne makes 3-pt shot from 25 ft (assist by A. Abrines)
10:24.0,A. Bogut misses 2-pt shot from 6 ft,,28-29,,
10:23.0,,,28-29,,Defensive rebound by E. Kanter
10:12.0,,,28-29,,Shooting foul by A. Bogut (drawn by E. Kanter)
10:12.0,,,28-29,,E. Kanter misses free throw 1 of 2
10:12.0,,,28-29,,Offensive rebound by Team
10:12.0,,,28-30,1,E. Kanter makes free throw 2 of 2
9:50.0,Shooting foul by J. Grant (drawn by J. Anderson),,28-30,,
9:50.0,J. Anderson makes free throw 1 of 2,1,29-30,,
9:50.0,J. Anderson makes free throw 2 of 2,1,30-30,,
9:36.0,,,30-30,,E. Kanter misses 2-pt shot from 1 ft
9:36.0,,,30-30,,Offensive rebound by E. Kanter
9:35.0,,,30-30,,Shooting foul by N. Brussino (drawn by E. Kanter)
9:35.0,,,30-31,1,E. Kanter makes free throw 1 of 2
9:35.0,,,30-31,,E. Kanter misses free throw 2 of 2
9:34.0,Defensive rebound by J. Anderson,,30-31,,
9:18.0,P. Jackson misses 2-pt shot from 2 ft,,30-31,,
9:18.0,,,30-31,,Defensive rebound by Team
9:01.0,,,30-31,,Turnover by J. Lauvergne (bad pass)
9:01.0,,,30-31,,V. Oladipo enters the game for A. Abrines
8:51.0,P. Jackson makes 2-pt shot from 18 ft,2,32-31,,
8:28.0,,,32-33,2,E. Kanter makes 2-pt shot from 1 ft
8:18.0,A. Bogut makes 2-pt shot from 6 ft (assist by P. Jackson),2,34-33,,
8:03.0,,,34-33,,C. Payne misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by A. Bogut,,34-33,,
