time,Portland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. C. Zeller (A. Aminu gains possession),,,,Jump ball: M. Plumlee vs. C. Zeller (A. Aminu gains possession)
11:45.0,M. Harkless makes 2-pt shot from 1 ft (assist by A. Aminu),2,2-0,,
11:22.0,,,2-3,3,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
11:06.0,C. McCollum misses 3-pt shot from 25 ft,,2-3,,
11:05.0,,,2-3,,Defensive rebound by N. Batum
10:55.0,,,2-3,,K. Walker misses 2-pt shot from 18 ft (block by A. Aminu)
10:53.0,Defensive rebound by M. Plumlee,,2-3,,
10:32.0,A. Aminu misses 2-pt shot from 19 ft,,2-3,,
10:30.0,,,2-3,,Defensive rebound by M. Williams
10:22.0,,,2-3,,N. Batum misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by D. Lillard,,2-3,,
10:12.0,D. Lillard misses 2-pt shot from 11 ft,,2-3,,
10:11.0,,,2-3,,Defensive rebound by N. Batum
10:00.0,,,2-3,,N. Batum misses 2-pt shot from 9 ft
9:59.0,,,2-3,,Offensive rebound by C. Zeller
9:54.0,,,2-3,,C. Zeller misses 2-pt shot at rim
9:53.0,Defensive rebound by M. Harkless,,2-3,,
9:45.0,Turnover by D. Lillard (bad pass; steal by K. Walker),,2-3,,
9:39.0,,,2-3,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
9:37.0,,,2-3,,Offensive rebound by M. Williams
9:37.0,,,2-3,,M. Williams misses 2-pt shot from 1 ft
9:35.0,,,2-3,,Offensive rebound by M. Williams
9:35.0,,,2-5,2,M. Williams makes 2-pt shot at rim
9:21.0,Turnover by C. McCollum (lost ball),,2-5,,
9:06.0,,,2-7,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
8:49.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,5-7,,
8:30.0,,,5-7,,K. Walker misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by M. Plumlee,,5-7,,
8:13.0,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard),2,7-7,,
7:58.0,,,7-7,,K. Walker misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by D. Lillard,,7-7,,
7:43.0,M. Harkless makes 2-pt shot at rim,2,9-7,,
7:32.0,,,9-7,,Turnover by N. Batum (bad pass)
7:15.0,M. Harkless misses 3-pt shot from 25 ft,,9-7,,
7:13.0,,,9-7,,Defensive rebound by M. Williams
7:05.0,,,9-7,,C. Zeller misses 2-pt shot from 1 ft (block by M. Plumlee)
7:03.0,Defensive rebound by M. Plumlee,,9-7,,
6:52.0,C. McCollum misses 3-pt shot from 28 ft,,9-7,,
6:51.0,,,9-7,,Defensive rebound by C. Zeller
6:37.0,,,9-7,,N. Batum misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by M. Plumlee,,9-7,,
6:28.0,D. Lillard misses 3-pt shot from 25 ft,,9-7,,
6:27.0,Offensive rebound by M. Plumlee,,9-7,,
6:27.0,M. Plumlee makes 2-pt shot at rim,2,11-7,,
6:21.0,,,11-7,,Charlotte full timeout
6:08.0,,,11-7,,Turnover by K. Walker (bad pass; steal by A. Aminu)
6:03.0,M. Harkless misses 2-pt shot from 1 ft,,11-7,,
6:02.0,Offensive rebound by A. Aminu,,11-7,,
6:02.0,A. Aminu makes 2-pt shot from 1 ft,2,13-7,,
5:46.0,,,13-7,,Shooting foul by C. McCollum (drawn by N. Batum)
5:46.0,,,13-8,1,N. Batum makes free throw 1 of 2
5:46.0,,,13-9,1,N. Batum makes free throw 2 of 2
5:46.0,,,13-8,,F. Kaminsky enters the game for M. Williams
5:46.0,,,13-8,,M. Belinelli enters the game for M. Kidd-Gilchrist
5:46.0,N. Vonleh enters the game for A. Aminu,,13-8,,
5:37.0,Turnover by M. Harkless (lost ball),,13-9,,
5:24.0,,,13-11,2,K. Walker makes 2-pt shot from 2 ft (assist by F. Kaminsky)
5:10.0,D. Lillard misses 2-pt shot from 2 ft,,13-11,,
5:08.0,Offensive rebound by D. Lillard,,13-11,,
5:08.0,D. Lillard makes 2-pt shot at rim,2,15-11,,
4:52.0,,,15-11,,M. Belinelli misses 2-pt shot from 2 ft (block by M. Plumlee)
4:50.0,Defensive rebound by D. Lillard,,15-11,,
4:39.0,C. McCollum misses 2-pt shot from 16 ft,,15-11,,
4:38.0,,,15-11,,Defensive rebound by N. Batum
4:30.0,,,15-11,,Turnover by N. Batum (bad pass; steal by C. McCollum)
4:20.0,C. McCollum misses 2-pt shot from 11 ft,,15-11,,
4:17.0,Offensive rebound by N. Vonleh,,15-11,,
4:17.0,N. Vonleh misses 2-pt shot from 1 ft (block by C. Zeller),,15-11,,
4:14.0,,,15-11,,Defensive rebound by N. Batum
4:12.0,,,15-11,,Turnover by N. Batum (bad pass; steal by C. McCollum)
4:06.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,18-11,,
3:49.0,,,18-14,3,K. Walker makes 3-pt shot from 25 ft
3:34.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,20-14,,
3:26.0,,,20-14,,Charlotte full timeout
3:26.0,A. Crabbe enters the game for M. Harkless,,20-14,,
3:26.0,E. Turner enters the game for C. McCollum,,20-14,,
3:16.0,,,20-17,3,M. Belinelli makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:01.0,D. Lillard misses 2-pt shot from 10 ft,,20-17,,
2:59.0,Offensive rebound by M. Plumlee,,20-17,,
2:59.0,M. Plumlee misses 2-pt shot at rim,,20-17,,
