time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. T. Thompson (K. Porzingis gains possession),,,,Jump ball: J. Noah vs. T. Thompson (K. Porzingis gains possession)
11:45.0,,,0-0,,Shooting foul by D. Liggins (drawn by K. Porzingis)
11:45.0,,,0-0,,K. Porzingis misses free throw 1 of 2
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-1,1,K. Porzingis makes free throw 2 of 2
11:31.0,K. Love makes 3-pt shot from 22 ft (assist by L. James),3,3-1,,
11:21.0,,,3-1,,C. Lee misses 3-pt shot from 25 ft
11:19.0,,,3-1,,Offensive rebound by K. Porzingis
11:17.0,,,3-1,,C. Anthony misses 2-pt shot from 10 ft
11:15.0,,,3-1,,Offensive rebound by J. Noah
11:15.0,,,3-3,2,J. Noah makes 2-pt shot from 1 ft
10:51.0,D. Liggins misses 3-pt shot from 24 ft,,3-3,,
10:50.0,,,3-3,,Defensive rebound by Team
10:50.0,Loose ball foul by T. Thompson (drawn by J. Noah),,3-3,,
10:30.0,,,3-3,,C. Anthony misses 2-pt shot from 12 ft
10:28.0,,,3-3,,Offensive rebound by J. Noah
10:28.0,,,3-5,2,J. Noah makes 2-pt shot at rim
10:06.0,Turnover by K. Love (lost ball; steal by C. Anthony),,3-5,,
9:57.0,,,3-8,3,B. Jennings makes 3-pt shot from 25 ft
9:42.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,5-8,,
9:31.0,,,5-8,,New York full timeout
9:27.0,,,5-8,,K. Porzingis misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by I. Shumpert,,5-8,,
9:11.0,L. James makes 3-pt shot from 24 ft,3,8-8,,
8:58.0,,,8-10,2,C. Lee makes 2-pt shot from 16 ft
8:39.0,K. Love misses 2-pt shot from 2 ft (block by K. Porzingis),,8-10,,
8:36.0,,,8-10,,Defensive rebound by B. Jennings
8:32.0,,,8-12,2,C. Anthony makes 2-pt shot from 1 ft (assist by B. Jennings)
8:23.0,D. Liggins makes 2-pt shot from 2 ft,2,10-12,,
8:16.0,,,10-12,,Offensive foul by K. Porzingis
8:16.0,,,10-12,,Turnover by K. Porzingis (offensive foul)
8:16.0,,,10-12,,W. Hernangomez enters the game for J. Noah
8:02.0,L. James makes 3-pt shot from 24 ft,3,13-12,,
7:49.0,,,13-12,,C. Anthony misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by D. Liggins,,13-12,,
7:41.0,I. Shumpert misses 3-pt shot from 23 ft,,13-12,,
7:40.0,Offensive rebound by Team,,13-12,,
7:40.0,,,13-12,,Loose ball foul by C. Lee (drawn by K. Love)
7:33.0,L. James misses 3-pt shot from 24 ft,,13-12,,
7:31.0,Offensive rebound by T. Thompson,,13-12,,
7:30.0,T. Thompson misses 2-pt shot from 3 ft (block by K. Porzingis),,13-12,,
7:27.0,,,13-12,,Defensive rebound by W. Hernangomez
7:21.0,,,13-14,2,C. Lee makes 2-pt shot from 14 ft (assist by B. Jennings)
7:05.0,K. Love misses 2-pt shot from 20 ft,,13-14,,
7:03.0,,,13-14,,Defensive rebound by C. Anthony
6:57.0,,,13-16,2,K. Porzingis makes 2-pt shot from 11 ft (assist by C. Anthony)
6:34.0,D. Liggins makes 2-pt shot from 2 ft (assist by L. James),2,15-16,,
6:23.0,,,15-16,,B. Jennings misses 2-pt shot from 13 ft
6:21.0,Defensive rebound by T. Thompson,,15-16,,
6:15.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,17-16,,
5:55.0,,,17-16,,Shooting foul by D. Liggins (drawn by W. Hernangomez)
5:55.0,,,17-16,,W. Hernangomez misses free throw 1 of 2
5:55.0,,,17-16,,Offensive rebound by Team
5:55.0,,,17-16,,W. Hernangomez misses free throw 2 of 2
5:55.0,K. Korver enters the game for D. Liggins,,17-16,,
5:54.0,Defensive rebound by Team,,17-16,,
5:54.0,,,17-16,,Loose ball foul by K. Porzingis (drawn by T. Thompson)
5:54.0,,,17-16,,K. O'Quinn enters the game for K. Porzingis
5:42.0,I. Shumpert misses 3-pt shot from 24 ft,,17-16,,
5:40.0,Offensive rebound by K. Love,,17-16,,
5:34.0,T. Thompson misses 2-pt shot from 1 ft (block by C. Lee),,17-16,,
5:31.0,Offensive rebound by K. Love,,17-16,,
5:30.0,K. Love misses 2-pt shot from 2 ft (block by C. Anthony),,17-16,,
5:29.0,,,17-16,,Defensive rebound by Team
5:16.0,,,17-16,,C. Anthony misses 2-pt shot from 15 ft
5:14.0,Defensive rebound by K. Love,,17-16,,
5:09.0,L. James misses 2-pt shot from 2 ft,,17-16,,
5:07.0,,,17-16,,Defensive rebound by K. O'Quinn
5:02.0,,,17-18,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by B. Jennings)
4:49.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,19-18,,
4:33.0,,,19-18,,K. O'Quinn misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by K. Love,,19-18,,
4:18.0,K. Love misses 3-pt shot from 25 ft,,19-18,,
4:16.0,,,19-18,,Defensive rebound by B. Jennings
4:14.0,,,19-20,2,K. O'Quinn makes 2-pt shot at rim (assist by B. Jennings)
4:14.0,Cleveland full timeout,,19-20,,
4:14.0,C. Frye enters the game for T. Thompson,,19-20,,
3:57.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,22-20,,
3:32.0,,,22-20,,C. Lee misses 2-pt shot from 17 ft
3:30.0,Defensive rebound by L. James,,22-20,,
3:24.0,C. Frye misses 3-pt shot from 24 ft,,22-20,,
3:22.0,Offensive rebound by K. Love,,22-20,,
3:18.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,24-20,,
3:05.0,,,24-20,,W. Hernangomez misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by K. Love,,24-20,,
2:57.0,C. Frye misses 3-pt shot from 24 ft,,24-20,,
2:55.0,,,24-20,,Defensive rebound by C. Lee
2:48.0,R. Jefferson enters the game for L. James,,24-20,,
2:48.0,,,24-20,,M. Kuzminskas enters the game for C. Anthony
