time,Detroit,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Drummond (T. Harris gains possession),,,,Jump ball: S. Adams vs. A. Drummond (T. Harris gains possession)
11:45.0,T. Harris misses 2-pt shot from 15 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. Westbrook
11:32.0,,,0-0,,D. Sabonis misses 2-pt shot from 18 ft
11:32.0,,,0-0,,Offensive rebound by R. Westbrook
11:23.0,,,0-0,,V. Oladipo misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by T. Harris,,0-0,,
11:12.0,M. Morris makes 2-pt shot from 5 ft,2,2-0,,
10:58.0,Personal foul by I. Smith (drawn by S. Adams),,2-0,,
10:53.0,,,2-0,,R. Westbrook misses 2-pt shot from 16 ft
10:52.0,Defensive rebound by A. Drummond,,2-0,,
10:32.0,T. Harris misses 2-pt shot from 3 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by R. Westbrook
10:19.0,,,2-0,,V. Oladipo misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by T. Harris,,2-0,,
9:59.0,A. Drummond misses 2-pt shot from 5 ft,,2-0,,
9:59.0,,,2-0,,Defensive rebound by R. Westbrook
9:53.0,,,2-2,2,R. Westbrook makes 2-pt shot from 2 ft
9:31.0,T. Harris misses 2-pt shot from 9 ft,,2-2,,
9:31.0,,,2-2,,Defensive rebound by V. Oladipo
9:17.0,,,2-2,,Turnover by S. Adams (lost ball; steal by K. Caldwell-Pope)
9:11.0,I. Smith misses 2-pt shot from 8 ft,,2-2,,
9:10.0,,,2-2,,Defensive rebound by Team
8:46.0,,,2-2,,R. Westbrook misses 3-pt shot from 23 ft
8:46.0,,,2-2,,Offensive rebound by Team
8:39.0,,,2-4,2,S. Adams makes 2-pt shot from 5 ft
8:16.0,Turnover by M. Morris (bad pass; steal by D. Sabonis),,2-4,,
8:08.0,,,2-4,,Shooting foul by K. Caldwell-Pope (drawn by R. Westbrook)
8:08.0,,,2-4,,R. Westbrook misses free throw 1 of 2
8:08.0,,,2-4,,Offensive rebound by Team
8:08.0,,,2-5,1,R. Westbrook makes free throw 2 of 2
7:54.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,2-5,,
7:53.0,,,2-5,,Defensive rebound by R. Westbrook
7:46.0,,,2-5,,D. Sabonis misses 3-pt shot from 22 ft
7:46.0,Defensive rebound by A. Drummond,,2-5,,
7:33.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,2-5,,
7:33.0,,,2-5,,Defensive rebound by V. Oladipo
7:23.0,,,2-7,2,V. Oladipo makes 2-pt shot from 2 ft
7:05.0,Turnover by K. Caldwell-Pope (lost ball; steal by V. Oladipo),,2-7,,
7:00.0,,,2-9,2,V. Oladipo makes 2-pt shot from 1 ft
6:53.0,Detroit full timeout,,2-9,,
6:38.0,A. Drummond misses 2-pt shot at rim,,2-9,,
6:37.0,,,2-9,,Defensive rebound by S. Adams
6:22.0,,,2-9,,S. Adams misses 2-pt shot from 4 ft
6:22.0,Defensive rebound by Team,,2-9,,
6:22.0,,,2-9,,Loose ball foul by S. Adams (drawn by A. Drummond)
6:07.0,A. Drummond misses 2-pt shot from 4 ft,,2-9,,
6:07.0,Offensive rebound by Team,,2-9,,
6:06.0,,,2-9,,A. Morrow enters the game for V. Oladipo
5:57.0,T. Harris misses 2-pt shot from 2 ft (block by R. Westbrook),,2-9,,
5:57.0,,,2-9,,Defensive rebound by S. Adams
5:52.0,,,2-11,2,R. Westbrook makes 2-pt shot from 1 ft
5:29.0,M. Morris misses 3-pt shot from 24 ft,,2-11,,
5:27.0,,,2-11,,Defensive rebound by Team
5:27.0,J. Leuer enters the game for T. Harris,,2-11,,
5:17.0,,,2-11,,R. Westbrook misses 2-pt shot from 5 ft
5:16.0,,,2-11,,Offensive rebound by S. Adams
5:11.0,,,2-11,,R. Westbrook misses 3-pt shot from 22 ft
5:10.0,,,2-11,,Offensive rebound by D. Sabonis
5:06.0,,,2-14,3,A. Morrow makes 3-pt shot from 25 ft (assist by D. Sabonis)
4:42.0,M. Morris makes 2-pt shot from 14 ft,2,4-14,,
4:26.0,,,4-16,2,S. Adams makes 2-pt shot from 8 ft (assist by A. Morrow)
4:18.0,Detroit full timeout,,4-16,,
4:18.0,,,4-16,,J. Lauvergne enters the game for D. Sabonis
4:09.0,I. Smith makes 2-pt shot from 3 ft,2,6-16,,
3:46.0,,,6-18,2,J. Lauvergne makes 2-pt shot from 5 ft
3:29.0,M. Morris makes 2-pt shot from 2 ft,2,8-18,,
3:20.0,,,8-20,2,A. Morrow makes 2-pt shot from 4 ft (assist by R. Westbrook)
3:03.0,M. Morris makes 2-pt shot from 19 ft,2,10-20,,
2:51.0,,,10-22,2,R. Westbrook makes 2-pt shot from 10 ft
2:31.0,M. Morris misses 2-pt shot from 16 ft,,10-22,,
2:31.0,,,10-22,,Defensive rebound by J. Lauvergne
2:18.0,,,10-22,,J. Lauvergne misses 2-pt shot from 7 ft
2:17.0,,,10-22,,Offensive rebound by S. Adams
2:17.0,,,10-22,,S. Adams misses 2-pt shot from 3 ft
2:14.0,Defensive rebound by A. Drummond,,10-22,,
2:10.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond),2,12-22,,
2:04.0,,,12-22,,Oklahoma City full timeout
2:04.0,,,12-22,,S. Christon enters the game for A. Roberson
2:04.0,,,12-22,,J. Grant enters the game for S. Adams
2:04.0,,,12-22,,E. Kanter enters the game for R. Westbrook
2:04.0,A. Baynes enters the game for A. Drummond,,12-22,,
2:04.0,D. Hilliard enters the game for K. Caldwell-Pope,,12-22,,
2:04.0,B. Udrih enters the game for I. Smith,,12-22,,
1:55.0,,,12-24,2,J. Grant makes 2-pt shot from 5 ft
1:39.0,Shooting foul by E. Kanter (drawn by A. Baynes),,12-24,,
1:39.0,A. Baynes makes free throw 1 of 2,1,13-24,,
1:39.0,A. Baynes makes free throw 2 of 2,1,14-24,,
1:30.0,Shooting block foul by A. Baynes (drawn by E. Kanter),,14-24,,
1:30.0,,,14-25,1,E. Kanter makes free throw 1 of 2
1:30.0,,,14-25,,E. Kanter misses free throw 2 of 2
1:30.0,,,14-25,,Offensive rebound by Team
1:30.0,Loose ball foul by M. Morris (drawn by J. Lauvergne),,14-25,,
1:30.0,,,14-26,1,J. Lauvergne makes free throw 1 of 2
1:30.0,,,14-26,,J. Lauvergne misses free throw 2 of 2
1:29.0,Defensive rebound by M. Morris,,14-26,,
1:08.0,M. Morris makes 2-pt shot from 10 ft,2,16-26,,
0:53.0,,,16-26,,A. Morrow misses 2-pt shot from 11 ft
0:52.0,Defensive rebound by A. Baynes,,16-26,,
0:41.0,J. Leuer misses 3-pt shot from 23 ft,,16-26,,
0:39.0,Offensive rebound by B. Udrih,,16-26,,
0:35.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,18-26,,
0:20.0,,,18-26,,S. Christon misses 2-pt shot from 15 ft
0:19.0,,,18-26,,Offensive rebound by Team
0:18.0,Loose ball foul by D. Hilliard (drawn by J. Lauvergne),,18-26,,
0:18.0,,,18-27,1,J. Lauvergne makes free throw 1 of 2
0:18.0,,,18-27,,J. Lauvergne misses free throw 2 of 2
