time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession),,,,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession)
11:41.0,K. Korver misses 2-pt shot from 2 ft (block by M. Morris),,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Gortat
11:34.0,,,0-0,,B. Beal misses 3-pt shot from 27 ft
11:31.0,Defensive rebound by K. Bazemore,,0-0,,
11:20.0,D. Howard misses 2-pt shot from 6 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by M. Gortat
11:15.0,Violation by K. Bazemore (kicked ball),,0-0,,
11:04.0,,,0-0,,Turnover by B. Beal (lost ball; steal by K. Bazemore)
10:59.0,Turnover by K. Korver (bad pass; steal by M. Morris),,0-0,,
10:53.0,,,0-2,2,O. Porter makes 2-pt shot from 3 ft (assist by J. Wall)
10:33.0,D. Howard misses 2-pt shot from 9 ft,,0-2,,
10:32.0,,,0-2,,Defensive rebound by J. Wall
10:25.0,,,0-2,,Turnover by M. Gortat (lost ball; steal by D. Howard)
10:12.0,K. Bazemore misses 2-pt shot from 1 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by J. Wall
10:07.0,,,0-5,3,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter)
9:46.0,K. Bazemore misses 3-pt shot from 22 ft,,0-5,,
9:45.0,,,0-5,,Defensive rebound by J. Wall
9:39.0,,,0-5,,O. Porter misses 3-pt shot from 26 ft
9:36.0,,,0-5,,Offensive rebound by J. Wall
9:29.0,,,0-5,,J. Wall misses 2-pt shot from 12 ft
9:28.0,Defensive rebound by D. Schroder,,0-5,,
9:23.0,D. Schroder misses 2-pt shot from 1 ft,,0-5,,
9:23.0,,,0-5,,Defensive rebound by Team
9:23.0,Loose ball foul by D. Howard (drawn by M. Gortat),,0-5,,
9:12.0,,,0-5,,J. Wall misses 2-pt shot from 3 ft
9:11.0,,,0-5,,Offensive rebound by M. Gortat
9:02.0,,,0-7,2,O. Porter makes 2-pt shot from 20 ft
8:36.0,K. Bazemore misses 2-pt shot from 5 ft,,0-7,,
8:35.0,,,0-7,,Defensive rebound by M. Morris
8:26.0,,,0-7,,O. Porter misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by D. Schroder,,0-7,,
8:04.0,K. Bazemore misses 2-pt shot from 17 ft,,0-7,,
8:04.0,Offensive rebound by D. Howard,,0-7,,
7:59.0,D. Schroder misses 3-pt shot from 25 ft,,0-7,,
7:58.0,,,0-7,,Defensive rebound by M. Morris
7:49.0,,,0-9,2,B. Beal makes 2-pt shot from 17 ft
7:48.0,Atlanta full timeout,,0-9,,
7:48.0,T. Sefolosha enters the game for K. Bazemore,,0-9,,
7:48.0,M. Muscala enters the game for D. Howard,,0-9,,
7:37.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by P. Millsap),3,3-9,,
7:19.0,,,3-9,,Turnover by B. Beal (discontinued dribble)
7:12.0,Shooting foul by J. Wall (drawn by D. Schroder),,3-9,,
7:12.0,D. Schroder makes free throw 1 of 2,1,4-9,,
7:12.0,D. Schroder misses free throw 2 of 2,,4-9,,
7:10.0,,,4-9,,Defensive rebound by M. Gortat
7:00.0,,,4-9,,Shooting foul by M. Muscala (drawn by M. Morris)
7:00.0,,,4-9,,M. Morris misses free throw 1 of 2
7:00.0,,,4-9,,Offensive rebound by Team
7:00.0,,,4-9,,M. Morris misses free throw 2 of 2
6:59.0,Defensive rebound by M. Muscala,,4-9,,
6:51.0,Turnover by P. Millsap (lost ball),,4-9,,
6:33.0,,,4-9,,M. Morris misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by D. Schroder,,4-9,,
6:28.0,K. Korver misses 3-pt shot from 28 ft,,4-9,,
6:26.0,,,4-9,,Defensive rebound by J. Wall
6:20.0,,,4-9,,J. Wall misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by P. Millsap,,4-9,,
6:14.0,Turnover by K. Korver (bad pass; steal by M. Morris),,4-9,,
6:08.0,,,4-11,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
5:50.0,M. Muscala misses 3-pt shot from 24 ft,,4-11,,
5:50.0,,,4-11,,Defensive rebound by M. Morris
5:35.0,,,4-11,,M. Morris misses 2-pt shot from 15 ft
5:35.0,Defensive rebound by P. Millsap,,4-11,,
5:19.0,D. Schroder misses 2-pt shot from 4 ft,,4-11,,
5:19.0,Offensive rebound by Team,,4-11,,
5:19.0,,,4-11,,Loose ball foul by M. Gortat (drawn by M. Muscala)
5:19.0,T. Hardaway enters the game for K. Korver,,4-11,,
5:18.0,,,4-11,,A. Nicholson enters the game for M. Morris
5:13.0,D. Schroder makes 2-pt shot from 1 ft,2,6-11,,
4:51.0,,,6-11,,A. Nicholson misses 2-pt shot from 1 ft
4:50.0,,,6-11,,Offensive rebound by M. Gortat
4:49.0,,,6-13,2,M. Gortat makes 2-pt shot at rim
4:37.0,D. Schroder makes 2-pt shot from 8 ft,2,8-13,,
4:18.0,,,8-13,,Turnover by M. Gortat (lost ball; steal by P. Millsap)
4:14.0,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Millsap),2,10-13,,
4:13.0,,,10-13,,Washington full timeout
4:13.0,,,10-13,,T. Satoransky enters the game for J. Wall
4:10.0,,,10-13,,M. Thornton enters the game for O. Porter
3:57.0,,,10-15,2,M. Gortat makes 2-pt shot from 14 ft (assist by T. Satoransky)
3:47.0,P. Millsap misses 3-pt shot from 26 ft,,10-15,,
3:47.0,,,10-15,,Defensive rebound by Team
3:30.0,,,10-15,,Turnover by A. Nicholson (3 sec)
3:30.0,D. Howard enters the game for P. Millsap,,10-15,,
3:20.0,M. Muscala misses 3-pt shot from 26 ft,,10-15,,
3:19.0,Offensive rebound by D. Schroder,,10-15,,
3:19.0,,,10-15,,Loose ball foul by T. Satoransky (drawn by D. Schroder)
3:11.0,T. Hardaway misses 2-pt shot from 17 ft (block by B. Beal),,10-15,,
3:09.0,Offensive rebound by D. Howard,,10-15,,
3:08.0,D. Howard makes 2-pt shot from 1 ft,2,12-15,,
2:53.0,,,12-15,,B. Beal misses 2-pt shot from 17 ft
2:52.0,Defensive rebound by M. Muscala,,12-15,,
2:44.0,Shooting foul by M. Gortat (drawn by D. Howard),,12-15,,
2:44.0,D. Howard makes free throw 1 of 2,1,13-15,,
2:44.0,D. Howard makes free throw 2 of 2,1,14-15,,
2:44.0,M. Delaney enters the game for D. Schroder,,13-15,,
2:44.0,,,13-15,,T. Burke enters the game for B. Beal
2:44.0,,,13-15,,J. Smith enters the game for M. Gortat
2:29.0,,,14-15,,A. Nicholson misses 2-pt shot from 11 ft
2:28.0,Defensive rebound by M. Muscala,,14-15,,
2:20.0,T. Hardaway misses 3-pt shot from 24 ft,,14-15,,
2:19.0,,,14-15,,Defensive rebound by J. Smith
2:10.0,,,14-17,2,T. Satoransky makes 2-pt shot from 7 ft
1:44.0,M. Muscala makes 2-pt shot from 12 ft (assist by T. Sefolosha),2,16-17,,
1:26.0,,,16-17,,T. Burke misses 2-pt shot from 11 ft
1:26.0,Defensive rebound by D. Howard,,16-17,,
1:18.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,18-17,,
1:01.0,,,18-19,2,M. Thornton makes 2-pt shot from 8 ft
0:48.0,T. Hardaway misses 3-pt shot from 24 ft,,18-19,,
0:48.0,Offensive rebound by Team,,18-19,,
0:48.0,,,18-19,,Loose ball foul by J. Smith (drawn by D. Howard)
0:48.0,D. Howard misses free throw 1 of 2,,18-19,,
0:48.0,Offensive rebound by Team,,18-19,,
0:48.0,D. Howard makes free throw 2 of 2,1,19-19,,
0:32.0,,,19-19,,J. Smith misses 2-pt shot from 14 ft
0:31.0,Defensive rebound by M. Muscala,,19-19,,
0:24.0,Turnover by D. Howard (traveling),,19-19,,
0:02.0,,,19-19,,T. Satoransky misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by D. Howard,,19-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,19-19,,J. Smith misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by T. Hardaway,,19-19,,
11:31.0,D. Howard misses 2-pt shot from 4 ft,,19-19,,
11:30.0,,,19-19,,Defensive rebound by M. Morris
11:23.0,,,19-19,,T. Burke misses 2-pt shot from 12 ft
11:21.0,Defensive rebound by M. Muscala,,19-19,,
10:59.0,T. Sefolosha misses 2-pt shot from 18 ft,,19-19,,
10:58.0,,,19-19,,Defensive rebound by Team
10:58.0,K. Humphries enters the game for M. Muscala,,19-19,,
10:51.0,Personal foul by K. Humphries (drawn by M. Morris),,19-19,,
10:51.0,K. Bazemore enters the game for T. Sefolosha,,19-19,,
10:41.0,,,19-21,2,M. Thornton makes 2-pt shot from 20 ft (assist by M. Morris)
10:29.0,T. Hardaway misses 3-pt shot from 25 ft,,19-21,,
10:28.0,,,19-21,,Defensive rebound by T. Burke
10:16.0,,,19-21,,M. Thornton misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by D. Howard,,19-21,,
10:10.0,M. Delaney makes 3-pt shot from 27 ft (assist by K. Bazemore),3,22-21,,
9:53.0,,,22-23,2,M. Morris makes 2-pt shot from 17 ft
9:37.0,K. Humphries misses 2-pt shot from 3 ft,,22-23,,
9:36.0,,,22-23,,Defensive rebound by T. Burke
9:24.0,,,22-23,,T. Burke misses 2-pt shot from 6 ft (block by K. Humphries)
9:22.0,Defensive rebound by D. Howard,,22-23,,
9:14.0,K. Bazemore misses 3-pt shot from 27 ft,,22-23,,
9:12.0,,,22-23,,Defensive rebound by J. Smith
8:52.0,,,22-25,2,M. Morris makes 2-pt shot from 13 ft
8:29.0,D. Howard makes 2-pt shot from 1 ft,2,24-25,,
8:12.0,,,24-27,2,M. Morris makes 2-pt shot from 3 ft
7:57.0,M. Delaney misses 3-pt shot from 24 ft,,24-27,,
7:57.0,Offensive rebound by K. Humphries,,24-27,,
7:57.0,K. Humphries misses 2-pt shot from 2 ft,,24-27,,
7:55.0,Offensive rebound by D. Howard,,24-27,,
7:55.0,Shooting foul by M. Morris (drawn by D. Howard),,24-27,,
7:55.0,Official timeout,,24-27,,
