time,Milwaukee,pts.away,score,pts.home,Orlando
2:36.0,,,24-25,,N. Vucevic misses 2-pt shot from 18 ft
2:35.0,,,24-25,,Offensive rebound by E. Fournier
2:21.0,,,24-25,,S. Ibaka misses 2-pt shot from 16 ft
2:20.0,Defensive rebound by G. Antetokounmpo,,24-25,,
2:09.0,Shooting foul by N. Vucevic (drawn by G. Monroe),,24-25,,
2:09.0,G. Monroe makes free throw 1 of 2,1,25-25,,
2:09.0,G. Monroe makes free throw 2 of 2,1,26-25,,
2:09.0,,,25-25,,C. Watson enters the game for D. Augustin
2:09.0,,,25-25,,B. Biyombo enters the game for S. Ibaka
2:09.0,J. Terry enters the game for T. Snell,,25-25,,
1:53.0,,,26-25,,N. Vucevic misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by G. Monroe,,26-25,,
1:45.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,29-25,,
1:25.0,,,29-25,,Shooting foul by G. Antetokounmpo (drawn by B. Biyombo)
1:25.0,,,29-26,1,B. Biyombo makes free throw 1 of 2
1:25.0,,,29-26,,B. Biyombo misses free throw 2 of 2
1:24.0,Defensive rebound by G. Monroe,,29-26,,
1:08.0,G. Monroe makes 2-pt shot from 6 ft,2,31-26,,
0:57.0,,,31-26,,Turnover by E. Payton (bad pass; steal by G. Monroe)
0:50.0,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,34-26,,
0:45.0,Personal foul by M. Brogdon (drawn by E. Payton),,34-26,,
0:45.0,,,34-26,,E. Payton misses free throw 1 of 2
0:45.0,,,34-26,,Offensive rebound by Team
0:45.0,,,34-27,1,E. Payton makes free throw 2 of 2
0:27.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by B. Biyombo),,34-27,,
0:26.0,,,34-27,,Defensive rebound by E. Fournier
0:21.0,,,34-29,2,E. Fournier makes 2-pt shot from 2 ft
0:21.0,,,34-29,,Shooting foul by G. Monroe (drawn by E. Fournier)
0:21.0,,,34-29,,E. Fournier misses free throw 1 of 1
0:21.0,,,34-29,,A. Gordon enters the game for B. Biyombo
0:20.0,Defensive rebound by M. Beasley,,34-29,,
0:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Beasley),2,36-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,36-31,2,E. Payton makes 2-pt shot from 19 ft
11:15.0,J. Terry misses 3-pt shot from 25 ft,,36-31,,
11:14.0,,,36-31,,Defensive rebound by A. Gordon
11:06.0,,,36-33,2,E. Payton makes 2-pt shot from 2 ft (assist by B. Biyombo)
10:50.0,J. Henson makes 2-pt shot at rim (assist by J. Terry),2,38-33,,
10:34.0,,,38-33,,E. Payton misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by G. Antetokounmpo,,38-33,,
10:15.0,M. Dellavedova misses 2-pt shot from 19 ft,,38-33,,
10:13.0,,,38-33,,Defensive rebound by N. Vucevic
9:57.0,,,38-33,,C. Watson misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by J. Terry,,38-33,,
9:40.0,M. Teletovic misses 3-pt shot from 23 ft,,38-33,,
9:38.0,,,38-33,,Defensive rebound by N. Vucevic
9:26.0,,,38-35,2,B. Biyombo makes 2-pt shot from 8 ft (assist by N. Vucevic)
9:12.0,J. Henson makes 2-pt shot from 7 ft (assist by M. Teletovic),2,40-35,,
8:59.0,,,40-35,,Shooting foul by M. Teletovic (drawn by N. Vucevic)
8:59.0,Official timeout,,40-35,,
8:59.0,,,40-36,1,N. Vucevic makes free throw 1 of 2
8:59.0,,,40-37,1,N. Vucevic makes free throw 2 of 2
8:43.0,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,43-37,,
8:18.0,,,43-37,,A. Gordon misses 2-pt shot from 17 ft
8:17.0,Defensive rebound by J. Henson,,43-37,,
8:13.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Payton),,43-37,,
8:10.0,Personal foul by M. Teletovic (drawn by E. Payton),,43-37,,
8:00.0,,,43-37,,Turnover by C. Watson (bad pass; steal by M. Dellavedova)
7:52.0,J. Terry misses 3-pt shot from 23 ft,,43-37,,
7:51.0,,,43-37,,Defensive rebound by N. Vucevic
7:42.0,,,43-39,2,E. Payton makes 2-pt shot from 7 ft
7:23.0,M. Teletovic misses 3-pt shot from 25 ft,,43-39,,
7:22.0,,,43-39,,Defensive rebound by N. Vucevic
7:09.0,,,43-39,,C. Watson misses 2-pt shot from 12 ft
7:08.0,Defensive rebound by Team,,43-39,,
6:56.0,,,43-39,,Personal foul by E. Payton (drawn by G. Antetokounmpo)
6:56.0,J. Parker enters the game for M. Teletovic,,43-39,,
6:56.0,T. Snell enters the game for J. Terry,,43-39,,
6:56.0,,,43-39,,S. Ibaka enters the game for N. Vucevic
6:47.0,J. Henson makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,45-39,,
6:22.0,,,45-39,,B. Biyombo misses 2-pt shot from 12 ft (block by J. Henson)
6:20.0,Defensive rebound by J. Parker,,45-39,,
6:12.0,Turnover by G. Antetokounmpo (lost ball; steal by B. Biyombo),,45-39,,
6:09.0,Personal foul by G. Antetokounmpo (drawn by E. Payton),,45-39,,
5:58.0,,,45-39,,B. Biyombo misses 2-pt shot from 1 ft
5:57.0,Defensive rebound by T. Snell,,45-39,,
5:43.0,J. Henson misses 2-pt shot at rim,,45-39,,
5:42.0,,,45-39,,Defensive rebound by S. Ibaka
5:38.0,,,45-39,,Shooting foul by T. Snell (drawn by C. Watson)
5:38.0,,,45-39,,Orlando full timeout
5:38.0,,,45-40,1,C. Watson makes free throw 1 of 2
5:38.0,,,45-41,1,C. Watson makes free throw 2 of 2
5:38.0,M. Beasley enters the game for G. Antetokounmpo,,45-39,,
5:38.0,,,45-39,,E. Fournier enters the game for A. Gordon
5:23.0,T. Snell makes 2-pt shot from 8 ft (assist by J. Parker),2,47-41,,
5:04.0,,,47-41,,E. Fournier misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by Team,,47-41,,
5:02.0,M. Brogdon enters the game for M. Dellavedova,,47-41,,
4:48.0,J. Henson makes 2-pt shot from 3 ft (assist by J. Parker),2,49-41,,
4:36.0,,,49-41,,E. Payton misses 2-pt shot from 19 ft
4:34.0,Defensive rebound by J. Parker,,49-41,,
4:30.0,Turnover by J. Parker (lost ball; steal by C. Watson),,49-41,,
4:05.0,,,49-43,2,E. Fournier makes 2-pt shot from 8 ft
3:41.0,M. Beasley makes 2-pt shot from 3 ft,2,51-43,,
3:18.0,,,51-45,2,S. Ibaka makes 2-pt shot from 13 ft (assist by E. Fournier)
3:00.0,J. Parker misses 3-pt shot from 25 ft,,51-45,,
2:59.0,,,51-45,,Defensive rebound by C. Watson
2:55.0,,,51-45,,S. Ibaka misses 2-pt shot at rim
2:53.0,Defensive rebound by J. Henson,,51-45,,
2:48.0,,,51-45,,Personal foul by E. Fournier (drawn by M. Beasley)
2:48.0,Milwaukee full timeout,,51-45,,
2:48.0,M. Plumlee enters the game for J. Henson,,51-45,,
2:48.0,,,51-45,,N. Vucevic enters the game for B. Biyombo
2:48.0,,,51-45,,D. Augustin enters the game for E. Payton
2:48.0,,,51-45,,A. Gordon enters the game for C. Watson
2:43.0,M. Beasley makes 2-pt shot from 13 ft,2,53-45,,
2:28.0,,,53-48,3,E. Fournier makes 3-pt shot from 26 ft (assist by D. Augustin)
2:16.0,Turnover by M. Beasley (bad pass; steal by E. Fournier),,53-48,,
2:03.0,,,53-50,2,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier)
1:57.0,M. Dellavedova enters the game for M. Brogdon,,53-50,,
1:57.0,M. Teletovic enters the game for J. Parker,,53-50,,
1:53.0,M. Beasley makes 2-pt shot from 5 ft,2,55-50,,
1:37.0,,,55-50,,E. Fournier misses 3-pt shot from 25 ft
1:36.0,,,55-50,,Offensive rebound by Team
1:30.0,,,55-50,,Turnover by E. Fournier (lost ball)
1:30.0,Jump ball: M. Beasley vs. E. Fournier (T. Snell gains possession),,,,Jump ball: M. Beasley vs. E. Fournier (T. Snell gains possession)
1:19.0,M. Teletovic misses 3-pt shot from 25 ft,,55-50,,
1:18.0,,,55-50,,Defensive rebound by E. Fournier
1:00.0,,,55-50,,A. Gordon misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by M. Beasley,,55-50,,
0:43.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by M. Plumlee),3,58-50,,
0:43.0,,,58-50,,Orlando full timeout
0:35.0,,,58-50,,E. Fournier misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by M. Beasley,,58-50,,
0:21.0,M. Plumlee misses 2-pt shot at rim,,58-50,,
0:19.0,Offensive rebound by M. Teletovic,,58-50,,
0:12.0,M. Beasley misses 2-pt shot from 16 ft,,58-50,,
0:11.0,,,58-50,,Defensive rebound by N. Vucevic
0:03.0,,,58-50,,Shooting foul by M. Plumlee (drawn by E. Fournier)
0:03.0,,,58-51,1,E. Fournier makes free throw 1 of 2
0:03.0,,,58-52,1,E. Fournier makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-54,2,E. Fournier makes 2-pt shot from 11 ft (assist by D. Augustin)
11:27.0,,,58-54,,Personal foul by A. Gordon (drawn by J. Henson)
11:21.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,58-54,,
11:20.0,,,58-54,,Defensive rebound by A. Gordon
11:10.0,,,58-56,2,D. Augustin makes 2-pt shot from 17 ft
10:56.0,T. Snell misses 3-pt shot from 25 ft,,58-56,,
10:54.0,,,58-56,,Defensive rebound by Team
10:36.0,,,58-56,,E. Fournier misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by J. Parker,,58-56,,
10:23.0,T. Snell makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,60-56,,
