time,Indiana,pts.away,score,pts.home,New Orleans
1:24.0,,,17-21,,T. Jones enters the game for A. Davis
1:07.0,,,18-21,,Shooting foul by G. Robinson (drawn by T. Jones)
1:07.0,,,18-22,1,T. Jones makes free throw 1 of 2
1:07.0,,,18-22,,T. Jones misses free throw 2 of 2
1:06.0,Defensive rebound by A. Jefferson,,18-22,,
0:48.0,A. Jefferson makes 2-pt shot at rim (assist by A. Brooks),2,20-22,,
0:34.0,,,20-22,,T. Jones misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by C. Miles,,20-22,,
0:27.0,A. Brooks misses 3-pt shot from 25 ft,,20-22,,
0:27.0,,,20-22,,Defensive rebound by O. Asik
0:17.0,,,20-22,,Shooting foul by A. Jefferson (drawn by T. Evans)
0:17.0,,,20-23,1,T. Evans makes free throw 1 of 2
0:17.0,,,20-24,1,T. Evans makes free throw 2 of 2
0:00.0,A. Brooks misses 2-pt shot from 5 ft,,20-24,,
0:00.0,,,20-24,,Defensive rebound by T. Jones
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Miles misses 2-pt shot from 17 ft,,20-24,,
11:47.0,,,20-24,,Defensive rebound by O. Asik
11:26.0,,,20-24,,Turnover by T. Evans (bad pass; steal by C. Miles)
11:19.0,G. Robinson makes 2-pt shot from 20 ft (assist by A. Brooks),2,22-24,,
11:03.0,,,22-24,,E. Moore misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by L. Allen,,22-24,,
10:46.0,L. Allen makes 2-pt shot from 13 ft (assist by A. Brooks),2,24-24,,
10:29.0,,,24-24,,L. Galloway misses 2-pt shot from 19 ft
10:28.0,Defensive rebound by A. Jefferson,,24-24,,
10:20.0,C. Miles misses 3-pt shot from 26 ft,,24-24,,
10:19.0,,,24-24,,Defensive rebound by T. Jones
9:59.0,,,24-26,2,T. Jones makes 2-pt shot from 5 ft
9:37.0,A. Jefferson makes 2-pt shot from 11 ft (assist by A. Brooks),2,26-26,,
9:25.0,,,26-26,,L. Galloway misses 3-pt shot from 24 ft
