time,Indiana,pts.away,score,pts.home,New Orleans
3:01.0,,,90-92,,Shooting foul by J. Teague (drawn by A. Davis)
3:01.0,,,90-93,1,A. Davis makes free throw 1 of 1
2:44.0,C. Miles misses 3-pt shot from 25 ft,,90-93,,
2:43.0,,,90-93,,Defensive rebound by B. Hield
2:36.0,,,90-93,,Shooting foul by M. Turner (drawn by A. Davis)
2:36.0,,,90-94,1,A. Davis makes free throw 1 of 2
2:36.0,,,90-95,1,A. Davis makes free throw 2 of 2
2:36.0,Indiana full timeout,,90-95,,
2:23.0,M. Turner misses 2-pt shot from 6 ft,,90-95,,
2:23.0,Offensive rebound by P. George,,90-95,,
2:23.0,,,90-95,,Personal foul by S. Hill (drawn by P. George)
2:17.0,Turnover by P. George (offensive foul),,90-95,,
2:17.0,Offensive charge foul by P. George,,90-95,,
2:17.0,G. Robinson enters the game for C. Miles,,90-95,,
2:05.0,,,90-95,,J. Holiday misses 2-pt shot from 10 ft
2:05.0,Defensive rebound by M. Turner,,90-95,,
1:51.0,G. Robinson misses 3-pt shot from 24 ft,,90-95,,
1:47.0,Offensive rebound by M. Turner,,90-95,,
1:42.0,J. Teague misses 3-pt shot from 25 ft,,90-95,,
1:42.0,,,90-95,,Defensive rebound by S. Hill
1:29.0,,,90-98,3,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday)
1:17.0,T. Young misses 2-pt shot from 8 ft (block by A. Davis),,90-98,,
1:12.0,,,90-98,,Defensive rebound by A. Davis
0:55.0,,,90-98,,A. Davis misses 2-pt shot from 3 ft
0:54.0,,,90-98,,Offensive rebound by T. Jones
0:54.0,,,90-98,,T. Jones misses 2-pt shot from 2 ft
0:51.0,Defensive rebound by T. Young,,90-98,,
0:47.0,Turnover by T. Young (lost ball),,90-98,,
0:47.0,,,90-98,,New Orleans full timeout
0:45.0,Personal take foul by M. Turner (drawn by A. Davis),,90-98,,
0:45.0,,,90-99,1,A. Davis makes free throw 1 of 2
0:45.0,,,90-100,1,A. Davis makes free throw 2 of 2
0:45.0,Indiana full timeout,,90-100,,
0:45.0,Violation by Team (jump ball),,90-100,,
0:45.0,,,90-99,,E. Moore enters the game for B. Hield
0:45.0,C. Miles enters the game for G. Robinson,,90-100,,
0:36.0,J. Teague makes 2-pt shot from 4 ft (assist by P. George),2,92-100,,
0:32.0,Personal take foul by P. George (drawn by T. Jones),,92-100,,
0:32.0,,,92-101,1,T. Jones makes free throw 1 of 2
0:32.0,,,92-101,,T. Jones misses free throw 2 of 2
0:31.0,Defensive rebound by M. Turner,,92-101,,
0:26.0,P. George makes 3-pt shot from 27 ft (assist by J. Teague),3,95-101,,
0:22.0,Personal take foul by J. Teague (drawn by E. Moore),,95-101,,
0:22.0,,,95-101,,E. Moore misses free throw 1 of 2
0:22.0,,,95-101,,Offensive rebound by Team
0:22.0,,,95-102,1,E. Moore makes free throw 2 of 2
0:12.0,C. Miles misses 3-pt shot from 24 ft,,95-102,,
0:11.0,,,95-102,,Defensive rebound by T. Jones
0:00.0,End of 4th quarter,,,,End of 4th quarter
