time,Detroit,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. S. Mejri (D. Williams gains possession),,,,Jump ball: A. Drummond vs. S. Mejri (D. Williams gains possession)
11:42.0,,,0-0,,W. Matthews misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by A. Drummond,,0-0,,
11:28.0,T. Harris makes 2-pt shot from 16 ft,2,2-0,,
11:10.0,,,2-0,,S. Mejri misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by A. Drummond,,2-0,,
10:59.0,R. Jackson makes 2-pt shot from 11 ft,2,4-0,,
10:38.0,,,4-0,,D. Williams misses 2-pt shot from 20 ft
10:37.0,,,4-0,,Offensive rebound by D. Williams
10:24.0,,,4-0,,D. Williams misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by A. Drummond,,4-0,,
10:10.0,Turnover by R. Jackson (bad pass; steal by D. Williams),,4-0,,
9:58.0,,,4-0,,H. Barnes misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by R. Jackson,,4-0,,
9:49.0,Turnover by T. Harris (lost ball; steal by W. Matthews),,4-0,,
9:31.0,,,4-2,2,H. Barnes makes 2-pt shot from 3 ft
9:02.0,R. Jackson misses 3-pt shot from 23 ft,,4-2,,
9:01.0,,,4-2,,Defensive rebound by H. Barnes
8:39.0,,,4-2,,S. Mejri misses 2-pt shot from 17 ft
8:38.0,,,4-2,,Offensive rebound by Team
8:38.0,,,4-2,,Turnover by Team (shot clock)
8:27.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,4-2,,
8:26.0,,,4-2,,Defensive rebound by H. Barnes
8:05.0,,,4-4,2,H. Barnes makes 2-pt shot from 10 ft
7:51.0,Turnover by M. Morris (lost ball; steal by W. Matthews),,4-4,,
7:33.0,,,4-4,,W. Matthews misses 2-pt shot from 5 ft
7:32.0,Defensive rebound by A. Drummond,,4-4,,
7:24.0,Offensive foul by A. Drummond,,4-4,,
7:24.0,Turnover by A. Drummond (offensive foul),,4-4,,
7:07.0,,,4-4,,D. Finney-Smith misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by A. Drummond,,4-4,,
6:57.0,Turnover by R. Jackson (bad pass; steal by S. Mejri),,4-4,,
