time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession),,,,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession)
11:46.0,,,0-0,,T. Harris misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by C. Lee,,0-0,,
11:33.0,K. Porzingis misses 2-pt shot from 9 ft (block by T. Harris),,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Jackson
11:25.0,,,0-2,2,T. Harris makes 2-pt shot from 13 ft
11:03.0,W. Hernangomez makes 2-pt shot from 8 ft (assist by C. Lee),2,2-2,,
10:36.0,,,2-2,,M. Morris misses 2-pt shot from 20 ft
10:36.0,Defensive rebound by C. Lee,,2-2,,
10:28.0,C. Lee misses 2-pt shot from 1 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by A. Drummond
10:21.0,,,2-2,,K. Caldwell-Pope misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by C. Anthony,,2-2,,
10:10.0,W. Hernangomez misses 2-pt shot from 1 ft,,2-2,,
10:08.0,Offensive rebound by W. Hernangomez,,2-2,,
10:05.0,W. Hernangomez makes 2-pt shot from 1 ft,2,4-2,,
9:46.0,,,4-4,2,A. Drummond makes 2-pt shot from 8 ft (assist by M. Morris)
9:32.0,Turnover by D. Rose (lost ball; steal by K. Caldwell-Pope),,4-4,,
9:29.0,,,4-4,,Turnover by R. Jackson (lost ball; steal by D. Rose)
9:23.0,D. Rose misses 2-pt shot from 7 ft,,4-4,,
9:23.0,Offensive rebound by D. Rose,,4-4,,
9:19.0,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose),3,7-4,,
9:04.0,,,7-7,3,R. Jackson makes 3-pt shot from 25 ft
8:45.0,K. Porzingis misses 2-pt shot from 6 ft (block by M. Morris),,7-7,,
8:44.0,,,7-7,,Defensive rebound by T. Harris
8:41.0,,,7-9,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Harris)
8:29.0,K. Porzingis makes 2-pt shot from 8 ft (assist by C. Anthony),2,9-9,,
8:17.0,,,9-12,3,T. Harris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
7:57.0,Turnover by C. Lee (lost ball; steal by R. Jackson),,9-12,,
7:53.0,,,9-14,2,R. Jackson makes 2-pt shot from 1 ft
7:53.0,New York full timeout,,9-14,,
7:30.0,W. Hernangomez misses 2-pt shot from 6 ft (block by A. Drummond),,9-14,,
7:30.0,,,9-14,,Defensive rebound by M. Morris
7:25.0,,,9-14,,T. Harris misses 2-pt shot from 12 ft
7:24.0,,,9-14,,Offensive rebound by T. Harris
7:21.0,,,9-16,2,T. Harris makes 2-pt shot from 1 ft
7:10.0,Turnover by C. Anthony (bad pass; steal by A. Drummond),,9-16,,
6:49.0,,,9-19,3,R. Jackson makes 3-pt shot from 26 ft
6:33.0,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope),,9-19,,
6:17.0,,,9-21,2,T. Harris makes 2-pt shot from 17 ft
6:05.0,D. Rose makes 2-pt shot from 19 ft (assist by C. Anthony),2,11-21,,
5:53.0,,,11-21,,Offensive foul by A. Drummond
5:53.0,,,11-21,,Turnover by A. Drummond (offensive foul)
5:53.0,K. O'Quinn enters the game for W. Hernangomez,,11-21,,
5:29.0,C. Anthony makes 2-pt shot from 15 ft,2,13-21,,
5:15.0,,,13-21,,R. Jackson misses 2-pt shot at rim
5:15.0,,,13-21,,Offensive rebound by A. Drummond
5:12.0,,,13-21,,A. Drummond misses 2-pt shot from 1 ft (block by K. Porzingis)
5:11.0,Defensive rebound by K. Porzingis,,13-21,,
5:01.0,K. Porzingis misses 2-pt shot from 5 ft,,13-21,,
5:01.0,Offensive rebound by K. Porzingis,,13-21,,
5:01.0,Shooting foul by R. Jackson (drawn by K. Porzingis),,13-21,,
5:01.0,K. Porzingis misses free throw 1 of 2,,13-21,,
5:01.0,Offensive rebound by Team,,13-21,,
5:01.0,K. Porzingis makes free throw 2 of 2,1,14-21,,
5:01.0,,,13-21,,I. Smith enters the game for R. Jackson
4:47.0,,,14-21,,Shooting foul by K. Porzingis (drawn by T. Harris)
