time,Boston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. D. Nowitzki (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. D. Nowitzki (I. Thomas gains possession)
11:44.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Crowder),3,3-0,,
11:28.0,,,3-2,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by H. Barnes)
11:10.0,J. Crowder misses 2-pt shot from 19 ft,,3-2,,
11:09.0,,,3-2,,Defensive rebound by D. Nowitzki
10:57.0,,,3-5,3,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes)
10:37.0,A. Horford makes 2-pt shot from 2 ft,2,5-5,,
10:19.0,,,5-5,,W. Matthews misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by A. Horford,,5-5,,
10:07.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Johnson),3,8-5,,
9:44.0,,,8-7,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by S. Curry)
9:30.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson),3,11-7,,
9:13.0,,,11-10,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by S. Curry)
8:49.0,A. Horford misses 2-pt shot from 7 ft,,11-10,,
8:48.0,,,11-10,,Defensive rebound by W. Matthews
8:30.0,,,11-12,2,W. Matthews makes 2-pt shot from 14 ft
8:18.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,14-12,,
8:17.0,,,14-12,,Dallas full timeout
8:17.0,,,14-12,,Y. Ferrell enters the game for S. Curry
8:03.0,,,14-14,2,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews)
7:47.0,I. Thomas misses 3-pt shot from 24 ft,,14-14,,
7:46.0,,,14-14,,Defensive rebound by W. Matthews
7:29.0,,,14-14,,D. Nowitzki misses 2-pt shot from 13 ft
7:28.0,Defensive rebound by A. Horford,,14-14,,
7:20.0,,,14-14,,Personal foul by W. Matthews (drawn by A. Horford)
7:20.0,J. Jerebko enters the game for A. Johnson,,14-14,,
7:08.0,A. Horford misses 2-pt shot from 7 ft,,14-14,,
7:07.0,,,14-14,,Defensive rebound by W. Matthews
6:45.0,,,14-14,,D. Nowitzki misses 2-pt shot from 18 ft
6:44.0,Defensive rebound by J. Jerebko,,14-14,,
6:37.0,Turnover by M. Smart (traveling),,14-14,,
6:16.0,,,14-16,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Williams)
6:01.0,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas),3,17-16,,
5:38.0,,,17-19,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Nowitzki)
5:23.0,,,17-19,,S. Mejri enters the game for D. Nowitzki
5:15.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,20-19,,
4:58.0,,,20-19,,H. Barnes misses 2-pt shot from 18 ft
4:57.0,Defensive rebound by J. Jerebko,,20-19,,
4:45.0,A. Horford misses 2-pt shot from 16 ft,,20-19,,
4:44.0,,,20-19,,Defensive rebound by W. Matthews
4:28.0,,,20-19,,S. Mejri misses 2-pt shot at rim (block by J. Crowder)
4:26.0,Defensive rebound by A. Horford,,20-19,,
4:17.0,Turnover by A. Horford (bad pass; steal by D. Williams),,20-19,,
4:04.0,,,20-19,,Offensive charge foul by D. Williams
4:04.0,,,20-19,,Turnover by D. Williams (offensive foul)
4:04.0,T. Rozier enters the game for A. Horford,,20-19,,
4:04.0,K. Olynyk enters the game for M. Smart,,20-19,,
4:04.0,,,20-19,,S. Curry enters the game for D. Williams
4:04.0,,,20-19,,D. Powell enters the game for S. Mejri
3:47.0,Turnover by I. Thomas (bad pass; steal by S. Curry),,20-19,,
3:47.0,Personal foul by J. Crowder (drawn by S. Curry),,20-19,,
3:27.0,,,20-19,,W. Matthews misses 2-pt shot from 20 ft
3:26.0,Defensive rebound by J. Jerebko,,20-19,,
3:14.0,Boston full timeout,,20-19,,
3:11.0,,,20-19,,Shooting block foul by W. Matthews (drawn by I. Thomas)
3:11.0,I. Thomas misses free throw 1 of 2,,20-19,,
