time,Miami,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. H. Whiteside (J. Holiday gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (J. Holiday gains possession)
11:44.0,,,0-0,,B. Hield misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by G. Dragic,,0-0,,
11:28.0,J. Winslow makes 2-pt shot from 8 ft (assist by G. Dragic),2,2-0,,
11:21.0,,,2-0,,Shooting foul by J. McRoberts (drawn by A. Davis)
11:21.0,,,2-1,1,A. Davis makes free throw 1 of 2
11:21.0,,,2-2,1,A. Davis makes free throw 2 of 2
11:09.0,G. Dragic misses 2-pt shot from 12 ft,,2-2,,
11:09.0,,,2-2,,Defensive rebound by B. Hield
10:57.0,,,2-4,2,A. Ajinca makes 2-pt shot from 13 ft (assist by J. Holiday)
10:39.0,Turnover by J. McRoberts (bad pass; steal by B. Hield),,2-4,,
10:38.0,Personal foul by J. Richardson (drawn by B. Hield),,2-4,,
10:29.0,,,2-4,,A. Davis misses 2-pt shot from 21 ft
10:28.0,Defensive rebound by H. Whiteside,,2-4,,
10:10.0,J. Richardson misses 2-pt shot at rim,,2-4,,
10:10.0,Offensive rebound by Team,,2-4,,
10:09.0,J. Richardson misses 3-pt shot at rim,,2-4,,
10:07.0,,,2-4,,Defensive rebound by A. Davis
9:52.0,,,2-4,,J. Holiday misses 2-pt shot from 6 ft
9:52.0,Defensive rebound by G. Dragic,,2-4,,
9:52.0,,,2-4,,Personal foul by J. Holiday (drawn by G. Dragic)
9:35.0,Turnover by J. McRoberts (bad pass),,2-4,,
9:20.0,,,2-6,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
9:10.0,G. Dragic makes 2-pt shot from 4 ft,2,4-6,,
8:59.0,,,4-8,2,J. Holiday makes 2-pt shot from 4 ft
8:44.0,J. McRoberts makes 3-pt shot from 26 ft,3,7-8,,
8:33.0,,,7-10,2,J. Holiday makes 2-pt shot from 3 ft
8:20.0,J. McRoberts misses 3-pt shot from 26 ft,,7-10,,
8:19.0,,,7-10,,Defensive rebound by D. Cunningham
8:09.0,,,7-10,,B. Hield misses 2-pt shot from 21 ft
8:08.0,Defensive rebound by J. Winslow,,7-10,,
7:57.0,J. Winslow misses 2-pt shot from 19 ft,,7-10,,
7:57.0,,,7-10,,Defensive rebound by B. Hield
7:48.0,,,7-10,,D. Cunningham misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by H. Whiteside,,7-10,,
7:26.0,H. Whiteside misses 2-pt shot from 16 ft,,7-10,,
7:25.0,,,7-10,,Defensive rebound by D. Cunningham
7:10.0,,,7-10,,Turnover by J. Holiday (bad pass; steal by J. Richardson)
7:09.0,G. Dragic makes 2-pt shot from 2 ft,2,9-10,,
7:09.0,Shooting foul by J. Holiday (drawn by G. Dragic),,9-10,,
7:09.0,G. Dragic makes free throw 1 of 1,1,10-10,,
7:09.0,,,9-10,,T. Frazier enters the game for J. Holiday
6:55.0,,,10-12,2,A. Davis makes 2-pt shot at rim (assist by B. Hield)
6:41.0,J. Winslow misses 3-pt shot from 26 ft,,10-12,,
6:41.0,Offensive rebound by H. Whiteside,,10-12,,
6:34.0,H. Whiteside misses 2-pt shot from 4 ft (block by A. Davis),,10-12,,
6:32.0,,,10-12,,Defensive rebound by T. Frazier
6:28.0,,,10-12,,B. Hield misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by J. Winslow,,10-12,,
6:24.0,G. Dragic makes 3-pt shot from 25 ft,3,13-12,,
6:08.0,,,13-12,,B. Hield misses 2-pt shot from 5 ft
6:08.0,,,13-12,,Offensive rebound by A. Ajinca
6:08.0,,,13-12,,A. Ajinca misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by J. Winslow,,13-12,,
6:01.0,G. Dragic makes 3-pt shot from 26 ft (assist by J. Winslow),3,16-12,,
5:54.0,,,16-12,,New Orleans full timeout
5:54.0,,,16-12,,S. Hill enters the game for A. Ajinca
5:54.0,T. Johnson enters the game for J. Richardson,,16-12,,
5:38.0,,,16-12,,A. Davis misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by J. McRoberts,,16-12,,
5:20.0,T. Johnson misses 2-pt shot from 5 ft,,16-12,,
5:20.0,,,16-12,,Defensive rebound by A. Davis
5:08.0,,,16-15,3,B. Hield makes 3-pt shot from 28 ft
4:40.0,H. Whiteside misses 2-pt shot from 4 ft,,16-15,,
4:39.0,,,16-15,,Defensive rebound by A. Davis
4:23.0,,,16-15,,B. Hield misses 2-pt shot from 5 ft
4:23.0,,,16-15,,Offensive rebound by A. Davis
4:17.0,,,16-15,,D. Cunningham misses 3-pt shot from 27 ft
4:16.0,Defensive rebound by T. Johnson,,16-15,,
4:07.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. McRoberts),3,19-15,,
3:57.0,Personal foul by T. Johnson (drawn by T. Frazier),,19-15,,
3:57.0,J. Johnson enters the game for J. McRoberts,,19-15,,
3:57.0,,,19-15,,L. Galloway enters the game for B. Hield
3:51.0,,,19-17,2,T. Frazier makes 2-pt shot from 17 ft
3:27.0,J. Johnson misses 2-pt shot from 6 ft (block by D. Cunningham),,19-17,,
3:26.0,Offensive rebound by H. Whiteside,,19-17,,
3:26.0,,,19-17,,Personal foul by D. Cunningham (drawn by H. Whiteside)
3:15.0,T. Johnson misses 2-pt shot from 16 ft,,19-17,,
3:14.0,,,19-17,,Defensive rebound by A. Davis
3:06.0,,,19-17,,S. Hill misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by J. Winslow,,19-17,,
2:58.0,,,19-17,,Personal foul by L. Galloway (drawn by G. Dragic)
2:58.0,Miami full timeout,,19-17,,
2:58.0,,,19-17,,E. Moore enters the game for D. Cunningham
2:43.0,J. Johnson makes 2-pt shot from 3 ft (assist by H. Whiteside),2,21-17,,
2:29.0,,,21-17,,T. Frazier misses 2-pt shot from 4 ft
2:28.0,Defensive rebound by H. Whiteside,,21-17,,
2:13.0,J. Johnson misses 2-pt shot from 4 ft (block by A. Davis),,21-17,,
2:11.0,,,21-17,,Defensive rebound by A. Davis
