time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession)
11:33.0,,,0-0,,J. Ennis misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by T. Parker,,0-0,,
11:15.0,L. Aldridge makes 2-pt shot from 15 ft,2,2-0,,
11:01.0,,,2-0,,M. Conley misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by D. Dedmon,,2-0,,
10:48.0,Shooting foul by V. Carter (drawn by L. Aldridge),,2-0,,
10:48.0,L. Aldridge makes free throw 1 of 3,1,3-0,,
10:48.0,L. Aldridge makes free throw 2 of 3,1,4-0,,
10:48.0,L. Aldridge makes free throw 3 of 3,1,5-0,,
10:33.0,,,5-0,,M. Gasol misses 2-pt shot from 6 ft
10:30.0,Defensive rebound by K. Leonard,,5-0,,
10:16.0,T. Parker misses 2-pt shot from 21 ft,,5-0,,
10:16.0,,,5-0,,Defensive rebound by V. Carter
10:00.0,,,5-2,2,J. Ennis makes 2-pt shot at rim
9:32.0,L. Aldridge misses 3-pt shot from 25 ft,,5-2,,
9:32.0,Offensive rebound by D. Green,,5-2,,
9:25.0,K. Leonard misses 2-pt shot from 15 ft,,5-2,,
9:25.0,,,5-2,,Defensive rebound by Team
9:25.0,Loose ball foul by D. Dedmon (drawn by V. Carter),,5-2,,
9:11.0,,,5-2,,Z. Randolph misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by K. Leonard,,5-2,,
9:10.0,Offensive foul by D. Dedmon,,5-2,,
9:10.0,Turnover by D. Dedmon (offensive foul),,5-2,,
9:10.0,P. Gasol enters the game for D. Dedmon,,5-2,,
9:00.0,,,5-2,,M. Conley misses 2-pt shot from 11 ft
8:56.0,Defensive rebound by K. Leonard,,5-2,,
8:47.0,P. Gasol misses 2-pt shot from 14 ft,,5-2,,
8:47.0,,,5-2,,Defensive rebound by Z. Randolph
8:38.0,Personal foul by K. Leonard (drawn by M. Conley),,5-2,,
8:31.0,,,5-2,,Shooting foul by D. Green (drawn by J. Ennis)
8:31.0,,,5-3,1,J. Ennis makes free throw 1 of 2
8:31.0,,,5-3,,J. Ennis misses free throw 2 of 2
8:30.0,Defensive rebound by P. Gasol,,5-3,,
8:06.0,K. Leonard misses 2-pt shot from 14 ft,,5-3,,
8:04.0,Offensive rebound by P. Gasol,,5-3,,
8:00.0,P. Gasol misses 2-pt shot from 3 ft,,5-3,,
8:00.0,,,5-3,,Defensive rebound by Z. Randolph
7:43.0,,,5-5,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley)
7:24.0,T. Parker misses 2-pt shot from 1 ft,,5-5,,
7:23.0,,,5-5,,Defensive rebound by M. Gasol
7:04.0,,,5-8,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
6:53.0,,,5-8,,Personal foul by J. Ennis (drawn by K. Leonard)
6:45.0,D. Green makes 2-pt shot from 2 ft,2,7-8,,
6:25.0,,,7-8,,V. Carter misses 2-pt shot from 2 ft (block by L. Aldridge)
6:22.0,Defensive rebound by L. Aldridge,,7-8,,
6:20.0,Shooting foul by M. Gasol (drawn by K. Leonard),,7-8,,
6:20.0,K. Leonard makes free throw 1 of 2,1,8-8,,
6:20.0,K. Leonard makes free throw 2 of 2,1,9-8,,
6:03.0,,,9-8,,M. Conley misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by L. Aldridge,,9-8,,
5:47.0,K. Leonard makes 2-pt shot at rim,2,11-8,,
5:45.0,,,11-8,,Violation by Team (jump ball)
5:33.0,,,11-10,2,V. Carter makes 2-pt shot from 1 ft (assist by M. Conley)
5:33.0,San Antonio full timeout,,11-10,,
5:33.0,,,11-10,,J. Green enters the game for Z. Randolph
5:33.0,,,11-10,,A. Harrison enters the game for M. Conley
5:33.0,M. Ginobili enters the game for D. Green,,11-10,,
5:33.0,P. Mills enters the game for T. Parker,,11-10,,
5:14.0,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol),2,13-10,,
5:02.0,Personal foul by K. Leonard (drawn by V. Carter),,13-10,,
4:50.0,,,13-10,,J. Green misses 2-pt shot from 8 ft
4:48.0,Defensive rebound by K. Leonard,,13-10,,
4:36.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,16-10,,
4:27.0,,,16-10,,Memphis full timeout
4:27.0,D. Green enters the game for K. Leonard,,16-10,,
4:10.0,,,16-10,,J. Ennis misses 3-pt shot from 22 ft
4:10.0,Defensive rebound by P. Mills,,16-10,,
3:46.0,P. Gasol misses 2-pt shot from 9 ft,,16-10,,
3:44.0,,,16-10,,Defensive rebound by M. Gasol
3:36.0,,,16-13,3,M. Gasol makes 3-pt shot from 26 ft (assist by J. Ennis)
3:19.0,P. Gasol misses 3-pt shot from 26 ft,,16-13,,
3:19.0,,,16-13,,Defensive rebound by J. Green
3:08.0,,,16-15,2,J. Ennis makes 2-pt shot from 2 ft (assist by A. Harrison)
2:53.0,Shooting foul by A. Harrison (drawn by L. Aldridge),,16-15,,
2:53.0,L. Aldridge misses free throw 1 of 2,,16-15,,
2:53.0,Offensive rebound by Team,,16-15,,
2:53.0,L. Aldridge misses free throw 2 of 2,,16-15,,
2:53.0,,,16-15,,Z. Randolph enters the game for J. Ennis
2:53.0,,,16-15,,M. Conley enters the game for V. Carter
2:53.0,,,16-15,,W. Selden enters the game for M. Gasol
2:53.0,D. Lee enters the game for P. Gasol,,16-15,,
2:52.0,Offensive rebound by D. Green,,16-15,,
2:45.0,L. Aldridge misses 2-pt shot from 18 ft,,16-15,,
2:45.0,,,16-15,,Defensive rebound by Z. Randolph
2:27.0,,,16-15,,J. Green misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by M. Ginobili,,16-15,,
2:11.0,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge),3,19-15,,
1:43.0,,,19-17,2,W. Selden makes 2-pt shot from 11 ft
1:20.0,P. Mills misses 2-pt shot from 22 ft,,19-17,,
1:18.0,,,19-17,,Defensive rebound by Z. Randolph
1:10.0,,,19-17,,Shooting foul by D. Green (drawn by M. Conley)
1:10.0,,,19-18,1,M. Conley makes free throw 1 of 2
1:10.0,,,19-19,1,M. Conley makes free throw 2 of 2
1:10.0,K. Anderson enters the game for D. Green,,19-18,,
0:55.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,19-19,,
0:55.0,L. Aldridge misses free throw 1 of 2,,19-19,,
0:55.0,Offensive rebound by Team,,19-19,,
0:55.0,L. Aldridge makes free throw 2 of 2,1,20-19,,
0:38.0,,,20-21,2,Z. Randolph makes 2-pt shot from 6 ft
0:20.0,Shooting foul by W. Selden (drawn by K. Anderson),,20-21,,
0:20.0,K. Anderson misses free throw 1 of 2,,20-21,,
0:20.0,Offensive rebound by Team,,20-21,,
0:20.0,K. Anderson makes free throw 2 of 2,1,21-21,,
0:20.0,,,20-21,,M. Gasol enters the game for W. Selden
0:20.0,,,20-21,,V. Carter enters the game for J. Green
0:05.0,,,21-21,,Turnover by M. Conley (bad pass; steal by P. Mills)
0:02.0,Turnover by K. Anderson (bad pass; steal by A. Harrison),,21-21,,
0:01.0,,,21-21,,Z. Randolph misses 2-pt shot from 17 ft
0:00.0,,,21-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Ginobili misses 2-pt shot from 1 ft,,21-21,,
11:39.0,,,21-21,,Defensive rebound by J. Green
11:19.0,,,21-23,2,Z. Randolph makes 2-pt shot from 15 ft
10:53.0,K. Leonard makes 3-pt shot from 23 ft (assist by P. Mills),3,24-23,,
10:31.0,,,24-25,2,J. Green makes 2-pt shot from 8 ft
10:13.0,P. Mills makes 2-pt shot from 9 ft (assist by M. Ginobili),2,26-25,,
9:51.0,,,26-25,,W. Selden misses 2-pt shot from 1 ft
9:49.0,,,26-25,,Offensive rebound by W. Selden
9:46.0,,,26-28,3,Z. Randolph makes 3-pt shot from 24 ft (assist by W. Selden)
9:28.0,D. Lee misses 2-pt shot from 6 ft (block by Z. Randolph),,26-28,,
9:26.0,Offensive rebound by P. Gasol,,26-28,,
9:26.0,P. Gasol makes 2-pt shot from 1 ft,2,28-28,,
9:12.0,,,28-30,2,M. Conley makes 2-pt shot from 1 ft
9:12.0,San Antonio full timeout,,28-30,,
9:12.0,K. Anderson enters the game for M. Ginobili,,28-30,,
9:12.0,T. Parker enters the game for P. Mills,,28-30,,
9:12.0,,,28-30,,M. Gasol enters the game for J. Green
9:12.0,,,28-30,,V. Carter enters the game for A. Harrison
9:07.0,Turnover by K. Anderson (lost ball),,28-30,,
8:47.0,,,28-30,,W. Selden misses 2-pt shot from 2 ft (block by P. Gasol)
8:44.0,Defensive rebound by P. Gasol,,28-30,,
8:23.0,K. Leonard makes 3-pt shot from 27 ft (assist by K. Anderson),3,31-30,,
7:55.0,,,31-32,2,Z. Randolph makes 2-pt shot from 20 ft
7:34.0,K. Leonard misses 2-pt shot from 9 ft,,31-32,,
7:33.0,,,31-32,,Defensive rebound by V. Carter
7:29.0,,,31-34,2,Z. Randolph makes 2-pt shot at rim (assist by V. Carter)
7:09.0,,,31-34,,Personal foul by Z. Randolph (drawn by K. Leonard)
7:09.0,,,31-34,,J. Ennis enters the game for W. Selden
7:09.0,L. Aldridge enters the game for D. Lee,,31-34,,
7:01.0,K. Anderson makes 2-pt shot from 10 ft (assist by K. Leonard),2,33-34,,
6:36.0,,,33-34,,M. Conley misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by L. Aldridge,,33-34,,
6:25.0,K. Leonard misses 3-pt shot from 25 ft,,33-34,,
6:25.0,,,33-34,,Defensive rebound by M. Conley
6:09.0,,,33-36,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley)
5:42.0,K. Anderson makes 2-pt shot from 8 ft (assist by K. Leonard),2,35-36,,
5:23.0,,,35-36,,M. Gasol misses 2-pt shot from 1 ft (block by K. Leonard)
5:21.0,Defensive rebound by P. Gasol,,35-36,,
5:07.0,,,35-36,,Personal foul by J. Ennis (drawn by K. Leonard)
5:07.0,San Antonio full timeout,,35-36,,
5:07.0,,,35-36,,A. Harrison enters the game for M. Conley
5:07.0,D. Green enters the game for K. Anderson,,35-36,,
4:53.0,D. Green misses 3-pt shot from 25 ft,,35-36,,
4:50.0,,,35-36,,Defensive rebound by Z. Randolph
4:30.0,,,35-36,,Z. Randolph misses 2-pt shot from 19 ft
4:29.0,Defensive rebound by L. Aldridge,,35-36,,
4:25.0,Shooting foul by J. Ennis (drawn by K. Leonard),,35-36,,
4:25.0,K. Leonard makes free throw 1 of 2,1,36-36,,
4:25.0,K. Leonard makes free throw 2 of 2,1,37-36,,
4:25.0,,,36-36,,W. Selden enters the game for J. Ennis
4:25.0,,,36-36,,J. Green enters the game for Z. Randolph
4:06.0,,,37-36,,M. Gasol misses 2-pt shot from 11 ft
4:04.0,Defensive rebound by P. Gasol,,37-36,,
3:43.0,K. Leonard makes 2-pt shot from 17 ft,2,39-36,,
3:24.0,,,39-39,3,W. Selden makes 3-pt shot from 24 ft (assist by A. Harrison)
3:00.0,D. Green makes 2-pt shot from 1 ft,2,41-39,,
2:44.0,,,41-42,3,A. Harrison makes 3-pt shot from 26 ft (assist by M. Gasol)
2:24.0,,,41-42,,Personal foul by M. Gasol (drawn by L. Aldridge)
2:24.0,,,41-42,,Memphis full timeout
2:15.0,D. Green makes 2-pt shot from 14 ft,2,43-42,,
1:59.0,,,43-44,2,M. Gasol makes 2-pt shot from 9 ft
1:47.0,Shooting foul by J. Green (drawn by P. Gasol),,43-44,,
1:47.0,P. Gasol makes free throw 1 of 2,1,44-44,,
1:47.0,P. Gasol misses free throw 2 of 2,,44-44,,
1:47.0,P. Mills enters the game for T. Parker,,44-44,,
1:47.0,M. Ginobili enters the game for D. Green,,44-44,,
1:47.0,,,44-44,,M. Conley enters the game for A. Harrison
1:46.0,,,44-44,,Defensive rebound by M. Gasol
1:28.0,,,44-44,,W. Selden misses 3-pt shot from 24 ft
1:25.0,,,44-44,,Offensive rebound by J. Green
1:25.0,,,44-46,2,J. Green makes 2-pt shot at rim
1:00.0,P. Gasol misses 2-pt shot from 5 ft,,44-46,,
1:00.0,Offensive rebound by L. Aldridge,,44-46,,
1:00.0,L. Aldridge makes 2-pt shot from 1 ft,2,46-46,,
0:49.0,,,46-48,2,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley)
0:37.0,M. Ginobili misses 3-pt shot from 26 ft,,46-48,,
0:36.0,,,46-48,,Defensive rebound by Team
0:36.0,K. Anderson enters the game for K. Leonard,,46-48,,
0:27.0,,,46-48,,W. Selden misses 3-pt shot from 26 ft
0:26.0,,,46-48,,Offensive rebound by Team
0:26.0,,,46-48,,T. Daniels enters the game for J. Green
0:26.0,J. Simmons enters the game for P. Gasol,,46-48,,
0:11.0,Personal take foul by P. Mills,,46-48,,
0:06.0,,,46-50,2,M. Gasol makes 2-pt shot from 1 ft
0:01.0,P. Mills misses 2-pt shot from 1 ft,,46-50,,
0:00.0,Offensive rebound by Team,,46-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:59.0,Turnover by D. Dedmon (bad pass),,46-50,,
11:42.0,,,46-52,2,Z. Randolph makes 2-pt shot from 7 ft
11:23.0,Turnover by T. Parker (step out of bounds),,46-52,,
11:09.0,,,46-55,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
11:08.0,San Antonio full timeout,,46-55,,
11:08.0,P. Mills enters the game for K. Leonard,,46-55,,
11:08.0,P. Gasol enters the game for L. Aldridge,,46-55,,
11:08.0,J. Simmons enters the game for D. Dedmon,,46-55,,
11:08.0,D. Lee enters the game for D. Green,,46-55,,
11:08.0,K. Anderson enters the game for T. Parker,,46-55,,
10:45.0,Shooting foul by W. Selden (drawn by J. Simmons),,46-55,,
10:45.0,J. Simmons misses free throw 1 of 2,,46-55,,
10:45.0,Offensive rebound by Team,,46-55,,
10:45.0,J. Simmons misses free throw 2 of 2,,46-55,,
10:44.0,,,46-55,,Defensive rebound by M. Gasol
10:29.0,,,46-55,,Turnover by M. Gasol (bad pass)
10:12.0,P. Mills misses 3-pt shot from 24 ft,,46-55,,
10:11.0,,,46-55,,Defensive rebound by Z. Randolph
9:54.0,,,46-57,2,Z. Randolph makes 2-pt shot from 1 ft
9:54.0,,,46-57,,Shooting foul by D. Lee (drawn by Z. Randolph)
9:54.0,,,46-58,1,Z. Randolph makes free throw 1 of 1
9:35.0,D. Lee misses 2-pt shot from 2 ft (block by W. Selden),,46-58,,
9:34.0,,,46-58,,Defensive rebound by Z. Randolph
9:23.0,,,46-58,,W. Selden misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by D. Lee,,46-58,,
9:09.0,K. Anderson makes 3-pt shot from 23 ft (assist by J. Simmons),3,49-58,,
8:52.0,,,49-60,2,M. Conley makes 2-pt shot from 2 ft
8:52.0,,,49-60,,Shooting foul by D. Lee (drawn by M. Conley)
8:52.0,,,49-61,1,M. Conley makes free throw 1 of 1
8:35.0,P. Gasol misses 3-pt shot from 23 ft,,49-61,,
8:34.0,,,49-61,,Defensive rebound by V. Carter
8:27.0,Personal foul by D. Lee (drawn by M. Gasol),,49-61,,
8:27.0,L. Aldridge enters the game for D. Lee,,49-61,,
8:27.0,K. Leonard enters the game for K. Anderson,,49-61,,
8:16.0,,,49-61,,Z. Randolph misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Simmons,,49-61,,
8:03.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard),2,51-61,,
7:38.0,,,51-64,3,W. Selden makes 3-pt shot from 24 ft (assist by M. Conley)
7:24.0,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge),3,54-64,,
7:04.0,,,54-66,2,Z. Randolph makes 2-pt shot from 1 ft
7:04.0,,,54-66,,Shooting foul by P. Mills (drawn by Z. Randolph)
7:04.0,,,54-67,1,Z. Randolph makes free throw 1 of 1
7:04.0,,,54-66,,A. Harrison enters the game for M. Conley
6:44.0,Turnover by P. Mills (bad pass),,54-67,,
6:30.0,,,54-67,,A. Harrison misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by L. Aldridge,,54-67,,
6:20.0,P. Mills misses 3-pt shot from 23 ft,,54-67,,
6:20.0,Offensive rebound by Team,,54-67,,
6:20.0,T. Parker enters the game for P. Mills,,54-67,,
6:12.0,L. Aldridge misses 2-pt shot from 10 ft,,54-67,,
6:12.0,,,54-67,,Defensive rebound by Z. Randolph
5:52.0,,,54-67,,Shooting foul by T. Parker (drawn by M. Gasol)
5:52.0,,,54-68,1,M. Gasol makes free throw 1 of 2
5:52.0,,,54-68,,M. Gasol misses free throw 2 of 2
5:52.0,,,54-68,,J. Ennis enters the game for W. Selden
5:51.0,Defensive rebound by L. Aldridge,,54-68,,
5:35.0,P. Gasol misses 2-pt shot from 3 ft (block by M. Gasol),,54-68,,
5:32.0,Offensive rebound by P. Gasol,,54-68,,
5:29.0,P. Gasol makes 2-pt shot from 9 ft,2,56-68,,
5:14.0,,,56-68,,M. Gasol misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by L. Aldridge,,56-68,,
5:11.0,,,56-68,,Personal foul by A. Harrison (drawn by T. Parker)
5:11.0,D. Green enters the game for J. Simmons,,56-68,,
5:11.0,,,56-68,,J. Green enters the game for Z. Randolph
4:58.0,D. Green misses 2-pt shot from 14 ft,,56-68,,
4:56.0,,,56-68,,Defensive rebound by J. Ennis
4:48.0,,,56-70,2,M. Gasol makes 2-pt shot from 21 ft (assist by A. Harrison)
4:25.0,T. Parker misses 2-pt shot from 1 ft,,56-70,,
4:24.0,,,56-70,,Defensive rebound by A. Harrison
4:13.0,,,56-72,2,V. Carter makes 2-pt shot at rim (assist by A. Harrison)
3:57.0,L. Aldridge makes 2-pt shot at rim,2,58-72,,
