time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Len (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. A. Len (V. Oladipo gains possession)
11:40.0,S. Adams misses 2-pt shot from 6 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Len
11:28.0,,,0-0,,Shooting foul by T. Gibson (drawn by A. Len)
11:28.0,,,0-1,1,A. Len makes free throw 1 of 2
11:28.0,,,0-1,,A. Len misses free throw 2 of 2
11:27.0,Defensive rebound by R. Westbrook,,0-1,,
11:13.0,T. Gibson makes 2-pt shot from 16 ft (assist by S. Adams),2,2-1,,
11:12.0,Violation by Team (jump ball),,2-1,,
10:55.0,,,2-3,2,M. Chriss makes 2-pt shot from 7 ft
10:45.0,Turnover by R. Westbrook (bad pass),,2-3,,
10:23.0,,,2-5,2,T. Ulis makes 2-pt shot from 18 ft
10:10.0,Turnover by R. Westbrook (bad pass; steal by M. Chriss),,2-5,,
9:59.0,,,2-5,,Turnover by T. Ulis (bad pass)
9:40.0,R. Westbrook misses 2-pt shot at rim (block by M. Chriss),,2-5,,
9:38.0,,,2-5,,Defensive rebound by A. Len
9:31.0,,,2-5,,T. Warren misses 3-pt shot from 24 ft
9:31.0,,,2-5,,Offensive rebound by M. Chriss
9:17.0,,,2-5,,A. Len misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by S. Adams,,2-5,,
9:07.0,Turnover by R. Westbrook (bad pass; steal by D. Booker),,2-5,,
9:01.0,,,2-7,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
9:01.0,Oklahoma City full timeout,,2-7,,
8:44.0,R. Westbrook misses 2-pt shot from 16 ft,,2-7,,
8:43.0,Offensive rebound by S. Adams,,2-7,,
8:36.0,R. Westbrook misses 2-pt shot from 3 ft,,2-7,,
8:36.0,Offensive rebound by R. Westbrook,,2-7,,
8:36.0,Turnover by R. Westbrook (bad pass; steal by M. Chriss),,2-7,,
8:26.0,,,2-10,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis)
