time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Hilario,,,,Jump ball: S. Adams vs. N. Hilario
11:35.0,D. Sabonis misses 2-pt shot from 8 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by P. Beverley
11:18.0,,,0-0,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
11:14.0,A. Roberson makes 2-pt shot at rim (assist by V. Oladipo),2,2-0,,
10:59.0,,,2-2,2,N. Hilario makes 2-pt shot from 7 ft (assist by J. Harden)
10:32.0,V. Oladipo misses 2-pt shot from 2 ft,,2-2,,
10:32.0,Offensive rebound by A. Roberson,,2-2,,
10:32.0,A. Roberson makes 2-pt shot from 2 ft,2,4-2,,
10:20.0,,,4-2,,R. Anderson misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by R. Westbrook,,4-2,,
10:11.0,R. Westbrook makes 2-pt shot from 21 ft,2,6-2,,
9:50.0,,,6-5,3,P. Beverley makes 3-pt shot from 23 ft (assist by N. Hilario)
9:36.0,A. Roberson misses 3-pt shot from 23 ft,,6-5,,
9:35.0,,,6-5,,Defensive rebound by P. Beverley
9:26.0,,,6-5,,Turnover by J. Harden (lost ball)
9:17.0,,,6-5,,Personal foul by N. Hilario (drawn by R. Westbrook)
9:09.0,,,6-5,,Personal foul by P. Beverley (drawn by S. Adams)
9:01.0,R. Westbrook misses 2-pt shot from 20 ft,,6-5,,
8:59.0,,,6-5,,Defensive rebound by T. Ariza
8:59.0,Loose ball foul by S. Adams (drawn by T. Ariza),,6-5,,
8:49.0,,,6-5,,J. Harden misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by A. Roberson,,6-5,,
8:40.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,8-5,,
8:31.0,,,8-5,,R. Anderson misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by V. Oladipo,,8-5,,
8:20.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,10-5,,
8:09.0,,,10-5,,T. Ariza misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by R. Westbrook,,10-5,,
8:00.0,Shooting foul by N. Hilario (drawn by S. Adams),,10-5,,
8:00.0,S. Adams makes free throw 1 of 2,1,11-5,,
8:00.0,S. Adams makes free throw 2 of 2,1,12-5,,
8:00.0,,,11-5,,M. Harrell enters the game for N. Hilario
7:48.0,,,12-5,,J. Harden misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by V. Oladipo,,12-5,,
7:39.0,A. Roberson misses 3-pt shot from 25 ft,,12-5,,
7:38.0,,,12-5,,Defensive rebound by R. Anderson
7:32.0,,,12-5,,Turnover by J. Harden (lost ball; steal by S. Adams)
7:26.0,D. Sabonis makes 2-pt shot at rim (assist by S. Adams),2,14-5,,
7:08.0,,,14-7,2,R. Anderson makes 2-pt shot from 2 ft (assist by M. Harrell)
6:58.0,R. Westbrook makes 2-pt shot from 14 ft,2,16-7,,
6:40.0,,,16-9,2,T. Ariza makes 2-pt shot from 17 ft
6:26.0,R. Westbrook makes 2-pt shot from 18 ft,2,18-9,,
6:03.0,,,18-9,,R. Anderson misses 3-pt shot from 27 ft
6:02.0,Defensive rebound by S. Adams,,18-9,,
5:57.0,Turnover by R. Westbrook (lost ball),,18-9,,
5:57.0,,,18-9,,Houston full timeout
5:57.0,A. Abrines enters the game for V. Oladipo,,18-9,,
5:57.0,,,18-9,,E. Gordon enters the game for P. Beverley
5:48.0,,,18-9,,Shooting foul by R. Westbrook (drawn by M. Harrell)
5:48.0,,,18-9,,M. Harrell misses free throw 1 of 2
5:48.0,,,18-9,,Offensive rebound by Team
5:48.0,,,18-9,,M. Harrell misses free throw 2 of 2
5:48.0,Defensive rebound by A. Roberson,,18-9,,
5:33.0,Shooting foul by J. Harden (drawn by A. Roberson),,18-9,,
5:33.0,A. Roberson makes free throw 1 of 2,1,19-9,,
5:33.0,A. Roberson makes free throw 2 of 2,1,20-9,,
5:14.0,,,20-9,,E. Gordon misses 2-pt shot from 8 ft
5:13.0,Defensive rebound by D. Sabonis,,20-9,,
5:00.0,S. Adams misses 2-pt shot from 1 ft,,20-9,,
4:59.0,,,20-9,,Defensive rebound by M. Harrell
