time,Brooklyn,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (J. Lin gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (J. Lin gains possession)
11:44.0,B. Lopez misses 2-pt shot from 14 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. Thompson
11:29.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
11:12.0,R. Foye misses 3-pt shot from 26 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by P. McCaw
10:59.0,,,0-4,2,K. Thompson makes 2-pt shot from 13 ft
10:43.0,J. Lin misses 3-pt shot from 26 ft,,0-4,,
10:43.0,,,0-4,,Defensive rebound by S. Curry
10:40.0,,,0-4,,Turnover by S. Curry (bad pass; steal by J. Lin)
10:34.0,J. Lin makes 2-pt shot from 1 ft,2,2-4,,
10:20.0,,,2-6,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by K. Thompson)
10:07.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by D. Green
9:59.0,,,2-6,,D. Green misses 2-pt shot from 3 ft (block by J. Harris)
9:59.0,Defensive rebound by Team,,2-6,,
9:51.0,J. Lin makes 2-pt shot from 2 ft (assist by B. Lopez),2,4-6,,
9:39.0,,,4-6,,S. Curry misses 3-pt shot from 28 ft
9:38.0,Defensive rebound by Team,,4-6,,
9:29.0,Shooting foul by Z. Pachulia (drawn by B. Lopez),,4-6,,
9:29.0,B. Lopez misses free throw 1 of 2,,4-6,,
9:29.0,Offensive rebound by Team,,4-6,,
9:29.0,B. Lopez misses free throw 2 of 2,,4-6,,
9:27.0,,,4-6,,Defensive rebound by P. McCaw
9:15.0,,,4-9,3,S. Curry makes 3-pt shot from 25 ft (assist by Z. Pachulia)
9:00.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,4-9,,
8:59.0,,,4-9,,Defensive rebound by K. Thompson
8:53.0,,,4-9,,Turnover by K. Thompson (bad pass; steal by R. Hollis-Jefferson)
8:52.0,,,4-9,,Personal foul by K. Thompson (drawn by R. Hollis-Jefferson)
8:44.0,Turnover by J. Lin (bad pass),,4-9,,
8:40.0,,,4-11,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
8:25.0,Turnover by J. Harris (lost ball; steal by S. Curry),,4-11,,
8:18.0,,,4-14,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:18.0,Brooklyn full timeout,,4-14,,
7:59.0,R. Foye misses 2-pt shot from 3 ft (block by Z. Pachulia),,4-14,,
7:57.0,Offensive rebound by R. Hollis-Jefferson,,4-14,,
7:48.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,6-14,,
7:18.0,,,6-14,,D. Green misses 2-pt shot from 6 ft
7:17.0,,,6-14,,Offensive rebound by Z. Pachulia
7:16.0,,,6-14,,Turnover by Z. Pachulia (lost ball; steal by J. Harris)
7:08.0,J. Harris misses 2-pt shot from 1 ft,,6-14,,
7:06.0,,,6-14,,Defensive rebound by Z. Pachulia
6:59.0,Personal foul by R. Foye (drawn by Z. Pachulia),,6-14,,
6:59.0,S. Dinwiddie enters the game for J. Lin,,6-14,,
6:52.0,,,6-14,,K. Thompson misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by R. Hollis-Jefferson,,6-14,,
6:45.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,8-14,,
6:36.0,,,8-17,3,S. Curry makes 3-pt shot from 25 ft
6:09.0,Turnover by Team (shot clock),,8-17,,
5:55.0,,,8-17,,S. Curry misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by S. Dinwiddie,,8-17,,
5:47.0,B. Lopez misses 3-pt shot from 23 ft,,8-17,,
5:46.0,Offensive rebound by R. Hollis-Jefferson,,8-17,,
5:42.0,S. Dinwiddie makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,11-17,,
5:42.0,,,11-17,,Golden State full timeout
5:42.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,11-17,,
5:42.0,T. Booker enters the game for R. Foye,,11-17,,
5:29.0,,,11-17,,Z. Pachulia misses 2-pt shot from 3 ft (block by B. Lopez)
5:28.0,Defensive rebound by T. Booker,,11-17,,
5:17.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,13-17,,
5:17.0,Shooting foul by P. McCaw (drawn by S. Dinwiddie),,13-17,,
5:17.0,S. Dinwiddie makes free throw 1 of 1,1,14-17,,
5:17.0,,,13-17,,A. Iguodala enters the game for D. Green
5:17.0,,,13-17,,J. McGee enters the game for Z. Pachulia
5:05.0,,,14-20,3,A. Iguodala makes 3-pt shot from 27 ft (assist by S. Curry)
4:45.0,J. Harris makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,17-20,,
4:37.0,,,17-20,,Shooting foul by S. Dinwiddie (drawn by S. Curry)
4:37.0,,,17-21,1,S. Curry makes free throw 1 of 2
4:37.0,,,17-22,1,S. Curry makes free throw 2 of 2
4:37.0,I. Whitehead enters the game for J. Harris,,17-21,,
4:37.0,,,17-21,,I. Clark enters the game for K. Thompson
4:22.0,B. Lopez misses 2-pt shot from 3 ft (block by J. McGee),,17-22,,
4:21.0,,,17-22,,Defensive rebound by I. Clark
4:17.0,,,17-25,3,S. Curry makes 3-pt shot from 26 ft (assist by I. Clark)
4:05.0,B. Lopez misses 2-pt shot from 3 ft,,17-25,,
4:04.0,,,17-25,,Defensive rebound by J. McGee
3:58.0,,,17-25,,I. Clark misses 2-pt shot from 19 ft
3:57.0,Defensive rebound by T. Booker,,17-25,,
3:43.0,Turnover by B. Lopez (traveling),,17-25,,
3:28.0,,,17-25,,P. McCaw misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by S. Kilpatrick,,17-25,,
3:22.0,Shooting foul by A. Iguodala (drawn by S. Kilpatrick),,17-25,,
3:22.0,S. Kilpatrick makes free throw 1 of 2,1,18-25,,
3:22.0,S. Kilpatrick makes free throw 2 of 2,1,19-25,,
3:22.0,J. Hamilton enters the game for B. Lopez,,18-25,,
3:08.0,,,19-25,,S. Curry misses 2-pt shot from 8 ft
3:06.0,,,19-25,,Offensive rebound by J. McGee
3:06.0,,,19-25,,J. McGee misses 2-pt shot from 1 ft
3:05.0,,,19-25,,Offensive rebound by J. McGee
3:03.0,,,19-25,,J. McGee misses 2-pt shot from 1 ft
3:02.0,,,19-25,,Offensive rebound by J. McGee
3:01.0,,,19-25,,J. McGee misses 2-pt shot from 2 ft
3:00.0,,,19-25,,Offensive rebound by J. McGee
2:53.0,,,19-25,,S. Curry misses 3-pt shot from 27 ft
2:50.0,Defensive rebound by I. Whitehead,,19-25,,
2:45.0,Turnover by I. Whitehead (palming),,19-25,,
2:35.0,,,19-25,,Turnover by S. Curry (bad pass; steal by S. Kilpatrick)
2:30.0,I. Whitehead makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,21-25,,
2:05.0,,,21-28,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
1:48.0,S. Kilpatrick misses 3-pt shot from 26 ft,,21-28,,
1:47.0,,,21-28,,Defensive rebound by S. Curry
1:41.0,,,21-30,2,S. Curry makes 2-pt shot from 18 ft (assist by A. Iguodala)
1:40.0,Brooklyn full timeout,,21-30,,
1:40.0,,,21-30,,D. Green enters the game for P. McCaw
1:28.0,T. Booker makes 2-pt shot at rim (assist by I. Whitehead),2,23-30,,
1:16.0,,,23-30,,D. Green misses 2-pt shot from 6 ft
1:15.0,,,23-30,,Offensive rebound by I. Clark
1:03.0,,,23-30,,J. McGee misses 2-pt shot from 2 ft
1:02.0,,,23-30,,Offensive rebound by J. McGee
1:02.0,,,23-30,,J. McGee misses 2-pt shot from 1 ft
1:01.0,,,23-30,,Offensive rebound by J. McGee
0:57.0,,,23-30,,A. Iguodala misses 2-pt shot from 9 ft
0:57.0,Defensive rebound by T. Booker,,23-30,,
0:50.0,,,23-30,,Violation by J. McGee (def goaltending)
0:50.0,J. Hamilton makes 2-pt shot from 2 ft (assist by I. Whitehead),2,25-30,,
0:42.0,,,25-32,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
0:30.0,S. Kilpatrick misses 2-pt shot from 19 ft,,25-32,,
0:29.0,Offensive rebound by T. Booker,,25-32,,
0:29.0,S. Dinwiddie makes 3-pt shot from 30 ft (assist by T. Booker),3,28-32,,
0:09.0,,,28-32,,S. Curry misses 2-pt shot from 1 ft
0:06.0,,,28-32,,Offensive rebound by I. Clark
0:06.0,Personal foul by I. Whitehead (drawn by I. Clark),,28-32,,
0:00.0,,,28-32,,D. Green misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by I. Whitehead,,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-34,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. West)
11:39.0,,,28-34,,Personal foul by D. Green (drawn by J. Hamilton)
11:29.0,,,28-34,,Personal foul by A. Iguodala (drawn by S. Kilpatrick)
11:24.0,Turnover by J. Hamilton (bad pass; steal by D. West),,28-34,,
11:02.0,,,28-37,3,D. Green makes 3-pt shot from 27 ft (assist by D. West)
10:42.0,J. Hamilton misses 3-pt shot from 23 ft,,28-37,,
10:41.0,,,28-37,,Defensive rebound by D. Green
10:35.0,,,28-37,,Turnover by D. Green (lost ball; steal by S. Kilpatrick)
10:32.0,Turnover by T. Booker (lost ball; steal by D. Green),,28-37,,
10:27.0,,,28-37,,K. Thompson misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by J. Hamilton,,28-37,,
10:05.0,Turnover by R. Foye (bad pass; steal by A. Iguodala),,28-37,,
9:51.0,,,28-37,,K. Thompson misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by R. Foye,,28-37,,
9:42.0,R. Foye misses 3-pt shot from 27 ft (block by D. West),,28-37,,
9:40.0,Offensive rebound by Team,,28-37,,
9:35.0,I. Whitehead misses 3-pt shot from 27 ft,,28-37,,
9:34.0,,,28-37,,Defensive rebound by S. Livingston
9:26.0,,,28-39,2,S. Livingston makes 2-pt shot from 18 ft
9:04.0,S. Kilpatrick misses 3-pt shot from 25 ft,,28-39,,
9:04.0,Offensive rebound by J. Hamilton,,28-39,,
9:01.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Hamilton),2,30-39,,
8:42.0,,,30-39,,D. West misses 2-pt shot from 20 ft
8:42.0,Defensive rebound by S. Kilpatrick,,30-39,,
8:29.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,32-39,,
8:19.0,,,32-39,,Turnover by D. Green (traveling)
8:19.0,Official timeout,,32-39,,
8:19.0,,,32-39,,I. Clark enters the game for A. Iguodala
7:55.0,J. Hamilton misses 2-pt shot from 9 ft,,32-39,,
7:54.0,,,32-39,,Defensive rebound by D. Green
7:39.0,,,32-39,,K. Thompson misses 2-pt shot from 13 ft
7:38.0,Defensive rebound by R. Foye,,32-39,,
7:26.0,J. Hamilton misses 2-pt shot from 9 ft (block by D. Green),,32-39,,
7:25.0,Offensive rebound by J. Hamilton,,32-39,,
7:22.0,J. Hamilton misses 2-pt shot from 8 ft,,32-39,,
7:21.0,Offensive rebound by T. Booker,,32-39,,
7:20.0,T. Booker makes 2-pt shot from 3 ft,2,34-39,,
7:05.0,,,34-41,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. West)
6:55.0,,,34-41,,Personal foul by D. West (drawn by J. Hamilton)
6:55.0,B. Lopez enters the game for J. Hamilton,,34-41,,
6:55.0,,,34-41,,J. McAdoo enters the game for D. Green
6:46.0,S. Kilpatrick makes 2-pt shot from 10 ft,2,36-41,,
6:29.0,,,36-41,,D. West misses 2-pt shot from 18 ft
6:29.0,Defensive rebound by S. Kilpatrick,,36-41,,
6:21.0,S. Kilpatrick makes 3-pt shot from 26 ft,3,39-41,,
6:21.0,,,39-41,,Golden State full timeout
6:21.0,J. Harris enters the game for R. Foye,,39-41,,
6:21.0,S. Dinwiddie enters the game for T. Booker,,39-41,,
6:21.0,R. Hollis-Jefferson enters the game for I. Whitehead,,39-41,,
6:21.0,,,39-41,,Z. Pachulia enters the game for D. West
6:21.0,,,39-41,,S. Curry enters the game for K. Thompson
5:58.0,,,39-43,2,S. Livingston makes 2-pt shot from 7 ft
5:44.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,41-43,,
5:36.0,,,41-43,,S. Curry misses 2-pt shot from 4 ft
5:36.0,Defensive rebound by B. Lopez,,41-43,,
5:33.0,Turnover by B. Lopez (bad pass; steal by I. Clark),,41-43,,
5:20.0,,,41-43,,S. Livingston misses 2-pt shot from 18 ft
5:18.0,Defensive rebound by S. Dinwiddie,,41-43,,
5:12.0,,,41-43,,Personal foul by Z. Pachulia (drawn by S. Dinwiddie)
5:12.0,J. Lin enters the game for S. Kilpatrick,,41-43,,
5:05.0,J. Lin misses 2-pt shot from 4 ft,,41-43,,
5:04.0,Offensive rebound by R. Hollis-Jefferson,,41-43,,
5:00.0,Turnover by B. Lopez (lost ball; steal by I. Clark),,41-43,,
4:57.0,,,41-45,2,I. Clark makes 2-pt shot from 1 ft
4:36.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,43-45,,
4:18.0,,,43-45,,I. Clark misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by S. Dinwiddie,,43-45,,
4:02.0,J. Harris makes 3-pt shot from 23 ft (assist by B. Lopez),3,46-45,,
3:53.0,,,46-47,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
3:53.0,,,46-47,,Shooting foul by J. Harris (drawn by Z. Pachulia)
3:53.0,,,46-48,1,Z. Pachulia makes free throw 1 of 1
3:32.0,R. Hollis-Jefferson misses 3-pt shot from 22 ft,,46-48,,
3:31.0,,,46-48,,Defensive rebound by Z. Pachulia
3:26.0,,,46-50,2,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston)
3:26.0,Brooklyn full timeout,,46-50,,
3:26.0,,,46-50,,K. Thompson enters the game for I. Clark
3:26.0,,,46-50,,A. Iguodala enters the game for S. Livingston
3:05.0,J. Lin makes 3-pt shot from 27 ft (assist by B. Lopez),3,49-50,,
2:44.0,,,49-50,,Turnover by S. Curry (step out of bounds)
2:36.0,J. Lin misses 2-pt shot from 23 ft,,49-50,,
2:36.0,,,49-50,,Defensive rebound by Z. Pachulia
2:27.0,,,49-52,2,J. McAdoo makes 2-pt shot from 1 ft (assist by A. Iguodala)
2:17.0,Offensive foul by B. Lopez,,49-52,,
2:17.0,Turnover by B. Lopez (offensive foul),,49-52,,
2:06.0,Personal foul by J. Lin (drawn by S. Curry),,49-52,,
2:02.0,,,49-52,,K. Thompson misses 2-pt shot from 12 ft
2:00.0,Defensive rebound by R. Hollis-Jefferson,,49-52,,
1:52.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,51-52,,
1:39.0,,,51-54,2,A. Iguodala makes 2-pt shot from 19 ft
1:25.0,B. Lopez misses 3-pt shot from 26 ft,,51-54,,
1:25.0,,,51-54,,Defensive rebound by K. Thompson
1:13.0,,,51-54,,Shooting foul by S. Dinwiddie (drawn by K. Thompson)
1:13.0,,,51-55,1,K. Thompson makes free throw 1 of 2
1:13.0,,,51-56,1,K. Thompson makes free throw 2 of 2
1:13.0,J. Hamilton enters the game for B. Lopez,,51-55,,
1:03.0,J. Harris misses 3-pt shot from 28 ft,,51-56,,
1:03.0,,,51-56,,Defensive rebound by Z. Pachulia
0:56.0,,,51-58,2,J. McAdoo makes 2-pt shot from 3 ft (assist by K. Thompson)
0:37.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,51-58,,
0:36.0,,,51-58,,Defensive rebound by S. Curry
0:30.0,,,51-58,,S. Curry misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by S. Dinwiddie,,51-58,,
0:07.0,Turnover by J. Harris (bad pass; steal by A. Iguodala),,51-58,,
0:00.0,,,51-61,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:00.0,,,51-61,,Shooting foul by S. Dinwiddie (drawn by S. Curry)
0:00.0,,,51-62,1,S. Curry makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-62,,D. Green misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by J. Harris,,51-62,,
11:33.0,Turnover by R. Hollis-Jefferson (bad pass),,51-62,,
11:24.0,,,51-62,,Shooting foul by R. Foye (drawn by K. Thompson)
11:24.0,,,51-63,1,K. Thompson makes free throw 1 of 2
11:24.0,,,51-64,1,K. Thompson makes free throw 2 of 2
11:06.0,J. Lin misses 2-pt shot from 15 ft,,51-64,,
11:05.0,,,51-64,,Defensive rebound by D. Green
10:57.0,,,51-64,,Turnover by D. Green (bad pass; steal by J. Harris)
10:50.0,R. Foye makes 2-pt shot from 3 ft,2,53-64,,
10:37.0,,,53-66,2,P. McCaw makes 2-pt shot at rim (assist by Z. Pachulia)
10:18.0,J. Harris makes 2-pt shot from 2 ft (assist by J. Lin),2,55-66,,
10:09.0,Shooting block foul by B. Lopez (drawn by Z. Pachulia),,55-66,,
10:09.0,,,55-66,,Z. Pachulia misses free throw 1 of 2
10:09.0,,,55-66,,Offensive rebound by Team
10:09.0,,,55-67,1,Z. Pachulia makes free throw 2 of 2
9:56.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,55-67,,
9:56.0,,,55-67,,Defensive rebound by Z. Pachulia
9:47.0,,,55-67,,Z. Pachulia misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by R. Hollis-Jefferson,,55-67,,
9:32.0,J. Lin misses 3-pt shot from 30 ft,,55-67,,
9:31.0,,,55-67,,Defensive rebound by Z. Pachulia
9:23.0,,,55-67,,Shooting foul by R. Hollis-Jefferson (drawn by K. Thompson)
9:23.0,,,55-68,1,K. Thompson makes free throw 1 of 2
9:23.0,,,55-69,1,K. Thompson makes free throw 2 of 2
9:14.0,Shooting foul by Z. Pachulia (drawn by R. Hollis-Jefferson),,55-69,,
9:14.0,R. Hollis-Jefferson makes free throw 1 of 2,1,56-69,,
9:14.0,R. Hollis-Jefferson makes free throw 2 of 2,1,57-69,,
9:01.0,,,57-72,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
8:38.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,57-72,,
8:37.0,Offensive rebound by R. Hollis-Jefferson,,57-72,,
8:37.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,57-72,,
8:35.0,,,57-72,,Defensive rebound by Z. Pachulia
8:30.0,,,57-72,,P. McCaw misses 3-pt shot from 26 ft
8:29.0,,,57-72,,Offensive rebound by Team
8:29.0,,,57-72,,Shooting foul by J. Lin (drawn by P. McCaw)
8:29.0,,,57-73,1,P. McCaw makes free throw 1 of 2
8:29.0,,,57-74,1,P. McCaw makes free throw 2 of 2
8:17.0,,,57-74,,Personal foul by Z. Pachulia (drawn by B. Lopez)
8:17.0,,,57-74,,J. McGee enters the game for Z. Pachulia
