time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession)
11:47.0,Turnover by G. Hayward (bad pass),,0-0,,
11:43.0,Personal take foul by G. Hayward (drawn by D. Jordan),,0-0,,
11:43.0,D. Favors enters the game for R. Gobert,,0-0,,
11:29.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft (block by J. Ingles)
11:27.0,Defensive rebound by J. Ingles,,0-0,,
11:16.0,B. Diaw misses 2-pt shot from 12 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by C. Paul
11:08.0,Def 3 sec tech foul by D. Favors,,0-0,,
11:08.0,,,0-1,1,C. Paul makes technical free throw
11:00.0,,,0-3,2,C. Paul makes 2-pt shot from 14 ft
10:40.0,J. Ingles makes 2-pt shot at rim (assist by B. Diaw),2,2-3,,
10:19.0,,,2-3,,B. Griffin misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by G. Hayward,,2-3,,
10:18.0,Offensive foul by D. Favors,,2-3,,
10:18.0,Turnover by D. Favors (offensive foul),,2-3,,
10:11.0,,,2-5,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:56.0,G. Hayward misses 2-pt shot from 5 ft (block by D. Jordan),,2-5,,
9:56.0,Offensive rebound by Team,,2-5,,
9:46.0,Turnover by G. Hill (bad pass),,2-5,,
9:44.0,,,2-5,,Offensive foul by D. Jordan
9:44.0,,,2-5,,Turnover by D. Jordan (bad pass)
9:20.0,D. Favors misses 2-pt shot from 18 ft,,2-5,,
9:19.0,,,2-5,,Defensive rebound by D. Jordan
9:04.0,,,2-5,,Turnover by J. Redick (bad pass)
8:42.0,G. Hayward misses 3-pt shot from 27 ft,,2-5,,
8:38.0,,,2-5,,Defensive rebound by D. Jordan
8:26.0,,,2-5,,D. Jordan misses 2-pt shot from 2 ft
8:24.0,,,2-5,,Offensive rebound by L. Mbah a Moute
8:16.0,,,2-7,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
8:15.0,Utah full timeout,,2-7,,
7:51.0,G. Hill makes 2-pt shot from 20 ft,2,4-7,,
7:33.0,,,4-7,,Turnover by J. Redick (bad pass; steal by J. Ingles)
7:31.0,Shooting foul by J. Redick (drawn by J. Ingles),,4-7,,
7:31.0,J. Ingles makes free throw 1 of 2,1,5-7,,
7:31.0,J. Ingles makes free throw 2 of 2,1,6-7,,
7:09.0,,,6-7,,L. Mbah a Moute misses 2-pt shot from 22 ft
7:09.0,,,6-7,,Offensive rebound by Team
7:08.0,Loose ball foul by D. Favors (drawn by D. Jordan),,6-7,,
7:08.0,J. Withey enters the game for D. Favors,,6-7,,
6:55.0,,,6-7,,B. Griffin misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by G. Hayward,,6-7,,
6:48.0,Shooting foul by B. Griffin (drawn by J. Withey),,6-7,,
6:48.0,J. Withey makes free throw 1 of 2,1,7-7,,
6:48.0,J. Withey misses free throw 2 of 2,,7-7,,
6:48.0,J. Johnson enters the game for B. Diaw,,7-7,,
6:47.0,,,7-7,,Defensive rebound by D. Jordan
6:35.0,,,7-9,2,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul)
6:25.0,G. Hill makes 2-pt shot from 16 ft,2,9-9,,
6:25.0,Shooting foul by C. Paul (drawn by G. Hill),,9-9,,
6:25.0,G. Hill misses free throw 1 of 1,,9-9,,
6:22.0,,,9-9,,Defensive rebound by B. Griffin
6:21.0,,,9-9,,Turnover by B. Griffin (dbl dribble)
6:03.0,J. Withey makes 2-pt shot from 1 ft,2,11-9,,
5:59.0,,,11-9,,Shooting foul by J. Withey (drawn by L. Mbah a Moute)
5:59.0,,,11-9,,L. Mbah a Moute misses free throw 1 of 2
5:59.0,,,11-9,,Offensive rebound by Team
5:59.0,,,11-10,1,L. Mbah a Moute makes free throw 2 of 2
5:59.0,,,11-9,,J. Crawford enters the game for J. Redick
5:42.0,Turnover by G. Hayward (lost ball; steal by B. Griffin),,11-10,,
5:42.0,Personal foul by G. Hill (drawn by L. Mbah a Moute),,11-10,,
5:29.0,,,11-13,3,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul)
5:04.0,G. Hill misses 2-pt shot from 2 ft,,11-13,,
5:03.0,,,11-13,,Defensive rebound by L. Mbah a Moute
4:52.0,,,11-13,,B. Griffin misses 2-pt shot from 2 ft (block by J. Withey)
4:51.0,,,11-13,,Offensive rebound by L. Mbah a Moute
4:43.0,,,11-15,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:28.0,J. Ingles misses 3-pt shot from 25 ft,,11-15,,
4:27.0,,,11-15,,Defensive rebound by D. Jordan
4:14.0,,,11-15,,J. Crawford misses 2-pt shot from 17 ft
4:13.0,,,11-15,,Offensive rebound by D. Jordan
4:13.0,,,11-15,,Shooting foul by G. Hill (drawn by D. Jordan)
4:13.0,,,11-16,1,D. Jordan makes free throw 1 of 2
4:13.0,,,11-17,1,D. Jordan makes free throw 2 of 2
4:13.0,S. Mack enters the game for G. Hill,,11-16,,
3:57.0,G. Hayward makes 2-pt shot from 18 ft,2,13-17,,
3:46.0,,,13-17,,Turnover by B. Griffin (bad pass; steal by J. Ingles)
3:44.0,Shooting foul by J. Crawford (drawn by J. Ingles),,13-17,,
3:44.0,J. Ingles misses free throw 1 of 2,,13-17,,
3:44.0,Offensive rebound by Team,,13-17,,
3:44.0,J. Ingles makes free throw 2 of 2,1,14-17,,
3:44.0,,,13-17,,M. Speights enters the game for D. Jordan
3:28.0,,,14-17,,M. Speights misses 3-pt shot from 24 ft
3:28.0,,,14-17,,Offensive rebound by Team
3:28.0,Loose ball foul by J. Johnson (drawn by B. Griffin),,14-17,,
3:28.0,,,14-18,1,B. Griffin makes free throw 1 of 2
3:28.0,,,14-19,1,B. Griffin makes free throw 2 of 2
3:28.0,R. Hood enters the game for J. Ingles,,14-18,,
3:16.0,G. Hayward misses 2-pt shot from 19 ft,,14-19,,
3:15.0,,,14-19,,Defensive rebound by L. Mbah a Moute
3:00.0,,,14-19,,C. Paul misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by G. Hayward,,14-19,,
2:44.0,J. Johnson makes 3-pt shot from 24 ft (assist by S. Mack),3,17-19,,
2:44.0,,,17-19,,LA Clippers full timeout
2:44.0,J. Ingles enters the game for R. Hood,,17-19,,
2:30.0,,,17-19,,B. Griffin misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by G. Hayward,,17-19,,
2:07.0,J. Johnson misses 3-pt shot from 25 ft,,17-19,,
2:06.0,,,17-19,,Defensive rebound by C. Paul
1:52.0,,,17-19,,M. Speights misses 2-pt shot from 12 ft
1:52.0,,,17-19,,Offensive rebound by B. Griffin
1:52.0,,,17-19,,Shooting foul by J. Withey (drawn by B. Griffin)
1:52.0,,,17-20,1,B. Griffin makes free throw 1 of 2
1:52.0,,,17-21,1,B. Griffin makes free throw 2 of 2
1:52.0,,,17-20,,R. Felton enters the game for C. Paul
1:52.0,B. Diaw enters the game for J. Withey,,17-20,,
1:32.0,S. Mack misses 3-pt shot from 26 ft,,17-21,,
1:31.0,,,17-21,,Defensive rebound by R. Felton
1:08.0,,,17-21,,R. Felton misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Johnson,,17-21,,
0:49.0,B. Diaw makes 3-pt shot from 25 ft (assist by G. Hayward),3,20-21,,
0:36.0,R. Hood enters the game for J. Ingles,,20-21,,
0:28.0,,,20-24,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by R. Felton)
0:05.0,B. Diaw makes 2-pt shot at rim (assist by S. Mack),2,22-24,,
0:01.0,,,22-24,,J. Crawford misses 3-pt shot from 41 ft
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-27,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
11:26.0,G. Hill misses 2-pt shot from 10 ft,,22-27,,
11:24.0,,,22-27,,Defensive rebound by J. Crawford
11:12.0,,,22-27,,Turnover by J. Crawford (traveling)
10:54.0,J. Johnson makes 2-pt shot from 10 ft (assist by B. Diaw),2,24-27,,
10:35.0,,,24-30,3,M. Speights makes 3-pt shot from 26 ft (assist by B. Griffin)
10:08.0,B. Diaw makes 2-pt shot at rim,2,26-30,,
9:59.0,Personal foul by R. Hood (drawn by J. Crawford),,26-30,,
9:59.0,Inbound foul by R. Hood (drawn by J. Crawford),,26-30,,
9:59.0,,,26-30,,J. Redick misses free throw 1 of 1
9:59.0,,,26-30,,Offensive rebound by Team
9:59.0,D. Favors enters the game for J. Johnson,,26-30,,
9:59.0,,,26-30,,P. Pierce enters the game for B. Griffin
9:59.0,,,26-30,,D. Jordan enters the game for M. Speights
9:52.0,,,26-30,,J. Redick misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by G. Hill,,26-30,,
9:40.0,G. Hill makes 2-pt shot from 5 ft,2,28-30,,
9:21.0,,,28-32,2,R. Felton makes 2-pt shot from 5 ft (assist by J. Redick)
9:12.0,Shooting foul by J. Redick (drawn by R. Hood),,28-32,,
9:12.0,R. Hood makes free throw 1 of 2,1,29-32,,
9:12.0,R. Hood makes free throw 2 of 2,1,30-32,,
8:53.0,,,30-34,2,J. Crawford makes 2-pt shot from 16 ft (assist by P. Pierce)
8:37.0,S. Mack misses 2-pt shot from 12 ft (block by D. Jordan),,30-34,,
8:35.0,Offensive rebound by B. Diaw,,30-34,,
8:32.0,D. Favors misses 2-pt shot from 15 ft,,30-34,,
8:32.0,,,30-34,,Defensive rebound by P. Pierce
8:26.0,,,30-36,2,J. Crawford makes 2-pt shot from 1 ft (assist by P. Pierce)
8:26.0,Utah full timeout,,30-36,,
8:26.0,J. Johnson enters the game for B. Diaw,,30-36,,
8:26.0,G. Hayward enters the game for S. Mack,,30-36,,
8:15.0,R. Hood misses 3-pt shot from 25 ft,,30-36,,
8:14.0,,,30-36,,Defensive rebound by D. Jordan
8:02.0,,,30-36,,D. Jordan misses 2-pt shot at rim
7:59.0,Defensive rebound by D. Favors,,30-36,,
7:56.0,G. Hill misses 2-pt shot from 1 ft (block by J. Crawford),,30-36,,
7:56.0,,,30-36,,Defensive rebound by Team
7:39.0,,,30-36,,P. Pierce misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by Team,,30-36,,
7:38.0,,,30-36,,C. Paul enters the game for R. Felton
7:26.0,Turnover by D. Favors (bad pass),,30-36,,
7:26.0,,,30-36,,L. Mbah a Moute enters the game for P. Pierce
7:26.0,,,30-36,,B. Griffin enters the game for J. Crawford
7:09.0,,,30-36,,Turnover by C. Paul (lost ball; steal by J. Johnson)
7:04.0,G. Hayward makes 2-pt shot from 1 ft (assist by J. Johnson),2,32-36,,
6:43.0,,,32-36,,B. Griffin misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by J. Johnson,,32-36,,
6:22.0,J. Johnson misses 2-pt shot from 6 ft,,32-36,,
6:21.0,Offensive rebound by D. Favors,,32-36,,
6:16.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,35-36,,
6:03.0,,,35-36,,C. Paul misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by G. Hayward,,35-36,,
5:55.0,R. Hood misses 3-pt shot from 27 ft,,35-36,,
5:51.0,,,35-36,,Defensive rebound by D. Jordan
5:46.0,Personal foul by R. Hood,,35-36,,
5:46.0,Official timeout,,35-36,,
5:46.0,J. Ingles enters the game for R. Hood,,35-36,,
5:37.0,,,35-38,2,B. Griffin makes 2-pt shot from 1 ft
5:17.0,J. Johnson makes 2-pt shot from 7 ft,2,37-38,,
5:07.0,,,37-38,,Turnover by J. Redick (traveling)
4:44.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,39-38,,
4:33.0,,,39-38,,Offensive foul by J. Redick
4:33.0,,,39-38,,Turnover by J. Redick (offensive foul)
4:21.0,J. Johnson makes 3-pt shot from 25 ft,3,42-38,,
3:58.0,,,42-38,,Turnover by B. Griffin (lost ball; steal by G. Hayward)
3:50.0,D. Favors makes 2-pt shot at rim (assist by G. Hill),2,44-38,,
3:50.0,,,44-38,,LA Clippers full timeout
3:50.0,,,44-38,,J. Crawford enters the game for J. Redick
3:33.0,,,44-38,,L. Mbah a Moute misses 3-pt shot from 24 ft
3:33.0,,,44-38,,Offensive rebound by Team
3:30.0,Personal foul by J. Ingles (drawn by J. Crawford),,44-38,,
