time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (J. Ingles gains possession),,,,Jump ball: A. Davis vs. R. Gobert (J. Ingles gains possession)
11:41.0,,,0-2,2,G. Hayward makes 2-pt shot from 12 ft
11:26.0,A. Davis misses 2-pt shot from 19 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by G. Hayward
11:17.0,,,0-2,,Shooting foul by H. Thompson (drawn by D. Favors)
11:17.0,,,0-2,,D. Favors misses free throw 1 of 2
11:17.0,,,0-2,,Offensive rebound by Team
11:17.0,,,0-3,1,D. Favors makes free throw 2 of 2
10:57.0,A. Davis makes 2-pt shot from 21 ft (assist by H. Thompson),2,2-3,,
10:38.0,,,2-5,2,G. Hayward makes 2-pt shot from 18 ft
10:20.0,S. Hill misses 3-pt shot from 25 ft,,2-5,,
10:20.0,,,2-5,,Defensive rebound by J. Ingles
10:05.0,,,2-5,,D. Favors misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by H. Thompson,,2-5,,
9:52.0,J. Holiday misses 2-pt shot from 1 ft,,2-5,,
9:51.0,Offensive rebound by J. Holiday,,2-5,,
9:48.0,J. Holiday misses 3-pt shot from 24 ft,,2-5,,
9:47.0,,,2-5,,Defensive rebound by D. Exum
9:39.0,,,2-5,,Turnover by D. Exum (bad pass; steal by A. Davis)
9:29.0,Turnover by D. Cousins (lost ball; steal by R. Gobert),,2-5,,
9:20.0,,,2-7,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
9:20.0,,,2-7,,Shooting foul by A. Davis (drawn by R. Gobert)
9:20.0,,,2-8,1,R. Gobert makes free throw 1 of 1
9:09.0,A. Davis misses 2-pt shot from 21 ft,,2-8,,
9:09.0,,,2-8,,Defensive rebound by D. Exum
9:04.0,,,2-8,,D. Exum misses 2-pt shot from 2 ft
9:04.0,,,2-8,,Offensive rebound by R. Gobert
9:04.0,,,2-8,,Shooting foul by H. Thompson (drawn by R. Gobert)
9:04.0,,,2-9,1,R. Gobert makes free throw 1 of 2
9:04.0,,,2-10,1,R. Gobert makes free throw 2 of 2
9:04.0,E. Moore enters the game for H. Thompson,,2-9,,
8:59.0,New Orleans full timeout,,2-10,,
8:46.0,Shooting foul by R. Gobert (drawn by D. Cousins),,2-10,,
8:46.0,D. Cousins makes free throw 1 of 2,1,3-10,,
8:46.0,D. Cousins makes free throw 2 of 2,1,4-10,,
8:36.0,,,4-12,2,D. Exum makes 2-pt shot from 2 ft (assist by R. Gobert)
8:25.0,Turnover by E. Moore (bad pass; steal by G. Hayward),,4-12,,
8:18.0,,,4-12,,Turnover by G. Hayward (bad pass; steal by S. Hill)
8:03.0,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday),3,7-12,,
7:48.0,,,7-14,2,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert)
7:34.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,10-14,,
7:14.0,,,10-16,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
6:54.0,Offensive foul by S. Hill,,10-16,,
6:54.0,Turnover by S. Hill (offensive foul),,10-16,,
6:39.0,,,10-19,3,D. Exum makes 3-pt shot from 24 ft
6:15.0,E. Moore misses 3-pt shot from 25 ft,,10-19,,
6:14.0,,,10-19,,Defensive rebound by D. Favors
6:02.0,,,10-21,2,G. Hayward makes 2-pt shot from 16 ft
5:44.0,D. Cousins makes 2-pt shot from 1 ft,2,12-21,,
5:28.0,,,12-24,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors)
5:07.0,S. Hill misses 3-pt shot from 24 ft,,12-24,,
5:07.0,,,12-24,,Defensive rebound by R. Gobert
4:59.0,Personal foul by D. Cousins (drawn by R. Gobert),,12-24,,
4:59.0,,,12-24,,A. Burks enters the game for D. Favors
4:59.0,,,12-24,,B. Diaw enters the game for J. Ingles
4:59.0,A. Ajinca enters the game for D. Cousins,,12-24,,
4:47.0,,,12-24,,A. Burks misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by A. Davis,,12-24,,
