time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Porzingis (P. Millsap gains possession),,,,Jump ball: D. Howard vs. K. Porzingis (P. Millsap gains possession)
11:43.0,P. Millsap makes 3-pt shot from 25 ft (assist by K. Bazemore),3,3-0,,
11:16.0,,,3-2,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by D. Rose)
11:03.0,K. Korver makes 2-pt shot from 18 ft (assist by D. Schroder),2,5-2,,
10:49.0,,,5-2,,K. O'Quinn misses 2-pt shot from 19 ft
10:48.0,,,5-2,,Offensive rebound by K. O'Quinn
10:41.0,,,5-2,,K. Porzingis misses 2-pt shot from 15 ft
10:40.0,Defensive rebound by K. Korver,,5-2,,
10:32.0,Turnover by D. Schroder (bad pass),,5-2,,
10:13.0,,,5-2,,C. Anthony misses 2-pt shot from 10 ft
10:12.0,Defensive rebound by D. Schroder,,5-2,,
10:00.0,D. Schroder misses 2-pt shot from 1 ft,,5-2,,
9:59.0,Offensive rebound by Team,,5-2,,
9:52.0,K. Bazemore misses 3-pt shot from 24 ft,,5-2,,
9:50.0,Offensive rebound by D. Howard,,5-2,,
9:48.0,Turnover by D. Howard (lost ball; steal by C. Lee),,5-2,,
9:34.0,,,5-2,,C. Anthony misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by D. Howard,,5-2,,
9:25.0,Turnover by D. Schroder (dbl dribble),,5-2,,
9:10.0,,,5-4,2,D. Rose makes 2-pt shot from 12 ft
8:52.0,P. Millsap misses 2-pt shot from 15 ft,,5-4,,
8:51.0,,,5-4,,Defensive rebound by C. Anthony
8:45.0,,,5-4,,K. Porzingis misses 2-pt shot from 7 ft
8:44.0,,,5-4,,Offensive rebound by K. Porzingis
8:41.0,,,5-6,2,K. Porzingis makes 2-pt shot from 1 ft
8:24.0,P. Millsap makes 2-pt shot from 12 ft,2,7-6,,
8:04.0,,,7-8,2,C. Lee makes 2-pt shot from 14 ft
7:51.0,D. Schroder misses 3-pt shot from 27 ft,,7-8,,
7:50.0,,,7-8,,Defensive rebound by C. Lee
7:42.0,,,7-8,,K. Porzingis misses 2-pt shot from 1 ft
7:41.0,,,7-8,,Offensive rebound by K. O'Quinn
7:34.0,,,7-8,,D. Rose misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by D. Schroder,,7-8,,
7:17.0,K. Bazemore misses 2-pt shot from 2 ft,,7-8,,
7:16.0,Offensive rebound by D. Howard,,7-8,,
7:16.0,D. Howard makes 2-pt shot at rim,2,9-8,,
7:03.0,,,9-8,,C. Lee misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by Team,,9-8,,
7:02.0,M. Muscala enters the game for P. Millsap,,9-8,,
6:52.0,D. Schroder misses 2-pt shot from 5 ft,,9-8,,
6:51.0,,,9-8,,Defensive rebound by C. Anthony
6:38.0,,,9-10,2,C. Anthony makes 2-pt shot from 14 ft
6:26.0,D. Schroder misses 2-pt shot from 2 ft (block by K. O'Quinn),,9-10,,
6:25.0,Offensive rebound by Team,,9-10,,
6:24.0,K. Bazemore misses 2-pt shot from 1 ft,,9-10,,
6:23.0,,,9-10,,Defensive rebound by K. O'Quinn
6:18.0,,,9-12,2,K. Porzingis makes 2-pt shot at rim (assist by D. Rose)
6:02.0,Shooting foul by K. O'Quinn (drawn by D. Howard),,9-12,,
6:02.0,D. Howard makes free throw 1 of 2,1,10-12,,
6:02.0,D. Howard makes free throw 2 of 2,1,11-12,,
5:51.0,,,11-14,2,C. Anthony makes 2-pt shot from 13 ft
5:39.0,K. Korver misses 2-pt shot from 21 ft,,11-14,,
