time,New Orleans,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. N. Vucevic (T. Jones gains possession),,,,Jump ball: O. Asik vs. N. Vucevic (T. Jones gains possession)
11:40.0,T. Jones misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by D. Cunningham,,0-0,,
11:38.0,D. Cunningham misses 2-pt shot from 1 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by N. Vucevic
11:33.0,,,0-0,,E. Payton misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by O. Asik,,0-0,,
11:24.0,T. Frazier misses 2-pt shot from 1 ft,,0-0,,
11:22.0,Offensive rebound by D. Cunningham,,0-0,,
11:22.0,D. Cunningham misses 2-pt shot from 1 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by N. Vucevic
11:15.0,,,0-0,,N. Vucevic misses 2-pt shot from 14 ft
11:12.0,Defensive rebound by D. Cunningham,,0-0,,
11:04.0,E. Moore misses 2-pt shot from 14 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by N. Vucevic
10:40.0,,,0-0,,J. Green misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by O. Asik,,0-0,,
10:29.0,D. Cunningham misses 3-pt shot from 23 ft,,0-0,,
10:28.0,,,0-0,,Defensive rebound by S. Ibaka
10:12.0,,,0-0,,E. Fournier misses 3-pt shot from 28 ft
10:11.0,Defensive rebound by T. Jones,,0-0,,
10:00.0,T. Jones misses 3-pt shot from 27 ft,,0-0,,
9:59.0,,,0-0,,Defensive rebound by N. Vucevic
9:55.0,,,0-0,,Shooting foul by E. Moore (drawn by E. Payton)
9:55.0,,,0-0,,E. Payton misses free throw 1 of 2
9:55.0,,,0-0,,Offensive rebound by Team
9:55.0,,,0-1,1,E. Payton makes free throw 2 of 2
9:40.0,Turnover by E. Moore (traveling),,0-1,,
9:29.0,,,0-1,,Turnover by E. Fournier (lost ball; steal by E. Moore)
9:21.0,T. Frazier misses 2-pt shot from 18 ft (block by E. Payton),,0-1,,
9:19.0,,,0-1,,Defensive rebound by N. Vucevic
9:11.0,,,0-1,,S. Ibaka misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by O. Asik,,0-1,,
8:52.0,T. Jones makes 2-pt shot from 4 ft,2,2-1,,
8:28.0,,,2-1,,E. Payton misses 2-pt shot from 12 ft
8:26.0,Defensive rebound by T. Frazier,,2-1,,
8:01.0,T. Jones misses 2-pt shot from 5 ft,,2-1,,
8:00.0,Offensive rebound by Team,,2-1,,
7:50.0,D. Cunningham makes 2-pt shot from 18 ft (assist by T. Frazier),2,4-1,,
7:39.0,,,4-3,2,N. Vucevic makes 2-pt shot from 3 ft
7:21.0,E. Moore makes 2-pt shot from 4 ft,2,6-3,,
7:02.0,,,6-5,2,S. Ibaka makes 2-pt shot from 6 ft
6:45.0,Turnover by D. Cunningham (bad pass),,6-5,,
6:29.0,,,6-7,2,S. Ibaka makes 2-pt shot from 18 ft
6:17.0,T. Jones misses 2-pt shot from 3 ft (block by N. Vucevic),,6-7,,
6:16.0,,,6-7,,Defensive rebound by S. Ibaka
6:07.0,,,6-7,,Turnover by J. Green (lost ball; steal by D. Cunningham)
5:53.0,T. Frazier misses 2-pt shot from 6 ft,,6-7,,
5:52.0,,,6-7,,Defensive rebound by S. Ibaka
5:35.0,Violation by D. Cunningham (kicked ball),,6-7,,
5:35.0,,,6-7,,Orlando full timeout
5:35.0,A. Ajinca enters the game for O. Asik,,6-7,,
5:32.0,,,6-7,,Turnover by S. Ibaka (illegal screen)
5:06.0,E. Moore makes 2-pt shot from 16 ft,2,8-7,,
4:46.0,,,8-9,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
4:30.0,E. Moore makes 2-pt shot from 9 ft (assist by T. Jones),2,10-9,,
4:15.0,,,10-9,,S. Ibaka misses 2-pt shot from 19 ft
4:14.0,,,10-9,,Offensive rebound by N. Vucevic
4:05.0,,,10-9,,J. Green misses 3-pt shot from 27 ft
4:04.0,Defensive rebound by T. Jones,,10-9,,
3:51.0,E. Moore misses 2-pt shot from 18 ft,,10-9,,
3:50.0,Offensive rebound by Team,,10-9,,
3:49.0,,,10-9,,A. Gordon enters the game for N. Vucevic
3:49.0,,,10-9,,B. Biyombo enters the game for J. Green
3:49.0,B. Hield enters the game for E. Moore,,10-9,,
3:43.0,D. Cunningham makes 2-pt shot from 7 ft,2,12-9,,
3:23.0,,,12-12,3,E. Fournier makes 3-pt shot from 27 ft
3:13.0,Turnover by T. Frazier (bad pass; steal by E. Payton),,12-12,,
3:11.0,,,12-12,,E. Payton misses 2-pt shot from 3 ft (block by T. Frazier)
3:11.0,,,12-12,,Offensive rebound by Team
3:11.0,L. Galloway enters the game for T. Frazier,,12-12,,
3:11.0,,,12-12,,D. Augustin enters the game for E. Payton
3:00.0,,,12-14,2,B. Biyombo makes 2-pt shot at rim (assist by A. Gordon)
2:36.0,T. Jones makes 2-pt shot from 1 ft,2,14-14,,
2:27.0,Personal foul by B. Hield (drawn by E. Fournier),,14-14,,
2:27.0,New Orleans full timeout,,14-14,,
2:27.0,S. Hill enters the game for D. Cunningham,,14-14,,
2:27.0,,,14-14,,D. Rudez enters the game for S. Ibaka
2:17.0,,,14-14,,B. Biyombo misses 2-pt shot from 4 ft (block by A. Ajinca)
2:15.0,,,14-14,,Offensive rebound by D. Rudez
2:09.0,,,14-16,2,E. Fournier makes 2-pt shot from 4 ft
1:45.0,A. Ajinca misses 2-pt shot from 6 ft,,14-16,,
1:45.0,,,14-16,,Defensive rebound by Team
1:45.0,Loose ball foul by T. Jones (drawn by D. Rudez),,14-16,,
1:45.0,D. Cunningham enters the game for T. Jones,,14-16,,
1:33.0,,,14-18,2,D. Augustin makes 2-pt shot from 5 ft
1:19.0,L. Galloway misses 3-pt shot from 27 ft,,14-18,,
1:17.0,,,14-18,,Defensive rebound by B. Biyombo
1:15.0,Personal foul by S. Hill (drawn by A. Gordon),,14-18,,
1:15.0,,,14-18,,A. Gordon misses free throw 1 of 2
1:15.0,,,14-18,,Offensive rebound by Team
1:15.0,,,14-19,1,A. Gordon makes free throw 2 of 2
1:03.0,B. Hield misses 3-pt shot from 26 ft,,14-19,,
1:02.0,,,14-19,,Defensive rebound by D. Augustin
0:58.0,,,14-19,,D. Augustin misses 2-pt shot from 1 ft (block by S. Hill)
0:57.0,Defensive rebound by Team,,14-19,,
0:46.0,A. Ajinca misses 2-pt shot from 1 ft,,14-19,,
0:43.0,,,14-19,,Defensive rebound by D. Rudez
0:36.0,,,14-19,,D. Augustin misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by B. Hield,,14-19,,
0:34.0,,,14-19,,Personal foul by B. Biyombo (drawn by A. Ajinca)
0:24.0,L. Galloway makes 3-pt shot from 28 ft (assist by B. Hield),3,17-19,,
0:06.0,,,17-21,2,E. Fournier makes 2-pt shot from 1 ft
0:02.0,,,17-21,,Personal foul by A. Gordon (drawn by S. Hill)
