time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Leonard vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: M. Leonard vs. Z. Pachulia (S. Curry gains possession)
11:42.0,Shooting foul by M. Harkless (drawn by K. Thompson),,0-0,,
11:42.0,K. Thompson misses free throw 1 of 2,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,K. Thompson makes free throw 2 of 2,1,1-0,,
11:21.0,,,1-0,,C. McCollum misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by Z. Pachulia,,1-0,,
11:14.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,4-0,,
11:07.0,,,4-0,,D. Lillard misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by S. Curry,,4-0,,
10:57.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,6-0,,
10:46.0,,,6-0,,Turnover by D. Lillard (bad pass; steal by S. Curry)
10:36.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,9-0,,
10:35.0,,,9-0,,Portland full timeout
10:11.0,,,9-0,,E. Turner misses 2-pt shot from 1 ft (block by D. Green)
10:10.0,Defensive rebound by D. Green,,9-0,,
9:57.0,K. Thompson makes 3-pt shot from 25 ft,3,12-0,,
9:30.0,,,12-0,,Turnover by E. Turner (bad pass)
9:08.0,Z. Pachulia misses 2-pt shot from 18 ft,,12-0,,
9:08.0,,,12-0,,Defensive rebound by C. McCollum
8:50.0,,,12-0,,M. Harkless misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by K. Thompson,,12-0,,
8:40.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,14-0,,
8:21.0,,,14-3,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
8:12.0,Turnover by S. Curry (bad pass; steal by M. Harkless),,14-3,,
8:06.0,,,14-3,,M. Harkless misses 2-pt shot from 1 ft (block by K. Durant)
8:05.0,Defensive rebound by D. Green,,14-3,,
8:02.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,17-3,,
7:41.0,,,17-3,,E. Turner misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by Z. Pachulia,,17-3,,
7:33.0,K. Thompson misses 3-pt shot from 26 ft,,17-3,,
