time,Charlotte,pts.away,score,pts.home,Philadelphia
9:01.0,,,24-34,2,E. Ilyasova makes 2-pt shot from 22 ft (assist by S. Rodriguez)
8:43.0,R. Sessions misses 2-pt shot from 20 ft,,24-34,,
8:41.0,Offensive rebound by M. Kidd-Gilchrist,,24-34,,
8:37.0,R. Sessions makes 2-pt shot from 2 ft,2,26-34,,
8:30.0,,,26-34,,S. Rodriguez misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by C. Zeller,,26-34,,
8:25.0,Shooting foul by S. Rodriguez (drawn by R. Sessions),,26-34,,
8:25.0,R. Sessions makes free throw 1 of 2,1,27-34,,
8:25.0,R. Sessions makes free throw 2 of 2,1,28-34,,
8:25.0,K. Walker enters the game for M. Belinelli,,27-34,,
8:25.0,,,27-34,,N. Stauskas enters the game for T. Luwawu-Cabarrot
8:05.0,,,28-34,,E. Ilyasova misses 3-pt shot from 24 ft
8:04.0,,,28-34,,Offensive rebound by N. Noel
8:02.0,,,28-36,2,N. Noel makes 2-pt shot from 1 ft
7:47.0,C. Zeller misses 2-pt shot from 4 ft,,28-36,,
7:46.0,Offensive rebound by C. Zeller,,28-36,,
7:43.0,M. Williams makes 3-pt shot from 25 ft (assist by C. Zeller),3,31-36,,
7:21.0,,,31-39,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Henderson)
6:57.0,R. Sessions misses 3-pt shot from 25 ft,,31-39,,
6:56.0,Offensive rebound by M. Williams,,31-39,,
6:54.0,Turnover by M. Williams (bad pass; steal by S. Rodriguez),,31-39,,
6:51.0,,,31-41,2,S. Rodriguez makes 2-pt shot from 2 ft
6:42.0,Charlotte full timeout,,31-41,,
6:42.0,,,31-41,,D. Saric enters the game for G. Henderson
6:42.0,,,31-41,,T. McConnell enters the game for S. Rodriguez
6:30.0,K. Walker misses 3-pt shot from 26 ft,,31-41,,
6:29.0,,,31-41,,Defensive rebound by N. Noel
6:20.0,,,31-41,,E. Ilyasova misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by M. Kidd-Gilchrist,,31-41,,
6:09.0,M. Williams misses 2-pt shot from 14 ft,,31-41,,
6:07.0,Offensive rebound by C. Zeller,,31-41,,
6:07.0,C. Zeller makes 2-pt shot at rim,2,33-41,,
5:49.0,,,33-43,2,N. Noel makes 2-pt shot from 4 ft
5:33.0,C. Zeller misses 2-pt shot from 2 ft (block by N. Noel),,33-43,,
5:33.0,Offensive rebound by Team,,33-43,,
5:33.0,Charlotte full timeout,,33-43,,
5:33.0,N. Batum enters the game for R. Sessions,,33-43,,
5:24.0,K. Walker makes 2-pt shot from 2 ft,2,35-43,,
5:16.0,Personal foul by M. Kidd-Gilchrist (drawn by N. Stauskas),,35-43,,
5:16.0,F. Kaminsky enters the game for M. Williams,,35-43,,
5:12.0,,,35-43,,Turnover by T. McConnell (bad pass; steal by C. Zeller)
5:03.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,37-43,,
4:48.0,,,37-43,,D. Saric misses 2-pt shot from 16 ft
4:46.0,Defensive rebound by N. Batum,,37-43,,
4:38.0,C. Zeller makes 2-pt shot from 17 ft (assist by M. Kidd-Gilchrist),2,39-43,,
4:25.0,,,39-43,,E. Ilyasova misses 3-pt shot from 27 ft
4:23.0,Defensive rebound by K. Walker,,39-43,,
4:12.0,K. Walker misses 2-pt shot from 8 ft (block by N. Noel),,39-43,,
4:09.0,Offensive rebound by F. Kaminsky,,39-43,,
4:06.0,F. Kaminsky misses 2-pt shot from 11 ft,,39-43,,
4:04.0,Offensive rebound by M. Kidd-Gilchrist,,39-43,,
4:01.0,N. Batum makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,42-43,,
3:59.0,,,42-43,,Philadelphia full timeout
3:59.0,,,42-43,,G. Henderson enters the game for E. Ilyasova
3:59.0,,,42-43,,J. Embiid enters the game for N. Stauskas
3:59.0,,,42-43,,R. Covington enters the game for N. Noel
3:59.0,,,42-43,,Violation by Team (delay of game)
3:45.0,,,42-43,,D. Saric misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by M. Kidd-Gilchrist,,42-43,,
3:30.0,K. Walker misses 2-pt shot from 2 ft (block by J. Embiid),,42-43,,
3:28.0,Offensive rebound by C. Zeller,,42-43,,
3:28.0,Technical foul by K. Walker,,42-43,,
3:28.0,,,42-44,1,G. Henderson makes technical free throw
3:23.0,C. Zeller misses 2-pt shot from 2 ft,,42-44,,
3:19.0,,,42-44,,Defensive rebound by R. Covington
3:13.0,,,42-44,,T. McConnell misses 2-pt shot from 17 ft
3:10.0,Defensive rebound by M. Kidd-Gilchrist,,42-44,,
3:03.0,C. Zeller misses 2-pt shot at rim (block by J. Embiid),,42-44,,
3:03.0,Offensive rebound by Team,,42-44,,
3:03.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,42-44,,
2:57.0,N. Batum misses 3-pt shot from 26 ft,,42-44,,
2:55.0,,,42-44,,Defensive rebound by J. Embiid
2:49.0,,,42-44,,G. Henderson misses 2-pt shot from 5 ft
2:47.0,,,42-44,,Offensive rebound by D. Saric
2:46.0,,,42-44,,D. Saric misses 2-pt shot from 1 ft
2:43.0,,,42-44,,Offensive rebound by D. Saric
2:41.0,,,42-44,,Turnover by D. Saric (lost ball; steal by N. Batum)
2:34.0,K. Walker misses 2-pt shot from 20 ft,,42-44,,
2:33.0,,,42-44,,Defensive rebound by J. Embiid
2:15.0,,,42-47,3,D. Saric makes 3-pt shot from 26 ft (assist by R. Covington)
1:55.0,K. Walker misses 3-pt shot from 27 ft,,42-47,,
1:53.0,,,42-47,,Defensive rebound by J. Embiid
1:35.0,,,42-49,2,J. Embiid makes 2-pt shot from 2 ft (assist by D. Saric)
1:18.0,Turnover by K. Walker (lost ball; steal by D. Saric),,42-49,,
1:11.0,,,42-52,3,D. Saric makes 3-pt shot from 27 ft (assist by T. McConnell)
0:55.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Belinelli),3,45-52,,
0:46.0,,,45-52,,J. Embiid misses 3-pt shot from 25 ft
0:44.0,,,45-52,,Offensive rebound by D. Saric
0:41.0,,,45-52,,R. Covington misses 2-pt shot from 22 ft
0:41.0,Defensive rebound by Team,,45-52,,
0:41.0,,,45-52,,Loose ball foul by J. Embiid (drawn by N. Batum)
0:41.0,,,45-52,,N. Noel enters the game for J. Embiid
0:32.0,K. Walker misses 3-pt shot from 25 ft,,45-52,,
0:31.0,,,45-52,,Defensive rebound by T. McConnell
0:20.0,,,45-52,,Turnover by D. Saric (lost ball; steal by K. Walker)
0:01.0,F. Kaminsky misses 3-pt shot from 29 ft,,45-52,,
0:00.0,Offensive rebound by Team,,45-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Batum makes 2-pt shot from 14 ft,2,47-52,,
11:25.0,,,47-52,,Turnover by J. Embiid (bad pass)
11:09.0,N. Batum misses 2-pt shot from 17 ft,,47-52,,
11:07.0,,,47-52,,Defensive rebound by J. Embiid
11:02.0,,,47-52,,J. Embiid misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by M. Williams,,47-52,,
10:54.0,Turnover by K. Walker (lost ball),,47-52,,
10:37.0,Violation by N. Batum (kicked ball),,47-52,,
10:24.0,,,47-52,,Turnover by J. Embiid (lost ball; steal by N. Batum)
10:15.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,50-52,,
10:05.0,Personal foul by N. Batum (drawn by N. Stauskas),,50-52,,
9:59.0,,,50-52,,Turnover by E. Ilyasova (lost ball; steal by M. Williams)
9:57.0,Shooting foul by E. Ilyasova (drawn by M. Williams),,50-52,,
9:57.0,M. Williams makes free throw 1 of 2,1,51-52,,
9:57.0,M. Williams makes free throw 2 of 2,1,52-52,,
9:44.0,,,52-52,,Offensive charge foul by N. Stauskas
9:44.0,,,52-52,,Turnover by N. Stauskas (offensive foul)
9:34.0,,,52-52,,Personal foul by R. Covington (drawn by C. Zeller)
9:28.0,C. Zeller misses 2-pt shot at rim (block by J. Embiid),,52-52,,
9:27.0,,,52-52,,Defensive rebound by Team
9:14.0,,,52-52,,E. Ilyasova misses 3-pt shot from 26 ft
9:13.0,,,52-52,,Offensive rebound by N. Stauskas
9:08.0,,,52-52,,R. Covington misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by N. Batum,,52-52,,
8:56.0,Turnover by M. Williams (bad pass),,52-52,,
8:34.0,,,52-54,2,R. Covington makes 2-pt shot from 22 ft (assist by T. McConnell)
8:17.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,52-54,,
8:15.0,,,52-54,,Defensive rebound by J. Embiid
8:09.0,,,52-57,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
8:09.0,Charlotte full timeout,,52-57,,
7:50.0,N. Batum misses 2-pt shot from 17 ft,,52-57,,
7:47.0,Offensive rebound by C. Zeller,,52-57,,
7:35.0,C. Zeller misses 2-pt shot from 21 ft,,52-57,,
7:33.0,,,52-57,,Defensive rebound by J. Embiid
7:09.0,,,52-57,,Turnover by Team (shot clock)
6:59.0,Turnover by N. Batum (traveling),,52-57,,
6:45.0,,,52-57,,Shooting foul by M. Williams (drawn by J. Embiid)
6:45.0,,,52-58,1,J. Embiid makes free throw 1 of 2
6:45.0,,,52-59,1,J. Embiid makes free throw 2 of 2
6:21.0,M. Williams misses 2-pt shot from 5 ft,,52-59,,
6:20.0,,,52-59,,Defensive rebound by N. Stauskas
6:17.0,,,52-59,,Shooting foul by K. Walker (drawn by J. Embiid)
6:17.0,,,52-60,1,J. Embiid makes free throw 1 of 2
6:17.0,,,52-61,1,J. Embiid makes free throw 2 of 2
6:07.0,N. Batum misses 2-pt shot from 18 ft,,52-61,,
6:06.0,,,52-61,,Defensive rebound by J. Embiid
5:51.0,,,52-64,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
5:33.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,52-64,,
5:30.0,,,52-64,,Defensive rebound by J. Embiid
5:23.0,,,52-64,,J. Embiid misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by N. Batum,,52-64,,
5:15.0,Shooting foul by J. Embiid (drawn by M. Kidd-Gilchrist),,52-64,,
5:15.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,53-64,,
5:15.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,54-64,,
5:15.0,M. Belinelli enters the game for M. Williams,,53-64,,
5:15.0,F. Kaminsky enters the game for N. Batum,,53-64,,
5:15.0,,,53-64,,N. Noel enters the game for J. Embiid
5:15.0,,,53-64,,G. Henderson enters the game for N. Stauskas
5:02.0,,,54-66,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by G. Henderson)
4:39.0,C. Zeller makes 2-pt shot from 4 ft,2,56-66,,
4:17.0,,,56-66,,R. Covington misses 2-pt shot from 7 ft (block by M. Kidd-Gilchrist)
4:14.0,,,56-66,,Offensive rebound by R. Covington
4:13.0,,,56-69,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by R. Covington)
3:52.0,C. Zeller makes 2-pt shot at rim,2,58-69,,
3:36.0,,,58-69,,R. Covington misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by C. Zeller,,58-69,,
3:32.0,Turnover by C. Zeller (bad pass; steal by E. Ilyasova),,58-69,,
3:31.0,Violation by M. Belinelli (kicked ball),,58-69,,
3:31.0,,,58-69,,Philadelphia full timeout
3:31.0,R. Hibbert enters the game for C. Zeller,,58-69,,
3:31.0,,,58-69,,S. Rodriguez enters the game for T. McConnell
3:31.0,,,58-69,,D. Saric enters the game for E. Ilyasova
3:21.0,,,58-69,,G. Henderson misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by M. Kidd-Gilchrist,,58-69,,
3:10.0,Shooting foul by R. Covington (drawn by R. Hibbert),,58-69,,
3:10.0,R. Hibbert makes free throw 1 of 2,1,59-69,,
3:10.0,R. Hibbert makes free throw 2 of 2,1,60-69,,
3:10.0,,,59-69,,T. Luwawu-Cabarrot enters the game for R. Covington
