time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. K. Towns (G. Dieng gains possession),,,,Jump ball: T. Mozgov vs. K. Towns (G. Dieng gains possession)
11:40.0,,,0-2,2,A. Wiggins makes 2-pt shot from 19 ft (assist by G. Dieng)
11:19.0,L. Deng makes 3-pt shot from 25 ft (assist by T. Mozgov),3,3-2,,
11:00.0,,,3-2,,R. Rubio misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by J. Randle,,3-2,,
10:47.0,N. Young misses 3-pt shot from 23 ft,,3-2,,
10:46.0,,,3-2,,Defensive rebound by N. Bjelica
10:40.0,,,3-4,2,R. Rubio makes 2-pt shot from 1 ft
10:27.0,N. Young makes 2-pt shot from 20 ft (assist by D. Russell),2,5-4,,
10:04.0,,,5-4,,K. Towns misses 3-pt shot from 26 ft
10:02.0,,,5-4,,Offensive rebound by N. Bjelica
9:51.0,,,5-4,,K. Towns misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by T. Mozgov,,5-4,,
9:39.0,Turnover by J. Randle (bad pass; steal by N. Bjelica),,5-4,,
9:37.0,,,5-4,,Turnover by N. Bjelica (bad pass)
9:21.0,L. Deng misses 3-pt shot from 25 ft,,5-4,,
9:20.0,,,5-4,,Defensive rebound by G. Dieng
9:11.0,,,5-6,2,N. Bjelica makes 2-pt shot from 1 ft (assist by G. Dieng)
9:11.0,,,5-6,,Shooting foul by D. Russell (drawn by N. Bjelica)
9:11.0,,,5-7,1,N. Bjelica makes free throw 1 of 1
8:58.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle),3,8-7,,
8:47.0,,,8-7,,K. Towns misses 2-pt shot from 5 ft
8:46.0,Defensive rebound by D. Russell,,8-7,,
8:40.0,Shooting foul by G. Dieng (drawn by N. Young),,8-7,,
8:40.0,N. Young makes free throw 1 of 2,1,9-7,,
8:40.0,N. Young makes free throw 2 of 2,1,10-7,,
8:27.0,,,10-9,2,R. Rubio makes 2-pt shot from 1 ft
8:17.0,D. Russell misses 3-pt shot from 25 ft,,10-9,,
8:15.0,Offensive rebound by T. Mozgov,,10-9,,
8:15.0,T. Mozgov makes 2-pt shot at rim,2,12-9,,
8:04.0,,,12-11,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
7:47.0,T. Mozgov makes 2-pt shot from 4 ft (assist by D. Russell),2,14-11,,
7:37.0,,,14-11,,G. Dieng misses 2-pt shot from 15 ft
7:36.0,Defensive rebound by T. Mozgov,,14-11,,
7:33.0,,,14-11,,Personal block foul by R. Rubio (drawn by D. Russell)
7:16.0,T. Mozgov misses 2-pt shot from 16 ft,,14-11,,
7:15.0,,,14-11,,Defensive rebound by K. Towns
7:04.0,,,14-11,,K. Towns misses 2-pt shot from 6 ft (block by T. Mozgov)
7:01.0,,,14-11,,Offensive rebound by K. Towns
7:00.0,,,14-13,2,R. Rubio makes 2-pt shot from 16 ft (assist by K. Towns)
6:46.0,Shooting foul by G. Dieng (drawn by L. Deng),,14-13,,
6:46.0,L. Deng makes free throw 1 of 2,1,15-13,,
6:46.0,L. Deng makes free throw 2 of 2,1,16-13,,
6:46.0,,,15-13,,C. Aldrich enters the game for G. Dieng
6:34.0,,,16-15,2,A. Wiggins makes 2-pt shot from 10 ft
6:21.0,Turnover by D. Russell (lost ball; steal by C. Aldrich),,16-15,,
6:16.0,,,16-17,2,N. Bjelica makes 2-pt shot from 1 ft (assist by R. Rubio)
6:15.0,LA Lakers full timeout,,16-17,,
5:57.0,N. Young misses 3-pt shot from 25 ft (block by C. Aldrich),,16-17,,
5:56.0,,,16-17,,Defensive rebound by K. Towns
5:35.0,,,16-17,,K. Towns misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by J. Randle,,16-17,,
5:25.0,Turnover by J. Randle (lost ball; steal by R. Rubio),,16-17,,
5:19.0,,,16-20,3,R. Rubio makes 3-pt shot from 25 ft (assist by N. Bjelica)
4:57.0,J. Randle makes 2-pt shot from 18 ft (assist by N. Young),2,18-20,,
4:45.0,,,18-22,2,C. Aldrich makes 2-pt shot at rim (assist by R. Rubio)
4:18.0,N. Young misses 3-pt shot from 26 ft,,18-22,,
4:17.0,,,18-22,,Defensive rebound by K. Towns
4:11.0,,,18-22,,Shooting foul by J. Randle (drawn by A. Wiggins)
4:11.0,,,18-23,1,A. Wiggins makes free throw 1 of 2
4:11.0,,,18-24,1,A. Wiggins makes free throw 2 of 2
4:11.0,L. Williams enters the game for D. Russell,,18-23,,
4:11.0,J. Clarkson enters the game for N. Young,,18-23,,
4:11.0,B. Ingram enters the game for L. Deng,,18-23,,
4:11.0,,,18-23,,K. Dunn enters the game for R. Rubio
3:54.0,Turnover by L. Williams (bad pass; steal by C. Aldrich),,18-24,,
