time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: A. Johnson vs. J. Noah (K. Porzingis gains possession)
11:38.0,,,0-0,,K. Porzingis misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by J. Crowder,,0-0,,
11:13.0,A. Bradley makes 2-pt shot from 3 ft,2,2-0,,
10:52.0,,,2-2,2,D. Rose makes 2-pt shot from 5 ft
10:35.0,J. Crowder misses 3-pt shot from 25 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by J. Noah
10:18.0,,,2-2,,Turnover by K. Porzingis (lost ball; steal by A. Bradley)
10:10.0,A. Horford makes 2-pt shot from 4 ft,2,4-2,,
9:57.0,,,4-4,2,C. Lee makes 2-pt shot from 22 ft
9:43.0,I. Thomas misses 3-pt shot from 24 ft,,4-4,,
9:40.0,Offensive rebound by A. Horford,,4-4,,
9:38.0,A. Bradley misses 2-pt shot from 23 ft,,4-4,,
9:36.0,,,4-4,,Defensive rebound by Team
9:36.0,Loose ball foul by A. Johnson (drawn by K. Porzingis),,4-4,,
9:18.0,,,4-4,,C. Anthony misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by A. Bradley,,4-4,,
9:11.0,,,4-4,,Personal foul by C. Lee (drawn by I. Thomas)
9:02.0,A. Horford makes 2-pt shot from 2 ft,2,6-4,,
8:46.0,,,6-6,2,K. Porzingis makes 2-pt shot from 12 ft
8:30.0,Turnover by A. Bradley (bad pass; steal by K. Porzingis),,6-6,,
8:24.0,,,6-8,2,D. Rose makes 2-pt shot from 5 ft
8:10.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,9-8,,
7:59.0,,,9-10,2,J. Noah makes 2-pt shot from 5 ft
7:59.0,,,9-10,,Shooting foul by A. Johnson (drawn by J. Noah)
7:59.0,,,9-10,,J. Noah misses free throw 1 of 1
7:58.0,Defensive rebound by J. Crowder,,9-10,,
7:47.0,I. Thomas misses 3-pt shot from 25 ft,,9-10,,
7:45.0,,,9-10,,Defensive rebound by K. Porzingis
7:37.0,,,9-10,,Turnover by K. Porzingis (bad pass; steal by A. Johnson)
7:33.0,A. Johnson misses 2-pt shot from 3 ft,,9-10,,
7:32.0,,,9-10,,Defensive rebound by D. Rose
7:25.0,,,9-10,,Turnover by K. Porzingis (bad pass)
7:09.0,A. Bradley misses 2-pt shot from 17 ft,,9-10,,
7:07.0,,,9-10,,Defensive rebound by K. Porzingis
6:54.0,,,9-12,2,C. Lee makes 2-pt shot from 16 ft
6:29.0,I. Thomas makes 2-pt shot from 2 ft,2,11-12,,
6:27.0,,,11-12,,New York full timeout
6:27.0,J. Jerebko enters the game for A. Johnson,,11-12,,
