time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Varejao (J. Green gains possession),,,,Jump ball: M. Gasol vs. A. Varejao (J. Green gains possession)
11:44.0,,,0-2,2,M. Gasol makes 2-pt shot from 7 ft (assist by T. Williams)
11:25.0,K. Durant makes 3-pt shot from 23 ft (assist by A. Varejao),3,3-2,,
11:03.0,,,3-2,,Turnover by A. Harrison (bad pass; steal by D. Green)
10:51.0,D. Green misses 3-pt shot from 25 ft,,3-2,,
10:50.0,,,3-2,,Defensive rebound by J. Green
10:44.0,,,3-5,3,T. Williams makes 3-pt shot from 24 ft (assist by A. Harrison)
10:30.0,K. Durant misses 3-pt shot from 26 ft,,3-5,,
10:30.0,,,3-5,,Defensive rebound by M. Gasol
10:22.0,,,3-5,,Shooting foul by S. Curry (drawn by A. Harrison)
10:22.0,,,3-6,1,A. Harrison makes free throw 1 of 2
10:22.0,,,3-7,1,A. Harrison makes free throw 2 of 2
10:04.0,A. Varejao misses 2-pt shot from 2 ft,,3-7,,
10:00.0,Offensive rebound by S. Curry,,3-7,,
9:57.0,Shooting foul by T. Williams (drawn by D. Green),,3-7,,
9:57.0,D. Green misses free throw 1 of 3,,3-7,,
9:57.0,Offensive rebound by Team,,3-7,,
9:57.0,D. Green makes free throw 2 of 3,1,4-7,,
9:57.0,D. Green misses free throw 3 of 3,,4-7,,
9:56.0,,,4-7,,Defensive rebound by J. Green
9:43.0,,,4-7,,Turnover by T. Allen (lost ball; steal by A. Varejao)
9:38.0,Shooting foul by J. Green (drawn by K. Durant),,4-7,,
9:38.0,K. Durant makes free throw 1 of 2,1,5-7,,
9:38.0,K. Durant misses free throw 2 of 2,,5-7,,
9:37.0,,,5-7,,Defensive rebound by J. Green
9:27.0,,,5-7,,Turnover by T. Allen (lost ball; steal by K. Durant)
9:24.0,Turnover by K. Durant (bad pass),,5-7,,
9:02.0,,,5-9,2,M. Gasol makes 2-pt shot from 9 ft
8:44.0,K. Thompson misses 2-pt shot from 2 ft,,5-9,,
8:43.0,,,5-9,,Defensive rebound by M. Gasol
8:32.0,,,5-9,,M. Gasol misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by S. Curry,,5-9,,
8:22.0,K. Thompson misses 2-pt shot from 10 ft,,5-9,,
8:22.0,Offensive rebound by A. Varejao,,5-9,,
8:18.0,S. Curry misses 3-pt shot from 26 ft,,5-9,,
8:17.0,,,5-9,,Defensive rebound by T. Allen
8:03.0,,,5-9,,M. Gasol misses 2-pt shot from 12 ft
8:02.0,Defensive rebound by K. Durant,,5-9,,
7:52.0,Turnover by D. Green (bad pass),,5-9,,
7:39.0,,,5-11,2,J. Green makes 2-pt shot from 19 ft (assist by M. Gasol)
7:27.0,K. Thompson misses 2-pt shot from 19 ft,,5-11,,
7:26.0,,,5-11,,Defensive rebound by J. Green
7:13.0,,,5-11,,Shooting foul by A. Varejao (drawn by A. Harrison)
7:13.0,,,5-12,1,A. Harrison makes free throw 1 of 2
7:13.0,,,5-13,1,A. Harrison makes free throw 2 of 2
6:58.0,Shooting foul by M. Gasol (drawn by S. Curry),,5-13,,
6:58.0,S. Curry makes free throw 1 of 2,1,6-13,,
6:58.0,S. Curry makes free throw 2 of 2,1,7-13,,
6:44.0,,,7-16,3,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol)
6:41.0,Golden State full timeout,,7-16,,
6:27.0,D. Green misses 2-pt shot from 4 ft,,7-16,,
6:27.0,,,7-16,,Defensive rebound by T. Williams
6:07.0,,,7-16,,Shooting foul by K. Durant (drawn by A. Harrison)
6:07.0,,,7-17,1,A. Harrison makes free throw 1 of 2
6:07.0,,,7-18,1,A. Harrison makes free throw 2 of 2
