time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: J. Henson vs. H. Whiteside (L. Babbitt gains possession)
11:35.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. McGruder),3,3-0,,
11:19.0,,,3-2,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
11:02.0,H. Whiteside misses 2-pt shot from 3 ft,,3-2,,
11:01.0,,,3-2,,Defensive rebound by J. Henson
10:55.0,,,3-2,,M. Dellavedova misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by H. Whiteside,,3-2,,
10:40.0,R. McGruder makes 3-pt shot from 23 ft (assist by G. Dragic),3,6-2,,
10:22.0,,,6-2,,J. Henson misses 2-pt shot from 5 ft
10:21.0,Defensive rebound by W. Ellington,,6-2,,
10:10.0,Turnover by L. Babbitt (bad pass; steal by J. Henson),,6-2,,
9:55.0,,,6-2,,G. Antetokounmpo misses 2-pt shot from 12 ft
9:52.0,Defensive rebound by Team,,6-2,,
9:29.0,G. Dragic makes 2-pt shot from 11 ft (assist by R. McGruder),2,8-2,,
9:11.0,,,8-2,,Turnover by T. Snell (bad pass)
9:01.0,G. Dragic makes 2-pt shot at rim,2,10-2,,
9:01.0,,,10-2,,Milwaukee full timeout
8:48.0,,,10-2,,Turnover by J. Parker (bad pass)
8:35.0,,,10-2,,Def 3 sec tech foul by J. Henson
8:35.0,G. Dragic makes technical free throw,1,11-2,,
8:22.0,Turnover by G. Dragic (bad pass; steal by J. Parker),,11-2,,
8:21.0,Personal foul by R. McGruder (drawn by J. Parker),,11-2,,
8:09.0,,,11-2,,Turnover by J. Henson (traveling)
7:57.0,G. Dragic misses 2-pt shot from 5 ft,,11-2,,
7:56.0,Offensive rebound by H. Whiteside,,11-2,,
7:56.0,H. Whiteside misses 2-pt shot at rim,,11-2,,
7:55.0,Offensive rebound by G. Dragic,,11-2,,
7:52.0,G. Dragic makes 2-pt shot from 5 ft,2,13-2,,
7:27.0,,,13-2,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:27.0,,,13-2,,Offensive rebound by Team
7:27.0,,,13-2,,Turnover by Team (shot clock)
7:27.0,,,13-2,,K. Middleton enters the game for G. Antetokounmpo
7:27.0,,,13-2,,G. Monroe enters the game for J. Henson
7:17.0,,,13-2,,Personal foul by M. Dellavedova (drawn by H. Whiteside)
7:06.0,L. Babbitt misses 3-pt shot from 23 ft,,13-2,,
7:06.0,Offensive rebound by Team,,13-2,,
7:04.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,15-2,,
6:47.0,,,15-2,,J. Parker misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by R. McGruder,,15-2,,
6:34.0,G. Dragic makes 2-pt shot at rim,2,17-2,,
6:34.0,,,17-2,,Milwaukee full timeout
6:34.0,,,17-2,,M. Brogdon enters the game for M. Dellavedova
6:34.0,T. Johnson enters the game for G. Dragic,,17-2,,
6:22.0,,,17-4,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
6:07.0,H. Whiteside makes 2-pt shot at rim,2,19-4,,
5:53.0,,,19-6,2,J. Parker makes 2-pt shot from 16 ft (assist by M. Brogdon)
5:29.0,R. McGruder misses 3-pt shot from 24 ft,,19-6,,
5:29.0,Offensive rebound by Team,,19-6,,
5:29.0,,,19-6,,Loose ball foul by T. Snell (drawn by H. Whiteside)
5:16.0,L. Babbitt misses 3-pt shot from 25 ft,,19-6,,
5:15.0,Offensive rebound by R. McGruder,,19-6,,
5:10.0,,,19-6,,Personal foul by K. Middleton (drawn by H. Whiteside)
5:03.0,W. Ellington misses 3-pt shot from 26 ft,,19-6,,
5:02.0,Offensive rebound by L. Babbitt,,19-6,,
5:02.0,L. Babbitt misses 2-pt shot from 2 ft,,19-6,,
5:00.0,,,19-6,,Defensive rebound by G. Monroe
4:45.0,,,19-6,,M. Brogdon misses 2-pt shot from 3 ft (block by T. Johnson)
4:43.0,Defensive rebound by H. Whiteside,,19-6,,
4:38.0,L. Babbitt misses 3-pt shot from 28 ft,,19-6,,
4:36.0,,,19-6,,Defensive rebound by K. Middleton
4:26.0,,,19-8,2,J. Parker makes 2-pt shot from 17 ft
