time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Plumlee (J. Harden gains possession),,,,Jump ball: C. Capela vs. M. Plumlee (J. Harden gains possession)
11:36.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,2-0,,
11:21.0,Personal foul by J. Harden (drawn by M. Harkless),,2-0,,
11:11.0,,,2-3,3,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum)
10:54.0,T. Ariza misses 3-pt shot from 22 ft,,2-3,,
10:54.0,,,2-3,,Defensive rebound by M. Plumlee
10:40.0,,,2-5,2,C. McCollum makes 2-pt shot from 14 ft
10:30.0,J. Harden misses 2-pt shot from 1 ft (block by M. Harkless),,2-5,,
10:30.0,,,2-5,,Defensive rebound by Team
10:09.0,,,2-7,2,M. Harkless makes 2-pt shot from 20 ft (assist by M. Plumlee)
9:56.0,J. Harden makes 2-pt shot from 2 ft,2,4-7,,
9:47.0,,,4-7,,D. Lillard misses 3-pt shot from 27 ft
9:46.0,,,4-7,,Offensive rebound by D. Lillard
9:33.0,,,4-7,,Turnover by D. Lillard (bad pass; steal by J. Harden)
9:30.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,6-7,,
9:20.0,,,6-7,,M. Harkless misses 2-pt shot from 22 ft
9:20.0,Defensive rebound by J. Harden,,6-7,,
9:10.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,8-7,,
8:52.0,,,8-10,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:43.0,J. Harden makes 3-pt shot from 25 ft,3,11-10,,
8:24.0,,,11-12,2,E. Davis makes 2-pt shot from 1 ft
8:24.0,,,11-12,,D. Lillard misses 2-pt shot from 1 ft
8:24.0,,,11-12,,Offensive rebound by E. Davis
8:01.0,J. Harden misses 3-pt shot from 25 ft,,11-12,,
8:01.0,,,11-12,,Defensive rebound by Team
7:43.0,,,11-15,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee)
7:30.0,R. Anderson makes 2-pt shot from 2 ft,2,13-15,,
7:20.0,,,13-15,,Offensive foul by M. Plumlee
7:20.0,,,13-15,,Turnover by M. Plumlee (offensive foul)
7:07.0,J. Harden makes 2-pt shot at rim,2,15-15,,
6:49.0,,,15-17,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
6:30.0,R. Anderson misses 3-pt shot from 28 ft,,15-17,,
6:30.0,,,15-17,,Defensive rebound by E. Davis
6:22.0,,,15-19,2,D. Lillard makes 2-pt shot from 1 ft
6:04.0,R. Anderson makes 3-pt shot from 27 ft (assist by P. Beverley),3,18-19,,
5:59.0,,,18-19,,Portland full timeout
