time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Towns (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. K. Towns (L. Aldridge gains possession)
11:46.0,L. Aldridge misses 2-pt shot from 21 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by K. Towns
11:23.0,,,0-2,2,R. Rubio makes 2-pt shot from 14 ft
10:56.0,L. Aldridge misses 3-pt shot from 23 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by G. Dieng
10:42.0,,,0-2,,K. Towns misses 2-pt shot from 8 ft
10:41.0,Defensive rebound by L. Aldridge,,0-2,,
10:27.0,P. Gasol misses 2-pt shot from 8 ft,,0-2,,
10:25.0,,,0-2,,Defensive rebound by R. Rubio
10:21.0,,,0-2,,A. Wiggins misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by D. Green,,0-2,,
10:10.0,N. Laprovittola misses 3-pt shot from 25 ft (block by R. Rubio),,0-2,,
10:09.0,,,0-2,,Defensive rebound by Z. LaVine
10:01.0,,,0-5,3,K. Towns makes 3-pt shot from 24 ft (assist by Z. LaVine)
9:47.0,P. Gasol misses 2-pt shot from 7 ft (block by K. Towns),,0-5,,
9:46.0,Offensive rebound by Team,,0-5,,
9:36.0,K. Leonard misses 2-pt shot from 13 ft,,0-5,,
9:35.0,,,0-5,,Defensive rebound by A. Wiggins
9:29.0,,,0-8,3,Z. LaVine makes 3-pt shot from 24 ft (assist by A. Wiggins)
9:11.0,Shooting foul by K. Towns (drawn by P. Gasol),,0-8,,
9:11.0,P. Gasol misses free throw 1 of 2,,0-8,,
9:11.0,Offensive rebound by Team,,0-8,,
9:11.0,P. Gasol makes free throw 2 of 2,1,1-8,,
9:07.0,,,1-10,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
8:41.0,N. Laprovittola makes 2-pt shot from 11 ft,2,3-10,,
8:26.0,,,3-12,2,K. Towns makes 2-pt shot from 12 ft (assist by Z. LaVine)
8:03.0,D. Green misses 3-pt shot from 23 ft,,3-12,,
8:02.0,,,3-12,,Defensive rebound by K. Towns
7:52.0,,,3-12,,R. Rubio misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by P. Gasol,,3-12,,
7:37.0,L. Aldridge misses 2-pt shot from 9 ft,,3-12,,
7:35.0,Offensive rebound by P. Gasol,,3-12,,
7:35.0,P. Gasol misses 2-pt shot from 3 ft,,3-12,,
7:33.0,,,3-12,,Defensive rebound by G. Dieng
7:24.0,Personal foul by L. Aldridge (drawn by G. Dieng),,3-12,,
7:24.0,K. Anderson enters the game for K. Leonard,,3-12,,
7:24.0,D. Dedmon enters the game for L. Aldridge,,3-12,,
7:24.0,P. Mills enters the game for N. Laprovittola,,3-12,,
7:24.0,D. Lee enters the game for P. Gasol,,3-12,,
7:24.0,J. Simmons enters the game for D. Green,,3-12,,
7:20.0,,,3-12,,G. Dieng misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by P. Mills,,3-12,,
7:10.0,D. Lee makes 2-pt shot at rim (assist by P. Mills),2,5-12,,
6:51.0,,,5-12,,Turnover by Z. LaVine (bad pass; steal by P. Mills)
