time,Dallas,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Nowitzki (P. Zipser gains possession),,,,Jump ball: R. Lopez vs. D. Nowitzki (P. Zipser gains possession)
11:41.0,,,0-2,2,R. Lopez makes 2-pt shot from 5 ft
11:22.0,W. Matthews misses 2-pt shot from 16 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by J. Butler
11:13.0,,,0-4,2,J. Butler makes 2-pt shot from 12 ft
11:08.0,Turnover by H. Barnes (bad pass; steal by M. Carter-Williams),,0-4,,
11:03.0,,,0-4,,D. Wade misses 2-pt shot from 22 ft
11:02.0,,,0-4,,Offensive rebound by J. Butler
10:51.0,,,0-4,,R. Lopez misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by D. Williams,,0-4,,
10:44.0,Turnover by D. Williams (bad pass),,0-4,,
10:28.0,,,0-7,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by D. Wade)
10:14.0,Offensive foul by D. Williams,,0-7,,
10:14.0,Turnover by D. Williams (offensive foul),,0-7,,
9:59.0,,,0-7,,J. Butler misses 2-pt shot from 12 ft
9:58.0,Defensive rebound by D. Nowitzki,,0-7,,
9:45.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,3-7,,
9:23.0,,,3-7,,Turnover by D. Wade (bad pass)
9:02.0,W. Matthews makes 2-pt shot from 14 ft (assist by D. Williams),2,5-7,,
8:43.0,,,5-9,2,D. Wade makes 2-pt shot from 10 ft
8:43.0,,,5-9,,Shooting foul by H. Barnes (drawn by D. Wade)
8:43.0,,,5-9,,D. Wade misses free throw 1 of 1
8:42.0,Defensive rebound by H. Barnes,,5-9,,
8:30.0,D. Williams misses 3-pt shot from 23 ft,,5-9,,
8:29.0,,,5-9,,Defensive rebound by M. Carter-Williams
8:19.0,,,5-9,,M. Carter-Williams misses 2-pt shot from 14 ft
8:18.0,Defensive rebound by D. Williams,,5-9,,
8:06.0,D. Nowitzki misses 3-pt shot from 26 ft,,5-9,,
8:05.0,,,5-9,,Defensive rebound by P. Zipser
7:55.0,,,5-11,2,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler)
7:37.0,D. Nowitzki makes 2-pt shot from 7 ft (assist by D. Williams),2,7-11,,
7:18.0,,,7-14,3,P. Zipser makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
6:58.0,D. Williams makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,10-14,,
6:36.0,,,10-17,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by J. Butler)
6:35.0,Dallas full timeout,,10-17,,
6:35.0,S. Mejri enters the game for D. Nowitzki,,10-17,,
6:23.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,12-17,,
