time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. B. Lopez (T. Luwawu-Cabarrot gains possession),,,,Jump ball: R. Holmes vs. B. Lopez (T. Luwawu-Cabarrot gains possession)
11:47.0,D. Saric misses 2-pt shot from 19 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by J. Lin
11:25.0,,,0-2,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by R. Foye)
11:02.0,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell),2,2-2,,
10:55.0,Personal foul by R. Holmes (drawn by B. Lopez),,2-2,,
10:47.0,,,2-2,,J. Lin misses 2-pt shot from 19 ft
10:46.0,Defensive rebound by R. Covington,,2-2,,
10:38.0,R. Holmes misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,2-2,,
10:37.0,Offensive rebound by Team,,2-2,,
10:34.0,Jump ball: J. Lin vs. T. Luwawu-Cabarrot (R. Hollis-Jefferson gains possession),,,,Jump ball: J. Lin vs. T. Luwawu-Cabarrot (R. Hollis-Jefferson gains possession)
10:34.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Lin),,2-2,,
10:24.0,,,2-2,,Turnover by J. Lin (bad pass)
10:16.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by R. Hollis-Jefferson
10:09.0,,,2-5,3,B. Lopez makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
9:52.0,T. McConnell makes 2-pt shot from 9 ft,2,4-5,,
9:44.0,Personal foul by T. McConnell (drawn by J. Lin),,4-5,,
9:37.0,,,4-5,,R. Hollis-Jefferson misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by R. Covington,,4-5,,
9:27.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,6-5,,
9:08.0,,,6-8,3,R. Foye makes 3-pt shot from 25 ft (assist by B. Lopez)
8:53.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,6-8,,
8:52.0,,,6-8,,Defensive rebound by B. Lopez
8:44.0,,,6-8,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
8:43.0,Defensive rebound by R. Holmes,,6-8,,
8:27.0,Turnover by T. McConnell (traveling),,6-8,,
8:18.0,,,6-8,,B. Lopez misses 2-pt shot from 10 ft
8:17.0,,,6-8,,Offensive rebound by B. Lopez
8:16.0,,,6-8,,Shooting foul by R. Holmes (drawn by B. Lopez)
8:16.0,,,6-9,1,B. Lopez makes free throw 1 of 2
8:16.0,,,6-10,1,B. Lopez makes free throw 2 of 2
8:16.0,S. Long enters the game for R. Holmes,,6-9,,
7:59.0,S. Long misses 2-pt shot from 3 ft (block by B. Lopez),,6-10,,
7:57.0,Offensive rebound by T. Luwawu-Cabarrot,,6-10,,
7:55.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,6-10,,
7:54.0,,,6-10,,Defensive rebound by R. Hollis-Jefferson
7:44.0,,,6-10,,J. Lin misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by T. Luwawu-Cabarrot,,6-10,,
7:36.0,D. Saric misses 3-pt shot from 25 ft,,6-10,,
7:34.0,Offensive rebound by R. Covington,,6-10,,
7:33.0,R. Covington makes 2-pt shot from 2 ft,2,8-10,,
7:24.0,,,8-10,,C. LeVert misses 2-pt shot from 18 ft
7:23.0,Defensive rebound by S. Long,,8-10,,
7:15.0,Turnover by T. McConnell (bad pass; steal by R. Hollis-Jefferson),,8-10,,
7:07.0,,,8-13,3,B. Lopez makes 3-pt shot from 27 ft (assist by J. Lin)
7:07.0,Philadelphia full timeout,,8-13,,
7:05.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,8-13,,
6:51.0,T. McConnell makes 2-pt shot from 7 ft (assist by D. Saric),2,10-13,,
6:37.0,,,10-13,,C. LeVert misses 3-pt shot from 24 ft
6:36.0,,,10-13,,Offensive rebound by J. Lin
6:27.0,,,10-15,2,R. Foye makes 2-pt shot from 1 ft (assist by B. Lopez)
6:16.0,D. Saric misses 2-pt shot from 21 ft,,10-15,,
6:15.0,,,10-15,,Defensive rebound by C. LeVert
