time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: K. Porzingis vs. H. Whiteside (R. McGruder gains possession)
11:35.0,J. Richardson misses 3-pt shot from 23 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by K. Porzingis
11:12.0,,,0-0,,K. Porzingis misses 2-pt shot from 13 ft
11:10.0,Defensive rebound by G. Dragic,,0-0,,
10:57.0,R. McGruder misses 3-pt shot from 23 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by K. Porzingis
10:45.0,,,0-0,,K. Porzingis misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by H. Whiteside,,0-0,,
10:33.0,G. Dragic makes 2-pt shot from 13 ft,2,2-0,,
10:18.0,,,2-0,,K. Porzingis misses 2-pt shot from 2 ft
10:17.0,,,2-0,,Offensive rebound by Team
10:12.0,,,2-2,2,R. Baker makes 2-pt shot at rim
9:44.0,R. McGruder makes 2-pt shot from 9 ft,2,4-2,,
9:28.0,,,4-4,2,C. Lee makes 2-pt shot from 17 ft
9:28.0,,,4-4,,Shooting foul by R. McGruder (drawn by C. Lee)
9:28.0,,,4-5,1,C. Lee makes free throw 1 of 1
9:11.0,L. Babbitt misses 3-pt shot from 27 ft,,4-5,,
9:10.0,,,4-5,,Defensive rebound by C. Anthony
9:07.0,,,4-5,,Turnover by C. Anthony (bad pass)
8:52.0,R. McGruder makes 2-pt shot from 14 ft (assist by G. Dragic),2,6-5,,
8:31.0,,,6-8,3,K. Porzingis makes 3-pt shot from 25 ft (assist by W. Hernangomez)
8:14.0,G. Dragic makes 2-pt shot from 1 ft,2,8-8,,
8:00.0,,,8-8,,C. Lee misses 2-pt shot from 3 ft
7:59.0,Defensive rebound by Team,,8-8,,
7:59.0,,,8-8,,Loose ball foul by W. Hernangomez (drawn by H. Whiteside)
7:43.0,G. Dragic misses 2-pt shot from 14 ft,,8-8,,
7:42.0,Offensive rebound by G. Dragic,,8-8,,
7:38.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,11-8,,
7:26.0,,,11-8,,Turnover by R. Baker (lost ball; steal by G. Dragic)
7:20.0,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic),2,13-8,,
7:06.0,Personal foul by R. McGruder (drawn by C. Anthony),,13-8,,
7:06.0,J. Johnson enters the game for R. McGruder,,13-8,,
7:02.0,Violation by G. Dragic (kicked ball),,13-8,,
6:52.0,,,13-10,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Baker)
6:31.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Johnson),3,16-10,,
6:11.0,,,16-13,3,C. Lee makes 3-pt shot from 24 ft (assist by K. Porzingis)
6:01.0,G. Dragic misses 3-pt shot from 23 ft,,16-13,,
6:00.0,,,16-13,,Defensive rebound by C. Anthony
5:49.0,,,16-13,,Shooting foul by J. Johnson (drawn by K. Porzingis)
5:49.0,,,16-13,,New York full timeout
5:49.0,,,16-13,,K. Porzingis misses free throw 1 of 2
5:49.0,,,16-13,,Offensive rebound by Team
5:49.0,,,16-14,1,K. Porzingis makes free throw 2 of 2
5:49.0,W. Reed enters the game for H. Whiteside,,16-13,,
5:33.0,G. Dragic makes 2-pt shot from 4 ft,2,18-14,,
5:09.0,,,18-16,2,W. Hernangomez makes 2-pt shot from 7 ft
4:56.0,J. Johnson misses 2-pt shot from 4 ft,,18-16,,
4:55.0,Offensive rebound by J. Johnson,,18-16,,
4:54.0,Turnover by J. Johnson (bad pass; steal by C. Lee),,18-16,,
4:42.0,,,18-16,,Turnover by W. Hernangomez (bad pass; steal by W. Reed)
4:26.0,J. Richardson misses 3-pt shot from 25 ft,,18-16,,
4:25.0,,,18-16,,Defensive rebound by C. Lee
4:03.0,,,18-16,,R. Baker misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by L. Babbitt,,18-16,,
3:57.0,G. Dragic misses 2-pt shot from 6 ft,,18-16,,
3:56.0,,,18-16,,Defensive rebound by K. Porzingis
3:48.0,,,18-16,,C. Anthony misses 3-pt shot from 23 ft
3:47.0,,,18-16,,Offensive rebound by W. Hernangomez
3:37.0,,,18-16,,C. Lee misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by J. Johnson,,18-16,,
3:35.0,Shooting foul by K. Porzingis (drawn by J. Johnson),,18-16,,
3:35.0,J. Johnson makes free throw 1 of 2,1,19-16,,
3:35.0,J. Johnson makes free throw 2 of 2,1,20-16,,
3:35.0,T. Johnson enters the game for L. Babbitt,,19-16,,
3:35.0,W. Ellington enters the game for G. Dragic,,19-16,,
3:35.0,,,19-16,,J. Holiday enters the game for C. Lee
3:35.0,,,19-16,,M. Kuzminskas enters the game for C. Anthony
3:25.0,,,20-16,,Turnover by J. Holiday (bad pass; steal by J. Richardson)
3:21.0,J. Richardson makes 2-pt shot from 2 ft,2,22-16,,
3:02.0,,,22-16,,Offensive foul by W. Hernangomez
3:02.0,,,22-16,,Turnover by W. Hernangomez (offensive foul)
2:50.0,T. Johnson misses 2-pt shot from 3 ft (block by M. Kuzminskas),,22-16,,
2:49.0,Offensive rebound by Team,,22-16,,
2:49.0,Miami full timeout,,22-16,,
2:49.0,,,22-16,,C. Randle enters the game for W. Hernangomez
2:49.0,,,22-16,,K. O'Quinn enters the game for R. Baker
2:49.0,,,22-16,,Violation by Team (delay of game)
2:45.0,J. Johnson makes 2-pt shot from 1 ft,2,24-16,,
2:19.0,,,24-16,,K. O'Quinn misses 3-pt shot from 25 ft
2:18.0,,,24-16,,Offensive rebound by Team
2:18.0,,,24-16,,Turnover by Team (shot clock)
2:03.0,W. Ellington misses 2-pt shot from 22 ft,,24-16,,
2:02.0,,,24-16,,Defensive rebound by Team
1:46.0,,,24-18,2,J. Holiday makes 2-pt shot from 19 ft (assist by C. Randle)
1:34.0,J. Johnson misses 2-pt shot from 11 ft,,24-18,,
1:33.0,,,24-18,,Defensive rebound by K. O'Quinn
1:17.0,,,24-18,,C. Randle misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by J. Johnson,,24-18,,
1:01.0,J. Richardson misses 3-pt shot from 26 ft,,24-18,,
1:00.0,,,24-18,,Defensive rebound by C. Randle
0:56.0,,,24-20,2,J. Holiday makes 2-pt shot from 19 ft (assist by C. Randle)
0:37.0,J. Johnson misses 2-pt shot from 3 ft (block by K. Porzingis),,24-20,,
0:35.0,,,24-20,,Defensive rebound by K. O'Quinn
0:29.0,,,24-20,,C. Randle misses 2-pt shot from 2 ft
0:28.0,,,24-20,,Offensive rebound by M. Kuzminskas
0:28.0,,,24-20,,M. Kuzminskas misses 2-pt shot from 1 ft
0:27.0,,,24-20,,Offensive rebound by M. Kuzminskas
0:27.0,,,24-22,2,M. Kuzminskas makes 2-pt shot from 1 ft
0:04.0,T. Johnson misses 2-pt shot from 2 ft (block by K. Porzingis),,24-22,,
0:03.0,Offensive rebound by T. Johnson,,24-22,,
0:03.0,Turnover by Team (shot clock),,24-22,,
0:02.0,,,24-22,,Turnover by M. Kuzminskas (bad pass; steal by J. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-24,2,J. Holiday makes 2-pt shot from 1 ft (assist by K. O'Quinn)
11:22.0,W. Ellington misses 2-pt shot from 20 ft,,24-24,,
